countryCode,popData2019,continentExp,Land_Area_sqkm,HealthExp,GDPpc,Obese_Pcent,Over_65s,Diabetis
ABW,106766,America,NA,NA,NA,NA,14.05835544,11.6
AFG,38928341,Asia,653000,9.39572716,530.4816203,5.5,2.615794214,9.2
AGO,32866268,Africa,1250000,2.54900527,3437.292488,8.2,2.19934175,4.5
AIA,15002,America,NA,NA,NA,NA,NA,NA
ALB,2845955,Europe,27400,5.26271439,5223.808239,21.7,14.20263062,9
AND,76177,Europe,470,6.71033096,42051.59526,25.6,NA,7.7
ARE,9890400,Asia,71000,4.22590351,43004.94982,31.7,1.156549456,16.3
ARG,45195777,America,2740000,9.62454033,11719.0754,28.3,11.24310827,5.9
ARM,2963234,Europe,28500,10.02538967,4212.132551,20.2,11.48366772,6.1
ATG,97928,America,440,5.23155928,16728.71176,18.9,9.054964064,13.1
AUS,25499881,Oceania,7690000,9.28459835,58433.76702,29,15.92120175,5.6
AUT,8901064,Europe,82500,10.32559872,51584.77781,20.1,19.07560629,6.6
AZE,10139175,Europe,82700,3.51373243,4717.702227,19.9,6.44638912,6.1
BDI,11890781,Africa,25700,7.74165535,310.3402492,5.4,2.312095315,5.1
BEL,11522440,Europe,30300,10.31865311,47609.90172,22.1,19.00656607,4.6
BEN,12123198,Africa,113000,2.49141979,1241.824378,9.6,3.264884925,1
BES,26221,America,NA,NA,NA,NA,NA,NA
BFA,20903278,Africa,274000,5.62852383,715.0978506,5.6,2.407287537,7.3
BGD,164689383,Asia,130000,2.3428061,1788.840079,3.6,5.180351348,9.2
BGR,6951482,Europe,109000,7.34667873,9390.71221,25,21.25296727,6
BHR,1701583,Asia,778,4.13356352,24051.37955,29.8,2.518809729,15.6
BHS,393248,America,10000,6.24896193,32219.41878,31.6,7.483272654,8.8
BIH,3280815,Europe,51200,2.41291642,31627.81988,17.9,17.20115117,9
BLR,9449321,Europe,203000,5.64426613,6311.72805,24.5,15.20084135,5
BLZ,397621,America,22800,5.69105911,5025.1781,24.1,4.86738926,17.1
BMU,62273,America,NA,NA,NA,NA,NA,6.7
BOL,11673029,America,1080000,6.30102587,3548.594652,20.2,7.338631646,6.8
BRA,212559409,America,8360000,9.51438713,8916.905036,22.1,9.251608036,10.4
BRB,287371,America,430,6.56259155,17745.19347,23.1,16.23099033,13.4
BRN,437483,Asia,5270,NA,NA,14.1,5.208811752,13.3
BTN,771612,Asia,38100,3.0574255,3360.295296,6.4,6.092974373,10.3
BWA,2351625,Africa,567000,5.84825039,8258.248398,18.9,4.365895341,5.8
CAF,4829764,Africa,623000,10.99253082,488.1875097,7.5,2.81479015,6
CAN,37742157,America,9090000,10.79046917,46289.94075,29.4,17.64789689,7.6
CHE,8606033,Europe,39500,11.87620926,83112.925,19.5,18.83799606,5.7
CHL,19116209,America,744000,9.14051342,15924.79424,28,11.88154013,8.6
CHN,1439323774,Asia,9390000,5.35107994,9363.705242,6.2,11.47219302,9.2
CIV,26378275,Africa,318000,4.19003773,1715.531229,10.3,2.873119343,2.4
CMR,26545864,Africa,473000,3.52989626,1533.742646,11.4,2.723649908,6
COD,89561404,Africa,2270000,3.30075741,560.8073416,6.7,3.016939617,6
COG,5518092,Africa,342000,2.13848233,2222.031615,9.6,2.721415896,6
COL,50882884,America,1110000,7.63980007,6716.912748,22.3,8.765830007,7.4
COM,869595,Africa,1860,4.58884811,1421.440674,7.8,3.055403427,12.3
CPV,555988,Africa,4030,5.35998297,3635.4009,11.8,4.698373444,2.4
CRI,5094114,America,51100,7.56336021,12027.36598,25.7,9.880435323,9.1
CUB,11326616,America,104000,11.18745422,8821.822004,24.6,15.56495916,9.6
CUW,164100,America,NA,NA,NA,NA,17.16883689,11.6
CYM,65720,America,NA,NA,NA,NA,NA,6.8
CYP,888005,Europe,9240,6.76976299,28869.64771,21.8,14.04826565,9
CZE,10693939,Europe,77200,7.64651203,23090.1165,26,19.80074484,7
DEU,83166711,Europe,349000,11.42995071,47875.99241,22.3,21.56299232,10.4
DJI,988002,Africa,23200,2.32438445,3048.589483,13.5,4.609063643,5.1
DMA,71991,America,750,6.59153605,7446.189645,27.9,NA,11.6
DNK,5822763,Europe,42000,10.0707159,61731.14666,19.7,19.96525913,8.3
DOM,10847904,America,48300,5.73298407,8050.650226,27.8,7.298389658,8.6
DZA,43851043,Africa,2380000,6.2184267,4114.697215,27.4,6.552777882,6.7
ECU,17643060,America,248000,8.13646507,6344.868212,19.9,7.372199367,5.5
EGY,102334403,Africa,995000,4.947577,2537.512252,32,5.276332976,17.2
ERI,3546427,Africa,101000,4.09255791,581.202019,5,NA,5.1
ESH,597330,Africa,NA,NA,NA,NA,NA,NA
ESP,47332614,Europe,5.00E+05,8.97741413,30480.08179,23.8,19.64782295,6.9
EST,1328976,Europe,43500,6.6878767,23220.6534,21.2,19.99180778,4.2
ETH,114963583,Africa,1.00E+06,3.29555655,735.114624,4.5,3.516690455,4.3
FIN,5525292,Europe,304000,9.037323,49966.98028,22.2,22.14064462,5.6
FJI,896444,Oceania,18300,3.42366552,6266.786013,30.2,5.624229594,14.7
FLK,3483,America,NA,NA,NA,NA,NA,NA
FRA,67320216,Europe,548000,11.25789452,41660.29559,21.6,20.39137028,4.8
FRO,48865,Europe,NA,NA,NA,NA,NA,4.7
FSM,115021,Oceania,700,12.59075356,3302.556818,45.8,4.192768967,11.9
GAB,2225728,Africa,258000,2.74503946,7955.026358,15,3.544727257,6
GBR,68059863,Europe,242000,9.99696255,43167.38808,27.8,18.50869564,3.9
GEO,3989175,Europe,69500,7.11329746,4396.651824,21.7,15.06105563,5.8
GGY,64468,Europe,NA,NA,NA,NA,NA,NA
GHA,31072945,Africa,228000,3.53888083,2201.583937,10.9,3.097322178,2.5
GIB,33691,Europe,NA,NA,NA,NA,NA,0
GIN,13132792,Africa,246000,3.93172431,974.5760608,7.7,2.94190559,2.4
GMB,2416664,Africa,10100,3.09379649,716.1243531,10.3,2.560925431,1.9
GNB,1967998,Africa,28100,6.99553871,761.83659,9.5,2.863260455,2.4
GNQ,1402985,Africa,28100,2.99830961,10482.53294,8,2.424508808,6
GRC,10718565,Europe,129000,7.71544075,20308.62401,24.9,21.94147013,4.7
GRD,112519,America,340,4.46386862,10630.52753,21.3,9.677419355,10.7
GRL,56772,America,NA,NA,NA,NA,NA,2.1
GTM,17915567,America,107000,5.70716429,4549.021975,21.2,4.928984331,10
GUM,168783,Oceania,NA,NA,NA,NA,10.18984542,18.7
GUY,786559,America,197000,5.93609333,4978.996384,20.2,6.711584305,11.6
HND,9904608,America,112000,7.04958153,2500.109818,21.4,4.828189524,7.3
HRV,4058165,Europe,56000,6.82702351,14855.99614,24.4,20.86013523,5.4
HTI,11402533,America,27600,7.69460344,834.9471764,22.7,5.063669546,6.7
HUN,9769526,Europe,90500,6.70007229,16146.13647,26.4,19.69445761,6.9
IDN,273523621,Asia,1810000,2.87053037,3890.497733,6.9,6.050302682,6.3
IMN,85032,Europe,NA,NA,NA,NA,NA,0
IND,1380004385,Asia,2970000,3.544245,2055.008419,3.9,6.377924156,10.4
IRL,4964440,Europe,68900,6.92870378,79222.18532,25.3,14.22283075,3.2
IRN,83992953,Asia,1630000,8.66168594,5591.135449,25.8,6.358522055,9.6
IRQ,40222503,Asia,434000,4.1062417,5830.466668,30.4,3.398533134,8.8
ISL,364134,Europe,1.00E+05,8.46930885,77112.92848,21.9,15.19212107,5.8
ISR,8655541,Asia,21600,7.51703548,44214.91174,26.1,12.20867441,9.7
ITA,59641488,Europe,294000,8.66763401,34484.56471,19.9,23.01213665,5
JAM,2961161,America,10800,6.06135607,5295.453913,24.7,8.922391673,11.3
JEY,107796,Europe,NA,NA,NA,NA,NA,NA
JOR,10203140,Asia,88800,7.79041338,4237.796235,35.5,3.893416292,12.7
JPN,126476458,Asia,365000,10.95338821,38952.2111,4.3,28.00204928,5.6
KAZ,18776707,Asia,2700000,2.92212725,9440.198613,21,7.652343941,6.1
KEN,53771300,Africa,569000,5.16729498,1710.474694,7.1,2.42382671,3.1
KGZ,6524191,Asia,192000,6.53458309,1312.036023,16.6,4.600294583,6.1
KHM,16718971,Asia,177000,6.02654314,1502.62403,3.9,4.717769196,6.4
KNA,53192,America,260,5.31148005,18687.66805,22.9,NA,13.3
KOR,51269183,Asia,97500,7.56259203,33623.63623,4.7,15.0601769,6.9
KWT,4270563,Asia,17800,4.99920797,34229.89047,37.9,2.763838983,12.2
LAO,7275556,Asia,231000,2.24630332,2542.486428,5.3,4.163984571,6.4
LBN,6825442,Asia,10200,8.35297012,8218.247953,32,7.273291633,11.2
LBR,5057677,Africa,96300,6.73955679,674.0025312,9.9,3.285693974,2.4
LBY,6871287,Africa,1760000,NA,NA,32.5,4.458238878,10.2
LCA,183629,America,610,4.39812708,10566.0697,19.7,10.03501286,11.6
LIE,38747,Europe,160,NA,NA,NA,NA,9.4
LKA,21413250,Asia,62700,3.75841475,4189.687941,5.2,10.83880576,10.7
LSO,2142252,Africa,30400,9.28354836,1344.202325,16.6,4.925825825,4.5
LTU,2794090,Europe,62600,6.56775236,19021.036,26.3,20.15841271,3.8
LUX,626108,Europe,2430,5.28587103,117806.2145,22.6,14.27494888,5
LVA,1907675,Europe,62200,6.18923044,17796.92159,23.6,20.336511,5
MAR,36910558,Africa,446000,5.31261539,3289.939672,26.1,7.300454771,7
MCO,33085,Europe,NA,1.59738493,185835.0157,NA,NA,2.9
MDA,4033963,Europe,32900,6.59544849,3229.050986,18.9,12.01311911,5.7
MDG,27691019,Africa,582000,4.78956461,460.370791,5.3,3.044064128,4.5
MDV,540542,Asia,300,9.41152477,10344.09324,8.6,3.641000239,9.2
MEX,128932753,America,1940000,5.37147474,9673.422569,28.9,7.416660604,13.5
MHL,59194,Oceania,180,17.55299377,3663.568041,52.9,NA,30.5
MKD,2076255,Europe,25200,6.58288956,6062.643006,22.4,14.08542237,9.3
MLI,20250834,Africa,1220000,3.8849268,899.6735639,8.6,2.495127818,2.4
