LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1970,12473.06662,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1971,12674.78301,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1972,11616.09376,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1973,11474.35447,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1974,10520.29358,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1975,9996.129186,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1976,8927.771646,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1977,8874.947793,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1978,8662.9471,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1979,8503.021342,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1980,8815.413386,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1981,9113.188219,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1982,9087.77181,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1983,8931.820209,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1984,8846.245541,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1985,8834.041199,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1986,9231.376703,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1987,9511.712583,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1988,9984.724749,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1989,10215.87691,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1990,10031.62257,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1991,10057.13556,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1992,9963.377501,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1993,9743.413363,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1994,9963.226866,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1995,10344.506,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1996,10696.25244,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1997,10976.87547,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1998,10950.91899,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,1999,11164.80379,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,2000,11552.16196,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,2001,12149.62499,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,2002,12005.65718,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,2003,12021.77311,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,2004,12087.04654,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,2005,12062.89335,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,2006,12590.87402,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,2007,13212.73158,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,2008,14276.38405,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,2009,15004.1416,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,2010,14992.79186,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,2011,15275.79363,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,2012,15568.96388,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,2013,15543.66784,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,2014,15571.08331,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,2015,16016.86065,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,2016,16503.75857,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,2017,17039.19373,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,2018,18020.93447,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,2019,18841.83167,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,2020,15053.00408,
AUS,PASSTRANSP,RAIL,MLN_PKM,A,2021,9327.630795,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1970,104205.8305,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1971,109610.4901,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1972,116154.537,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1973,120294.9989,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1974,127762.517,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1975,132701.6253,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1976,137556.2694,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1977,143460.2803,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1978,148114.9559,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1979,152116.7177,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1980,153095.8448,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1981,155857.7864,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1982,163510.5629,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1983,165265.4194,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1984,173548.6909,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1985,180955.2816,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1986,187053.9965,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1987,191812.3169,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1988,201488.6972,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1989,211273.2233,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1990,217782.8041,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1991,217525.2606,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1992,221074.1348,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1993,227315.3253,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1994,232453.5045,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1995,238963.4953,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1996,242627.1363,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1997,244104.3538,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1998,246481.4206,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,1999,251919.0681,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,2000,256806.0842,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,2001,254426.9018,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,2002,260519.1863,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,2003,267143.3819,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,2004,279135.625,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,2005,279904.6174,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,2006,275480.5284,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,2007,278956.6124,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,2008,280755.5115,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,2009,279946.6832,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,2010,281770.0865,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,2011,284788.7982,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,2012,287595.2007,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,2013,293369.3022,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,2014,297943.899,
AUS,PASSTRANSP,ROAD,MLN_PKM,A,2015,301444.6386,
