State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Alaska,2021,Cut/Pierce,--,"732,673",--,--,--
Alaska,2021,Drowning (includes water transport),37,"732,673",5.05,5.27,877
Alaska,2021,Fall,79,"732,673",10.78,13.29,408
Alaska,2021,Fire/Flame,23,"732,673",3.14,2.9,237
Alaska,2021,Hot object/Substance,--,"732,673",--,--,--
Alaska,2021,Firearm,182,"732,673",24.84,25.06,"5,036"
Alaska,2021,Machinery,--,"732,673",--,--,--
Alaska,2021,Natural/Environmental,36,"732,673",4.91,4.8,523
Alaska,2021,Drug Poisoning,260,"732,673",35.49,35.19,"6,263"
Alaska,2021,Non-Drug Poisoning,38,"732,673",5.19,5.08,735
Alaska,2021,Struck by / against,--,"732,673",--,--,--
Alaska,2021,Suffocation,75,"732,673",10.24,10.43,"2,191"
Alaska,2021,"Motor vehicle, traffic",84,"732,673",11.47,11.58,"2,054"
Alaska,2021,"Pedestrian, other",--,"732,673",--,--,--
Alaska,2021,"Transport, other land",11**,"732,673",1.50**,1.46**,232
Alaska,2021,"Transport, other (excl. drown by water transp)",--,"732,673",--,--,--
Alaska,2021,Other specified and classifiable,--,"732,673",--,--,--
Alaska,2021,Other specified / NEC,--,"732,673",--,--,--
Alaska,2021,Unspecified,21,"732,673",2.87,3.26,263
Alaska,2020,Cut/Pierce,15**,"732,441",2.05**,1.97**,277
Alaska,2020,Drowning (includes water transport),40,"732,441",5.46,5.27,987
Alaska,2020,Fall,66,"732,441",9.01,11.96,209
Alaska,2020,Fire/Flame,16**,"732,441",2.18**,2.23**,207
Alaska,2020,Firearm,175,"732,441",23.89,23.49,"4,743"
Alaska,2020,Machinery,--,"732,441",--,--,--
Alaska,2020,Natural/Environmental,33,"732,441",4.51,4.16,630
Alaska,2020,Drug Poisoning,160,"732,441",21.85,21.93,"3,916"
Alaska,2020,Non-Drug Poisoning,42,"732,441",5.73,5.73,798
Alaska,2020,Struck by / against,10**,"732,441",1.37**,1.23**,161
Alaska,2020,Suffocation,86,"732,441",11.74,12.37,"2,717"
Alaska,2020,"Motor vehicle, traffic",71,"732,441",9.69,9.59,"1,653"
Alaska,2020,"Pedal cyclist, other",--,"732,441",--,--,--
Alaska,2020,"Pedestrian, other",--,"732,441",--,--,--
Alaska,2020,"Transport, other land",11**,"732,441",1.50**,1.68**,384
Alaska,2020,"Transport, other (excl. drown by water transp)",14**,"732,441",1.91**,1.96**,216
Alaska,2020,Other specified and classifiable,--,"732,441",--,--,--
Alaska,2020,Other specified / NEC,--,"732,441",--,--,--
Alaska,2020,Unspecified,13**,"732,441",1.78**,1.81**,204
Alaska,2019,Cut/Pierce,13**,"733,603",1.77**,1.81**,348
Alaska,2019,Drowning (includes water transport),34,"733,603",4.64,4.41,836
Alaska,2019,Fall,68,"733,603",9.27,12,302
Alaska,2019,Fire/Flame,14**,"733,603",1.91**,1.66**,259
Alaska,2019,Firearm,179,"733,603",24.4,24.42,"4,831"
Alaska,2019,Machinery,--,"733,603",--,--,--
Alaska,2019,Natural/Environmental,19**,"733,603",2.59**,2.57**,397
Alaska,2019,Drug Poisoning,132,"733,603",17.99,17.59,"3,197"
Alaska,2019,Non-Drug Poisoning,43,"733,603",5.86,6.19,"1,108"
Alaska,2019,Struck by / against,--,"733,603",--,--,--
Alaska,2019,Suffocation,98,"733,603",13.36,14.23,"2,933"
Alaska,2019,"Motor vehicle, traffic",72,"733,603",9.82,9.78,"1,706"
Alaska,2019,"Pedal cyclist, other",--,"733,603",--,--,--
Alaska,2019,"Pedestrian, other",--,"733,603",--,--,--
Alaska,2019,"Transport, other land",21,"733,603",2.86,2.79,577
Alaska,2019,"Transport, other (excl. drown by water transp)",17**,"733,603",2.32**,2.15**,233
Alaska,2019,Other specified and classifiable,--,"733,603",--,--,--
Alaska,2019,Other specified / NEC,10**,"733,603",1.36**,1.36**,204
Alaska,2019,Unspecified,19**,"733,603",2.59**,2.86**,294
Alaska,2018,Cut/Pierce,14**,"736,624",1.90**,1.83**,283
Alaska,2018,Drowning (includes water transport),51,"736,624",6.92,6.41,921
Alaska,2018,Fall,47,"736,624",6.38,8.12,283
Alaska,2018,Fire/Flame,12**,"736,624",1.63**,1.58**,268
Alaska,2018,Hot object/Substance,--,"736,624",--,--,--
Alaska,2018,Firearm,155,"736,624",21.04,20.76,"4,186"
Alaska,2018,Machinery,--,"736,624",--,--,--
Alaska,2018,Natural/Environmental,16**,"736,624",2.17**,2.52**,250
Alaska,2018,Drug Poisoning,110,"736,624",14.93,14.48,"2,458"
Alaska,2018,Non-Drug Poisoning,54,"736,624",7.33,7.73,"1,039"
Alaska,2018,Struck by / against,--,"736,624",--,--,--
Alaska,2018,Suffocation,76,"736,624",10.32,10.42,"2,314"
Alaska,2018,"Motor vehicle, traffic",82,"736,624",11.13,10.85,"2,062"
Alaska,2018,"Pedal cyclist, other",--,"736,624",--,--,--
Alaska,2018,"Pedestrian, other",--,"736,624",--,--,--
Alaska,2018,"Transport, other land",13**,"736,624",1.77**,1.68**,274
Alaska,2018,"Transport, other (excl. drown by water transp)",17**,"736,624",2.31**,2.23**,322
Alaska,2018,Other specified and classifiable,--,"736,624",--,--,--
Alaska,2018,Other specified / NEC,--,"736,624",--,--,--
Alaska,2018,Unspecified,13**,"736,624",1.77**,1.93**,152
Alaska,2017,Cut/Pierce,19**,"740,983",2.56**,2.55**,471
Alaska,2017,Drowning (includes water transport),40,"740,983",5.4,5,"1,014"
Alaska,2017,Fall,69,"740,983",9.31,12.55,476
Alaska,2017,Fire/Flame,18**,"740,983",2.43**,2.46**,601
Alaska,2017,Firearm,180,"740,983",24.29,24.51,"4,923"
Alaska,2017,Natural/Environmental,28,"740,983",3.78,3.74,728
Alaska,2017,Drug Poisoning,147,"740,983",19.84,20.21,"3,418"
Alaska,2017,Non-Drug Poisoning,36,"740,983",4.86,5.11,876
Alaska,2017,Struck by / against,--,"740,983",--,--,--
Alaska,2017,Suffocation,75,"740,983",10.12,10.27,"2,305"
Alaska,2017,"Motor vehicle, traffic",85,"740,983",11.47,11.8,"2,119"
Alaska,2017,"Pedestrian, other",--,"740,983",--,--,--
Alaska,2017,"Transport, other land",15**,"740,983",2.02**,2.20**,304
Alaska,2017,"Transport, other (excl. drown by water transp)",--,"740,983",--,--,--
Alaska,2017,Other specified and classifiable,--,"740,983",--,--,--
Alaska,2017,Other specified / NEC,--,"740,983",--,--,--
Alaska,2017,Unspecified,17**,"740,983",2.29**,2.58**,245
Alaska,2016,Cut/Pierce,--,"742,575",--,--,--
Alaska,2016,Drowning (includes water transport),50,"742,575",6.73,7.04,"1,270"
Alaska,2016,Fall,79,"742,575",10.64,14.93,552
Alaska,2016,Fire/Flame,14**,"742,575",1.89**,2.04**,287
Alaska,2016,Firearm,177,"742,575",23.84,23,"5,390"
Alaska,2016,Natural/Environmental,20**,"742,575",2.69**,2.44**,329
Alaska,2016,Drug Poisoning,128,"742,575",17.24,16.72,"3,126"
Alaska,2016,Non-Drug Poisoning,34,"742,575",4.58,4.46,730
Alaska,2016,Struck by / against,--,"742,575",--,--,--
Alaska,2016,Suffocation,68,"742,575",9.16,10.05,"2,049"
Alaska,2016,"Motor vehicle, traffic",86,"742,575",11.58,11.43,"2,169"
Alaska,2016,"Pedal cyclist, other",--,"742,575",--,--,--
Alaska,2016,"Pedestrian, other",--,"742,575",--,--,--
Alaska,2016,"Transport, other land",11**,"742,575",1.48**,1.48**,258
Alaska,2016,"Transport, other (excl. drown by water transp)",24,"742,575",3.23,3.26,536
Alaska,2016,Other specified and classifiable,--,"742,575",--,--,--
Alaska,2016,Other specified / NEC,--,"742,575",--,--,--
Alaska,2016,Unspecified,10**,"742,575",1.35**,1.32**,150
Alaska,2015,Cut/Pierce,--,"738,430",--,--,--
Alaska,2015,Drowning (includes water transport),44,"738,430",5.96,5.83,"1,176"
Alaska,2015,Fall,54,"738,430",7.31,10.96,336
Alaska,2015,Fire/Flame,15**,"738,430",2.03**,2.47**,308
Alaska,2015,Firearm,177,"738,430",23.97,23.46,"5,151"
Alaska,2015,Machinery,--,"738,430",--,--,--
Alaska,2015,Natural/Environmental,21,"738,430",2.84,2.47,357
Alaska,2015,Drug Poisoning,122,"738,430",16.52,15.57,"3,074"
Alaska,2015,Non-Drug Poisoning,43,"738,430",5.82,6.12,993
Alaska,2015,Struck by / against,--,"738,430",--,--,--
Alaska,2015,Suffocation,83,"738,430",11.24,12.19,"2,427"
Alaska,2015,"Motor vehicle, traffic",59,"738,430",7.99,8.61,"1,464"
Alaska,2015,"Pedal cyclist, other",--,"738,430",--,--,--
Alaska,2015,"Pedestrian, other",--,"738,430",--,--,--
Alaska,2015,"Transport, other land",12**,"738,430",1.63**,1.51**,255
Alaska,2015,"Transport, other (excl. drown by water transp)",--,"738,430",--,--,--
Alaska,2015,Other specified and classifiable,--,"738,430",--,--,--
Alaska,2015,Other specified / NEC,--,"738,430",--,--,--
Alaska,2015,Unspecified,12**,"738,430",1.63**,2.08**,125
Alaska,2014,Cut/Pierce,10**,"737,075",1.36**,1.36**,238
Alaska,2014,Drowning (includes water transport),43,"737,075",5.83,5.64,"1,030"
Alaska,2014,Fall,36,"737,075",4.88,6.4,393
Alaska,2014,Fire/Flame,14**,"737,075",1.90**,1.95**,119
Alaska,2014,Firearm,145,"737,075",19.67,19.08,"3,723"
Alaska,2014,Machinery,--,"737,075",--,--,--
