State,Year,Mechanism,Race,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Alabama,2020,Cut/Pierce,White,24,"3,445,489",0.7,0.69,574
Alabama,2020,Cut/Pierce,Black,24,"1,350,111",1.78,1.77,521
Alabama,2020,Cut/Pierce,Asian / HI Native / Pac. Islander,--,"87,585",--,--,--
Alabama,2020,Drowning (includes water transport),White,59,"3,445,489",1.71,1.7,"1,283"
Alabama,2020,Drowning (includes water transport),Black,16**,"1,350,111",1.19**,1.26**,496
Alabama,2020,Drowning (includes water transport),American Indian / Alaska Native,--,"38,347",--,--,--
Alabama,2020,Drowning (includes water transport),Asian / HI Native / Pac. Islander,--,"87,585",--,--,--
Alabama,2020,Fall,White,272,"3,445,489",7.89,5.61,588
Alabama,2020,Fall,Black,33,"1,350,111",2.44,2.59,295
Alabama,2020,Fall,Asian / HI Native / Pac. Islander,--,"87,585",--,--,--
Alabama,2020,Fire/Flame,White,75,"3,445,489",2.18,1.92,"1,078"
Alabama,2020,Fire/Flame,Black,39,"1,350,111",2.89,2.9,436
Alabama,2020,Fire/Flame,Asian / HI Native / Pac. Islander,--,"87,585",--,--,--
Alabama,2020,Hot object/Substance,Black,--,"1,350,111",--,--,--
Alabama,2020,Firearm,White,638,"3,445,489",18.52,18.02,"12,377"
Alabama,2020,Firearm,Black,494,"1,350,111",36.59,36.2,"16,124"
Alabama,2020,Firearm,American Indian / Alaska Native,--,"38,347",--,--,--
Alabama,2020,Firearm,Asian / HI Native / Pac. Islander,--,"87,585",--,--,--
Alabama,2020,Machinery,White,11**,"3,445,489",0.32**,0.25**,92
Alabama,2020,Machinery,Black,--,"1,350,111",--,--,--
Alabama,2020,Natural/Environmental,White,28,"3,445,489",0.81,0.77,542
Alabama,2020,Natural/Environmental,Black,15**,"1,350,111",1.11**,1.20**,131
Alabama,2020,Drug Poisoning,White,774,"3,445,489",22.46,24.49,"17,782"
Alabama,2020,Drug Poisoning,Black,248,"1,350,111",18.37,19.05,"5,885"
Alabama,2020,Drug Poisoning,American Indian / Alaska Native,--,"38,347",--,--,--
Alabama,2020,Drug Poisoning,Asian / HI Native / Pac. Islander,--,"87,585",--,--,--
Alabama,2020,Non-Drug Poisoning,White,61,"3,445,489",1.77,1.63,928
Alabama,2020,Non-Drug Poisoning,Black,13**,"1,350,111",0.96**,0.96**,198
Alabama,2020,Struck by / against,White,20**,"3,445,489",0.58**,0.55**,412
Alabama,2020,Struck by / against,Black,--,"1,350,111",--,--,--
Alabama,2020,Suffocation,White,219,"3,445,489",6.36,6.58,"5,222"
Alabama,2020,Suffocation,Black,64,"1,350,111",4.74,4.7,"1,713"
Alabama,2020,Suffocation,American Indian / Alaska Native,--,"38,347",--,--,--
Alabama,2020,Suffocation,Asian / HI Native / Pac. Islander,--,"87,585",--,--,--
Alabama,2020,"Motor vehicle, traffic",White,653,"3,445,489",18.95,18.8,"14,377"
Alabama,2020,"Motor vehicle, traffic",Black,288,"1,350,111",21.33,20.93,"7,550"
Alabama,2020,"Motor vehicle, traffic",American Indian / Alaska Native,--,"38,347",--,--,--
Alabama,2020,"Motor vehicle, traffic",Asian / HI Native / Pac. Islander,--,"87,585",--,--,--
Alabama,2020,"Pedal cyclist, other",White,--,"3,445,489",--,--,--
Alabama,2020,"Pedestrian, other",White,14**,"3,445,489",0.41**,0.40**,372
Alabama,2020,"Pedestrian, other",Black,--,"1,350,111",--,--,--
Alabama,2020,"Pedestrian, other",Asian / HI Native / Pac. Islander,--,"87,585",--,--,--
Alabama,2020,"Transport, other land",White,18**,"3,445,489",0.52**,0.50**,367
Alabama,2020,"Transport, other land",Black,--,"1,350,111",--,--,--
Alabama,2020,"Transport, other (excl. drown by water transp)",White,10**,"3,445,489",0.29**,0.30**,206
Alabama,2020,Other specified and classifiable,White,15**,"3,445,489",0.44**,0.45**,352
Alabama,2020,Other specified and classifiable,Black,--,"1,350,111",--,--,--
Alabama,2020,Other specified / NEC,White,14**,"3,445,489",0.41**,0.36**,151
Alabama,2020,Other specified / NEC,Black,--,"1,350,111",--,--,--
Alabama,2020,Unspecified,White,215,"3,445,489",6.24,4.71,"1,015"
Alabama,2020,Unspecified,Black,72,"1,350,111",5.33,5.37,"1,270"
Alabama,2020,Unspecified,American Indian / Alaska Native,--,"38,347",--,--,--
Alabama,2020,Unspecified,Asian / HI Native / Pac. Islander,--,"87,585",--,--,--
Alabama,2019,Cut/Pierce,White,19**,"3,438,711",0.55**,0.57**,413
Alabama,2019,Cut/Pierce,Black,22,"1,345,267",1.64,1.64,510
Alabama,2019,Cut/Pierce,Asian / HI Native / Pac. Islander,--,"86,288",--,--,--
Alabama,2019,Drowning (includes water transport),White,75,"3,438,711",2.18,2.18,"2,044"
Alabama,2019,Drowning (includes water transport),Black,22,"1,345,267",1.64,1.67,775
Alabama,2019,Drowning (includes water transport),Asian / HI Native / Pac. Islander,--,"86,288",--,--,--
Alabama,2019,Fall,White,260,"3,438,711",7.56,5.48,719
Alabama,2019,Fall,Black,39,"1,345,267",2.9,3.13,116
Alabama,2019,Fire/Flame,White,63,"3,438,711",1.83,1.68,"1,007"
Alabama,2019,Fire/Flame,Black,30,"1,345,267",2.23,2.24,487
Alabama,2019,Firearm,White,641,"3,438,711",18.64,17.88,"11,742"
Alabama,2019,Firearm,Black,424,"1,345,267",31.52,31.61,"13,671"
Alabama,2019,Firearm,American Indian / Alaska Native,--,"37,699",--,--,--
Alabama,2019,Firearm,Asian / HI Native / Pac. Islander,--,"86,288",--,--,--
Alabama,2019,Machinery,White,--,"3,438,711",--,--,--
Alabama,2019,Machinery,Black,--,"1,345,267",--,--,--
Alabama,2019,Natural/Environmental,White,41,"3,438,711",1.19,1.09,736
Alabama,2019,Natural/Environmental,Black,20**,"1,345,267",1.49**,1.52**,249
Alabama,2019,Overexertion,White,--,"3,438,711",--,--,--
Alabama,2019,Drug Poisoning,White,637,"3,438,711",18.52,19.7,"14,160"
Alabama,2019,Drug Poisoning,Black,123,"1,345,267",9.14,9.35,"2,904"
Alabama,2019,Drug Poisoning,American Indian / Alaska Native,--,"37,699",--,--,--
Alabama,2019,Drug Poisoning,Asian / HI Native / Pac. Islander,--,"86,288",--,--,--
Alabama,2019,Non-Drug Poisoning,White,49,"3,438,711",1.43,1.52,856
Alabama,2019,Non-Drug Poisoning,Black,10**,"1,345,267",0.74**,0.74**,291
Alabama,2019,Struck by / against,White,22,"3,438,711",0.64,0.59,417
Alabama,2019,Struck by / against,Black,--,"1,345,267",--,--,--
Alabama,2019,Suffocation,White,257,"3,438,711",7.47,7.62,"5,975"
Alabama,2019,Suffocation,Black,40,"1,345,267",2.97,3.12,"1,162"
Alabama,2019,Suffocation,American Indian / Alaska Native,--,"37,699",--,--,--
Alabama,2019,Suffocation,Asian / HI Native / Pac. Islander,--,"86,288",--,--,--
Alabama,2019,"Motor vehicle, traffic",White,692,"3,438,711",20.12,20.03,"15,583"
Alabama,2019,"Motor vehicle, traffic",Black,277,"1,345,267",20.59,20.19,"6,543"
Alabama,2019,"Motor vehicle, traffic",American Indian / Alaska Native,--,"37,699",--,--,--
Alabama,2019,"Motor vehicle, traffic",Asian / HI Native / Pac. Islander,--,"86,288",--,--,--
Alabama,2019,"Pedal cyclist, other",White,--,"3,438,711",--,--,--
Alabama,2019,"Pedestrian, other",White,10**,"3,438,711",0.29**,0.26**,180
Alabama,2019,"Pedestrian, other",Black,--,"1,345,267",--,--,--
Alabama,2019,"Transport, other land",White,27,"3,438,711",0.79,0.75,728
Alabama,2019,"Transport, other land",Black,--,"1,345,267",--,--,--
Alabama,2019,"Transport, other land",American Indian / Alaska Native,--,"37,699",--,--,--
Alabama,2019,"Transport, other land",Asian / HI Native / Pac. Islander,--,"86,288",--,--,--
Alabama,2019,"Transport, other (excl. drown by water transp)",White,--,"3,438,711",--,--,--
Alabama,2019,"Transport, other (excl. drown by water transp)",Black,--,"1,345,267",--,--,--
Alabama,2019,Other specified and classifiable,White,17**,"3,438,711",0.49**,0.55**,434
Alabama,2019,Other specified and classifiable,Black,16**,"1,345,267",1.19**,1.28**,318
Alabama,2019,Other specified / NEC,White,16**,"3,438,711",0.47**,0.38**,187
Alabama,2019,Other specified / NEC,Black,14**,"1,345,267",1.04**,1.05**,332
Alabama,2019,Other specified / NEC,American Indian / Alaska Native,--,"37,699",--,--,--
Alabama,2019,Unspecified,White,204,"3,438,711",5.93,4.56,"1,192"
Alabama,2019,Unspecified,Black,58,"1,345,267",4.31,4.34,672
Alabama,2019,Unspecified,American Indian / Alaska Native,--,"37,699",--,--,--
Alabama,2019,Unspecified,Asian / HI Native / Pac. Islander,--,"86,288",--,--,--
Alabama,2018,Cut/Pierce,White,29,"3,429,267",0.85,0.74,401
Alabama,2018,Cut/Pierce,Black,25,"1,340,474",1.87,1.75,637
Alabama,2018,Drowning (includes water transport),White,42,"3,429,267",1.23,1.18,"1,125"
Alabama,2018,Drowning (includes water transport),Black,28,"1,340,474",2.09,2.08,924
Alabama,2018,Drowning (includes water transport),American Indian / Alaska Native,--,"37,220",--,--,--
Alabama,2018,Drowning (includes water transport),Asian / HI Native / Pac. Islander,--,"84,667",--,--,--
Alabama,2018,Fall,White,243,"3,429,267",7.09,5.26,744
Alabama,2018,Fall,Black,28,"1,340,474",2.09,2.18,203
Alabama,2018,Fall,American Indian / Alaska Native,--,"37,220",--,--,--
Alabama,2018,Fall,Asian / HI Native / Pac. Islander,--,"84,667",--,--,--
Alabama,2018,Fire/Flame,White,64,"3,429,267",1.87,1.69,839
Alabama,2018,Fire/Flame,Black,25,"1,340,474",1.87,1.81,593
Alabama,2018,Hot object/Substance,White,--,"3,429,267",--,--,--
Alabama,2018,Hot object/Substance,Black,--,"1,340,474",--,--,--
Alabama,2018,Firearm,White,646,"3,429,267",18.84,17.98,"12,383"
Alabama,2018,Firearm,Black,409,"1,340,474",30.51,29.93,"13,588"
Alabama,2018,Firearm,American Indian / Alaska Native,--,"37,220",--,--,--
Alabama,2018,Firearm,Asian / HI Native / Pac. Islander,--,"84,667",--,--,--
Alabama,2018,Machinery,White,10**,"3,429,267",0.29**,0.23**,130
Alabama,2018,Machinery,Black,--,"1,340,474",--,--,--
Alabama,2018,Machinery,American Indian / Alaska Native,--,"37,220",--,--,--
Alabama,2018,Natural/Environmental,White,24,"3,429,267",0.7,0.53,243
Alabama,2018,Natural/Environmental,Black,13**,"1,340,474",0.97**,0.96**,208
Alabama,2018,Natural/Environmental,Asian / HI Native / Pac. Islander,--,"84,667",--,--,--
Alabama,2018,Drug Poisoning,White,638,"3,429,267",18.61,19.76,"14,396"
Alabama,2018,Drug Poisoning,Black,128,"1,340,474",9.55,9.84,"2,874"
Alabama,2018,Drug Poisoning,American Indian / Alaska Native,--,"37,220",--,--,--
Alabama,2018,Drug Poisoning,Asian / HI Native / Pac. Islander,--,"84,667",--,--,--
Alabama,2018,Non-Drug Poisoning,White,55,"3,429,267",1.6,1.57,"1,030"
Alabama,2018,Non-Drug Poisoning,Black,12**,"1,340,474",0.90**,0.92**,156
Alabama,2018,Struck by / against,White,13**,"3,429,267",0.38**,0.31**,124
Alabama,2018,Struck by / against,Black,--,"1,340,474",--,--,--
Alabama,2018,Suffocation,White,237,"3,429,267",6.91,7.18,"5,453"
Alabama,2018,Suffocation,Black,58,"1,340,474",4.33,4.4,"1,557"
Alabama,2018,Suffocation,American Indian / Alaska Native,--,"37,220",--,--,--
Alabama,2018,Suffocation,Asian / HI Native / Pac. Islander,--,"84,667",--,--,--
Alabama,2018,"Motor vehicle, traffic",White,708,"3,429,267",20.65,20.1,"15,137"
Alabama,2018,"Motor vehicle, traffic",Black,314,"1,340,474",23.43,23.41,"8,086"
Alabama,2018,"Motor vehicle, traffic",American Indian / Alaska Native,--,"37,220",--,--,--
Alabama,2018,"Motor vehicle, traffic",Asian / HI Native / Pac. Islander,--,"84,667",--,--,--
Alabama,2018,"Pedal cyclist, other",White,--,"3,429,267",--,--,--
Alabama,2018,"Pedal cyclist, other",Black,--,"1,340,474",--,--,--
Alabama,2018,"Pedestrian, other",White,11**,"3,429,267",0.32**,0.34**,280
Alabama,2018,"Pedestrian, other",Black,--,"1,340,474",--,--,--
Alabama,2018,"Pedestrian, other",American Indian / Alaska Native,--,"37,220",--,--,--
Alabama,2018,"Transport, other land",White,28,"3,429,267",0.82,0.71,378
Alabama,2018,"Transport, other land",Black,--,"1,340,474",--,--,--
Alabama,2018,"Transport, other (excl. drown by water transp)",White,--,"3,429,267",--,--,--
Alabama,2018,Other specified and classifiable,White,15**,"3,429,267",0.44**,0.44**,426
Alabama,2018,Other specified and classifiable,Black,--,"1,340,474",--,--,--
Alabama,2018,Other specified / NEC,White,14**,"3,429,267",0.41**,0.35**,170
Alabama,2018,Other specified / NEC,Black,--,"1,340,474",--,--,--
Alabama,2018,Other specified / NEC,American Indian / Alaska Native,--,"37,220",--,--,--
Alabama,2018,Unspecified,White,200,"3,429,267",5.83,4.49,962
Alabama,2018,Unspecified,Black,50,"1,340,474",3.73,3.9,720
Alabama,2018,Unspecified,Asian / HI Native / Pac. Islander,--,"84,667",--,--,--
Alabama,2017,Cut/Pierce,White,22,"3,422,931",0.64,0.63,426
Alabama,2017,Cut/Pierce,Black,16**,"1,335,123",1.20**,1.28**,350
Alabama,2017,Cut/Pierce,Asian / HI Native / Pac. Islander,--,"83,101",--,--,--
Alabama,2017,Drowning (includes water transport),White,64,"3,422,931",1.87,1.81,"1,416"
Alabama,2017,Drowning (includes water transport),Black,22,"1,335,123",1.65,1.59,540
Alabama,2017,Drowning (includes water transport),Asian / HI Native / Pac. Islander,--,"83,101",--,--,--
Alabama,2017,Fall,White,225,"3,422,931",6.57,5.02,938
Alabama,2017,Fall,Black,27,"1,335,123",2.02,2.14,187
Alabama,2017,Fall,Asian / HI Native / Pac. Islander,--,"83,101",--,--,--
Alabama,2017,Fire/Flame,White,46,"3,422,931",1.34,1.07,443
Alabama,2017,Fire/Flame,Black,27,"1,335,123",2.02,1.97,377
Alabama,2017,Fire/Flame,American Indian / Alaska Native,--,"36,834",--,--,--
Alabama,2017,Hot object/Substance,White,--,"3,422,931",--,--,--
Alabama,2017,Firearm,White,682,"3,422,931",19.92,18.79,"11,903"
Alabama,2017,Firearm,Black,433,"1,335,123",32.43,31.57,"14,410"
Alabama,2017,Firearm,Asian / HI Native / Pac. Islander,--,"83,101",--,--,--
Alabama,2017,Machinery,White,11**,"3,422,931",0.32**,0.26**,125
Alabama,2017,Machinery,Black,--,"1,335,123",--,--,--
Alabama,2017,Natural/Environmental,White,25,"3,422,931",0.73,0.6,330
Alabama,2017,Natural/Environmental,Black,--,"1,335,123",--,--,--
Alabama,2017,Natural/Environmental,Asian / HI Native / Pac. Islander,--,"83,101",--,--,--
Alabama,2017,Drug Poisoning,White,705,"3,422,931",20.6,21.91,"16,603"
Alabama,2017,Drug Poisoning,Black,127,"1,335,123",9.51,10.06,"3,130"
Alabama,2017,Drug Poisoning,American Indian / Alaska Native,--,"36,834",--,--,--
Alabama,2017,Drug Poisoning,Asian / HI Native / Pac. Islander,--,"83,101",--,--,--
Alabama,2017,Non-Drug Poisoning,White,43,"3,422,931",1.26,1.37,995
Alabama,2017,Non-Drug Poisoning,Black,--,"1,335,123",--,--,--
Alabama,2017,Struck by / against,White,15**,"3,422,931",0.44**,0.39**,225
Alabama,2017,Struck by / against,Black,--,"1,335,123",--,--,--
Alabama,2017,Suffocation,White,257,"3,422,931",7.51,7.23,"4,989"
Alabama,2017,Suffocation,Black,57,"1,335,123",4.27,4.38,"1,491"
Alabama,2017,Suffocation,Asian / HI Native / Pac. Islander,--,"83,101",--,--,--
Alabama,2017,"Motor vehicle, traffic",White,733,"3,422,931",21.41,21.05,"16,099"
Alabama,2017,"Motor vehicle, traffic",Black,267,"1,335,123",20,19.58,"6,774"
Alabama,2017,"Motor vehicle, traffic",American Indian / Alaska Native,--,"36,834",--,--,--
Alabama,2017,"Motor vehicle, traffic",Asian / HI Native / Pac. Islander,--,"83,101",--,--,--
Alabama,2017,"Pedal cyclist, other",White,--,"3,422,931",--,--,--
Alabama,2017,"Pedestrian, other",White,--,"3,422,931",--,--,--
Alabama,2017,"Pedestrian, other",Black,--,"1,335,123",--,--,--
Alabama,2017,"Transport, other land",White,14**,"3,422,931",0.41**,0.43**,446
Alabama,2017,"Transport, other land",Black,--,"1,335,123",--,--,--
Alabama,2017,"Transport, other (excl. drown by water transp)",White,--,"3,422,931",--,--,--
Alabama,2017,Other specified and classifiable,White,23,"3,422,931",0.67,0.7,608
Alabama,2017,Other specified and classifiable,Black,--,"1,335,123",--,--,--
Alabama,2017,Other specified / NEC,White,17**,"3,422,931",0.50**,0.40**,178
Alabama,2017,Other specified / NEC,Black,--,"1,335,123",--,--,--
Alabama,2017,Other specified / NEC,Asian / HI Native / Pac. Islander,--,"83,101",--,--,--
Alabama,2017,Unspecified,White,201,"3,422,931",5.87,4.76,"1,143"
Alabama,2017,Unspecified,Black,59,"1,335,123",4.42,4.38,"1,108"
Alabama,2017,Unspecified,American Indian / Alaska Native,--,"36,834",--,--,--
Alabama,2017,Unspecified,Asian / HI Native / Pac. Islander,--,"83,101",--,--,--
Alabama,2016,Cut/Pierce,White,25,"3,419,646",0.73,0.7,503
Alabama,2016,Cut/Pierce,Black,24,"1,329,793",1.81,1.93,561
Alabama,2016,Drowning (includes water transport),White,67,"3,419,646",1.96,1.88,"1,540"
Alabama,2016,Drowning (includes water transport),Black,19**,"1,329,793",1.43**,1.53**,681
Alabama,2016,Drowning (includes water transport),Asian / HI Native / Pac. Islander,--,"80,802",--,--,--
Alabama,2016,Fall,White,223,"3,419,646",6.52,4.96,748
Alabama,2016,Fall,Black,27,"1,329,793",2.03,2.2,190
Alabama,2016,Fall,Asian / HI Native / Pac. Islander,--,"80,802",--,--,--
Alabama,2016,Fire/Flame,White,59,"3,419,646",1.73,1.52,808
Alabama,2016,Fire/Flame,Black,43,"1,329,793",3.23,3.29,791
Alabama,2016,Fire/Flame,Asian / HI Native / Pac. Islander,--,"80,802",--,--,--
Alabama,2016,Firearm,White,663,"3,419,646",19.39,18.55,"12,290"
Alabama,2016,Firearm,Black,377,"1,329,793",28.35,27.49,"12,695"
Alabama,2016,Firearm,American Indian / Alaska Native,--,"36,583",--,--,--
Alabama,2016,Firearm,Asian / HI Native / Pac. Islander,--,"80,802",--,--,--
Alabama,2016,Machinery,White,15**,"3,419,646",0.44**,0.37**,137
Alabama,2016,Machinery,Black,--,"1,329,793",--,--,--
Alabama,2016,Natural/Environmental,White,25,"3,419,646",0.73,0.64,393
Alabama,2016,Natural/Environmental,Black,--,"1,329,793",--,--,--
Alabama,2016,Drug Poisoning,White,649,"3,419,646",18.98,20.03,"15,278"
Alabama,2016,Drug Poisoning,Black,102,"1,329,793",7.67,7.98,"2,349"
Alabama,2016,Drug Poisoning,American Indian / Alaska Native,--,"36,583",--,--,--
Alabama,2016,Drug Poisoning,Asian / HI Native / Pac. Islander,--,"80,802",--,--,--
Alabama,2016,Non-Drug Poisoning,White,55,"3,419,646",1.61,1.58,"1,122"
Alabama,2016,Non-Drug Poisoning,Black,20**,"1,329,793",1.50**,1.50**,235
Alabama,2016,Non-Drug Poisoning,Asian / HI Native / Pac. Islander,--,"80,802",--,--,--
Alabama,2016,Struck by / against,White,14**,"3,419,646",0.41**,0.40**,246
Alabama,2016,Struck by / against,Black,--,"1,329,793",--,--,--
Alabama,2016,Suffocation,White,223,"3,419,646",6.52,6.37,"4,820"
Alabama,2016,Suffocation,Black,48,"1,329,793",3.61,3.86,"1,188"
Alabama,2016,Suffocation,Asian / HI Native / Pac. Islander,--,"80,802",--,--,--
Alabama,2016,"Motor vehicle, traffic",White,808,"3,419,646",23.63,23.85,"19,069"
Alabama,2016,"Motor vehicle, traffic",Black,307,"1,329,793",23.09,23.28,"8,078"
Alabama,2016,"Motor vehicle, traffic",American Indian / Alaska Native,--,"36,583",--,--,--
Alabama,2016,"Motor vehicle, traffic",Asian / HI Native / Pac. Islander,10**,"80,802",12.38**,10.95**,316
Alabama,2016,"Pedestrian, other",White,--,"3,419,646",--,--,--
Alabama,2016,"Pedestrian, other",Black,--,"1,329,793",--,--,--
Alabama,2016,"Transport, other land",White,23,"3,419,646",0.67,0.65,567
Alabama,2016,"Transport, other land",Black,--,"1,329,793",--,--,--
Alabama,2016,"Transport, other (excl. drown by water transp)",White,--,"3,419,646",--,--,--
Alabama,2016,Other specified and classifiable,White,15**,"3,419,646",0.44**,0.45**,333
Alabama,2016,Other specified and classifiable,Black,--,"1,329,793",--,--,--
Alabama,2016,Other specified and classifiable,Asian / HI Native / Pac. Islander,--,"80,802",--,--,--
Alabama,2016,Other specified / NEC,White,--,"3,419,646",--,--,--
Alabama,2016,Other specified / NEC,Black,--,"1,329,793",--,--,--
Alabama,2016,Unspecified,White,189,"3,419,646",5.53,4.54,"1,200"
Alabama,2016,Unspecified,Black,44,"1,329,793",3.31,3.55,671
Alabama,2015,Cut/Pierce,White,19**,"3,416,267",0.56**,0.51**,305
Alabama,2015,Cut/Pierce,Black,22,"1,324,193",1.66,1.85,518
Alabama,2015,Drowning (includes water transport),White,67,"3,416,267",1.96,1.97,"1,787"
Alabama,2015,Drowning (includes water transport),Black,21,"1,324,193",1.59,1.55,546
