State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Alabama,2021,Cut/Pierce,48,"5,039,877",0.95,1,"1,009"
Alabama,2021,Drowning (includes water transport),82,"5,039,877",1.63,1.59,"1,924"
Alabama,2021,Fall,321,"5,039,877",6.37,5.43,"1,382"
Alabama,2021,Fire/Flame,113,"5,039,877",2.24,1.89,"1,208"
Alabama,2021,Hot object/Substance,--,"5,039,877",--,--,--
Alabama,2021,Firearm,"1,315","5,039,877",26.09,26.29,"34,236"
Alabama,2021,Machinery,12**,"5,039,877",0.24**,0.21**,160
Alabama,2021,Natural/Environmental,34,"5,039,877",0.68,0.56,504
Alabama,2021,Drug Poisoning,"1,408","5,039,877",27.94,30.1,"33,079"
Alabama,2021,Non-Drug Poisoning,79,"5,039,877",1.57,1.59,"1,500"
Alabama,2021,Struck by / against,24,"5,039,877",0.48,0.42,371
Alabama,2021,Suffocation,249,"5,039,877",4.94,5.02,"5,325"
Alabama,2021,"Motor vehicle, traffic","1,035","5,039,877",20.54,20.47,"24,244"
Alabama,2021,"Pedal cyclist, other",--,"5,039,877",--,--,--
Alabama,2021,"Pedestrian, other",19**,"5,039,877",0.38**,0.37**,390
Alabama,2021,"Transport, other land",22,"5,039,877",0.44,0.41,450
Alabama,2021,"Transport, other (excl. drown by water transp)",--,"5,039,877",--,--,--
Alabama,2021,Other specified and classifiable,29,"5,039,877",0.58,0.55,598
Alabama,2021,Other specified / NEC,28,"5,039,877",0.56,0.56,526
Alabama,2021,Unspecified,334,"5,039,877",6.63,5.93,"3,038"
Alabama,2020,Cut/Pierce,49,"5,024,803",0.98,0.97,"1,120"
Alabama,2020,Drowning (includes water transport),78,"5,024,803",1.55,1.55,"1,871"
Alabama,2020,Fall,308,"5,024,803",6.13,5.14,917
Alabama,2020,Fire/Flame,116,"5,024,803",2.31,2.08,"1,514"
Alabama,2020,Hot object/Substance,--,"5,024,803",--,--,--
Alabama,2020,Firearm,"1,141","5,024,803",22.71,23.05,"28,718"
Alabama,2020,Machinery,15**,"5,024,803",0.30**,0.28**,212
Alabama,2020,Natural/Environmental,43,"5,024,803",0.86,0.81,673
Alabama,2020,Drug Poisoning,"1,029","5,024,803",20.48,21.84,"23,855"
Alabama,2020,Non-Drug Poisoning,74,"5,024,803",1.47,1.37,"1,126"
Alabama,2020,Struck by / against,27,"5,024,803",0.54,0.51,515
Alabama,2020,Suffocation,290,"5,024,803",5.77,5.9,"7,108"
Alabama,2020,"Motor vehicle, traffic",952,"5,024,803",18.95,18.81,"22,274"
Alabama,2020,"Pedal cyclist, other",--,"5,024,803",--,--,--
Alabama,2020,"Pedestrian, other",20**,"5,024,803",0.40**,0.38**,477
Alabama,2020,"Transport, other land",23,"5,024,803",0.46,0.45,504
Alabama,2020,"Transport, other (excl. drown by water transp)",10**,"5,024,803",0.20**,0.20**,206
Alabama,2020,Other specified and classifiable,22,"5,024,803",0.44,0.47,651
Alabama,2020,Other specified / NEC,21,"5,024,803",0.42,0.41,370
Alabama,2020,Unspecified,290,"5,024,803",5.77,5.12,"2,368"
Alabama,2019,Cut/Pierce,42,"4,907,965",0.86,0.87,960
Alabama,2019,Drowning (includes water transport),98,"4,907,965",2,2.02,"2,864"
Alabama,2019,Fall,299,"4,907,965",6.09,4.91,835
Alabama,2019,Fire/Flame,93,"4,907,965",1.9,1.75,"1,494"
Alabama,2019,Firearm,"1,076","4,907,965",21.92,22.15,"25,736"
Alabama,2019,Machinery,--,"4,907,965",--,--,--
Alabama,2019,Natural/Environmental,61,"4,907,965",1.24,1.14,985
Alabama,2019,Overexertion,--,"4,907,965",--,--,--
Alabama,2019,Drug Poisoning,768,"4,907,965",15.65,16.42,"17,284"
Alabama,2019,Non-Drug Poisoning,59,"4,907,965",1.2,1.28,"1,147"
Alabama,2019,Struck by / against,28,"4,907,965",0.57,0.51,500
Alabama,2019,Suffocation,304,"4,907,965",6.19,6.29,"7,324"
Alabama,2019,"Motor vehicle, traffic",981,"4,907,965",19.99,19.79,"22,487"
