State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Arkansas,2021,Cut/Pierce,38,"3,025,891",1.26,1.25,816
Arkansas,2021,Drowning (includes water transport),75,"3,025,891",2.48,2.44,"2,181"
Arkansas,2021,Fall,288,"3,025,891",9.52,8.09,886
Arkansas,2021,Fire/Flame,88,"3,025,891",2.91,2.64,"1,401"
Arkansas,2021,Hot object/Substance,--,"3,025,891",--,--,--
Arkansas,2021,Firearm,698,"3,025,891",23.07,23.26,"16,741"
Arkansas,2021,Machinery,--,"3,025,891",--,--,--
Arkansas,2021,Natural/Environmental,29,"3,025,891",0.96,0.8,231
Arkansas,2021,Drug Poisoning,637,"3,025,891",21.05,22.33,"15,309"
Arkansas,2021,Non-Drug Poisoning,60,"3,025,891",1.98,2.06,"1,274"
Arkansas,2021,Struck by / against,19**,"3,025,891",0.63**,0.61**,385
Arkansas,2021,Suffocation,229,"3,025,891",7.57,7.7,"4,600"
Arkansas,2021,"Motor vehicle, traffic",697,"3,025,891",23.04,22.88,"14,878"
Arkansas,2021,"Pedal cyclist, other",--,"3,025,891",--,--,--
Arkansas,2021,"Pedestrian, other",14**,"3,025,891",0.46**,0.46**,283
Arkansas,2021,"Transport, other land",31,"3,025,891",1.02,1.06,812
Arkansas,2021,"Transport, other (excl. drown by water transp)",12**,"3,025,891",0.40**,0.35**,143
Arkansas,2021,Other specified and classifiable,27,"3,025,891",0.89,0.96,559
Arkansas,2021,Other specified / NEC,22,"3,025,891",0.73,0.73,431
Arkansas,2021,Unspecified,112,"3,025,891",3.7,3.26,974
Arkansas,2020,Cut/Pierce,54,"3,012,232",1.79,1.72,907
Arkansas,2020,Drowning (includes water transport),69,"3,012,232",2.29,2.38,"1,985"
Arkansas,2020,Fall,250,"3,012,232",8.3,6.83,583
Arkansas,2020,Fire/Flame,51,"3,012,232",1.69,1.49,634
Arkansas,2020,Hot object/Substance,--,"3,012,232",--,--,--
Arkansas,2020,Firearm,673,"3,012,232",22.34,22.73,"16,828"
Arkansas,2020,Machinery,--,"3,012,232",--,--,--
Arkansas,2020,Natural/Environmental,21,"3,012,232",0.7,0.62,310
Arkansas,2020,Drug Poisoning,546,"3,012,232",18.13,19.15,"12,493"
Arkansas,2020,Non-Drug Poisoning,62,"3,012,232",2.06,2.1,"1,175"
Arkansas,2020,Struck by / against,23,"3,012,232",0.76,0.69,317
Arkansas,2020,Suffocation,228,"3,012,232",7.57,7.65,"5,195"
Arkansas,2020,"Motor vehicle, traffic",652,"3,012,232",21.65,21.63,"14,855"
Arkansas,2020,"Pedal cyclist, other",--,"3,012,232",--,--,--
Arkansas,2020,"Pedestrian, other",11**,"3,012,232",0.37**,0.34**,250
Arkansas,2020,"Transport, other land",33,"3,012,232",1.1,1.09,676
Arkansas,2020,"Transport, other (excl. drown by water transp)",--,"3,012,232",--,--,--
Arkansas,2020,Other specified and classifiable,13**,"3,012,232",0.43**,0.43**,240
Arkansas,2020,Other specified / NEC,20**,"3,012,232",0.66**,0.62**,301
Arkansas,2020,Unspecified,134,"3,012,232",4.45,3.91,"1,293"
Arkansas,2019,Cut/Pierce,31,"3,020,985",1.03,1.01,702
Arkansas,2019,Drowning (includes water transport),59,"3,020,985",1.95,1.94,"1,494"
Arkansas,2019,Fall,236,"3,020,985",7.81,6.3,584
Arkansas,2019,Fire/Flame,60,"3,020,985",1.99,1.78,923
Arkansas,2019,Firearm,580,"3,020,985",19.2,19.24,"13,915"
Arkansas,2019,Machinery,--,"3,020,985",--,--,--
Arkansas,2019,Natural/Environmental,30,"3,020,985",0.99,0.9,314
Arkansas,2019,Drug Poisoning,388,"3,020,985",12.84,13.56,"8,941"
Arkansas,2019,Non-Drug Poisoning,55,"3,020,985",1.82,1.84,"1,139"
Arkansas,2019,Struck by / against,18**,"3,020,985",0.60**,0.53**,310
Arkansas,2019,Suffocation,216,"3,020,985",7.15,7.05,"4,730"
Arkansas,2019,"Motor vehicle, traffic",534,"3,020,985",17.68,17.41,"11,582"
Arkansas,2019,"Pedal cyclist, other",--,"3,020,985",--,--,--
Arkansas,2019,"Pedestrian, other",10**,"3,020,985",0.33**,0.33**,288
Arkansas,2019,"Transport, other land",27,"3,020,985",0.89,0.86,576
Arkansas,2019,"Transport, other (excl. drown by water transp)",--,"3,020,985",--,--,--
Arkansas,2019,Other specified and classifiable,19**,"3,020,985",0.63**,0.57**,346
Arkansas,2019,Other specified / NEC,21,"3,020,985",0.7,0.62,344
Arkansas,2019,Unspecified,124,"3,020,985",4.11,3.46,"1,066"
Arkansas,2018,Cut/Pierce,34,"3,012,161",1.13,1.13,753
Arkansas,2018,Drowning (includes water transport),51,"3,012,161",1.69,1.75,"1,620"
Arkansas,2018,Fall,253,"3,012,161",8.4,6.86,672
Arkansas,2018,Fire/Flame,55,"3,012,161",1.83,1.66,778
Arkansas,2018,Hot object/Substance,--,"3,012,161",--,--,--
Arkansas,2018,Firearm,573,"3,012,161",19.02,18.97,"13,271"
Arkansas,2018,Machinery,12**,"3,012,161",0.40**,0.37**,108
Arkansas,2018,Natural/Environmental,32,"3,012,161",1.06,0.96,444
Arkansas,2018,Drug Poisoning,444,"3,012,161",14.74,15.75,"10,404"
Arkansas,2018,Non-Drug Poisoning,50,"3,012,161",1.66,1.68,"1,018"
Arkansas,2018,Struck by / against,19**,"3,012,161",0.63**,0.60**,328
Arkansas,2018,Suffocation,211,"3,012,161",7.01,6.98,"4,827"
Arkansas,2018,"Motor vehicle, traffic",535,"3,012,161",17.76,17.26,"11,803"
Arkansas,2018,"Pedestrian, other",--,"3,012,161",--,--,--
Arkansas,2018,"Transport, other land",19**,"3,012,161",0.63**,0.66**,384
Arkansas,2018,"Transport, other (excl. drown by water transp)",--,"3,012,161",--,--,--
Arkansas,2018,Other specified and classifiable,19**,"3,012,161",0.63**,0.66**,541
Arkansas,2018,Other specified / NEC,26,"3,012,161",0.86,0.72,178
Arkansas,2018,Unspecified,86,"3,012,161",2.86,2.44,857
Arkansas,2017,Cut/Pierce,38,"3,003,855",1.27,1.3,820
Arkansas,2017,Drowning (includes water transport),63,"3,003,855",2.1,2.24,"2,136"
Arkansas,2017,Fall,308,"3,003,855",10.25,8.54,802
Arkansas,2017,Fire/Flame,73,"3,003,855",2.43,2.19,853
Arkansas,2017,Hot object/Substance,--,"3,003,855",--,--,--
Arkansas,2017,Firearm,613,"3,003,855",20.41,20.24,"13,599"
Arkansas,2017,Machinery,12**,"3,003,855",0.40**,0.36**,185
Arkansas,2017,Natural/Environmental,21,"3,003,855",0.7,0.59,218
Arkansas,2017,Drug Poisoning,446,"3,003,855",14.85,15.53,"10,374"
Arkansas,2017,Non-Drug Poisoning,61,"3,003,855",2.03,2.1,"1,337"
Arkansas,2017,Struck by / against,18**,"3,003,855",0.60**,0.53**,269
Arkansas,2017,Suffocation,228,"3,003,855",7.59,7.76,"6,672"
Arkansas,2017,"Motor vehicle, traffic",549,"3,003,855",18.28,17.91,"11,943"
Arkansas,2017,"Pedal cyclist, other",--,"3,003,855",--,--,--
Arkansas,2017,"Pedestrian, other",--,"3,003,855",--,--,--
Arkansas,2017,"Transport, other land",31,"3,003,855",1.03,0.94,518
Arkansas,2017,"Transport, other (excl. drown by water transp)",--,"3,003,855",--,--,--
Arkansas,2017,Other specified and classifiable,22,"3,003,855",0.73,0.8,744
Arkansas,2017,Other specified / NEC,18**,"3,003,855",0.60**,0.56**,276
Arkansas,2017,Unspecified,99,"3,003,855",3.3,2.93,"1,290"
Arkansas,2016,Cut/Pierce,35,"2,991,815",1.17,1.17,734
Arkansas,2016,Drowning (includes water transport),71,"2,991,815",2.37,2.44,"2,012"
Arkansas,2016,Fall,250,"2,991,815",8.36,6.98,801
Arkansas,2016,Fire/Flame,64,"2,991,815",2.14,1.98,"1,049"
Arkansas,2016,Hot object/Substance,--,"2,991,815",--,--,--
Arkansas,2016,Firearm,541,"2,991,815",18.08,17.7,"11,677"
Arkansas,2016,Machinery,--,"2,991,815",--,--,--
Arkansas,2016,Natural/Environmental,18**,"2,991,815",0.60**,0.59**,372
Arkansas,2016,Overexertion,--,"2,991,815",--,--,--
Arkansas,2016,Drug Poisoning,401,"2,991,815",13.4,14.02,"8,883"
Arkansas,2016,Non-Drug Poisoning,75,"2,991,815",2.51,2.73,"1,492"
Arkansas,2016,Struck by / against,19**,"2,991,815",0.64**,0.54**,379
Arkansas,2016,Suffocation,215,"2,991,815",7.19,7.33,"5,435"
Arkansas,2016,"Motor vehicle, traffic",608,"2,991,815",20.32,19.9,"13,114"
Arkansas,2016,"Pedal cyclist, other",--,"2,991,815",--,--,--
Arkansas,2016,"Pedestrian, other",16**,"2,991,815",0.54**,0.57**,507
Arkansas,2016,"Transport, other land",21,"2,991,815",0.7,0.68,337
Arkansas,2016,"Transport, other (excl. drown by water transp)",10**,"2,991,815",0.33**,0.26**,53
Arkansas,2016,Other specified and classifiable,18**,"2,991,815",0.60**,0.66**,535
Arkansas,2016,Other specified / NEC,17**,"2,991,815",0.57**,0.56**,339
Arkansas,2016,Unspecified,110,"2,991,815",3.68,3.32,"1,132"
Arkansas,2015,Cut/Pierce,31,"2,979,732",1.04,1.06,773
Arkansas,2015,Drowning (includes water transport),53,"2,979,732",1.78,1.78,"1,460"
Arkansas,2015,Fall,274,"2,979,732",9.2,7.83,626
Arkansas,2015,Fire/Flame,74,"2,979,732",2.48,2.22,"1,047"
Arkansas,2015,Hot object/Substance,--,"2,979,732",--,--,--
Arkansas,2015,Firearm,520,"2,979,732",17.45,16.89,"11,221"
Arkansas,2015,Machinery,--,"2,979,732",--,--,--
Arkansas,2015,Natural/Environmental,35,"2,979,732",1.18,1.11,615
Arkansas,2015,Drug Poisoning,392,"2,979,732",13.16,13.83,"8,439"
Arkansas,2015,Non-Drug Poisoning,51,"2,979,732",1.71,1.88,"1,166"
Arkansas,2015,Struck by / against,17**,"2,979,732",0.57**,0.50**,248
Arkansas,2015,Suffocation,209,"2,979,732",7.01,7.08,"4,849"
Arkansas,2015,"Motor vehicle, traffic",572,"2,979,732",19.2,18.8,"13,037"
Arkansas,2015,"Pedal cyclist, other",--,"2,979,732",--,--,--
Arkansas,2015,"Pedestrian, other",14**,"2,979,732",0.47**,0.50**,514
Arkansas,2015,"Transport, other land",20**,"2,979,732",0.67**,0.64**,355
Arkansas,2015,"Transport, other (excl. drown by water transp)",--,"2,979,732",--,--,--
Arkansas,2015,Other specified and classifiable,22,"2,979,732",0.74,0.68,512
Arkansas,2015,Other specified / NEC,17**,"2,979,732",0.57**,0.53**,196
Arkansas,2015,Unspecified,93,"2,979,732",3.12,2.67,968
Arkansas,2014,Cut/Pierce,36,"2,968,759",1.21,1.18,728
Arkansas,2014,Drowning (includes water transport),52,"2,968,759",1.75,1.82,"1,503"
Arkansas,2014,Fall,240,"2,968,759",8.08,6.99,538
Arkansas,2014,Fire/Flame,64,"2,968,759",2.16,1.96,951
Arkansas,2014,Hot object/Substance,--,"2,968,759",--,--,--
Arkansas,2014,Firearm,496,"2,968,759",16.71,16.49,"10,527"
Arkansas,2014,Machinery,10**,"2,968,759",0.34**,0.30**,121
Arkansas,2014,Natural/Environmental,32,"2,968,759",1.08,0.98,567
Arkansas,2014,Drug Poisoning,356,"2,968,759",11.99,12.59,"8,208"
Arkansas,2014,Non-Drug Poisoning,58,"2,968,759",1.95,2.04,"1,215"
Arkansas,2014,Struck by / against,19**,"2,968,759",0.64**,0.54**,275
Arkansas,2014,Suffocation,210,"2,968,759",7.07,6.94,"4,097"
Arkansas,2014,"Motor vehicle, traffic",506,"2,968,759",17.04,17.03,"11,409"
Arkansas,2014,"Pedal cyclist, other",--,"2,968,759",--,--,--
Arkansas,2014,"Pedestrian, other",16**,"2,968,759",0.54**,0.53**,453
Arkansas,2014,"Transport, other land",20**,"2,968,759",0.67**,0.71**,369
Arkansas,2014,"Transport, other (excl. drown by water transp)",--,"2,968,759",--,--,--
Arkansas,2014,Other specified and classifiable,22,"2,968,759",0.74,0.73,615
Arkansas,2014,Other specified / NEC,18**,"2,968,759",0.61**,0.60**,379
Arkansas,2014,Unspecified,117,"2,968,759",3.94,3.49,818
Arkansas,2013,Cut/Pierce,40,"2,960,459",1.35,1.38,803
