State,Year,Mechanism,Race,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Arizona,2020,Cut/Pierce,White,41,"6,217,929",0.66,0.63,654
Arizona,2020,Cut/Pierce,Black,--,"450,623",--,--,--
Arizona,2020,Cut/Pierce,American Indian / Alaska Native,14**,"420,587",3.33**,3.65**,419
Arizona,2020,Drowning (includes water transport),White,97,"6,217,929",1.56,1.49,"1,949"
Arizona,2020,Drowning (includes water transport),Black,--,"450,623",--,--,--
Arizona,2020,Drowning (includes water transport),American Indian / Alaska Native,--,"420,587",--,--,--
Arizona,2020,Drowning (includes water transport),Asian / HI Native / Pac. Islander,--,"332,262",--,--,--
Arizona,2020,Fall,White,"1,069","6,217,929",17.19,11.89,"1,487"
Arizona,2020,Fall,Black,18**,"450,623",3.99**,6.10**,119
Arizona,2020,Fall,American Indian / Alaska Native,50,"420,587",11.89,17.06,421
Arizona,2020,Fall,Asian / HI Native / Pac. Islander,14**,"332,262",4.21**,5.22**,59
Arizona,2020,Fire/Flame,White,49,"6,217,929",0.79,0.68,630
Arizona,2020,Fire/Flame,Black,--,"450,623",--,--,--
Arizona,2020,Fire/Flame,American Indian / Alaska Native,12**,"420,587",2.85**,3.36**,224
Arizona,2020,Fire/Flame,Asian / HI Native / Pac. Islander,--,"332,262",--,--,--
Arizona,2020,Hot object/Substance,White,--,"6,217,929",--,--,--
Arizona,2020,Firearm,White,"1,026","6,217,929",16.5,15.76,"20,220"
Arizona,2020,Firearm,Black,134,"450,623",29.74,28.42,"4,467"
Arizona,2020,Firearm,American Indian / Alaska Native,87,"420,587",20.69,20.5,"2,868"
Arizona,2020,Firearm,Asian / HI Native / Pac. Islander,18**,"332,262",5.42**,5.21**,494
Arizona,2020,Machinery,White,--,"6,217,929",--,--,--
Arizona,2020,Natural/Environmental,White,193,"6,217,929",3.1,2.5,"1,492"
Arizona,2020,Natural/Environmental,Black,19**,"450,623",4.22**,4.55**,323
Arizona,2020,Natural/Environmental,American Indian / Alaska Native,31,"420,587",7.37,8.33,424
Arizona,2020,Natural/Environmental,Asian / HI Native / Pac. Islander,--,"332,262",--,--,--
Arizona,2020,Drug Poisoning,White,"2,133","6,217,929",34.3,36.06,"52,681"
Arizona,2020,Drug Poisoning,Black,206,"450,623",45.71,44.72,"5,447"
Arizona,2020,Drug Poisoning,American Indian / Alaska Native,183,"420,587",43.51,43.93,"5,611"
Arizona,2020,Drug Poisoning,Asian / HI Native / Pac. Islander,28,"332,262",8.43,7.84,861
Arizona,2020,Non-Drug Poisoning,White,114,"6,217,929",1.83,1.78,"1,836"
Arizona,2020,Non-Drug Poisoning,Black,--,"450,623",--,--,--
Arizona,2020,Non-Drug Poisoning,American Indian / Alaska Native,87,"420,587",20.69,23.34,"1,832"
Arizona,2020,Non-Drug Poisoning,Asian / HI Native / Pac. Islander,--,"332,262",--,--,--
Arizona,2020,Struck by / against,White,22,"6,217,929",0.35,0.34,394
Arizona,2020,Struck by / against,Black,--,"450,623",--,--,--
Arizona,2020,Struck by / against,American Indian / Alaska Native,--,"420,587",--,--,--
Arizona,2020,Suffocation,White,336,"6,217,929",5.4,5.38,"7,765"
Arizona,2020,Suffocation,Black,22,"450,623",4.88,5.01,734
Arizona,2020,Suffocation,American Indian / Alaska Native,57,"420,587",13.55,12.92,"2,042"
Arizona,2020,Suffocation,Asian / HI Native / Pac. Islander,--,"332,262",--,--,--
Arizona,2020,"Motor vehicle, traffic",White,808,"6,217,929",13,12.34,"17,596"
Arizona,2020,"Motor vehicle, traffic",Black,53,"450,623",11.76,11.09,"1,526"
Arizona,2020,"Motor vehicle, traffic",American Indian / Alaska Native,121,"420,587",28.77,29.84,"3,557"
Arizona,2020,"Motor vehicle, traffic",Asian / HI Native / Pac. Islander,21,"332,262",6.32,6.62,416
Arizona,2020,"Pedal cyclist, other",White,16**,"6,217,929",0.26**,0.20**,71
Arizona,2020,"Pedal cyclist, other",Black,--,"450,623",--,--,--
Arizona,2020,"Pedestrian, other",White,11**,"6,217,929",0.18**,0.20**,340
Arizona,2020,"Pedestrian, other",Black,--,"450,623",--,--,--
Arizona,2020,"Pedestrian, other",American Indian / Alaska Native,--,"420,587",--,--,--
Arizona,2020,"Transport, other land",White,46,"6,217,929",0.74,0.76,"1,194"
Arizona,2020,"Transport, other land",American Indian / Alaska Native,--,"420,587",--,--,--
Arizona,2020,"Transport, other (excl. drown by water transp)",White,15**,"6,217,929",0.24**,0.24**,288
Arizona,2020,"Transport, other (excl. drown by water transp)",American Indian / Alaska Native,--,"420,587",--,--,--
Arizona,2020,"Transport, other (excl. drown by water transp)",Asian / HI Native / Pac. Islander,--,"332,262",--,--,--
Arizona,2020,Other specified and classifiable,White,56,"6,217,929",0.9,0.83,868
Arizona,2020,Other specified and classifiable,Black,--,"450,623",--,--,--
Arizona,2020,Other specified and classifiable,American Indian / Alaska Native,--,"420,587",--,--,--
Arizona,2020,Other specified / NEC,White,38,"6,217,929",0.61,0.5,500
Arizona,2020,Other specified / NEC,Black,--,"450,623",--,--,--
Arizona,2020,Other specified / NEC,American Indian / Alaska Native,11**,"420,587",2.62**,2.91**,206
Arizona,2020,Other specified / NEC,Asian / HI Native / Pac. Islander,--,"332,262",--,--,--
Arizona,2020,Unspecified,White,106,"6,217,929",1.71,1.43,"1,065"
Arizona,2020,Unspecified,Black,15**,"450,623",3.33**,3.94**,475
Arizona,2020,Unspecified,American Indian / Alaska Native,28,"420,587",6.66,7.63,521
Arizona,2020,Unspecified,Asian / HI Native / Pac. Islander,--,"332,262",--,--,--
Arizona,2019,Cut/Pierce,White,50,"6,120,738",0.82,0.77,829
Arizona,2019,Cut/Pierce,Black,--,"434,571",--,--,--
Arizona,2019,Cut/Pierce,American Indian / Alaska Native,19**,"415,075",4.58**,4.88**,543
Arizona,2019,Cut/Pierce,Asian / HI Native / Pac. Islander,--,"321,459",--,--,--
Arizona,2019,Drowning (includes water transport),White,99,"6,120,738",1.62,1.43,"1,830"
Arizona,2019,Drowning (includes water transport),Black,--,"434,571",--,--,--
Arizona,2019,Drowning (includes water transport),American Indian / Alaska Native,12**,"415,075",2.89**,2.92**,327
Arizona,2019,Drowning (includes water transport),Asian / HI Native / Pac. Islander,--,"321,459",--,--,--
Arizona,2019,Fall,White,"1,069","6,120,738",17.47,12.35,"1,669"
Arizona,2019,Fall,Black,19**,"434,571",4.37**,6.72**,217
Arizona,2019,Fall,American Indian / Alaska Native,40,"415,075",9.64,14.29,404
Arizona,2019,Fall,Asian / HI Native / Pac. Islander,13**,"321,459",4.04**,5.65**,65
Arizona,2019,Fire/Flame,White,46,"6,120,738",0.75,0.59,352
Arizona,2019,Fire/Flame,Black,--,"434,571",--,--,--
Arizona,2019,Fire/Flame,American Indian / Alaska Native,--,"415,075",--,--,--
Arizona,2019,Hot object/Substance,White,--,"6,120,738",--,--,--
Arizona,2019,Hot object/Substance,American Indian / Alaska Native,--,"415,075",--,--,--
Arizona,2019,Firearm,White,997,"6,120,738",16.29,15.43,"19,326"
Arizona,2019,Firearm,Black,74,"434,571",17.03,15.56,"2,576"
Arizona,2019,Firearm,American Indian / Alaska Native,51,"415,075",12.29,12.53,"1,571"
Arizona,2019,Firearm,Asian / HI Native / Pac. Islander,14**,"321,459",4.36**,4.15**,444
Arizona,2019,Machinery,White,--,"6,120,738",--,--,--
Arizona,2019,Natural/Environmental,White,123,"6,120,738",2.01,1.59,"1,004"
Arizona,2019,Natural/Environmental,Black,13**,"434,571",2.99**,3.48**,266
Arizona,2019,Natural/Environmental,American Indian / Alaska Native,30,"415,075",7.23,8.57,538
Arizona,2019,Natural/Environmental,Asian / HI Native / Pac. Islander,--,"321,459",--,--,--
Arizona,2019,Drug Poisoning,White,"1,658","6,120,738",27.09,27.82,"38,048"
Arizona,2019,Drug Poisoning,Black,132,"434,571",30.38,31.37,"3,316"
Arizona,2019,Drug Poisoning,American Indian / Alaska Native,96,"415,075",23.13,24.03,"2,394"
Arizona,2019,Drug Poisoning,Asian / HI Native / Pac. Islander,21,"321,459",6.53,6.02,574
Arizona,2019,Non-Drug Poisoning,White,99,"6,120,738",1.62,1.56,"1,504"
Arizona,2019,Non-Drug Poisoning,Black,--,"434,571",--,--,--
Arizona,2019,Non-Drug Poisoning,American Indian / Alaska Native,53,"415,075",12.77,14.23,976
Arizona,2019,Non-Drug Poisoning,Asian / HI Native / Pac. Islander,--,"321,459",--,--,--
Arizona,2019,Struck by / against,White,14**,"6,120,738",0.23**,0.20**,192
Arizona,2019,Struck by / against,American Indian / Alaska Native,--,"415,075",--,--,--
Arizona,2019,Struck by / against,Asian / HI Native / Pac. Islander,--,"321,459",--,--,--
Arizona,2019,Suffocation,White,368,"6,120,738",6.01,5.86,"8,135"
Arizona,2019,Suffocation,Black,18**,"434,571",4.14**,3.90**,673
Arizona,2019,Suffocation,American Indian / Alaska Native,79,"415,075",19.03,18.92,"2,640"
Arizona,2019,Suffocation,Asian / HI Native / Pac. Islander,12**,"321,459",3.73**,3.65**,268
Arizona,2019,"Motor vehicle, traffic",White,772,"6,120,738",12.61,11.97,"15,649"
Arizona,2019,"Motor vehicle, traffic",Black,43,"434,571",9.9,9.44,"1,300"
Arizona,2019,"Motor vehicle, traffic",American Indian / Alaska Native,112,"415,075",26.98,28.71,"3,075"
Arizona,2019,"Motor vehicle, traffic",Asian / HI Native / Pac. Islander,18**,"321,459",5.60**,5.71**,312
