State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Arizona,2021,Cut/Pierce,90,"7,276,316",1.24,1.23,"2,152"
Arizona,2021,Drowning (includes water transport),130,"7,276,316",1.79,1.81,"3,778"
Arizona,2021,Fall,"1,171","7,276,316",16.09,13.08,"2,462"
Arizona,2021,Fire/Flame,74,"7,276,316",1.02,0.86,901
Arizona,2021,Hot object/Substance,--,"7,276,316",--,--,--
Arizona,2021,Firearm,"1,365","7,276,316",18.76,18.22,"30,959"
Arizona,2021,Machinery,--,"7,276,316",--,--,--
Arizona,2021,Natural/Environmental,237,"7,276,316",3.26,2.75,"2,060"
Arizona,2021,Drug Poisoning,"2,730","7,276,316",37.52,38.67,"65,560"
Arizona,2021,Non-Drug Poisoning,184,"7,276,316",2.53,2.46,"2,929"
Arizona,2021,Struck by / against,23,"7,276,316",0.32,0.28,210
Arizona,2021,Suffocation,489,"7,276,316",6.72,6.75,"12,434"
Arizona,2021,"Motor vehicle, traffic","1,330","7,276,316",18.28,17.89,"29,993"
Arizona,2021,"Pedal cyclist, other",16**,"7,276,316",0.22**,0.18**,118
Arizona,2021,"Pedestrian, other",23,"7,276,316",0.32,0.3,431
Arizona,2021,"Transport, other land",46,"7,276,316",0.63,0.63,982
Arizona,2021,"Transport, other (excl. drown by water transp)",22,"7,276,316",0.3,0.27,310
Arizona,2021,Other specified and classifiable,63,"7,276,316",0.87,0.81,"1,159"
Arizona,2021,Other specified / NEC,66,"7,276,316",0.91,0.82,822
Arizona,2021,Unspecified,129,"7,276,316",1.77,1.6,"1,836"
Arizona,2020,Cut/Pierce,63,"7,177,986",0.88,0.89,"1,380"
Arizona,2020,Drowning (includes water transport),112,"7,177,986",1.56,1.51,"2,329"
Arizona,2020,Fall,"1,151","7,177,986",16.04,13.02,"2,086"
Arizona,2020,Fire/Flame,65,"7,177,986",0.91,0.83,952
Arizona,2020,Hot object/Substance,--,"7,177,986",--,--,--
Arizona,2020,Firearm,"1,265","7,177,986",17.62,17.29,"28,049"
Arizona,2020,Machinery,--,"7,177,986",--,--,--
Arizona,2020,Natural/Environmental,247,"7,177,986",3.44,2.98,"2,300"
Arizona,2020,Drug Poisoning,"2,550","7,177,986",35.53,36.72,"64,600"
Arizona,2020,Non-Drug Poisoning,212,"7,177,986",2.95,3.01,"3,926"
Arizona,2020,Struck by / against,28,"7,177,986",0.39,0.37,496
Arizona,2020,Suffocation,421,"7,177,986",5.87,5.9,"10,727"
Arizona,2020,"Motor vehicle, traffic","1,003","7,177,986",13.97,13.46,"23,095"
Arizona,2020,"Pedal cyclist, other",17**,"7,177,986",0.24**,0.20**,114
Arizona,2020,"Pedestrian, other",21,"7,177,986",0.29,0.31,632
Arizona,2020,"Transport, other land",52,"7,177,986",0.72,0.75,"1,353"
Arizona,2020,"Transport, other (excl. drown by water transp)",17**,"7,177,986",0.24**,0.24**,399
Arizona,2020,Other specified and classifiable,66,"7,177,986",0.92,0.87,"1,148"
Arizona,2020,Other specified / NEC,55,"7,177,986",0.77,0.68,860
Arizona,2020,Unspecified,150,"7,177,986",2.09,1.93,"2,080"
Arizona,2019,Cut/Pierce,73,"7,291,843",1,0.99,"1,475"
Arizona,2019,Drowning (includes water transport),121,"7,291,843",1.66,1.54,"2,516"
Arizona,2019,Fall,"1,141","7,291,843",15.65,12.23,"2,355"
Arizona,2019,Fire/Flame,57,"7,291,843",0.78,0.65,528
Arizona,2019,Hot object/Substance,--,"7,291,843",--,--,--
Arizona,2019,Firearm,"1,136","7,291,843",15.58,15.02,"23,917"
Arizona,2019,Machinery,--,"7,291,843",--,--,--
Arizona,2019,Natural/Environmental,170,"7,291,843",2.33,2.03,"1,824"
Arizona,2019,Drug Poisoning,"1,907","7,291,843",26.15,26.71,"44,332"
Arizona,2019,Non-Drug Poisoning,162,"7,291,843",2.22,2.19,"2,663"
Arizona,2019,Struck by / against,16**,"7,291,843",0.22**,0.20**,254
Arizona,2019,Suffocation,477,"7,291,843",6.54,6.45,"11,716"
Arizona,2019,"Motor vehicle, traffic",945,"7,291,843",12.96,12.47,"20,336"
Arizona,2019,"Pedal cyclist, other",16**,"7,291,843",0.22**,0.21**,396
Arizona,2019,"Pedestrian, other",15**,"7,291,843",0.21**,0.21**,295
Arizona,2019,"Transport, other land",46,"7,291,843",0.63,0.62,922
Arizona,2019,"Transport, other (excl. drown by water transp)",18**,"7,291,843",0.25**,0.25**,364
Arizona,2019,Other specified and classifiable,57,"7,291,843",0.78,0.77,"1,112"
Arizona,2019,Other specified / NEC,46,"7,291,843",0.63,0.58,599
Arizona,2019,Unspecified,140,"7,291,843",1.92,1.78,"2,471"
Arizona,2018,Cut/Pierce,67,"7,164,228",0.94,0.97,"1,675"
Arizona,2018,Drowning (includes water transport),110,"7,164,228",1.54,1.54,"3,142"
Arizona,2018,Fall,"1,116","7,164,228",15.58,12.26,"1,624"
Arizona,2018,Fire/Flame,35,"7,164,228",0.49,0.43,457
Arizona,2018,Hot object/Substance,--,"7,164,228",--,--,--
Arizona,2018,Firearm,"1,147","7,164,228",16.01,15.3,"23,680"
Arizona,2018,Machinery,--,"7,164,228",--,--,--
Arizona,2018,Natural/Environmental,120,"7,164,228",1.68,1.42,"1,084"
Arizona,2018,Drug Poisoning,"1,670","7,164,228",23.31,23.73,"37,969"
Arizona,2018,Non-Drug Poisoning,163,"7,164,228",2.28,2.25,"2,985"
Arizona,2018,Struck by / against,16**,"7,164,228",0.22**,0.22**,267
Arizona,2018,Suffocation,491,"7,164,228",6.85,6.85,"12,641"
Arizona,2018,"Motor vehicle, traffic","1,001","7,164,228",13.97,13.41,"21,832"
Arizona,2018,"Pedal cyclist, other",15**,"7,164,228",0.21**,0.19**,161
Arizona,2018,"Pedestrian, other",17**,"7,164,228",0.24**,0.25**,469
Arizona,2018,"Transport, other land",42,"7,164,228",0.59,0.58,"1,063"
