State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Colorado,2021,Cut/Pierce,63,"5,812,069",1.08,1.03,"1,289"
Colorado,2021,Drowning (includes water transport),96,"5,812,069",1.65,1.58,"2,064"
Colorado,2021,Fall,"1,123","5,812,069",19.32,19.78,"3,441"
Colorado,2021,Fire/Flame,40,"5,812,069",0.69,0.63,614
Colorado,2021,Hot object/Substance,--,"5,812,069",--,--,--
Colorado,2021,Firearm,"1,064","5,812,069",18.31,17.7,"24,764"
Colorado,2021,Machinery,--,"5,812,069",--,--,--
Colorado,2021,Natural/Environmental,66,"5,812,069",1.14,1.09,939
Colorado,2021,Drug Poisoning,"1,887","5,812,069",32.47,31.43,"44,126"
Colorado,2021,Non-Drug Poisoning,122,"5,812,069",2.1,1.99,"2,177"
Colorado,2021,Struck by / against,28,"5,812,069",0.48,0.41,277
Colorado,2021,Suffocation,491,"5,812,069",8.45,8.35,"12,053"
Colorado,2021,"Motor vehicle, traffic",731,"5,812,069",12.58,12.09,"16,454"
Colorado,2021,"Pedal cyclist, other",18**,"5,812,069",0.31**,0.26**,213
Colorado,2021,"Pedestrian, other",13**,"5,812,069",0.22**,0.22**,310
Colorado,2021,"Transport, other land",42,"5,812,069",0.72,0.73,921
Colorado,2021,"Transport, other (excl. drown by water transp)",--,"5,812,069",--,--,--
Colorado,2021,Other specified and classifiable,47,"5,812,069",0.81,0.79,876
Colorado,2021,Other specified / NEC,54,"5,812,069",0.93,0.9,679
Colorado,2021,Unspecified,165,"5,812,069",2.84,2.84,"1,154"
Colorado,2020,Cut/Pierce,65,"5,784,308",1.12,1.1,"1,470"
Colorado,2020,Drowning (includes water transport),90,"5,784,308",1.56,1.46,"1,942"
Colorado,2020,Fall,"1,039","5,784,308",17.96,18.54,"3,025"
Colorado,2020,Fire/Flame,41,"5,784,308",0.71,0.68,682
Colorado,2020,Hot object/Substance,--,"5,784,308",--,--,--
Colorado,2020,Firearm,922,"5,784,308",15.94,15.5,"21,831"
Colorado,2020,Machinery,--,"5,784,308",--,--,--
Colorado,2020,Natural/Environmental,59,"5,784,308",1.02,0.95,673
Colorado,2020,Overexertion,--,"5,784,308",--,--,--
Colorado,2020,Drug Poisoning,"1,492","5,784,308",25.79,24.87,"35,610"
Colorado,2020,Non-Drug Poisoning,135,"5,784,308",2.33,2.17,"2,328"
Colorado,2020,Struck by / against,17**,"5,784,308",0.29**,0.29**,151
Colorado,2020,Suffocation,497,"5,784,308",8.59,8.49,"12,122"
Colorado,2020,"Motor vehicle, traffic",652,"5,784,308",11.27,10.9,"15,628"
Colorado,2020,"Pedal cyclist, other",16**,"5,784,308",0.28**,0.25**,102
Colorado,2020,"Pedestrian, other",--,"5,784,308",--,--,--
Colorado,2020,"Transport, other land",43,"5,784,308",0.74,0.73,"1,013"
Colorado,2020,"Transport, other (excl. drown by water transp)",11**,"5,784,308",0.19**,0.18**,120
Colorado,2020,Other specified and classifiable,43,"5,784,308",0.74,0.69,773
Colorado,2020,Other specified / NEC,41,"5,784,308",0.71,0.67,607
Colorado,2020,Unspecified,180,"5,784,308",3.11,3.21,"1,310"
Colorado,2019,Cut/Pierce,49,"5,758,486",0.85,0.78,882
Colorado,2019,Drowning (includes water transport),79,"5,758,486",1.37,1.33,"1,827"
Colorado,2019,Fall,914,"5,758,486",15.87,15.62,"2,508"
Colorado,2019,Fire/Flame,29,"5,758,486",0.5,0.45,409
Colorado,2019,Hot object/Substance,--,"5,758,486",--,--,--
Colorado,2019,Firearm,846,"5,758,486",14.69,14.21,"19,306"
Colorado,2019,Machinery,--,"5,758,486",--,--,--
Colorado,2019,Natural/Environmental,55,"5,758,486",0.96,0.88,698
Colorado,2019,Overexertion,--,"5,758,486",--,--,--
Colorado,2019,Drug Poisoning,"1,079","5,758,486",18.74,17.96,"24,552"
Colorado,2019,Non-Drug Poisoning,151,"5,758,486",2.62,2.59,"2,945"
Colorado,2019,Struck by / against,17**,"5,758,486",0.30**,0.28**,359
Colorado,2019,Suffocation,528,"5,758,486",9.17,9.2,"13,616"
Colorado,2019,"Motor vehicle, traffic",614,"5,758,486",10.66,10.2,"13,606"
Colorado,2019,"Pedal cyclist, other",14**,"5,758,486",0.24**,0.24**,197
Colorado,2019,"Pedestrian, other",13**,"5,758,486",0.23**,0.20**,347
Colorado,2019,"Transport, other land",35,"5,758,486",0.61,0.58,847
Colorado,2019,"Transport, other (excl. drown by water transp)",12**,"5,758,486",0.21**,0.17**,221
Colorado,2019,Other specified and classifiable,49,"5,758,486",0.85,0.8,987
Colorado,2019,Other specified / NEC,54,"5,758,486",0.94,0.9,799
Colorado,2019,Unspecified,179,"5,758,486",3.11,3.01,966
Colorado,2018,Cut/Pierce,46,"5,697,155",0.81,0.77,"1,105"
Colorado,2018,Drowning (includes water transport),86,"5,697,155",1.51,1.51,"2,235"
Colorado,2018,Fall,927,"5,697,155",16.27,16.41,"2,428"
Colorado,2018,Fire/Flame,43,"5,697,155",0.76,0.67,551
Colorado,2018,Firearm,889,"5,697,155",15.6,15.13,"20,564"
Colorado,2018,Machinery,10**,"5,697,155",0.18**,0.15**,106
Colorado,2018,Natural/Environmental,46,"5,697,155",0.81,0.76,724
Colorado,2018,Drug Poisoning,995,"5,697,155",17.47,16.68,"21,344"
Colorado,2018,Non-Drug Poisoning,135,"5,697,155",2.37,2.3,"2,449"
Colorado,2018,Struck by / against,14**,"5,697,155",0.25**,0.27**,356
Colorado,2018,Suffocation,494,"5,697,155",8.67,8.56,"12,261"
Colorado,2018,"Motor vehicle, traffic",655,"5,697,155",11.5,11.21,"14,873"
Colorado,2018,"Pedal cyclist, other",13**,"5,697,155",0.23**,0.22**,155
Colorado,2018,"Pedestrian, other",10**,"5,697,155",0.18**,0.17**,316
Colorado,2018,"Transport, other land",28,"5,697,155",0.49,0.5,576
Colorado,2018,"Transport, other (excl. drown by water transp)",12**,"5,697,155",0.21**,0.19**,323
Colorado,2018,Other specified and classifiable,46,"5,697,155",0.81,0.79,"1,201"
Colorado,2018,Other specified / NEC,61,"5,697,155",1.07,1,800
Colorado,2018,Unspecified,167,"5,697,155",2.93,2.9,"1,209"
Colorado,2017,Cut/Pierce,43,"5,617,421",0.77,0.74,"1,054"
Colorado,2017,Drowning (includes water transport),98,"5,617,421",1.75,1.68,"2,265"
Colorado,2017,Fall,946,"5,617,421",16.84,17.04,"2,346"
Colorado,2017,Fire/Flame,32,"5,617,421",0.57,0.53,427
Colorado,2017,Hot object/Substance,--,"5,617,421",--,--,--
Colorado,2017,Firearm,779,"5,617,421",13.87,13.35,"17,770"
Colorado,2017,Machinery,10**,"5,617,421",0.18**,0.17**,180
Colorado,2017,Natural/Environmental,30,"5,617,421",0.53,0.47,272
Colorado,2017,Drug Poisoning,"1,015","5,617,421",18.07,17.48,"23,028"
Colorado,2017,Non-Drug Poisoning,101,"5,617,421",1.8,1.8,"2,093"
Colorado,2017,Struck by / against,11**,"5,617,421",0.20**,0.19**,198
Colorado,2017,Suffocation,485,"5,617,421",8.63,8.67,"12,114"
Colorado,2017,"Motor vehicle, traffic",654,"5,617,421",11.64,11.34,"14,828"
Colorado,2017,"Pedal cyclist, other",15**,"5,617,421",0.27**,0.25**,129
Colorado,2017,"Pedestrian, other",11**,"5,617,421",0.20**,0.19**,312
Colorado,2017,"Transport, other land",31,"5,617,421",0.55,0.53,629
Colorado,2017,"Transport, other (excl. drown by water transp)",12**,"5,617,421",0.21**,0.22**,306
Colorado,2017,Other specified and classifiable,47,"5,617,421",0.84,0.82,"1,246"
Colorado,2017,Other specified / NEC,58,"5,617,421",1.03,1.03,679
Colorado,2017,Unspecified,166,"5,617,421",2.96,2.95,"1,420"
Colorado,2016,Cut/Pierce,43,"5,543,844",0.78,0.75,"1,099"
Colorado,2016,Drowning (includes water transport),77,"5,543,844",1.39,1.38,"2,282"
Colorado,2016,Fall,893,"5,543,844",16.11,16.47,"2,382"
Colorado,2016,Fire/Flame,39,"5,543,844",0.7,0.67,497
Colorado,2016,Hot object/Substance,--,"5,543,844",--,--,--
Colorado,2016,Firearm,812,"5,543,844",14.65,14.3,"18,349"
Colorado,2016,Machinery,--,"5,543,844",--,--,--
Colorado,2016,Natural/Environmental,39,"5,543,844",0.7,0.67,455
Colorado,2016,Overexertion,--,"5,543,844",--,--,--
Colorado,2016,Drug Poisoning,942,"5,543,844",16.99,16.47,"21,526"
Colorado,2016,Non-Drug Poisoning,123,"5,543,844",2.22,2.08,"2,521"
Colorado,2016,Struck by / against,19**,"5,543,844",0.34**,0.32**,173
Colorado,2016,Suffocation,437,"5,543,844",7.88,7.86,"10,679"
Colorado,2016,"Motor vehicle, traffic",620,"5,543,844",11.18,10.88,"13,901"
Colorado,2016,"Pedal cyclist, other",18**,"5,543,844",0.33**,0.31**,354
Colorado,2016,"Pedestrian, other",11**,"5,543,844",0.20**,0.17**,211
Colorado,2016,"Transport, other land",33,"5,543,844",0.6,0.55,752
Colorado,2016,"Transport, other (excl. drown by water transp)",14**,"5,543,844",0.25**,0.22**,243
Colorado,2016,Other specified and classifiable,47,"5,543,844",0.85,0.79,722
Colorado,2016,Other specified / NEC,43,"5,543,844",0.78,0.74,471
Colorado,2016,Unspecified,153,"5,543,844",2.76,2.86,"1,509"
Colorado,2015,Cut/Pierce,41,"5,454,328",0.75,0.72,980
Colorado,2015,Drowning (includes water transport),77,"5,454,328",1.41,1.38,"1,840"
Colorado,2015,Fall,876,"5,454,328",16.06,16.75,"2,703"
Colorado,2015,Fire/Flame,27,"5,454,328",0.5,0.46,317
Colorado,2015,Hot object/Substance,--,"5,454,328",--,--,--
Colorado,2015,Firearm,701,"5,454,328",12.85,12.55,"15,459"
Colorado,2015,Machinery,--,"5,454,328",--,--,--
Colorado,2015,Natural/Environmental,24,"5,454,328",0.44,0.39,253
Colorado,2015,Drug Poisoning,869,"5,454,328",15.93,15.27,"18,888"
Colorado,2015,Non-Drug Poisoning,153,"5,454,328",2.81,2.69,"2,858"
Colorado,2015,Struck by / against,--,"5,454,328",--,--,--
Colorado,2015,Suffocation,436,"5,454,328",7.99,8.01,"10,353"
Colorado,2015,"Motor vehicle, traffic",558,"5,454,328",10.23,9.87,"12,605"
Colorado,2015,"Pedal cyclist, other",--,"5,454,328",--,--,--
Colorado,2015,"Pedestrian, other",12**,"5,454,328",0.22**,0.22**,147
Colorado,2015,"Transport, other land",46,"5,454,328",0.84,0.84,979
Colorado,2015,"Transport, other (excl. drown by water transp)",14**,"5,454,328",0.26**,0.22**,148
Colorado,2015,Other specified and classifiable,38,"5,454,328",0.7,0.67,948
Colorado,2015,Other specified / NEC,37,"5,454,328",0.68,0.65,393
Colorado,2015,Unspecified,163,"5,454,328",2.99,3.06,"1,321"
Colorado,2014,Cut/Pierce,36,"5,352,637",0.67,0.69,976
Colorado,2014,Drowning (includes water transport),59,"5,352,637",1.1,1.08,"1,483"
Colorado,2014,Fall,822,"5,352,637",15.36,16.14,"2,172"
Colorado,2014,Fire/Flame,29,"5,352,637",0.54,0.52,435
Colorado,2014,Firearm,663,"5,352,637",12.39,12.21,"13,916"
Colorado,2014,Machinery,--,"5,352,637",--,--,--
Colorado,2014,Natural/Environmental,39,"5,352,637",0.73,0.72,623
Colorado,2014,Drug Poisoning,899,"5,352,637",16.8,16.23,"19,607"
Colorado,2014,Non-Drug Poisoning,126,"5,352,637",2.35,2.28,"2,240"
Colorado,2014,Struck by / against,16**,"5,352,637",0.30**,0.30**,269
Colorado,2014,Suffocation,391,"5,352,637",7.31,7.33,"8,726"
