State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Connecticut,2021,Cut/Pierce,37,"3,605,597",1.03,1.02,718
Connecticut,2021,Drowning (includes water transport),40,"3,605,597",1.11,1.08,942
Connecticut,2021,Fall,541,"3,605,597",15,11.19,"1,111"
Connecticut,2021,Fire/Flame,27,"3,605,597",0.75,0.59,235
Connecticut,2021,Hot object/Substance,--,"3,605,597",--,--,--
Connecticut,2021,Firearm,248,"3,605,597",6.88,6.63,"6,029"
Connecticut,2021,Machinery,--,"3,605,597",--,--,--
Connecticut,2021,Natural/Environmental,--,"3,605,597",--,--,--
Connecticut,2021,Drug Poisoning,"1,552","3,605,597",43.04,42.4,"30,018"
Connecticut,2021,Non-Drug Poisoning,87,"3,605,597",2.41,2.06,"1,222"
Connecticut,2021,Struck by / against,14**,"3,605,597",0.39**,0.37**,175
Connecticut,2021,Suffocation,233,"3,605,597",6.46,5.84,"3,862"
Connecticut,2021,"Motor vehicle, traffic",318,"3,605,597",8.82,8.66,"7,376"
Connecticut,2021,"Pedal cyclist, other",--,"3,605,597",--,--,--
Connecticut,2021,"Pedestrian, other",10**,"3,605,597",0.28**,0.27**,134
Connecticut,2021,"Transport, other land",12**,"3,605,597",0.33**,0.33**,229
Connecticut,2021,"Transport, other (excl. drown by water transp)",--,"3,605,597",--,--,--
Connecticut,2021,Other specified and classifiable,20**,"3,605,597",0.56**,0.47**,301
Connecticut,2021,Other specified / NEC,17**,"3,605,597",0.47**,0.39**,171
Connecticut,2021,Unspecified,65,"3,605,597",1.8,1.39,385
Connecticut,2020,Cut/Pierce,36,"3,600,260",1,0.96,770
Connecticut,2020,Drowning (includes water transport),35,"3,600,260",0.97,0.92,722
Connecticut,2020,Fall,517,"3,600,260",14.36,10.94,"1,444"
Connecticut,2020,Fire/Flame,21,"3,600,260",0.58,0.48,217
Connecticut,2020,Firearm,219,"3,600,260",6.08,5.95,"4,997"
Connecticut,2020,Machinery,--,"3,600,260",--,--,--
Connecticut,2020,Natural/Environmental,10**,"3,600,260",0.28**,0.20**,14
Connecticut,2020,Drug Poisoning,"1,371","3,600,260",38.08,38.38,"29,090"
Connecticut,2020,Non-Drug Poisoning,88,"3,600,260",2.44,2.18,"1,191"
Connecticut,2020,Struck by / against,12**,"3,600,260",0.33**,0.23**,62
