"","x"
"1","Afghanistan"
"2","Afghanistan"
"3","Afghanistan"
"4","Afghanistan"
"5","Afghanistan"
"6","Afghanistan"
"7","Afghanistan"
"8","Afghanistan"
"9","Afghanistan"
"10","Afghanistan"
"11","Afghanistan"
"12","Afghanistan"
"13","Afghanistan"
"14","Afghanistan"
"15","Afghanistan"
"16","Afghanistan"
"17","Afghanistan"
"18","Afghanistan"
"19","Afghanistan"
"20","Afghanistan"
"21","Afghanistan"
"22","Afghanistan"
"23","Afghanistan"
"24","Afghanistan"
"25","Afghanistan"
"26","Afghanistan"
"27","Afghanistan"
"28","Afghanistan"
"29","Afghanistan"
"30","Afghanistan"
"31","Afghanistan"
"32","Afghanistan"
"33","Afghanistan"
"34","Afghanistan"
"35","Afghanistan"
"36","Afghanistan"
"37","Afghanistan"
"38","Afghanistan"
"39","Afghanistan"
"40","Afghanistan"
"41","Afghanistan"
"42","Afghanistan"
"43","Afghanistan"
"44","Afghanistan"
"45","Afghanistan"
"46","Afghanistan"
"47","Afghanistan"
"48","Afghanistan"
"49","Afghanistan"
"50","Afghanistan"
"51","Afghanistan"
"52","Afghanistan"
"53","Afghanistan"
"54","Afghanistan"
"55","Afghanistan"
"56","Afghanistan"
"57","Afghanistan"
"58","Albania"
"59","Albania"
"60","Albania"
"61","Albania"
"62","Albania"
"63","Albania"
"64","Albania"
"65","Albania"
"66","Albania"
"67","Albania"
"68","Albania"
"69","Albania"
"70","Albania"
"71","Albania"
"72","Albania"
"73","Albania"
"74","Albania"
"75","Albania"
"76","Albania"
"77","Albania"
"78","Albania"
"79","Albania"
"80","Albania"
"81","Albania"
"82","Albania"
"83","Albania"
"84","Albania"
"85","Albania"
"86","Albania"
"87","Albania"
"88","Albania"
"89","Albania"
"90","Albania"
"91","Albania"
"92","Albania"
"93","Albania"
"94","Albania"
"95","Albania"
"96","Albania"
"97","Albania"
"98","Albania"
"99","Albania"
"100","Albania"
"101","Albania"
"102","Albania"
"103","Albania"
"104","Albania"
"105","Albania"
"106","Algeria"
"107","Algeria"
"108","Algeria"
"109","Algeria"
"110","Algeria"
"111","Algeria"
"112","Algeria"
"113","Algeria"
"114","Algeria"
"115","Algeria"
"116","Algeria"
"117","Algeria"
"118","Algeria"
"119","Algeria"
"120","Algeria"
"121","Algeria"
"122","Algeria"
"123","Algeria"
"124","Algeria"
"125","Algeria"
"126","Algeria"
"127","Algeria"
"128","Algeria"
"129","Algeria"
"130","Algeria"
"131","Algeria"
"132","Algeria"
"133","Algeria"
"134","Algeria"
"135","Algeria"
"136","Algeria"
"137","Algeria"
"138","Algeria"
"139","Algeria"
"140","Algeria"
"141","Algeria"
"142","Algeria"
"143","Algeria"
"144","Algeria"
"145","Algeria"
"146","Algeria"
"147","Algeria"
"148","Algeria"
"149","Algeria"
"150","Algeria"
"151","Algeria"
"152","Algeria"
"153","Algeria"
"154","Algeria"
"155","Algeria"
"156","Algeria"
"157","Algeria"
"158","Algeria"
"159","Algeria"
"160","Algeria"
"161","Algeria"
"162","Algeria"
"163","Andorra"
"164","Andorra"
"165","Andorra"
"166","Andorra"
"167","Andorra"
"168","Andorra"
"169","Andorra"
"170","Andorra"
"171","Andorra"
"172","Andorra"
"173","Andorra"
"174","Andorra"
"175","Andorra"
"176","Andorra"
"177","Andorra"
"178","Andorra"
"179","Andorra"
"180","Andorra"
"181","Andorra"
"182","Andorra"
"183","Andorra"
"184","Andorra"
"185","Andorra"
"186","Andorra"
"187","Andorra"
"188","Andorra"
"189","Andorra"
"190","Andorra"
"191","Andorra"
"192","Andorra"
"193","Andorra"
"194","Andorra"
"195","Andorra"
"196","Andorra"
"197","Andorra"
"198","Andorra"
"199","Andorra"
"200","Andorra"
"201","Andorra"
"202","Andorra"
"203","Andorra"
"204","Andorra"
"205","Andorra"
"206","Andorra"
"207","Andorra"
"208","Andorra"
"209","Andorra"
"210","Angola"
"211","Angola"
"212","Angola"
"213","Angola"
"214","Angola"
"215","Angola"
"216","Angola"
"217","Angola"
"218","Angola"
"219","Angola"
"220","Angola"
"221","Angola"
"222","Angola"
"223","Angola"
"224","Angola"
"225","Angola"
"226","Angola"
"227","Angola"
"228","Angola"
"229","Angola"
"230","Angola"
"231","Angola"
"232","Angola"
"233","Angola"
"234","Angola"
"235","Angola"
"236","Angola"
"237","Angola"
"238","Angola"
"239","Angola"
"240","Angola"
"241","Angola"
"242","Angola"
"243","Angola"
"244","Angola"
"245","Angola"
"246","Angola"
"247","Angola"
"248","Angola"
"249","Angola"
"250","Angola"
"251","Angola"
"252","Angola"
"253","Angola"
"254","Angola"
"255","Angola"
"256","Anguilla"
"257","Anguilla"
"258","Anguilla"
"259","Anguilla"
"260","Anguilla"
"261","Anguilla"
"262","Anguilla"
"263","Anguilla"
"264","Anguilla"
"265","Anguilla"
"266","Anguilla"
"267","Anguilla"
"268","Anguilla"
"269","Anguilla"
"270","Anguilla"
"271","Anguilla"
"272","Anguilla"
"273","Anguilla"
"274","Anguilla"
"275","Anguilla"
"276","Anguilla"
"277","Anguilla"
"278","Anguilla"
"279","Anguilla"
"280","Anguilla"
"281","Anguilla"
"282","Anguilla"
"283","Anguilla"
"284","Anguilla"
"285","Anguilla"
"286","Anguilla"
"287","Anguilla"
"288","Anguilla"
"289","Anguilla"
"290","Anguilla"
"291","Anguilla"
"292","Anguilla"
"293","Anguilla"
"294","Anguilla"
"295","Anguilla"
"296","Anguilla"
"297","Anguilla"
"298","Anguilla"
"299","Anguilla"
"300","Anguilla"
"301","Antigua_and_Barbuda"
"302","Antigua_and_Barbuda"
"303","Antigua_and_Barbuda"
"304","Antigua_and_Barbuda"
"305","Antigua_and_Barbuda"
"306","Antigua_and_Barbuda"
"307","Antigua_and_Barbuda"
"308","Antigua_and_Barbuda"
"309","Antigua_and_Barbuda"
"310","Antigua_and_Barbuda"
"311","Antigua_and_Barbuda"
"312","Antigua_and_Barbuda"
"313","Antigua_and_Barbuda"
"314","Antigua_and_Barbuda"
"315","Antigua_and_Barbuda"
"316","Antigua_and_Barbuda"
"317","Antigua_and_Barbuda"
"318","Antigua_and_Barbuda"
"319","Antigua_and_Barbuda"
"320","Antigua_and_Barbuda"
"321","Antigua_and_Barbuda"
"322","Antigua_and_Barbuda"
"323","Antigua_and_Barbuda"
"324","Antigua_and_Barbuda"
"325","Antigua_and_Barbuda"
"326","Antigua_and_Barbuda"
"327","Antigua_and_Barbuda"
"328","Antigua_and_Barbuda"
"329","Antigua_and_Barbuda"
"330","Antigua_and_Barbuda"
"331","Antigua_and_Barbuda"
"332","Antigua_and_Barbuda"
"333","Antigua_and_Barbuda"
"334","Antigua_and_Barbuda"
"335","Antigua_and_Barbuda"
"336","Antigua_and_Barbuda"
"337","Antigua_and_Barbuda"
"338","Antigua_and_Barbuda"
"339","Antigua_and_Barbuda"
"340","Antigua_and_Barbuda"
"341","Antigua_and_Barbuda"
"342","Antigua_and_Barbuda"
"343","Antigua_and_Barbuda"
"344","Antigua_and_Barbuda"
"345","Antigua_and_Barbuda"
"346","Antigua_and_Barbuda"
"347","Argentina"
"348","Argentina"
"349","Argentina"
"350","Argentina"
"351","Argentina"
"352","Argentina"
"353","Argentina"
"354","Argentina"
"355","Argentina"
"356","Argentina"
"357","Argentina"
"358","Argentina"
