State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
District of Columbia,2021,Cut/Pierce,31,"670,050",4.63,4.42,881
District of Columbia,2021,Drowning (includes water transport),--,"670,050",--,--,--
District of Columbia,2021,Fall,93,"670,050",13.88,14.29,601
District of Columbia,2021,Fire/Flame,10**,"670,050",1.49**,1.44**,65
District of Columbia,2021,Hot object/Substance,--,"670,050",--,--,--
District of Columbia,2021,Firearm,185,"670,050",27.61,23.94,"6,092"
District of Columbia,2021,Natural/Environmental,--,"670,050",--,--,--
District of Columbia,2021,Drug Poisoning,450,"670,050",67.16,63.25,"5,528"
District of Columbia,2021,Non-Drug Poisoning,14**,"670,050",2.09**,2.03**,259
District of Columbia,2021,Struck by / against,--,"670,050",--,--,--
District of Columbia,2021,Suffocation,42,"670,050",6.27,6.28,882
District of Columbia,2021,"Motor vehicle, traffic",57,"670,050",8.51,7.87,"1,369"
District of Columbia,2021,"Pedal cyclist, other",--,"670,050",--,--,--
District of Columbia,2021,"Pedestrian, other",--,"670,050",--,--,--
District of Columbia,2021,"Transport, other land",--,"670,050",--,--,--
District of Columbia,2021,Other specified and classifiable,--,"670,050",--,--,--
District of Columbia,2021,Other specified / NEC,12**,"670,050",1.79**,1.83**,170
District of Columbia,2021,Unspecified,26,"670,050",3.88,3.82,289
District of Columbia,2020,Cut/Pierce,14**,"690,093",2.03**,1.80**,447
District of Columbia,2020,Drowning (includes water transport),--,"690,093",--,--,--
District of Columbia,2020,Fall,62,"690,093",8.98,8.83,328
District of Columbia,2020,Fire/Flame,--,"690,093",--,--,--
District of Columbia,2020,Hot object/Substance,--,"690,093",--,--,--
District of Columbia,2020,Firearm,167,"690,093",24.2,22.46,"5,721"
District of Columbia,2020,Machinery,--,"690,093",--,--,--
District of Columbia,2020,Natural/Environmental,--,"690,093",--,--,--
District of Columbia,2020,Drug Poisoning,424,"690,093",61.44,59.29,"5,909"
District of Columbia,2020,Non-Drug Poisoning,16**,"690,093",2.32**,2.41**,256
District of Columbia,2020,Struck by / against,--,"690,093",--,--,--
District of Columbia,2020,Suffocation,31,"690,093",4.49,4.54,745
District of Columbia,2020,"Motor vehicle, traffic",44,"690,093",6.38,6.18,"1,025"
District of Columbia,2020,"Pedal cyclist, other",--,"690,093",--,--,--
District of Columbia,2020,"Pedestrian, other",--,"690,093",--,--,--
District of Columbia,2020,"Transport, other land",--,"690,093",--,--,--
District of Columbia,2020,Other specified and classifiable,--,"690,093",--,--,--
District of Columbia,2020,Other specified / NEC,--,"690,093",--,--,--
District of Columbia,2020,Unspecified,21,"690,093",3.04,3.16,232
District of Columbia,2019,Cut/Pierce,14**,"708,253",1.98**,2.05**,254
District of Columbia,2019,Drowning (includes water transport),--,"708,253",--,--,--
District of Columbia,2019,Fall,55,"708,253",7.77,7.77,307
District of Columbia,2019,Fire/Flame,--,"708,253",--,--,--
District of Columbia,2019,Firearm,141,"708,253",19.91,17.77,"5,070"
District of Columbia,2019,Natural/Environmental,--,"708,253",--,--,--
District of Columbia,2019,Drug Poisoning,311,"708,253",43.91,42.64,"4,417"
District of Columbia,2019,Non-Drug Poisoning,15**,"708,253",2.12**,2.31**,282
District of Columbia,2019,Struck by / against,--,"708,253",--,--,--
District of Columbia,2019,Suffocation,34,"708,253",4.8,4.97,"1,054"
District of Columbia,2019,"Motor vehicle, traffic",44,"708,253",6.21,5.93,"1,157"
District of Columbia,2019,"Pedal cyclist, other",--,"708,253",--,--,--
District of Columbia,2019,"Pedestrian, other",--,"708,253",--,--,--
District of Columbia,2019,"Transport, other land",--,"708,253",--,--,--
District of Columbia,2019,Other specified and classifiable,--,"708,253",--,--,--
District of Columbia,2019,Other specified / NEC,--,"708,253",--,--,--
District of Columbia,2019,Unspecified,19**,"708,253",2.68**,2.69**,365
District of Columbia,2018,Cut/Pierce,16**,"704,147",2.27**,2.29**,368
District of Columbia,2018,Drowning (includes water transport),10**,"704,147",1.42**,1.30**,291
District of Columbia,2018,Fall,68,"704,147",9.66,9.78,432
District of Columbia,2018,Fire/Flame,--,"704,147",--,--,--
District of Columbia,2018,Hot object/Substance,--,"704,147",--,--,--
District of Columbia,2018,Firearm,125,"704,147",17.75,16.23,"4,401"
District of Columbia,2018,Natural/Environmental,--,"704,147",--,--,--
District of Columbia,2018,Drug Poisoning,254,"704,147",36.07,35.2,"3,419"
District of Columbia,2018,Non-Drug Poisoning,11**,"704,147",1.56**,1.79**,153
District of Columbia,2018,Suffocation,52,"704,147",7.39,7.33,"1,207"
District of Columbia,2018,"Motor vehicle, traffic",41,"704,147",5.82,5.58,863
District of Columbia,2018,"Pedal cyclist, other",--,"704,147",--,--,--
District of Columbia,2018,"Pedestrian, other",--,"704,147",--,--,--
District of Columbia,2018,Other specified and classifiable,--,"704,147",--,--,--
District of Columbia,2018,Other specified / NEC,--,"704,147",--,--,--
District of Columbia,2018,Unspecified,18**,"704,147",2.56**,2.63**,219
District of Columbia,2017,Cut/Pierce,17**,"697,079",2.44**,2.66**,323
District of Columbia,2017,Drowning (includes water transport),--,"697,079",--,--,--
District of Columbia,2017,Fall,65,"697,079",9.33,9.42,350
District of Columbia,2017,Fire/Flame,--,"697,079",--,--,--
District of Columbia,2017,Hot object/Substance,--,"697,079",--,--,--
District of Columbia,2017,Firearm,100,"697,079",14.35,12.91,"3,356"
District of Columbia,2017,Natural/Environmental,--,"697,079",--,--,--
District of Columbia,2017,Drug Poisoning,310,"697,079",44.47,43.25,"4,171"
District of Columbia,2017,Non-Drug Poisoning,--,"697,079",--,--,--
District of Columbia,2017,Struck by / against,--,"697,079",--,--,--
District of Columbia,2017,Suffocation,41,"697,079",5.88,5.79,"1,170"
District of Columbia,2017,"Motor vehicle, traffic",32,"697,079",4.59,4.3,810
District of Columbia,2017,"Pedestrian, other",--,"697,079",--,--,--
District of Columbia,2017,Other specified and classifiable,--,"697,079",--,--,--
District of Columbia,2017,Other specified / NEC,--,"697,079",--,--,--
District of Columbia,2017,Unspecified,17**,"697,079",2.44**,2.38**,134
District of Columbia,2016,Cut/Pierce,20**,"687,576",2.91**,2.74**,565
District of Columbia,2016,Drowning (includes water transport),11**,"687,576",1.60**,1.47**,212
District of Columbia,2016,Fall,70,"687,576",10.18,10.56,215
District of Columbia,2016,Fire/Flame,--,"687,576",--,--,--
District of Columbia,2016,Firearm,107,"687,576",15.56,13.24,"3,716"
District of Columbia,2016,Natural/Environmental,--,"687,576",--,--,--
District of Columbia,2016,Drug Poisoning,269,"687,576",39.12,37.71,"3,650"
District of Columbia,2016,Non-Drug Poisoning,18**,"687,576",2.62**,2.52**,294
District of Columbia,2016,Struck by / against,--,"687,576",--,--,--
District of Columbia,2016,Suffocation,30,"687,576",4.36,4.2,641
District of Columbia,2016,"Motor vehicle, traffic",32,"687,576",4.65,4.27,813
District of Columbia,2016,"Pedal cyclist, other",--,"687,576",--,--,--
District of Columbia,2016,"Pedestrian, other",--,"687,576",--,--,--
District of Columbia,2016,"Transport, other land",--,"687,576",--,--,--
District of Columbia,2016,Other specified and classifiable,--,"687,576",--,--,--
District of Columbia,2016,Other specified / NEC,--,"687,576",--,--,--
