State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Delaware,2021,Cut/Pierce,14**,"1,003,384",1.40**,1.17**,188
Delaware,2021,Drowning (includes water transport),15**,"1,003,384",1.50**,1.61**,408
Delaware,2021,Fall,95,"1,003,384",9.47,7.45,204
Delaware,2021,Fire/Flame,10**,"1,003,384",1.00**,0.79**,136
Delaware,2021,Firearm,158,"1,003,384",15.75,16.67,"4,238"
Delaware,2021,Natural/Environmental,--,"1,003,384",--,--,--
Delaware,2021,Drug Poisoning,513,"1,003,384",51.13,53.9,"10,469"
Delaware,2021,Non-Drug Poisoning,14**,"1,003,384",1.40**,1.46**,391
Delaware,2021,Struck by / against,--,"1,003,384",--,--,--
Delaware,2021,Suffocation,58,"1,003,384",5.78,5.47,"1,078"
Delaware,2021,"Motor vehicle, traffic",143,"1,003,384",14.25,14.07,"3,175"
Delaware,2021,"Pedal cyclist, other",--,"1,003,384",--,--,--
Delaware,2021,"Pedestrian, other",--,"1,003,384",--,--,--
Delaware,2021,"Transport, other land",--,"1,003,384",--,--,--
Delaware,2021,Other specified and classifiable,--,"1,003,384",--,--,--
Delaware,2021,Other specified / NEC,--,"1,003,384",--,--,--
Delaware,2021,Unspecified,34,"1,003,384",3.39,2.9,290
Delaware,2020,Cut/Pierce,--,"991,886",--,--,--
Delaware,2020,Drowning (includes water transport),10**,"991,886",1.01**,0.89**,228
Delaware,2020,Fall,104,"991,886",10.49,8.2,192
Delaware,2020,Fire/Flame,--,"991,886",--,--,--
Delaware,2020,Firearm,135,"991,886",13.61,14.34,"3,892"
Delaware,2020,Natural/Environmental,--,"991,886",--,--,--
Delaware,2020,Drug Poisoning,444,"991,886",44.76,47.03,"9,469"
Delaware,2020,Non-Drug Poisoning,12**,"991,886",1.21**,1.32**,216
Delaware,2020,Struck by / against,--,"991,886",--,--,--
Delaware,2020,Suffocation,61,"991,886",6.15,5.88,"1,229"
Delaware,2020,"Motor vehicle, traffic",123,"991,886",12.4,11.98,"2,608"
Delaware,2020,"Transport, other land",--,"991,886",--,--,--
Delaware,2020,Other specified and classifiable,--,"991,886",--,--,--
Delaware,2020,Other specified / NEC,--,"991,886",--,--,--
Delaware,2020,Unspecified,23,"991,886",2.32,1.78,102
Delaware,2019,Cut/Pierce,--,"976,668",--,--,--
Delaware,2019,Drowning (includes water transport),12**,"976,668",1.23**,1.20**,273
