State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Florida,2021,Cut/Pierce,210,"21,781,128",0.96,0.92,"4,022"
Florida,2021,Drowning (includes water transport),565,"21,781,128",2.59,2.47,"12,595"
Florida,2021,Fall,"4,296","21,781,128",19.72,12.98,"6,846"
Florida,2021,Fire/Flame,162,"21,781,128",0.74,0.59,"1,926"
Florida,2021,Firearm,"3,142","21,781,128",14.43,14.01,"68,742"
Florida,2021,Machinery,20**,"21,781,128",0.09**,0.09**,315
Florida,2021,Natural/Environmental,58,"21,781,128",0.27,0.24,853
Florida,2021,Drug Poisoning,"7,827","21,781,128",35.94,37.53,"170,311"
Florida,2021,Non-Drug Poisoning,330,"21,781,128",1.52,1.43,"5,554"
Florida,2021,Struck by / against,145,"21,781,128",0.67,0.57,"1,979"
Florida,2021,Suffocation,"1,247","21,781,128",5.73,5.41,"25,243"
Florida,2021,"Motor vehicle, traffic","3,820","21,781,128",17.54,16.96,"81,547"
Florida,2021,"Pedal cyclist, other",41,"21,781,128",0.19,0.13,248
Florida,2021,"Pedestrian, other",79,"21,781,128",0.36,0.33,"1,548"
Florida,2021,"Transport, other land",72,"21,781,128",0.33,0.31,"1,219"
Florida,2021,"Transport, other (excl. drown by water transp)",57,"21,781,128",0.26,0.23,922
Florida,2021,Other specified and classifiable,179,"21,781,128",0.82,0.79,"3,625"
Florida,2021,Other specified / NEC,117,"21,781,128",0.54,0.43,"1,208"
Florida,2021,Unspecified,457,"21,781,128",2.1,1.63,"4,169"
Florida,2020,Cut/Pierce,196,"21,569,932",0.91,0.86,"3,581"
Florida,2020,Drowning (includes water transport),545,"21,569,932",2.53,2.42,"12,396"
Florida,2020,Fall,"3,811","21,569,932",17.67,11.65,"5,852"
Florida,2020,Fire/Flame,138,"21,569,932",0.64,0.51,"1,479"
Florida,2020,Hot object/Substance,--,"21,569,932",--,--,--
Florida,2020,Firearm,"3,041","21,569,932",14.1,13.77,"68,290"
Florida,2020,Machinery,16**,"21,569,932",0.07**,0.06**,184
Florida,2020,Natural/Environmental,63,"21,569,932",0.29,0.23,772
Florida,2020,Overexertion,--,"21,569,932",--,--,--
Florida,2020,Drug Poisoning,"7,231","21,569,932",33.52,35.09,"161,489"
Florida,2020,Non-Drug Poisoning,325,"21,569,932",1.51,1.42,"5,540"
Florida,2020,Struck by / against,54,"21,569,932",0.25,0.24,944
Florida,2020,Suffocation,"1,183","21,569,932",5.48,5.19,"24,031"
Florida,2020,"Motor vehicle, traffic","3,430","21,569,932",15.9,15.42,"73,950"
Florida,2020,"Pedal cyclist, other",42,"21,569,932",0.2,0.15,356
Florida,2020,"Pedestrian, other",57,"21,569,932",0.26,0.24,999
Florida,2020,"Transport, other land",71,"21,569,932",0.33,0.31,"1,492"
Florida,2020,"Transport, other (excl. drown by water transp)",62,"21,569,932",0.29,0.26,"1,076"
Florida,2020,Other specified and classifiable,176,"21,569,932",0.82,0.76,"3,158"
Florida,2020,Other specified / NEC,146,"21,569,932",0.68,0.54,"1,594"
Florida,2020,Unspecified,422,"21,569,932",1.96,1.49,"3,644"
Florida,2019,Cut/Pierce,186,"21,492,056",0.87,0.81,"3,472"
Florida,2019,Drowning (includes water transport),483,"21,492,056",2.25,2.1,"10,333"
Florida,2019,Fall,"3,471","21,492,056",16.15,10.22,"6,325"
Florida,2019,Fire/Flame,107,"21,492,056",0.5,0.4,"1,401"
Florida,2019,Hot object/Substance,--,"21,492,056",--,--,--
Florida,2019,Firearm,"2,872","21,492,056",13.36,12.66,"58,751"
Florida,2019,Machinery,17**,"21,492,056",0.08**,0.07**,223
Florida,2019,Natural/Environmental,63,"21,492,056",0.29,0.27,"1,241"
Florida,2019,Drug Poisoning,"5,268","21,492,056",24.51,25.48,"115,124"
Florida,2019,Non-Drug Poisoning,277,"21,492,056",1.29,1.2,"4,316"
Florida,2019,Struck by / against,53,"21,492,056",0.25,0.2,544
Florida,2019,Suffocation,"1,308","21,492,056",6.09,5.74,"26,086"
Florida,2019,"Motor vehicle, traffic","3,206","21,492,056",14.92,14.24,"65,663"
Florida,2019,"Pedal cyclist, other",36,"21,492,056",0.17,0.13,366
Florida,2019,"Pedestrian, other",78,"21,492,056",0.36,0.34,"1,578"
Florida,2019,"Transport, other land",80,"21,492,056",0.37,0.34,"1,614"
Florida,2019,"Transport, other (excl. drown by water transp)",54,"21,492,056",0.25,0.21,687
