State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Georgia,2021,Cut/Pierce,81,"10,799,566",0.75,0.76,"1,890"
Georgia,2021,Drowning (includes water transport),174,"10,799,566",1.61,1.62,"4,814"
Georgia,2021,Fall,936,"10,799,566",8.67,8.8,"2,121"
Georgia,2021,Fire/Flame,131,"10,799,566",1.21,1.17,"1,940"
Georgia,2021,Hot object/Substance,--,"10,799,566",--,--,--
Georgia,2021,Firearm,"2,200","10,799,566",20.37,20.29,"58,398"
Georgia,2021,Machinery,20**,"10,799,566",0.19**,0.17**,262
Georgia,2021,Natural/Environmental,43,"10,799,566",0.4,0.36,430
Georgia,2021,Overexertion,--,"10,799,566",--,--,--
Georgia,2021,Drug Poisoning,"2,500","10,799,566",23.15,23.54,"59,113"
Georgia,2021,Non-Drug Poisoning,135,"10,799,566",1.25,1.23,"2,678"
Georgia,2021,Struck by / against,60,"10,799,566",0.56,0.53,"1,079"
Georgia,2021,Suffocation,584,"10,799,566",5.41,5.5,"13,836"
Georgia,2021,"Motor vehicle, traffic","1,922","10,799,566",17.8,17.5,"44,079"
Georgia,2021,"Pedal cyclist, other",--,"10,799,566",--,--,--
Georgia,2021,"Pedestrian, other",39,"10,799,566",0.36,0.35,759
Georgia,2021,"Transport, other land",54,"10,799,566",0.5,0.48,"1,233"
Georgia,2021,"Transport, other (excl. drown by water transp)",21,"10,799,566",0.19,0.2,462
Georgia,2021,Other specified and classifiable,69,"10,799,566",0.64,0.61,"1,594"
Georgia,2021,Other specified / NEC,51,"10,799,566",0.47,0.46,889
Georgia,2021,Unspecified,325,"10,799,566",3.01,3,"3,144"
Georgia,2020,Cut/Pierce,99,"10,725,800",0.92,0.9,"2,208"
Georgia,2020,Drowning (includes water transport),162,"10,725,800",1.51,1.5,"4,566"
Georgia,2020,Fall,916,"10,725,800",8.54,8.88,"2,815"
Georgia,2020,Fire/Flame,123,"10,725,800",1.15,1.09,"1,841"
Georgia,2020,Hot object/Substance,--,"10,725,800",--,--,--
Georgia,2020,Firearm,"1,897","10,725,800",17.69,17.73,"50,390"
Georgia,2020,Machinery,24,"10,725,800",0.22,0.21,469
Georgia,2020,Natural/Environmental,65,"10,725,800",0.61,0.54,821
Georgia,2020,Drug Poisoning,"1,916","10,725,800",17.86,17.98,"43,011"
Georgia,2020,Non-Drug Poisoning,144,"10,725,800",1.34,1.31,"2,926"
Georgia,2020,Struck by / against,51,"10,725,800",0.48,0.44,852
Georgia,2020,Suffocation,568,"10,725,800",5.3,5.47,"14,018"
Georgia,2020,"Motor vehicle, traffic","1,736","10,725,800",16.19,15.81,"38,856"
Georgia,2020,"Pedal cyclist, other",--,"10,725,800",--,--,--
Georgia,2020,"Pedestrian, other",47,"10,725,800",0.44,0.44,"1,168"
Georgia,2020,"Transport, other land",44,"10,725,800",0.41,0.41,"1,101"
Georgia,2020,"Transport, other (excl. drown by water transp)",14**,"10,725,800",0.13**,0.12**,305
Georgia,2020,Other specified and classifiable,55,"10,725,800",0.51,0.51,"1,290"
Georgia,2020,Other specified / NEC,75,"10,725,800",0.7,0.72,"1,831"
Georgia,2020,Unspecified,282,"10,725,800",2.63,2.66,"2,964"
Georgia,2019,Cut/Pierce,77,"10,628,020",0.72,0.72,"1,704"
Georgia,2019,Drowning (includes water transport),159,"10,628,020",1.5,1.47,"4,529"
Georgia,2019,Fall,831,"10,628,020",7.82,7.78,"2,154"
Georgia,2019,Fire/Flame,112,"10,628,020",1.05,0.96,"1,144"
Georgia,2019,Hot object/Substance,--,"10,628,020",--,--,--
Georgia,2019,Firearm,"1,695","10,628,020",15.95,15.76,"41,802"
Georgia,2019,Machinery,23,"10,628,020",0.22,0.2,256
Georgia,2019,Natural/Environmental,53,"10,628,020",0.5,0.48,804
Georgia,2019,Overexertion,--,"10,628,020",--,--,--
Georgia,2019,Drug Poisoning,"1,408","10,628,020",13.25,13.07,"29,323"
Georgia,2019,Non-Drug Poisoning,122,"10,628,020",1.15,1.14,"2,423"
Georgia,2019,Struck by / against,39,"10,628,020",0.37,0.35,662
Georgia,2019,Suffocation,647,"10,628,020",6.09,6.14,"14,865"
Georgia,2019,"Motor vehicle, traffic","1,492","10,628,020",14.04,13.66,"33,200"
Georgia,2019,"Pedal cyclist, other",--,"10,628,020",--,--,--
Georgia,2019,"Pedestrian, other",30,"10,628,020",0.28,0.27,497
Georgia,2019,"Transport, other land",51,"10,628,020",0.48,0.46,969
Georgia,2019,"Transport, other (excl. drown by water transp)",14**,"10,628,020",0.13**,0.12**,217
Georgia,2019,Other specified and classifiable,63,"10,628,020",0.59,0.62,"1,504"
Georgia,2019,Other specified / NEC,60,"10,628,020",0.57,0.54,"1,119"
Georgia,2019,Unspecified,229,"10,628,020",2.16,2.11,"2,364"
Georgia,2018,Cut/Pierce,76,"10,519,389",0.72,0.73,"1,718"
Georgia,2018,Drowning (includes water transport),151,"10,519,389",1.44,1.42,"4,173"
Georgia,2018,Fall,744,"10,519,389",7.07,7.34,"2,380"
Georgia,2018,Fire/Flame,125,"10,519,389",1.19,1.14,"1,578"
Georgia,2018,Firearm,"1,680","10,519,389",15.97,15.73,"40,829"
Georgia,2018,Machinery,15**,"10,519,389",0.14**,0.13**,190
Georgia,2018,Natural/Environmental,54,"10,519,389",0.51,0.48,628
Georgia,2018,Overexertion,--,"10,519,389",--,--,--
Georgia,2018,Drug Poisoning,"1,404","10,519,389",13.35,13.24,"29,924"
Georgia,2018,Non-Drug Poisoning,109,"10,519,389",1.04,1.01,"2,129"
Georgia,2018,Struck by / against,22,"10,519,389",0.21,0.2,425
Georgia,2018,Suffocation,581,"10,519,389",5.52,5.61,"13,753"
Georgia,2018,"Motor vehicle, traffic","1,474","10,519,389",14.01,13.66,"33,886"
Georgia,2018,"Pedal cyclist, other",13**,"10,519,389",0.12**,0.12**,218
Georgia,2018,"Pedestrian, other",45,"10,519,389",0.43,0.42,"1,142"
Georgia,2018,"Transport, other land",37,"10,519,389",0.35,0.35,796
Georgia,2018,"Transport, other (excl. drown by water transp)",16**,"10,519,389",0.15**,0.14**,219
Georgia,2018,Other specified and classifiable,53,"10,519,389",0.5,0.5,"1,104"
Georgia,2018,Other specified / NEC,41,"10,519,389",0.39,0.38,567
Georgia,2018,Unspecified,262,"10,519,389",2.49,2.51,"3,261"
Georgia,2017,Cut/Pierce,80,"10,417,031",0.77,0.72,"1,495"
Georgia,2017,Drowning (includes water transport),162,"10,417,031",1.56,1.57,"4,819"
Georgia,2017,Fall,740,"10,417,031",7.1,7.45,"2,377"
Georgia,2017,Fire/Flame,129,"10,417,031",1.24,1.21,"1,735"
Georgia,2017,Firearm,"1,623","10,417,031",15.58,15.38,"40,990"
Georgia,2017,Machinery,23,"10,417,031",0.22,0.21,224
Georgia,2017,Natural/Environmental,62,"10,417,031",0.6,0.57,757
Georgia,2017,Overexertion,--,"10,417,031",--,--,--
Georgia,2017,Drug Poisoning,"1,537","10,417,031",14.76,14.73,"35,246"
Georgia,2017,Non-Drug Poisoning,127,"10,417,031",1.22,1.19,"2,590"
Georgia,2017,Struck by / against,34,"10,417,031",0.33,0.31,569
Georgia,2017,Suffocation,563,"10,417,031",5.41,5.46,"12,900"
Georgia,2017,"Motor vehicle, traffic","1,512","10,417,031",14.52,14.18,"34,432"
Georgia,2017,"Pedal cyclist, other",--,"10,417,031",--,--,--
Georgia,2017,"Pedestrian, other",33,"10,417,031",0.32,0.32,835
Georgia,2017,"Transport, other land",48,"10,417,031",0.46,0.45,"1,465"
Georgia,2017,"Transport, other (excl. drown by water transp)",18**,"10,417,031",0.17**,0.19**,436
Georgia,2017,Other specified and classifiable,56,"10,417,031",0.54,0.53,"1,329"
Georgia,2017,Other specified / NEC,50,"10,417,031",0.48,0.49,717
Georgia,2017,Unspecified,278,"10,417,031",2.67,2.77,"3,222"
Georgia,2016,Cut/Pierce,87,"10,308,442",0.84,0.83,"2,114"
Georgia,2016,Drowning (includes water transport),176,"10,308,442",1.71,1.7,"5,220"
Georgia,2016,Fall,828,"10,308,442",8.03,8.58,"2,675"
Georgia,2016,Fire/Flame,150,"10,308,442",1.46,1.4,"2,477"
Georgia,2016,Hot object/Substance,--,"10,308,442",--,--,--
Georgia,2016,Firearm,"1,571","10,308,442",15.24,14.93,"39,977"
Georgia,2016,Machinery,14**,"10,308,442",0.14**,0.13**,131
Georgia,2016,Natural/Environmental,42,"10,308,442",0.41,0.41,703
Georgia,2016,Drug Poisoning,"1,394","10,308,442",13.52,13.28,"30,299"
Georgia,2016,Non-Drug Poisoning,133,"10,308,442",1.29,1.27,"2,594"
Georgia,2016,Struck by / against,37,"10,308,442",0.36,0.34,707
Georgia,2016,Suffocation,541,"10,308,442",5.25,5.38,"12,559"
Georgia,2016,"Motor vehicle, traffic","1,573","10,308,442",15.26,14.93,"37,041"
Georgia,2016,"Pedal cyclist, other",--,"10,308,442",--,--,--
Georgia,2016,"Pedestrian, other",35,"10,308,442",0.34,0.34,846
Georgia,2016,"Transport, other land",46,"10,308,442",0.45,0.46,"1,187"
Georgia,2016,"Transport, other (excl. drown by water transp)",13**,"10,308,442",0.13**,0.13**,299
Georgia,2016,Other specified and classifiable,65,"10,308,442",0.63,0.6,"1,498"
Georgia,2016,Other specified / NEC,57,"10,308,442",0.55,0.54,992
Georgia,2016,Unspecified,248,"10,308,442",2.41,2.53,"2,285"
Georgia,2015,Cut/Pierce,68,"10,183,353",0.67,0.66,"1,487"
Georgia,2015,Drowning (includes water transport),155,"10,183,353",1.52,1.5,"4,612"
Georgia,2015,Fall,755,"10,183,353",7.41,8.1,"2,506"
Georgia,2015,Fire/Flame,126,"10,183,353",1.24,1.2,"1,353"
Georgia,2015,Hot object/Substance,--,"10,183,353",--,--,--
Georgia,2015,Firearm,"1,448","10,183,353",14.22,14.12,"36,142"
Georgia,2015,Machinery,21,"10,183,353",0.21,0.21,300
Georgia,2015,Natural/Environmental,36,"10,183,353",0.35,0.36,379
Georgia,2015,Overexertion,--,"10,183,353",--,--,--
Georgia,2015,Drug Poisoning,"1,302","10,183,353",12.79,12.71,"29,887"
Georgia,2015,Non-Drug Poisoning,116,"10,183,353",1.14,1.1,"2,219"
Georgia,2015,Struck by / against,33,"10,183,353",0.32,0.32,709
Georgia,2015,Suffocation,535,"10,183,353",5.25,5.34,"12,338"
Georgia,2015,"Motor vehicle, traffic","1,407","10,183,353",13.82,13.68,"33,604"
Georgia,2015,"Pedal cyclist, other",--,"10,183,353",--,--,--
Georgia,2015,"Pedestrian, other",43,"10,183,353",0.42,0.43,934
