State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Hawaii,2021,Cut/Pierce,13**,"1,441,553",0.90**,0.87**,250
Hawaii,2021,Drowning (includes water transport),54,"1,441,553",3.75,3.57,971
Hawaii,2021,Fall,195,"1,441,553",13.53,9.99,"1,074"
Hawaii,2021,Fire/Flame,--,"1,441,553",--,--,--
Hawaii,2021,Hot object/Substance,--,"1,441,553",--,--,--
Hawaii,2021,Firearm,71,"1,441,553",4.93,4.84,"1,559"
Hawaii,2021,Machinery,--,"1,441,553",--,--,--
Hawaii,2021,Natural/Environmental,--,"1,441,553",--,--,--
Hawaii,2021,Drug Poisoning,269,"1,441,553",18.66,17.15,"3,981"
Hawaii,2021,Non-Drug Poisoning,14**,"1,441,553",0.97**,0.99**,338
Hawaii,2021,Struck by / against,--,"1,441,553",--,--,--
Hawaii,2021,Suffocation,144,"1,441,553",9.99,9.49,"3,000"
Hawaii,2021,"Motor vehicle, traffic",93,"1,441,553",6.45,6.18,"1,841"
Hawaii,2021,"Pedal cyclist, other",--,"1,441,553",--,--,--
Hawaii,2021,"Pedestrian, other",--,"1,441,553",--,--,--
Hawaii,2021,"Transport, other land",--,"1,441,553",--,--,--
Hawaii,2021,"Transport, other (excl. drown by water transp)",--,"1,441,553",--,--,--
Hawaii,2021,Other specified and classifiable,10**,"1,441,553",0.69**,0.52**,75
Hawaii,2021,Other specified / NEC,--,"1,441,553",--,--,--
Hawaii,2021,Unspecified,24,"1,441,553",1.67,1.37,242
Hawaii,2020,Cut/Pierce,11**,"1,451,911",0.76**,0.81**,215
Hawaii,2020,Drowning (includes water transport),56,"1,451,911",3.86,3.78,"1,137"
Hawaii,2020,Fall,182,"1,451,911",12.54,8.89,579
Hawaii,2020,Fire/Flame,--,"1,451,911",--,--,--
Hawaii,2020,Hot object/Substance,--,"1,451,911",--,--,--
Hawaii,2020,Firearm,50,"1,451,911",3.44,3.31,947
Hawaii,2020,Machinery,--,"1,451,911",--,--,--
Hawaii,2020,Natural/Environmental,--,"1,451,911",--,--,--
Hawaii,2020,Drug Poisoning,274,"1,451,911",18.87,17.51,"4,001"
Hawaii,2020,Non-Drug Poisoning,23,"1,451,911",1.58,1.51,376
Hawaii,2020,Struck by / against,--,"1,451,911",--,--,--
Hawaii,2020,Suffocation,144,"1,451,911",9.92,9.48,"2,906"
Hawaii,2020,"Motor vehicle, traffic",86,"1,451,911",5.92,5.49,"1,810"
Hawaii,2020,"Pedal cyclist, other",--,"1,451,911",--,--,--
Hawaii,2020,"Transport, other land",--,"1,451,911",--,--,--
Hawaii,2020,"Transport, other (excl. drown by water transp)",--,"1,451,911",--,--,--
Hawaii,2020,Other specified and classifiable,--,"1,451,911",--,--,--
Hawaii,2020,Other specified / NEC,--,"1,451,911",--,--,--
Hawaii,2020,Unspecified,42,"1,451,911",2.89,2.47,484
Hawaii,2019,Cut/Pierce,17**,"1,415,615",1.20**,1.08**,224
Hawaii,2019,Drowning (includes water transport),54,"1,415,615",3.82,3.63,885
Hawaii,2019,Fall,191,"1,415,615",13.49,9.36,775
Hawaii,2019,Fire/Flame,10**,"1,415,615",0.71**,0.49**,61
Hawaii,2019,Hot object/Substance,--,"1,415,615",--,--,--
Hawaii,2019,Firearm,62,"1,415,615",4.38,4.47,"1,368"
Hawaii,2019,Machinery,--,"1,415,615",--,--,--
Hawaii,2019,Natural/Environmental,--,"1,415,615",--,--,--
Hawaii,2019,Drug Poisoning,242,"1,415,615",17.1,15.94,"3,534"
Hawaii,2019,Non-Drug Poisoning,23,"1,415,615",1.63,1.48,358
Hawaii,2019,Struck by / against,--,"1,415,615",--,--,--
Hawaii,2019,Suffocation,165,"1,415,615",11.66,11.19,"3,425"
Hawaii,2019,"Motor vehicle, traffic",118,"1,415,615",8.34,8.09,"2,758"
Hawaii,2019,"Pedal cyclist, other",--,"1,415,615",--,--,--
Hawaii,2019,"Pedestrian, other",--,"1,415,615",--,--,--
Hawaii,2019,"Transport, other land",--,"1,415,615",--,--,--
Hawaii,2019,"Transport, other (excl. drown by water transp)",10**,"1,415,615",0.71**,0.67**,217
Hawaii,2019,Other specified and classifiable,--,"1,415,615",--,--,--
Hawaii,2019,Other specified / NEC,--,"1,415,615",--,--,--
Hawaii,2019,Unspecified,19**,"1,415,615",1.34**,1.07**,285
Hawaii,2018,Cut/Pierce,14**,"1,423,102",0.98**,0.87**,297
Hawaii,2018,Drowning (includes water transport),55,"1,423,102",3.87,3.45,932
Hawaii,2018,Fall,201,"1,423,102",14.12,9.62,769
Hawaii,2018,Fire/Flame,--,"1,423,102",--,--,--
Hawaii,2018,Hot object/Substance,--,"1,423,102",--,--,--
Hawaii,2018,Firearm,59,"1,423,102",4.15,4.02,971
Hawaii,2018,Machinery,--,"1,423,102",--,--,--
Hawaii,2018,Natural/Environmental,--,"1,423,102",--,--,--
Hawaii,2018,Drug Poisoning,213,"1,423,102",14.97,14.32,"3,339"
Hawaii,2018,Non-Drug Poisoning,17**,"1,423,102",1.20**,1.27**,389
Hawaii,2018,Struck by / against,--,"1,423,102",--,--,--
Hawaii,2018,Suffocation,132,"1,423,102",9.28,8.54,"2,677"
Hawaii,2018,"Motor vehicle, traffic",111,"1,423,102",7.8,7.6,"2,280"
Hawaii,2018,"Pedal cyclist, other",--,"1,423,102",--,--,--
Hawaii,2018,"Pedestrian, other",--,"1,423,102",--,--,--
Hawaii,2018,"Transport, other land",--,"1,423,102",--,--,--
Hawaii,2018,"Transport, other (excl. drown by water transp)",--,"1,423,102",--,--,--
Hawaii,2018,Other specified and classifiable,--,"1,423,102",--,--,--
Hawaii,2018,Other specified / NEC,--,"1,423,102",--,--,--
Hawaii,2018,Unspecified,17**,"1,423,102",1.20**,1.02**,201
Hawaii,2017,Cut/Pierce,10**,"1,425,763",0.70**,0.67**,280
Hawaii,2017,Drowning (includes water transport),56,"1,425,763",3.93,3.68,949
Hawaii,2017,Fall,190,"1,425,763",13.33,9.72,967
Hawaii,2017,Fire/Flame,10**,"1,425,763",0.70**,0.57**,89
Hawaii,2017,Firearm,39,"1,425,763",2.74,2.45,681
Hawaii,2017,Natural/Environmental,--,"1,425,763",--,--,--
Hawaii,2017,Drug Poisoning,203,"1,425,763",14.24,13.81,"3,379"
Hawaii,2017,Non-Drug Poisoning,21,"1,425,763",1.47,1.44,400
Hawaii,2017,Struck by / against,--,"1,425,763",--,--,--
Hawaii,2017,Suffocation,164,"1,425,763",11.5,10.86,"3,612"
Hawaii,2017,"Motor vehicle, traffic",103,"1,425,763",7.22,6.9,"2,458"
Hawaii,2017,"Pedal cyclist, other",--,"1,425,763",--,--,--
Hawaii,2017,"Pedestrian, other",--,"1,425,763",--,--,--
Hawaii,2017,"Transport, other land",--,"1,425,763",--,--,--
Hawaii,2017,"Transport, other (excl. drown by water transp)",13**,"1,425,763",0.91**,0.93**,360
Hawaii,2017,Other specified and classifiable,--,"1,425,763",--,--,--
Hawaii,2017,Other specified / NEC,14**,"1,425,763",0.98**,0.73**,113
Hawaii,2017,Unspecified,29,"1,425,763",2.03,1.77,262
Hawaii,2016,Cut/Pierce,12**,"1,428,885",0.84**,0.78**,242
Hawaii,2016,Drowning (includes water transport),38,"1,428,885",2.66,2.46,788
Hawaii,2016,Fall,181,"1,428,885",12.67,9.52,"1,117"
Hawaii,2016,Fire/Flame,--,"1,428,885",--,--,--
Hawaii,2016,Firearm,66,"1,428,885",4.62,4.5,"1,550"
Hawaii,2016,Natural/Environmental,--,"1,428,885",--,--,--
Hawaii,2016,Drug Poisoning,191,"1,428,885",13.37,12.64,"3,179"
Hawaii,2016,Non-Drug Poisoning,10**,"1,428,885",0.70**,0.56**,99
Hawaii,2016,Struck by / against,--,"1,428,885",--,--,--
Hawaii,2016,Suffocation,116,"1,428,885",8.12,7.88,"2,718"
Hawaii,2016,"Motor vehicle, traffic",132,"1,428,885",9.24,8.96,"3,076"
Hawaii,2016,"Pedestrian, other",--,"1,428,885",--,--,--
Hawaii,2016,"Transport, other land",--,"1,428,885",--,--,--
Hawaii,2016,"Transport, other (excl. drown by water transp)",15**,"1,428,885",1.05**,0.98**,404
Hawaii,2016,Other specified and classifiable,--,"1,428,885",--,--,--
Hawaii,2016,Other specified / NEC,--,"1,428,885",--,--,--
Hawaii,2016,Unspecified,24,"1,428,885",1.68,1.51,322
Hawaii,2015,Cut/Pierce,18**,"1,422,999",1.27**,1.30**,338
Hawaii,2015,Drowning (includes water transport),50,"1,422,999",3.51,3.23,"1,134"
Hawaii,2015,Fall,165,"1,422,999",11.6,8.67,763
Hawaii,2015,Fire/Flame,10**,"1,422,999",0.70**,0.52**,131
Hawaii,2015,Firearm,55,"1,422,999",3.87,3.58,999
Hawaii,2015,Natural/Environmental,--,"1,422,999",--,--,--
Hawaii,2015,Overexertion,--,"1,422,999",--,--,--
Hawaii,2015,Drug Poisoning,169,"1,422,999",11.88,11.3,"2,851"
Hawaii,2015,Non-Drug Poisoning,14**,"1,422,999",0.98**,0.84**,216
Hawaii,2015,Struck by / against,--,"1,422,999",--,--,--
Hawaii,2015,Suffocation,136,"1,422,999",9.56,9.12,"3,257"
Hawaii,2015,"Motor vehicle, traffic",99,"1,422,999",6.96,6.6,"2,225"
Hawaii,2015,"Pedal cyclist, other",--,"1,422,999",--,--,--
Hawaii,2015,"Pedestrian, other",--,"1,422,999",--,--,--
Hawaii,2015,"Transport, other land",--,"1,422,999",--,--,--
Hawaii,2015,"Transport, other (excl. drown by water transp)",--,"1,422,999",--,--,--
Hawaii,2015,Other specified and classifiable,10**,"1,422,999",0.70**,0.71**,289
Hawaii,2015,Other specified / NEC,13**,"1,422,999",0.91**,0.85**,188
Hawaii,2015,Unspecified,38,"1,422,999",2.67,2.08,259
Hawaii,2014,Cut/Pierce,14**,"1,415,335",0.99**,0.98**,273
Hawaii,2014,Drowning (includes water transport),46,"1,415,335",3.25,3.22,987
Hawaii,2014,Fall,174,"1,415,335",12.29,9.55,"1,101"
Hawaii,2014,Fire/Flame,--,"1,415,335",--,--,--
Hawaii,2014,Firearm,40,"1,415,335",2.83,2.69,569
Hawaii,2014,Machinery,--,"1,415,335",--,--,--
Hawaii,2014,Natural/Environmental,--,"1,415,335",--,--,--
Hawaii,2014,Drug Poisoning,157,"1,415,335",11.09,10.63,"2,659"
Hawaii,2014,Non-Drug Poisoning,13**,"1,415,335",0.92**,0.90**,192
Hawaii,2014,Struck by / against,10**,"1,415,335",0.71**,0.66**,205
Hawaii,2014,Suffocation,117,"1,415,335",8.27,7.87,"2,592"
Hawaii,2014,"Motor vehicle, traffic",99,"1,415,335",7,6.48,"2,114"
Hawaii,2014,"Pedestrian, other",--,"1,415,335",--,--,--
Hawaii,2014,"Transport, other land",--,"1,415,335",--,--,--
Hawaii,2014,"Transport, other (excl. drown by water transp)",--,"1,415,335",--,--,--
Hawaii,2014,Other specified and classifiable,--,"1,415,335",--,--,--
Hawaii,2014,Other specified / NEC,--,"1,415,335",--,--,--
Hawaii,2014,Unspecified,20**,"1,415,335",1.41**,1.26**,304
Hawaii,2013,Cut/Pierce,16**,"1,408,822",1.14**,1.04**,290
Hawaii,2013,Drowning (includes water transport),50,"1,408,822",3.55,3.38,842
Hawaii,2013,Fall,137,"1,408,822",9.72,7.93,972
Hawaii,2013,Fire/Flame,10**,"1,408,822",0.71**,0.51**,106
Hawaii,2013,Firearm,38,"1,408,822",2.7,2.58,682
Hawaii,2013,Machinery,--,"1,408,822",--,--,--
Hawaii,2013,Natural/Environmental,--,"1,408,822",--,--,--
Hawaii,2013,Drug Poisoning,158,"1,408,822",11.22,10.8,"3,025"
Hawaii,2013,Non-Drug Poisoning,10**,"1,408,822",0.71**,0.62**,136
Hawaii,2013,Struck by / against,--,"1,408,822",--,--,--
Hawaii,2013,Suffocation,117,"1,408,822",8.31,7.86,"2,635"
Hawaii,2013,"Motor vehicle, traffic",106,"1,408,822",7.52,7.48,"2,752"
Hawaii,2013,"Pedal cyclist, other",--,"1,408,822",--,--,--
Hawaii,2013,"Pedestrian, other",--,"1,408,822",--,--,--
Hawaii,2013,"Transport, other land",--,"1,408,822",--,--,--
Hawaii,2013,"Transport, other (excl. drown by water transp)",--,"1,408,822",--,--,--
Hawaii,2013,Other specified and classifiable,--,"1,408,822",--,--,--
Hawaii,2013,Other specified / NEC,11**,"1,408,822",0.78**,0.60**,109
Hawaii,2013,Unspecified,21,"1,408,822",1.49,1.32,354
Hawaii,2012,Cut/Pierce,10**,"1,395,199",0.72**,0.68**,261
Hawaii,2012,Drowning (includes water transport),51,"1,395,199",3.66,3.7,"1,064"
Hawaii,2012,Fall,149,"1,395,199",10.68,8.89,"1,028"
Hawaii,2012,Fire/Flame,--,"1,395,199",--,--,--
Hawaii,2012,Firearm,51,"1,395,199",3.66,3.36,879
Hawaii,2012,Machinery,--,"1,395,199",--,--,--
Hawaii,2012,Natural/Environmental,--,"1,395,199",--,--,--
Hawaii,2012,Drug Poisoning,155,"1,395,199",11.11,10.9,"3,039"
Hawaii,2012,Non-Drug Poisoning,--,"1,395,199",--,--,--
Hawaii,2012,Struck by / against,--,"1,395,199",--,--,--
Hawaii,2012,Suffocation,108,"1,395,199",7.74,7.31,"2,125"
Hawaii,2012,"Motor vehicle, traffic",130,"1,395,199",9.32,8.93,"3,134"
Hawaii,2012,"Pedal cyclist, other",--,"1,395,199",--,--,--
Hawaii,2012,"Pedestrian, other",--,"1,395,199",--,--,--
Hawaii,2012,"Transport, other land",--,"1,395,199",--,--,--
Hawaii,2012,"Transport, other (excl. drown by water transp)",--,"1,395,199",--,--,--
Hawaii,2012,Other specified and classifiable,--,"1,395,199",--,--,--
Hawaii,2012,Other specified / NEC,11**,"1,395,199",0.79**,0.64**,115
Hawaii,2012,Unspecified,31,"1,395,199",2.22,1.83,294
Hawaii,2011,Cut/Pierce,11**,"1,379,562",0.80**,0.75**,283
Hawaii,2011,Drowning (includes water transport),58,"1,379,562",4.2,4.01,"1,414"
Hawaii,2011,Fall,153,"1,379,562",11.09,9.11,858
Hawaii,2011,Fire/Flame,--,"1,379,562",--,--,--
Hawaii,2011,Hot object/Substance,--,"1,379,562",--,--,--
Hawaii,2011,Firearm,49,"1,379,562",3.55,3.42,"1,089"
Hawaii,2011,Machinery,--,"1,379,562",--,--,--
Hawaii,2011,Natural/Environmental,--,"1,379,562",--,--,--
Hawaii,2011,Drug Poisoning,180,"1,379,562",13.05,12.24,"2,955"
Hawaii,2011,Non-Drug Poisoning,18**,"1,379,562",1.31**,1.18**,220
Hawaii,2011,Struck by / against,--,"1,379,562",--,--,--
Hawaii,2011,Suffocation,131,"1,379,562",9.5,8.96,"3,029"
Hawaii,2011,"Motor vehicle, traffic",105,"1,379,562",7.61,7.37,"2,658"
Hawaii,2011,"Pedal cyclist, other",--,"1,379,562",--,--,--
Hawaii,2011,"Pedestrian, other",--,"1,379,562",--,--,--
Hawaii,2011,"Transport, other land",--,"1,379,562",--,--,--
Hawaii,2011,"Transport, other (excl. drown by water transp)",12**,"1,379,562",0.87**,0.84**,228
Hawaii,2011,Other specified and classifiable,--,"1,379,562",--,--,--
Hawaii,2011,Other specified / NEC,14**,"1,379,562",1.02**,0.84**,96
Hawaii,2011,Unspecified,23,"1,379,562",1.67,1.41,199
Hawaii,2010,Cut/Pierce,15**,"1,360,304",1.10**,1.06**,286
Hawaii,2010,Drowning (includes water transport),44,"1,360,304",3.24,3.06,872
Hawaii,2010,Fall,115,"1,360,304",8.45,7.16,753
Hawaii,2010,Fire/Flame,--,"1,360,304",--,--,--
Hawaii,2010,Firearm,45,"1,360,304",3.31,3.21,948
Hawaii,2010,Machinery,--,"1,360,304",--,--,--
Hawaii,2010,Natural/Environmental,--,"1,360,304",--,--,--
Hawaii,2010,Drug Poisoning,151,"1,360,304",11.1,10.89,"2,840"
Hawaii,2010,Non-Drug Poisoning,32,"1,360,304",2.35,2.16,526
Hawaii,2010,Struck by / against,--,"1,360,304",--,--,--
Hawaii,2010,Suffocation,127,"1,360,304",9.34,9.33,"3,142"
Hawaii,2010,"Motor vehicle, traffic",119,"1,360,304",8.75,8.71,"2,799"
Hawaii,2010,"Pedestrian, other",--,"1,360,304",--,--,--
Hawaii,2010,"Transport, other land",--,"1,360,304",--,--,--
Hawaii,2010,"Transport, other (excl. drown by water transp)",--,"1,360,304",--,--,--
Hawaii,2010,Other specified and classifiable,--,"1,360,304",--,--,--
Hawaii,2010,Other specified / NEC,11**,"1,360,304",0.81**,0.68**,87
Hawaii,2010,Unspecified,23,"1,360,304",1.69,1.46,196
Hawaii,2009,Cut/Pierce,--,"1,346,717",--,--,--
Hawaii,2009,Drowning (includes water transport),51,"1,346,717",3.79,3.54,"1,080"
Hawaii,2009,Fall,114,"1,346,717",8.47,7.18,787
Hawaii,2009,Fire/Flame,--,"1,346,717",--,--,--
Hawaii,2009,Firearm,47,"1,346,717",3.49,3.34,875
Hawaii,2009,Machinery,--,"1,346,717",--,--,--
