State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Iowa,2021,Cut/Pierce,21,"3,193,079",0.66,0.67,287
Iowa,2021,Drowning (includes water transport),51,"3,193,079",1.6,1.64,"1,252"
Iowa,2021,Fall,626,"3,193,079",19.61,15.2,"1,084"
Iowa,2021,Fire/Flame,29,"3,193,079",0.91,0.7,129
Iowa,2021,Firearm,364,"3,193,079",11.4,11.18,"7,570"
Iowa,2021,Machinery,14**,"3,193,079",0.44**,0.41**,315
Iowa,2021,Natural/Environmental,32,"3,193,079",1,0.79,223
Iowa,2021,Drug Poisoning,475,"3,193,079",14.88,15.37,"10,438"
Iowa,2021,Non-Drug Poisoning,54,"3,193,079",1.69,1.63,962
Iowa,2021,Struck by / against,14**,"3,193,079",0.44**,0.41**,204
Iowa,2021,Suffocation,248,"3,193,079",7.77,7.92,"5,240"
Iowa,2021,"Motor vehicle, traffic",353,"3,193,079",11.06,10.56,"7,137"
Iowa,2021,"Pedal cyclist, other",--,"3,193,079",--,--,--
Iowa,2021,"Pedestrian, other",--,"3,193,079",--,--,--
Iowa,2021,"Transport, other land",27,"3,193,079",0.85,0.84,598
Iowa,2021,"Transport, other (excl. drown by water transp)",--,"3,193,079",--,--,--
Iowa,2021,Other specified and classifiable,19**,"3,193,079",0.60**,0.61**,352
Iowa,2021,Other specified / NEC,12**,"3,193,079",0.38**,0.29**,96
Iowa,2021,Unspecified,82,"3,193,079",2.57,2.17,725
Iowa,2020,Cut/Pierce,13**,"3,188,669",0.41**,0.36**,159
Iowa,2020,Drowning (includes water transport),47,"3,188,669",1.47,1.49,"1,287"
Iowa,2020,Fall,620,"3,188,669",19.44,15.03,"1,143"
Iowa,2020,Fire/Flame,38,"3,188,669",1.19,0.99,461
Iowa,2020,Hot object/Substance,--,"3,188,669",--,--,--
Iowa,2020,Firearm,351,"3,188,669",11.01,11.11,"7,813"
Iowa,2020,Machinery,12**,"3,188,669",0.38**,0.35**,152
Iowa,2020,Natural/Environmental,20**,"3,188,669",0.63**,0.49**,98
Iowa,2020,Drug Poisoning,432,"3,188,669",13.55,14.2,"9,429"
Iowa,2020,Non-Drug Poisoning,78,"3,188,669",2.45,2.35,"1,265"
Iowa,2020,Struck by / against,11**,"3,188,669",0.35**,0.31**,122
Iowa,2020,Suffocation,250,"3,188,669",7.84,8.17,"5,899"
Iowa,2020,"Motor vehicle, traffic",340,"3,188,669",10.66,10.51,"7,769"
Iowa,2020,"Pedal cyclist, other",--,"3,188,669",--,--,--
Iowa,2020,"Pedestrian, other",--,"3,188,669",--,--,--
Iowa,2020,"Transport, other land",24,"3,188,669",0.75,0.7,430
Iowa,2020,"Transport, other (excl. drown by water transp)",--,"3,188,669",--,--,--
Iowa,2020,Other specified and classifiable,14**,"3,188,669",0.44**,0.42**,238
Iowa,2020,Other specified / NEC,18**,"3,188,669",0.56**,0.53**,218
Iowa,2020,Unspecified,68,"3,188,669",2.13,1.79,398
Iowa,2019,Cut/Pierce,12**,"3,159,596",0.38**,0.38**,304
Iowa,2019,Drowning (includes water transport),42,"3,159,596",1.33,1.3,"1,033"
Iowa,2019,Fall,524,"3,159,596",16.58,11.9,744
Iowa,2019,Fire/Flame,52,"3,159,596",1.65,1.44,727
Iowa,2019,Firearm,294,"3,159,596",9.31,9.07,"6,513"
Iowa,2019,Machinery,13**,"3,159,596",0.41**,0.39**,188
Iowa,2019,Natural/Environmental,27,"3,159,596",0.86,0.73,321
Iowa,2019,Drug Poisoning,352,"3,159,596",11.14,11.44,"7,276"
Iowa,2019,Non-Drug Poisoning,57,"3,159,596",1.8,1.83,870
Iowa,2019,Struck by / against,13**,"3,159,596",0.41**,0.39**,226
Iowa,2019,Suffocation,279,"3,159,596",8.83,8.82,"6,572"
Iowa,2019,"Motor vehicle, traffic",351,"3,159,596",11.11,10.56,"6,931"
Iowa,2019,"Pedal cyclist, other",--,"3,159,596",--,--,--
Iowa,2019,"Pedestrian, other",--,"3,159,596",--,--,--
Iowa,2019,"Transport, other land",19**,"3,159,596",0.60**,0.53**,283
Iowa,2019,"Transport, other (excl. drown by water transp)",--,"3,159,596",--,--,--
Iowa,2019,Other specified and classifiable,25,"3,159,596",0.79,0.79,446
Iowa,2019,Other specified / NEC,16**,"3,159,596",0.51**,0.45**,204
Iowa,2019,Unspecified,92,"3,159,596",2.91,2.27,630
Iowa,2018,Cut/Pierce,20**,"3,149,900",0.64**,0.59**,221
Iowa,2018,Drowning (includes water transport),42,"3,149,900",1.33,1.37,"1,160"
Iowa,2018,Fall,579,"3,149,900",18.38,13.61,"1,291"
Iowa,2018,Fire/Flame,37,"3,149,900",1.18,1.08,696
Iowa,2018,Hot object/Substance,--,"3,149,900",--,--,--
Iowa,2018,Firearm,282,"3,149,900",8.95,8.64,"5,767"
Iowa,2018,Machinery,15**,"3,149,900",0.48**,0.41**,151
Iowa,2018,Natural/Environmental,26,"3,149,900",0.83,0.65,244
Iowa,2018,Drug Poisoning,287,"3,149,900",9.11,9.61,"6,578"
Iowa,2018,Non-Drug Poisoning,63,"3,149,900",2,1.96,"1,107"
Iowa,2018,Struck by / against,12**,"3,149,900",0.38**,0.41**,236
Iowa,2018,Suffocation,244,"3,149,900",7.75,7.63,"5,314"
Iowa,2018,"Motor vehicle, traffic",341,"3,149,900",10.83,10.3,"7,082"
Iowa,2018,"Pedal cyclist, other",--,"3,149,900",--,--,--
Iowa,2018,"Pedestrian, other",--,"3,149,900",--,--,--
Iowa,2018,"Transport, other land",26,"3,149,900",0.83,0.85,587
Iowa,2018,"Transport, other (excl. drown by water transp)",--,"3,149,900",--,--,--
Iowa,2018,Other specified and classifiable,23,"3,149,900",0.73,0.76,660
Iowa,2018,Other specified / NEC,13**,"3,149,900",0.41**,0.38**,94
Iowa,2018,Unspecified,70,"3,149,900",2.22,1.93,"1,138"
Iowa,2017,Cut/Pierce,25,"3,143,734",0.8,0.71,413
Iowa,2017,Drowning (includes water transport),39,"3,143,734",1.24,1.15,767
Iowa,2017,Fall,528,"3,143,734",16.8,12.27,931
Iowa,2017,Fire/Flame,56,"3,143,734",1.78,1.65,860
Iowa,2017,Hot object/Substance,--,"3,143,734",--,--,--
Iowa,2017,Firearm,293,"3,143,734",9.32,9.03,"6,340"
Iowa,2017,Machinery,23,"3,143,734",0.73,0.61,227
Iowa,2017,Natural/Environmental,13**,"3,143,734",0.41**,0.34**,74
Iowa,2017,Drug Poisoning,341,"3,143,734",10.85,11.49,"7,431"
Iowa,2017,Non-Drug Poisoning,69,"3,143,734",2.2,2.24,"1,199"
Iowa,2017,Struck by / against,11**,"3,143,734",0.35**,0.28**,88
Iowa,2017,Suffocation,229,"3,143,734",7.28,7.16,"5,307"
Iowa,2017,"Motor vehicle, traffic",371,"3,143,734",11.8,11.38,"7,997"
Iowa,2017,"Pedal cyclist, other",--,"3,143,734",--,--,--
Iowa,2017,"Pedestrian, other",--,"3,143,734",--,--,--
