State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Idaho,2021,Cut/Pierce,--,"1,900,923",--,--,--
Idaho,2021,Drowning (includes water transport),38,"1,900,923",2,1.93,992
Idaho,2021,Fall,330,"1,900,923",17.36,16.89,586
Idaho,2021,Fire/Flame,28,"1,900,923",1.47,1.32,332
Idaho,2021,Firearm,309,"1,900,923",16.26,16.38,"6,668"
Idaho,2021,Machinery,--,"1,900,923",--,--,--
Idaho,2021,Natural/Environmental,20**,"1,900,923",1.05**,1.02**,317
Idaho,2021,Drug Poisoning,354,"1,900,923",18.62,18.92,"7,721"
Idaho,2021,Non-Drug Poisoning,33,"1,900,923",1.74,1.65,572
Idaho,2021,Struck by / against,15**,"1,900,923",0.79**,0.70**,276
Idaho,2021,Suffocation,136,"1,900,923",7.15,7.18,"3,132"
Idaho,2021,"Motor vehicle, traffic",288,"1,900,923",15.15,15.02,"6,838"
Idaho,2021,"Pedal cyclist, other",--,"1,900,923",--,--,--
Idaho,2021,"Pedestrian, other",--,"1,900,923",--,--,--
Idaho,2021,"Transport, other land",26,"1,900,923",1.37,1.31,718
Idaho,2021,"Transport, other (excl. drown by water transp)",--,"1,900,923",--,--,--
Idaho,2021,Other specified and classifiable,14**,"1,900,923",0.74**,0.73**,211
Idaho,2021,Other specified / NEC,12**,"1,900,923",0.63**,0.60**,152
Idaho,2021,Unspecified,18**,"1,900,923",0.95**,0.96**,277
Idaho,2020,Cut/Pierce,--,"1,847,772",--,--,--
Idaho,2020,Drowning (includes water transport),28,"1,847,772",1.52,1.58,561
Idaho,2020,Fall,299,"1,847,772",16.18,15.38,625
Idaho,2020,Fire/Flame,17**,"1,847,772",0.92**,0.84**,272
Idaho,2020,Firearm,321,"1,847,772",17.37,17.45,"6,749"
Idaho,2020,Machinery,--,"1,847,772",--,--,--
Idaho,2020,Natural/Environmental,18**,"1,847,772",0.97**,0.92**,106
Idaho,2020,Overexertion,--,"1,847,772",--,--,--
Idaho,2020,Drug Poisoning,287,"1,847,772",15.53,15.76,"5,605"
Idaho,2020,Non-Drug Poisoning,30,"1,847,772",1.62,1.83,816
Idaho,2020,Struck by / against,15**,"1,847,772",0.81**,0.71**,151
Idaho,2020,Suffocation,126,"1,847,772",6.82,7.12,"2,958"
Idaho,2020,"Motor vehicle, traffic",223,"1,847,772",12.07,12.01,"5,053"
Idaho,2020,"Pedal cyclist, other",--,"1,847,772",--,--,--
Idaho,2020,"Pedestrian, other",--,"1,847,772",--,--,--
Idaho,2020,"Transport, other land",22,"1,847,772",1.19,1.2,329
Idaho,2020,"Transport, other (excl. drown by water transp)",--,"1,847,772",--,--,--
Idaho,2020,Other specified and classifiable,16**,"1,847,772",0.87**,0.80**,301
Idaho,2020,Other specified / NEC,--,"1,847,772",--,--,--
Idaho,2020,Unspecified,24,"1,847,772",1.3,1.35,260
Idaho,2019,Cut/Pierce,12**,"1,789,060",0.67**,0.64**,162
Idaho,2019,Drowning (includes water transport),32,"1,789,060",1.79,1.9,931
Idaho,2019,Fall,271,"1,789,060",15.15,13.78,412
Idaho,2019,Fire/Flame,14**,"1,789,060",0.78**,0.70**,219
Idaho,2019,Hot object/Substance,--,"1,789,060",--,--,--
Idaho,2019,Firearm,255,"1,789,060",14.25,14.14,"4,914"
Idaho,2019,Machinery,--,"1,789,060",--,--,--
Idaho,2019,Natural/Environmental,15**,"1,789,060",0.84**,0.77**,104
Idaho,2019,Overexertion,--,"1,789,060",--,--,--
Idaho,2019,Drug Poisoning,265,"1,789,060",14.81,15.08,"5,587"
Idaho,2019,Non-Drug Poisoning,34,"1,789,060",1.9,1.87,503
Idaho,2019,Struck by / against,--,"1,789,060",--,--,--
Idaho,2019,Suffocation,132,"1,789,060",7.38,7.31,"3,083"
Idaho,2019,"Motor vehicle, traffic",241,"1,789,060",13.47,13.51,"5,238"
Idaho,2019,"Pedal cyclist, other",--,"1,789,060",--,--,--
Idaho,2019,"Pedestrian, other",--,"1,789,060",--,--,--
Idaho,2019,"Transport, other land",18**,"1,789,060",1.01**,1.05**,396
Idaho,2019,"Transport, other (excl. drown by water transp)",18**,"1,789,060",1.01**,0.95**,287
Idaho,2019,Other specified and classifiable,16**,"1,789,060",0.89**,0.86**,169
Idaho,2019,Other specified / NEC,11**,"1,789,060",0.62**,0.60**,103
Idaho,2019,Unspecified,19**,"1,789,060",1.06**,0.99**,127
Idaho,2018,Cut/Pierce,11**,"1,752,074",0.63**,0.53**,222
Idaho,2018,Drowning (includes water transport),41,"1,752,074",2.34,2.43,"1,112"
Idaho,2018,Fall,236,"1,752,074",13.47,12.61,616
Idaho,2018,Fire/Flame,15**,"1,752,074",0.86**,0.79**,102
Idaho,2018,Firearm,294,"1,752,074",16.78,16.62,"6,211"
Idaho,2018,Machinery,--,"1,752,074",--,--,--
Idaho,2018,Natural/Environmental,12**,"1,752,074",0.69**,0.68**,156
Idaho,2018,Drug Poisoning,250,"1,752,074",14.27,14.57,"5,421"
Idaho,2018,Non-Drug Poisoning,29,"1,752,074",1.66,1.61,553
Idaho,2018,Struck by / against,10**,"1,752,074",0.57**,0.53**,176
Idaho,2018,Suffocation,151,"1,752,074",8.62,8.75,"3,684"
Idaho,2018,"Motor vehicle, traffic",230,"1,752,074",13.13,13.11,"5,112"
Idaho,2018,"Pedal cyclist, other",--,"1,752,074",--,--,--
Idaho,2018,"Pedestrian, other",--,"1,752,074",--,--,--
Idaho,2018,"Transport, other land",24,"1,752,074",1.37,1.38,486
