State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Illinois,2021,Cut/Pierce,80,"12,671,469",0.63,0.61,"1,541"
Illinois,2021,Drowning (includes water transport),196,"12,671,469",1.55,1.49,"4,447"
Illinois,2021,Fall,"1,495","12,671,469",11.8,9.9,"4,567"
Illinois,2021,Fire/Flame,168,"12,671,469",1.33,1.19,"2,534"
Illinois,2021,Hot object/Substance,--,"12,671,469",--,--,--
Illinois,2021,Firearm,"1,995","12,671,469",15.74,16.01,"58,246"
Illinois,2021,Machinery,12**,"12,671,469",0.10**,0.08**,43
Illinois,2021,Natural/Environmental,68,"12,671,469",0.54,0.46,737
Illinois,2021,Drug Poisoning,"3,762","12,671,469",29.69,29.05,"76,937"
Illinois,2021,Non-Drug Poisoning,150,"12,671,469",1.18,1.16,"2,671"
Illinois,2021,Struck by / against,33,"12,671,469",0.26,0.24,514
Illinois,2021,Suffocation,777,"12,671,469",6.13,5.86,"16,001"
Illinois,2021,"Motor vehicle, traffic","1,428","12,671,469",11.27,10.94,"31,920"
Illinois,2021,"Pedal cyclist, other",15**,"12,671,469",0.12**,0.10**,117
Illinois,2021,"Pedestrian, other",46,"12,671,469",0.36,0.36,983
Illinois,2021,"Transport, other land",40,"12,671,469",0.32,0.3,962
Illinois,2021,"Transport, other (excl. drown by water transp)",--,"12,671,469",--,--,--
Illinois,2021,Other specified and classifiable,98,"12,671,469",0.77,0.77,"2,261"
Illinois,2021,Other specified / NEC,58,"12,671,469",0.46,0.41,827
Illinois,2021,Unspecified,315,"12,671,469",2.49,2.19,"2,397"
Illinois,2020,Cut/Pierce,94,"12,785,245",0.74,0.72,"2,057"
Illinois,2020,Drowning (includes water transport),183,"12,785,245",1.43,1.39,"4,600"
Illinois,2020,Fall,"1,410","12,785,245",11.03,9.39,"3,796"
Illinois,2020,Fire/Flame,135,"12,785,245",1.06,0.93,"1,993"
Illinois,2020,Firearm,"1,745","12,785,245",13.65,13.82,"51,432"
Illinois,2020,Machinery,15**,"12,785,245",0.12**,0.11**,235
