State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Indiana,2021,Cut/Pierce,55,"6,805,985",0.81,0.81,"1,110"
Indiana,2021,Drowning (includes water transport),99,"6,805,985",1.46,1.49,"2,988"
Indiana,2021,Fall,692,"6,805,985",10.17,9.01,"1,798"
Indiana,2021,Fire/Flame,96,"6,805,985",1.41,1.28,"1,321"
Indiana,2021,Hot object/Substance,--,"6,805,985",--,--,--
Indiana,2021,Firearm,"1,251","6,805,985",18.38,18.4,"32,423"
Indiana,2021,Machinery,16**,"6,805,985",0.24**,0.21**,120
Indiana,2021,Natural/Environmental,40,"6,805,985",0.59,0.55,416
Indiana,2021,Overexertion,--,"6,805,985",--,--,--
Indiana,2021,Drug Poisoning,"2,811","6,805,985",41.3,43.11,"65,737"
Indiana,2021,Non-Drug Poisoning,146,"6,805,985",2.15,2.16,"2,689"
Indiana,2021,Struck by / against,32,"6,805,985",0.47,0.42,529
Indiana,2021,Suffocation,469,"6,805,985",6.89,7.02,"11,728"
Indiana,2021,"Motor vehicle, traffic",969,"6,805,985",14.24,14.21,"23,056"
Indiana,2021,"Pedal cyclist, other",--,"6,805,985",--,--,--
Indiana,2021,"Pedestrian, other",20**,"6,805,985",0.29**,0.30**,513
Indiana,2021,"Transport, other land",31,"6,805,985",0.46,0.44,435
Indiana,2021,"Transport, other (excl. drown by water transp)",--,"6,805,985",--,--,--
Indiana,2021,Other specified and classifiable,48,"6,805,985",0.71,0.71,"1,160"
Indiana,2021,Other specified / NEC,47,"6,805,985",0.69,0.63,435
Indiana,2021,Unspecified,392,"6,805,985",5.76,5.24,"2,288"
Indiana,2020,Cut/Pierce,68,"6,785,644",1,1.02,"1,564"
Indiana,2020,Drowning (includes water transport),96,"6,785,644",1.42,1.4,"2,418"
Indiana,2020,Fall,616,"6,785,644",9.08,7.89,"1,534"
Indiana,2020,Fire/Flame,96,"6,785,644",1.42,1.32,"1,649"
Indiana,2020,Firearm,"1,159","6,785,644",17.08,17.2,"30,991"
Indiana,2020,Machinery,20**,"6,785,644",0.30**,0.25**,249
Indiana,2020,Natural/Environmental,37,"6,785,644",0.55,0.49,389
Indiana,2020,Overexertion,--,"6,785,644",--,--,--
Indiana,2020,Drug Poisoning,"2,321","6,785,644",34.21,36.34,"57,598"
Indiana,2020,Non-Drug Poisoning,114,"6,785,644",1.68,1.66,"2,178"
Indiana,2020,Struck by / against,26,"6,785,644",0.38,0.36,429
Indiana,2020,Suffocation,489,"6,785,644",7.21,7.29,"12,273"
Indiana,2020,"Motor vehicle, traffic",923,"6,785,644",13.6,13.39,"21,037"
Indiana,2020,"Pedal cyclist, other",--,"6,785,644",--,--,--
Indiana,2020,"Pedestrian, other",11**,"6,785,644",0.16**,0.17**,250
Indiana,2020,"Transport, other land",36,"6,785,644",0.53,0.52,763
Indiana,2020,"Transport, other (excl. drown by water transp)",10**,"6,785,644",0.15**,0.14**,214
Indiana,2020,Other specified and classifiable,52,"6,785,644",0.77,0.79,"1,379"
Indiana,2020,Other specified / NEC,35,"6,785,644",0.52,0.46,252
Indiana,2020,Unspecified,347,"6,785,644",5.11,4.63,"2,306"
Indiana,2019,Cut/Pierce,59,"6,731,010",0.88,0.86,"1,196"
Indiana,2019,Drowning (includes water transport),89,"6,731,010",1.32,1.32,"2,582"
Indiana,2019,Fall,554,"6,731,010",8.23,7.03,"1,830"
Indiana,2019,Fire/Flame,87,"6,731,010",1.29,1.15,"1,264"
Indiana,2019,Hot object/Substance,--,"6,731,010",--,--,--
Indiana,2019,Firearm,958,"6,731,010",14.23,14,"23,357"
Indiana,2019,Machinery,15**,"6,731,010",0.22**,0.21**,150
Indiana,2019,Natural/Environmental,49,"6,731,010",0.73,0.67,687
Indiana,2019,Drug Poisoning,"1,699","6,731,010",25.24,26.64,"39,819"
Indiana,2019,Non-Drug Poisoning,147,"6,731,010",2.18,2.21,"2,846"
Indiana,2019,Struck by / against,25,"6,731,010",0.37,0.35,504
Indiana,2019,Suffocation,477,"6,731,010",7.09,7.06,"11,363"
Indiana,2019,"Motor vehicle, traffic",839,"6,731,010",12.47,12.04,"18,109"
Indiana,2019,"Pedal cyclist, other",11**,"6,731,010",0.16**,0.16**,165
Indiana,2019,"Pedestrian, other",26,"6,731,010",0.39,0.39,605
Indiana,2019,"Transport, other land",27,"6,731,010",0.4,0.38,568
Indiana,2019,"Transport, other (excl. drown by water transp)",16**,"6,731,010",0.24**,0.22**,295
Indiana,2019,Other specified and classifiable,27,"6,731,010",0.4,0.4,705
Indiana,2019,Other specified / NEC,32,"6,731,010",0.48,0.45,508
Indiana,2019,Unspecified,338,"6,731,010",5.02,4.36,"1,944"
Indiana,2018,Cut/Pierce,53,"6,698,481",0.79,0.81,"1,158"
Indiana,2018,Drowning (includes water transport),88,"6,698,481",1.31,1.33,"2,357"
Indiana,2018,Fall,566,"6,698,481",8.45,7.17,"1,477"
Indiana,2018,Fire/Flame,105,"6,698,481",1.57,1.47,"1,674"
Indiana,2018,Firearm,977,"6,698,481",14.59,14.69,"24,261"
Indiana,2018,Machinery,25,"6,698,481",0.37,0.37,613
Indiana,2018,Natural/Environmental,60,"6,698,481",0.9,0.8,850
Indiana,2018,Drug Poisoning,"1,629","6,698,481",24.32,25.52,"39,115"
Indiana,2018,Non-Drug Poisoning,153,"6,698,481",2.28,2.26,"2,619"
Indiana,2018,Struck by / against,33,"6,698,481",0.49,0.51,598
Indiana,2018,Suffocation,508,"6,698,481",7.58,7.53,"12,323"
Indiana,2018,"Motor vehicle, traffic",834,"6,698,481",12.45,12.34,"19,086"
Indiana,2018,"Pedal cyclist, other",--,"6,698,481",--,--,--
Indiana,2018,"Pedestrian, other",27,"6,698,481",0.4,0.38,642
Indiana,2018,"Transport, other land",27,"6,698,481",0.4,0.36,645
Indiana,2018,"Transport, other (excl. drown by water transp)",11**,"6,698,481",0.16**,0.15**,140
Indiana,2018,Other specified and classifiable,32,"6,698,481",0.48,0.49,"1,017"
Indiana,2018,Other specified / NEC,33,"6,698,481",0.49,0.45,320
Indiana,2018,Unspecified,320,"6,698,481",4.78,4.14,"2,299"
Indiana,2017,Cut/Pierce,57,"6,662,068",0.86,0.84,"1,192"
Indiana,2017,Drowning (includes water transport),101,"6,662,068",1.52,1.6,"3,109"
Indiana,2017,Fall,545,"6,662,068",8.18,7.1,"1,650"
Indiana,2017,Fire/Flame,78,"6,662,068",1.17,1.04,"1,145"
Indiana,2017,Firearm,"1,016","6,662,068",15.25,15.2,"25,523"
Indiana,2017,Machinery,14**,"6,662,068",0.21**,0.21**,165
Indiana,2017,Natural/Environmental,33,"6,662,068",0.5,0.39,196
Indiana,2017,Drug Poisoning,"1,852","6,662,068",27.8,29.34,"45,539"
Indiana,2017,Non-Drug Poisoning,134,"6,662,068",2.01,1.97,"2,546"
Indiana,2017,Struck by / against,21,"6,662,068",0.32,0.31,353
Indiana,2017,Suffocation,555,"6,662,068",8.33,8.3,"13,513"
Indiana,2017,"Motor vehicle, traffic",880,"6,662,068",13.21,12.9,"19,746"
Indiana,2017,"Pedal cyclist, other",--,"6,662,068",--,--,--
Indiana,2017,"Pedestrian, other",15**,"6,662,068",0.23**,0.26**,563
Indiana,2017,"Transport, other land",33,"6,662,068",0.5,0.49,888
Indiana,2017,"Transport, other (excl. drown by water transp)",--,"6,662,068",--,--,--
Indiana,2017,Other specified and classifiable,37,"6,662,068",0.56,0.56,"1,167"
Indiana,2017,Other specified / NEC,29,"6,662,068",0.44,0.38,247
