State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Kansas,2021,Cut/Pierce,21,"2,934,582",0.72,0.71,407
Kansas,2021,Drowning (includes water transport),37,"2,934,582",1.26,1.21,"1,061"
Kansas,2021,Fall,526,"2,934,582",17.92,14.83,908
Kansas,2021,Fire/Flame,31,"2,934,582",1.06,0.91,321
Kansas,2021,Firearm,503,"2,934,582",17.14,17.38,"12,806"
Kansas,2021,Machinery,11**,"2,934,582",0.38**,0.33**,183
Kansas,2021,Natural/Environmental,21,"2,934,582",0.72,0.66,164
Kansas,2021,Drug Poisoning,680,"2,934,582",23.17,24.29,"15,828"
Kansas,2021,Non-Drug Poisoning,63,"2,934,582",2.15,2.22,"1,138"
Kansas,2021,Struck by / against,10**,"2,934,582",0.34**,0.32**,135
Kansas,2021,Suffocation,218,"2,934,582",7.43,7.55,"5,402"
Kansas,2021,"Motor vehicle, traffic",447,"2,934,582",15.23,14.86,"9,611"
Kansas,2021,"Pedal cyclist, other",--,"2,934,582",--,--,--
Kansas,2021,"Pedestrian, other",--,"2,934,582",--,--,--
Kansas,2021,"Transport, other land",24,"2,934,582",0.82,0.77,391
Kansas,2021,"Transport, other (excl. drown by water transp)",--,"2,934,582",--,--,--
Kansas,2021,Other specified and classifiable,29,"2,934,582",0.99,0.9,578
Kansas,2021,Other specified / NEC,11**,"2,934,582",0.38**,0.32**,129
Kansas,2021,Unspecified,98,"2,934,582",3.34,2.9,663
Kansas,2020,Cut/Pierce,22,"2,935,880",0.75,0.76,544
Kansas,2020,Drowning (includes water transport),40,"2,935,880",1.36,1.32,"1,047"
Kansas,2020,Fall,480,"2,935,880",16.35,13.66,840
Kansas,2020,Fire/Flame,28,"2,935,880",0.95,0.8,184
Kansas,2020,Firearm,494,"2,935,880",16.83,16.72,"12,854"
Kansas,2020,Machinery,11**,"2,935,880",0.38**,0.33**,189
Kansas,2020,Natural/Environmental,16**,"2,935,880",0.55**,0.50**,79
Kansas,2020,Overexertion,--,"2,935,880",--,--,--
Kansas,2020,Drug Poisoning,490,"2,935,880",16.69,17.26,"11,554"
Kansas,2020,Non-Drug Poisoning,63,"2,935,880",2.15,2.22,"1,311"
Kansas,2020,Struck by / against,--,"2,935,880",--,--,--
Kansas,2020,Suffocation,227,"2,935,880",7.73,7.82,"5,589"
Kansas,2020,"Motor vehicle, traffic",402,"2,935,880",13.69,13.17,"7,920"
Kansas,2020,"Pedal cyclist, other",--,"2,935,880",--,--,--
Kansas,2020,"Pedestrian, other",--,"2,935,880",--,--,--
Kansas,2020,"Transport, other land",25,"2,935,880",0.85,0.82,502
Kansas,2020,"Transport, other (excl. drown by water transp)",--,"2,935,880",--,--,--
