State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Kentucky,2021,Cut/Pierce,33,"4,509,394",0.73,0.75,560
Kentucky,2021,Drowning (includes water transport),79,"4,509,394",1.75,1.74,"2,281"
Kentucky,2021,Fall,495,"4,509,394",10.98,9.49,"1,385"
Kentucky,2021,Fire/Flame,85,"4,509,394",1.89,1.59,922
Kentucky,2021,Hot object/Substance,--,"4,509,394",--,--,--
Kentucky,2021,Firearm,947,"4,509,394",21,20.95,"23,118"
Kentucky,2021,Machinery,17**,"4,509,394",0.38**,0.31**,116
Kentucky,2021,Natural/Environmental,106,"4,509,394",2.35,2.16,"1,675"
Kentucky,2021,Drug Poisoning,"2,381","4,509,394",52.8,55.8,"53,329"
Kentucky,2021,Non-Drug Poisoning,61,"4,509,394",1.35,1.27,"1,016"
Kentucky,2021,Struck by / against,19**,"4,509,394",0.42**,0.45**,323
Kentucky,2021,Suffocation,330,"4,509,394",7.32,7.19,"6,811"
Kentucky,2021,"Motor vehicle, traffic",786,"4,509,394",17.43,17.06,"16,792"
Kentucky,2021,"Pedal cyclist, other",--,"4,509,394",--,--,--
Kentucky,2021,"Pedestrian, other",10**,"4,509,394",0.22**,0.24**,214
Kentucky,2021,"Transport, other land",41,"4,509,394",0.91,0.86,643
Kentucky,2021,"Transport, other (excl. drown by water transp)",--,"4,509,394",--,--,--
Kentucky,2021,Other specified and classifiable,32,"4,509,394",0.71,0.66,635
Kentucky,2021,Other specified / NEC,21,"4,509,394",0.47,0.46,457
Kentucky,2021,Unspecified,229,"4,509,394",5.08,4.62,960
Kentucky,2020,Cut/Pierce,36,"4,503,958",0.8,0.79,702
Kentucky,2020,Drowning (includes water transport),83,"4,503,958",1.84,1.9,"2,403"
Kentucky,2020,Fall,375,"4,503,958",8.33,7.19,915
Kentucky,2020,Fire/Flame,97,"4,503,958",2.15,2.01,"1,495"
Kentucky,2020,Hot object/Substance,--,"4,503,958",--,--,--
Kentucky,2020,Firearm,902,"4,503,958",20.03,20.05,"21,617"
Kentucky,2020,Machinery,18**,"4,503,958",0.40**,0.30**,90
Kentucky,2020,Natural/Environmental,32,"4,503,958",0.71,0.6,323
Kentucky,2020,Drug Poisoning,"2,083","4,503,958",46.25,48.81,"47,853"
Kentucky,2020,Non-Drug Poisoning,79,"4,503,958",1.75,1.64,"1,254"
Kentucky,2020,Struck by / against,28,"4,503,958",0.62,0.62,561
Kentucky,2020,Suffocation,319,"4,503,958",7.08,7.39,"7,976"
Kentucky,2020,"Motor vehicle, traffic",817,"4,503,958",18.14,17.94,"18,655"
Kentucky,2020,"Pedal cyclist, other",--,"4,503,958",--,--,--
Kentucky,2020,"Pedestrian, other",13**,"4,503,958",0.29**,0.32**,353
Kentucky,2020,"Transport, other land",47,"4,503,958",1.04,1.04,"1,147"
Kentucky,2020,"Transport, other (excl. drown by water transp)",--,"4,503,958",--,--,--
Kentucky,2020,Other specified and classifiable,24,"4,503,958",0.53,0.51,302
Kentucky,2020,Other specified / NEC,25,"4,503,958",0.56,0.45,213
Kentucky,2020,Unspecified,254,"4,503,958",5.64,5.07,867
Kentucky,2019,Cut/Pierce,40,"4,472,345",0.89,0.9,708
Kentucky,2019,Drowning (includes water transport),72,"4,472,345",1.61,1.59,"1,968"
Kentucky,2019,Fall,431,"4,472,345",9.64,8.09,"1,044"
Kentucky,2019,Fire/Flame,74,"4,472,345",1.66,1.49,"1,103"
Kentucky,2019,Hot object/Substance,--,"4,472,345",--,--,--
Kentucky,2019,Firearm,682,"4,472,345",15.25,14.89,"14,991"
Kentucky,2019,Machinery,12**,"4,472,345",0.27**,0.25**,174
Kentucky,2019,Natural/Environmental,30,"4,472,345",0.67,0.63,532
Kentucky,2019,Drug Poisoning,"1,380","4,472,345",30.86,32.6,"30,598"
Kentucky,2019,Non-Drug Poisoning,66,"4,472,345",1.48,1.41,"1,081"
Kentucky,2019,Struck by / against,24,"4,472,345",0.54,0.53,442
