State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Louisiana,2021,Cut/Pierce,59,"4,624,047",1.28,1.3,"1,451"
Louisiana,2021,Drowning (includes water transport),138,"4,624,047",2.98,3.04,"3,809"
Louisiana,2021,Fall,462,"4,624,047",9.99,9.05,"1,374"
Louisiana,2021,Fire/Flame,78,"4,624,047",1.69,1.46,918
Louisiana,2021,Hot object/Substance,--,"4,624,047",--,--,--
Louisiana,2021,Firearm,"1,314","4,624,047",28.42,29.06,"38,051"
Louisiana,2021,Machinery,--,"4,624,047",--,--,--
Louisiana,2021,Natural/Environmental,50,"4,624,047",1.08,0.91,477
Louisiana,2021,Drug Poisoning,"2,463","4,624,047",53.27,56.23,"56,183"
Louisiana,2021,Non-Drug Poisoning,66,"4,624,047",1.43,1.46,"1,249"
Louisiana,2021,Struck by / against,35,"4,624,047",0.76,0.71,579
Louisiana,2021,Suffocation,324,"4,624,047",7.01,7.23,"9,215"
Louisiana,2021,"Motor vehicle, traffic","1,004","4,624,047",21.71,21.95,"24,190"
Louisiana,2021,"Pedal cyclist, other",--,"4,624,047",--,--,--
Louisiana,2021,"Pedestrian, other",19**,"4,624,047",0.41**,0.39**,412
Louisiana,2021,"Transport, other land",23,"4,624,047",0.5,0.44,499
Louisiana,2021,"Transport, other (excl. drown by water transp)",13**,"4,624,047",0.28**,0.24**,248
Louisiana,2021,Other specified and classifiable,33,"4,624,047",0.71,0.73,964
Louisiana,2021,Other specified / NEC,44,"4,624,047",0.95,0.91,655
Louisiana,2021,Unspecified,172,"4,624,047",3.72,3.42,"1,751"
Louisiana,2020,Cut/Pierce,64,"4,651,203",1.38,1.41,"1,404"
Louisiana,2020,Drowning (includes water transport),121,"4,651,203",2.6,2.71,"3,870"
Louisiana,2020,Fall,367,"4,651,203",7.89,7.16,"1,126"
Louisiana,2020,Fire/Flame,86,"4,651,203",1.85,1.65,"1,185"
Louisiana,2020,Hot object/Substance,--,"4,651,203",--,--,--
Louisiana,2020,Firearm,"1,183","4,651,203",25.43,26.15,"34,248"
Louisiana,2020,Machinery,--,"4,651,203",--,--,--
Louisiana,2020,Natural/Environmental,45,"4,651,203",0.97,0.87,756
Louisiana,2020,Drug Poisoning,"1,896","4,651,203",40.76,42.64,"42,989"
Louisiana,2020,Non-Drug Poisoning,60,"4,651,203",1.29,1.26,"1,098"
Louisiana,2020,Struck by / against,31,"4,651,203",0.67,0.59,309
Louisiana,2020,Suffocation,339,"4,651,203",7.29,7.39,"9,469"
Louisiana,2020,"Motor vehicle, traffic",821,"4,651,203",17.65,17.48,"18,832"
Louisiana,2020,"Pedal cyclist, other",--,"4,651,203",--,--,--
Louisiana,2020,"Pedestrian, other",25,"4,651,203",0.54,0.53,605
Louisiana,2020,"Transport, other land",32,"4,651,203",0.69,0.69,649
Louisiana,2020,"Transport, other (excl. drown by water transp)",23,"4,651,203",0.49,0.49,506
Louisiana,2020,Other specified and classifiable,41,"4,651,203",0.88,0.85,794
Louisiana,2020,Other specified / NEC,41,"4,651,203",0.88,0.86,702
Louisiana,2020,Unspecified,174,"4,651,203",3.74,3.47,"1,598"
Louisiana,2019,Cut/Pierce,44,"4,658,285",0.95,0.9,829
Louisiana,2019,Drowning (includes water transport),115,"4,658,285",2.47,2.42,"2,863"
Louisiana,2019,Fall,338,"4,658,285",7.26,6.35,"1,180"
Louisiana,2019,Fire/Flame,76,"4,658,285",1.63,1.47,"1,108"
Louisiana,2019,Hot object/Substance,--,"4,658,285",--,--,--
Louisiana,2019,Firearm,"1,013","4,658,285",21.75,22.08,"26,661"
Louisiana,2019,Machinery,--,"4,658,285",--,--,--
Louisiana,2019,Natural/Environmental,21,"4,658,285",0.45,0.42,434
Louisiana,2019,Drug Poisoning,"1,267","4,658,285",27.2,28.36,"27,443"
Louisiana,2019,Non-Drug Poisoning,57,"4,658,285",1.22,1.24,"1,247"
