State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Massachusetts,2021,Cut/Pierce,55,"6,984,723",0.79,0.75,"1,004"
Massachusetts,2021,Drowning (includes water transport),73,"6,984,723",1.05,1.02,"1,847"
Massachusetts,2021,Fall,"1,172","6,984,723",16.78,13.33,"1,981"
Massachusetts,2021,Fire/Flame,36,"6,984,723",0.52,0.41,157
Massachusetts,2021,Hot object/Substance,--,"6,984,723",--,--,--
Massachusetts,2021,Firearm,247,"6,984,723",3.54,3.35,"5,842"
Massachusetts,2021,Machinery,--,"6,984,723",--,--,--
Massachusetts,2021,Natural/Environmental,18**,"6,984,723",0.26**,0.20**,124
Massachusetts,2021,Drug Poisoning,"2,585","6,984,723",37.01,36.84,"54,020"
Massachusetts,2021,Non-Drug Poisoning,111,"6,984,723",1.59,1.46,"1,905"
Massachusetts,2021,Struck by / against,16**,"6,984,723",0.23**,0.22**,305
Massachusetts,2021,Suffocation,432,"6,984,723",6.19,5.43,"6,096"
Massachusetts,2021,"Motor vehicle, traffic",447,"6,984,723",6.4,5.88,"8,988"
Massachusetts,2021,"Pedestrian, other",14**,"6,984,723",0.20**,0.19**,321
Massachusetts,2021,"Transport, other land",15**,"6,984,723",0.22**,0.19**,256
Massachusetts,2021,"Transport, other (excl. drown by water transp)",--,"6,984,723",--,--,--
Massachusetts,2021,Other specified and classifiable,46,"6,984,723",0.66,0.57,753
Massachusetts,2021,Other specified / NEC,44,"6,984,723",0.63,0.52,381
Massachusetts,2021,Unspecified,159,"6,984,723",2.28,1.88,"1,112"
Massachusetts,2020,Cut/Pierce,62,"7,022,220",0.88,0.83,"1,370"
Massachusetts,2020,Drowning (includes water transport),69,"7,022,220",0.98,0.96,"1,500"
Massachusetts,2020,Fall,"1,040","7,022,220",14.81,11.83,"1,708"
Massachusetts,2020,Fire/Flame,41,"7,022,220",0.58,0.45,354
Massachusetts,2020,Hot object/Substance,--,"7,022,220",--,--,--
Massachusetts,2020,Firearm,268,"7,022,220",3.82,3.66,"6,858"
Massachusetts,2020,Machinery,--,"7,022,220",--,--,--
Massachusetts,2020,Natural/Environmental,20**,"7,022,220",0.29**,0.25**,150
Massachusetts,2020,Drug Poisoning,"2,302","7,022,220",32.78,32.98,"51,013"
Massachusetts,2020,Non-Drug Poisoning,88,"7,022,220",1.25,1.16,"1,693"
Massachusetts,2020,Struck by / against,10**,"7,022,220",0.14**,0.14**,244
Massachusetts,2020,Suffocation,440,"7,022,220",6.27,5.7,"6,764"
Massachusetts,2020,"Motor vehicle, traffic",377,"7,022,220",5.37,4.99,"8,224"
Massachusetts,2020,"Pedal cyclist, other",--,"7,022,220",--,--,--
Massachusetts,2020,"Pedestrian, other",--,"7,022,220",--,--,--
Massachusetts,2020,"Transport, other land",--,"7,022,220",--,--,--
Massachusetts,2020,"Transport, other (excl. drown by water transp)",--,"7,022,220",--,--,--
Massachusetts,2020,Other specified and classifiable,35,"7,022,220",0.5,0.42,568
Massachusetts,2020,Other specified / NEC,50,"7,022,220",0.71,0.61,482
Massachusetts,2020,Unspecified,141,"7,022,220",2.01,1.66,"1,015"
Massachusetts,2019,Cut/Pierce,63,"6,894,883",0.91,0.87,"1,418"
Massachusetts,2019,Drowning (includes water transport),76,"6,894,883",1.1,1,"1,501"
Massachusetts,2019,Fall,"1,029","6,894,883",14.92,11.31,"1,699"
Massachusetts,2019,Fire/Flame,51,"6,894,883",0.74,0.61,505
Massachusetts,2019,Hot object/Substance,--,"6,894,883",--,--,--
Massachusetts,2019,Firearm,247,"6,894,883",3.58,3.39,"5,929"
Massachusetts,2019,Machinery,--,"6,894,883",--,--,--
Massachusetts,2019,Natural/Environmental,25,"6,894,883",0.36,0.31,224
Massachusetts,2019,Drug Poisoning,"2,210","6,894,883",32.05,32.06,"50,145"
Massachusetts,2019,Non-Drug Poisoning,95,"6,894,883",1.38,1.29,"1,743"
Massachusetts,2019,Struck by / against,10**,"6,894,883",0.15**,0.14**,195
Massachusetts,2019,Suffocation,490,"6,894,883",7.11,6.17,"6,811"
Massachusetts,2019,"Motor vehicle, traffic",378,"6,894,883",5.48,4.86,"6,946"
Massachusetts,2019,"Pedal cyclist, other",--,"6,894,883",--,--,--
Massachusetts,2019,"Pedestrian, other",11**,"6,894,883",0.16**,0.14**,147
Massachusetts,2019,"Transport, other land",16**,"6,894,883",0.23**,0.23**,417
Massachusetts,2019,"Transport, other (excl. drown by water transp)",--,"6,894,883",--,--,--
Massachusetts,2019,Other specified and classifiable,47,"6,894,883",0.68,0.63,869
Massachusetts,2019,Other specified / NEC,47,"6,894,883",0.68,0.56,356
Massachusetts,2019,Unspecified,133,"6,894,883",1.93,1.59,966
Massachusetts,2018,Cut/Pierce,50,"6,885,720",0.73,0.67,901
Massachusetts,2018,Drowning (includes water transport),88,"6,885,720",1.28,1.24,"2,020"
Massachusetts,2018,Fall,944,"6,885,720",13.71,10.5,"2,209"
Massachusetts,2018,Fire/Flame,47,"6,885,720",0.68,0.6,708
Massachusetts,2018,Hot object/Substance,--,"6,885,720",--,--,--
Massachusetts,2018,Firearm,258,"6,885,720",3.75,3.47,"5,501"
Massachusetts,2018,Machinery,--,"6,885,720",--,--,--
Massachusetts,2018,Natural/Environmental,24,"6,885,720",0.35,0.3,180
Massachusetts,2018,Overexertion,--,"6,885,720",--,--,--
Massachusetts,2018,Drug Poisoning,"2,241","6,885,720",32.55,32.81,"52,932"
Massachusetts,2018,Non-Drug Poisoning,102,"6,885,720",1.48,1.35,"1,521"
Massachusetts,2018,Struck by / against,--,"6,885,720",--,--,--
Massachusetts,2018,Suffocation,505,"6,885,720",7.33,6.57,"8,040"
Massachusetts,2018,"Motor vehicle, traffic",386,"6,885,720",5.61,5.17,"7,981"
Massachusetts,2018,"Pedal cyclist, other",--,"6,885,720",--,--,--
Massachusetts,2018,"Pedestrian, other",13**,"6,885,720",0.19**,0.19**,214
Massachusetts,2018,"Transport, other land",--,"6,885,720",--,--,--
Massachusetts,2018,"Transport, other (excl. drown by water transp)",--,"6,885,720",--,--,--
Massachusetts,2018,Other specified and classifiable,49,"6,885,720",0.71,0.66,935
Massachusetts,2018,Other specified / NEC,42,"6,885,720",0.61,0.53,527
Massachusetts,2018,Unspecified,143,"6,885,720",2.08,1.63,829
Massachusetts,2017,Cut/Pierce,55,"6,863,560",0.8,0.81,"1,226"
Massachusetts,2017,Drowning (includes water transport),63,"6,863,560",0.92,0.85,"1,386"
Massachusetts,2017,Fall,851,"6,863,560",12.4,9.5,"2,000"
Massachusetts,2017,Fire/Flame,45,"6,863,560",0.66,0.59,649
Massachusetts,2017,Firearm,262,"6,863,560",3.82,3.68,"6,696"
Massachusetts,2017,Machinery,--,"6,863,560",--,--,--
Massachusetts,2017,Natural/Environmental,18**,"6,863,560",0.26**,0.23**,265
Massachusetts,2017,Drug Poisoning,"2,168","6,863,560",31.59,31.64,"51,183"
Massachusetts,2017,Non-Drug Poisoning,82,"6,863,560",1.2,1.08,"1,284"
Massachusetts,2017,Struck by / against,10**,"6,863,560",0.15**,0.12**,137
Massachusetts,2017,Suffocation,502,"6,863,560",7.31,6.76,"8,806"
Massachusetts,2017,"Motor vehicle, traffic",402,"6,863,560",5.86,5.47,"8,796"
Massachusetts,2017,"Pedal cyclist, other",13**,"6,863,560",0.19**,0.19**,344
Massachusetts,2017,"Pedestrian, other",12**,"6,863,560",0.18**,0.18**,336
Massachusetts,2017,"Transport, other land",19**,"6,863,560",0.28**,0.27**,332
Massachusetts,2017,"Transport, other (excl. drown by water transp)",--,"6,863,560",--,--,--
Massachusetts,2017,Other specified and classifiable,40,"6,863,560",0.58,0.55,707
Massachusetts,2017,Other specified / NEC,39,"6,863,560",0.57,0.51,404
Massachusetts,2017,Unspecified,141,"6,863,560",2.05,1.61,662
Massachusetts,2016,Cut/Pierce,50,"6,827,280",0.73,0.67,997
Massachusetts,2016,Drowning (includes water transport),88,"6,827,280",1.29,1.2,"1,928"
Massachusetts,2016,Fall,733,"6,827,280",10.74,8.41,"1,714"
Massachusetts,2016,Fire/Flame,44,"6,827,280",0.64,0.56,621
Massachusetts,2016,Hot object/Substance,--,"6,827,280",--,--,--
Massachusetts,2016,Firearm,242,"6,827,280",3.55,3.41,"5,790"
Massachusetts,2016,Machinery,--,"6,827,280",--,--,--
