State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Maryland,2021,Cut/Pierce,55,"6,165,129",0.89,0.86,"1,330"
Maryland,2021,Drowning (includes water transport),70,"6,165,129",1.14,1.14,"1,637"
Maryland,2021,Fall,893,"6,165,129",14.49,12.47,"1,898"
Maryland,2021,Fire/Flame,48,"6,165,129",0.78,0.71,812
Maryland,2021,Hot object/Substance,--,"6,165,129",--,--,--
Maryland,2021,Firearm,915,"6,165,129",14.84,15.23,"24,989"
Maryland,2021,Machinery,--,"6,165,129",--,--,--
Maryland,2021,Natural/Environmental,28,"6,165,129",0.45,0.41,249
Maryland,2021,Drug Poisoning,"2,737","6,165,129",44.4,42.63,"54,001"
Maryland,2021,Non-Drug Poisoning,91,"6,165,129",1.48,1.44,"1,776"
Maryland,2021,Struck by / against,20**,"6,165,129",0.32**,0.32**,344
Maryland,2021,Suffocation,316,"6,165,129",5.13,5.06,"6,294"
Maryland,2021,"Motor vehicle, traffic",641,"6,165,129",10.4,10.23,"15,122"
Maryland,2021,"Pedal cyclist, other",--,"6,165,129",--,--,--
Maryland,2021,"Pedestrian, other",17**,"6,165,129",0.28**,0.25**,283
Maryland,2021,"Transport, other land",12**,"6,165,129",0.20**,0.17**,155
Maryland,2021,Other specified and classifiable,32,"6,165,129",0.52,0.52,700
Maryland,2021,Other specified / NEC,34,"6,165,129",0.55,0.47,164
Maryland,2021,Unspecified,163,"6,165,129",2.64,2.43,"2,059"
Maryland,2020,Cut/Pierce,64,"6,172,679",1.04,1.05,"1,541"
Maryland,2020,Drowning (includes water transport),89,"6,172,679",1.44,1.42,"2,022"
Maryland,2020,Fall,857,"6,172,679",13.88,12.1,"2,186"
Maryland,2020,Fire/Flame,34,"6,172,679",0.55,0.5,354
Maryland,2020,Hot object/Substance,--,"6,172,679",--,--,--
Maryland,2020,Firearm,803,"6,172,679",13.01,13.26,"22,407"
Maryland,2020,Machinery,--,"6,172,679",--,--,--
Maryland,2020,Natural/Environmental,32,"6,172,679",0.52,0.47,376
Maryland,2020,Drug Poisoning,"2,771","6,172,679",44.89,43.58,"57,480"
Maryland,2020,Non-Drug Poisoning,87,"6,172,679",1.41,1.36,"1,442"
Maryland,2020,Struck by / against,16**,"6,172,679",0.26**,0.24**,283
Maryland,2020,Suffocation,297,"6,172,679",4.81,4.68,"5,697"
Maryland,2020,"Motor vehicle, traffic",618,"6,172,679",10.01,9.84,"13,756"
Maryland,2020,"Pedal cyclist, other",--,"6,172,679",--,--,--
Maryland,2020,"Pedestrian, other",12**,"6,172,679",0.19**,0.20**,268
Maryland,2020,"Transport, other land",16**,"6,172,679",0.26**,0.25**,306
Maryland,2020,"Transport, other (excl. drown by water transp)",--,"6,172,679",--,--,--
Maryland,2020,Other specified and classifiable,30,"6,172,679",0.49,0.46,838
Maryland,2020,Other specified / NEC,30,"6,172,679",0.49,0.42,329
Maryland,2020,Unspecified,175,"6,172,679",2.84,2.62,"1,930"
Maryland,2019,Cut/Pierce,48,"6,054,954",0.79,0.78,"1,085"
Maryland,2019,Drowning (includes water transport),83,"6,054,954",1.37,1.28,"1,834"
Maryland,2019,Fall,808,"6,054,954",13.34,11.24,"2,255"
Maryland,2019,Fire/Flame,55,"6,054,954",0.91,0.8,585
Maryland,2019,Hot object/Substance,--,"6,054,954",--,--,--
Maryland,2019,Firearm,757,"6,054,954",12.5,12.54,"20,829"
Maryland,2019,Machinery,--,"6,054,954",--,--,--
Maryland,2019,Natural/Environmental,37,"6,054,954",0.61,0.54,378
Maryland,2019,Drug Poisoning,"2,369","6,054,954",39.13,37.88,"49,226"
Maryland,2019,Non-Drug Poisoning,90,"6,054,954",1.49,1.44,"1,776"
Maryland,2019,Struck by / against,19**,"6,054,954",0.31**,0.27**,241
