State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Maine,2021,Cut/Pierce,--,"1,372,247",--,--,--
Maine,2021,Drowning (includes water transport),28,"1,372,247",2.04,2.16,738
Maine,2021,Fall,351,"1,372,247",25.58,17.74,298
Maine,2021,Fire/Flame,25,"1,372,247",1.82,1.5,383
Maine,2021,Firearm,178,"1,372,247",12.97,12.58,"3,432"
Maine,2021,Machinery,--,"1,372,247",--,--,--
Maine,2021,Natural/Environmental,11**,"1,372,247",0.80**,0.66**,90
Maine,2021,Drug Poisoning,611,"1,372,247",44.53,47.5,"13,138"
Maine,2021,Non-Drug Poisoning,61,"1,372,247",4.45,4.01,875
Maine,2021,Struck by / against,--,"1,372,247",--,--,--
Maine,2021,Suffocation,96,"1,372,247",7,6.86,"2,066"
Maine,2021,"Motor vehicle, traffic",172,"1,372,247",12.53,11.88,"3,314"
Maine,2021,"Pedestrian, other",--,"1,372,247",--,--,--
Maine,2021,"Transport, other land",12**,"1,372,247",0.87**,0.82**,221
Maine,2021,Other specified and classifiable,10**,"1,372,247",0.73**,0.65**,219
Maine,2021,Other specified / NEC,--,"1,372,247",--,--,--
Maine,2021,Unspecified,28,"1,372,247",2.04,1.56,154
Maine,2020,Cut/Pierce,11**,"1,362,280",0.81**,0.79**,205
Maine,2020,Drowning (includes water transport),29,"1,362,280",2.13,2.01,584
Maine,2020,Fall,364,"1,362,280",26.72,18.71,313
Maine,2020,Fire/Flame,16**,"1,362,280",1.18**,1.10**,268
Maine,2020,Firearm,153,"1,362,280",11.23,10.28,"2,558"
Maine,2020,Natural/Environmental,15**,"1,362,280",1.10**,1.02**,151
Maine,2020,Drug Poisoning,496,"1,362,280",36.41,39.15,"10,900"
Maine,2020,Non-Drug Poisoning,39,"1,362,280",2.86,2.65,531
Maine,2020,Struck by / against,--,"1,362,280",--,--,--
Maine,2020,Suffocation,73,"1,362,280",5.36,5.6,"1,857"
Maine,2020,"Motor vehicle, traffic",171,"1,362,280",12.55,11.95,"3,551"
Maine,2020,"Pedal cyclist, other",--,"1,362,280",--,--,--
Maine,2020,"Pedestrian, other",--,"1,362,280",--,--,--
Maine,2020,"Transport, other land",17**,"1,362,280",1.25**,1.13**,299
Maine,2020,"Transport, other (excl. drown by water transp)",--,"1,362,280",--,--,--
Maine,2020,Other specified and classifiable,--,"1,362,280",--,--,--
Maine,2020,Other specified / NEC,--,"1,362,280",--,--,--
Maine,2020,Unspecified,17**,"1,362,280",1.25**,0.92**,128
Maine,2019,Cut/Pierce,13**,"1,345,770",0.97**,0.88**,173
Maine,2019,Drowning (includes water transport),29,"1,345,770",2.16,2.05,496
Maine,2019,Fall,373,"1,345,770",27.72,18.14,362
Maine,2019,Fire/Flame,23,"1,345,770",1.71,1.29,163
Maine,2019,Firearm,163,"1,345,770",12.11,11.43,"3,088"
Maine,2019,Machinery,--,"1,345,770",--,--,--
Maine,2019,Natural/Environmental,--,"1,345,770",--,--,--
Maine,2019,Drug Poisoning,371,"1,345,770",27.57,29.97,"8,509"
Maine,2019,Non-Drug Poisoning,43,"1,345,770",3.2,2.85,570
Maine,2019,Struck by / against,--,"1,345,770",--,--,--
Maine,2019,Suffocation,101,"1,345,770",7.51,7.76,"2,393"
Maine,2019,"Motor vehicle, traffic",159,"1,345,770",11.82,10.98,"3,072"
Maine,2019,"Pedestrian, other",--,"1,345,770",--,--,--
Maine,2019,"Transport, other land",10**,"1,345,770",0.74**,0.72**,193
Maine,2019,"Transport, other (excl. drown by water transp)",--,"1,345,770",--,--,--
Maine,2019,Other specified and classifiable,--,"1,345,770",--,--,--
Maine,2019,Other specified / NEC,--,"1,345,770",--,--,--
Maine,2019,Unspecified,18**,"1,345,770",1.34**,0.86**,9
Maine,2018,Cut/Pierce,12**,"1,340,123",0.90**,0.80**,227
Maine,2018,Drowning (includes water transport),25,"1,340,123",1.87,1.74,500
Maine,2018,Fall,393,"1,340,123",29.33,19.32,267
Maine,2018,Fire/Flame,23,"1,340,123",1.72,1.43,227
Maine,2018,Firearm,159,"1,340,123",11.87,10.31,"2,416"
Maine,2018,Machinery,--,"1,340,123",--,--,--
Maine,2018,Natural/Environmental,--,"1,340,123",--,--,--
Maine,2018,Drug Poisoning,345,"1,340,123",25.74,27.92,"7,958"
Maine,2018,Non-Drug Poisoning,47,"1,340,123",3.51,3.21,726
Maine,2018,Struck by / against,--,"1,340,123",--,--,--
Maine,2018,Suffocation,89,"1,340,123",6.64,6.87,"2,312"
Maine,2018,"Motor vehicle, traffic",150,"1,340,123",11.19,10.39,"2,797"
Maine,2018,"Pedestrian, other",--,"1,340,123",--,--,--
Maine,2018,"Transport, other land",--,"1,340,123",--,--,--
Maine,2018,"Transport, other (excl. drown by water transp)",--,"1,340,123",--,--,--
Maine,2018,Other specified and classifiable,12**,"1,340,123",0.90**,0.80**,164
Maine,2018,Other specified / NEC,10**,"1,340,123",0.75**,0.62**,123
Maine,2018,Unspecified,13**,"1,340,123",0.97**,0.63**,40
Maine,2017,Cut/Pierce,--,"1,335,743",--,--,--
Maine,2017,Drowning (includes water transport),23,"1,335,743",1.72,1.82,464
Maine,2017,Fall,247,"1,335,743",18.49,12.37,295
Maine,2017,Fire/Flame,12**,"1,335,743",0.90**,0.82**,173
Maine,2017,Firearm,172,"1,335,743",12.88,11.59,"2,723"
Maine,2017,Machinery,--,"1,335,743",--,--,--
Maine,2017,Natural/Environmental,11**,"1,335,743",0.82**,0.74**,123
Maine,2017,Drug Poisoning,424,"1,335,743",31.74,34.47,"10,097"
Maine,2017,Non-Drug Poisoning,36,"1,335,743",2.7,2.56,603
Maine,2017,Struck by / against,--,"1,335,743",--,--,--
Maine,2017,Suffocation,91,"1,335,743",6.81,6.49,"1,757"
Maine,2017,"Motor vehicle, traffic",177,"1,335,743",13.25,12.78,"3,531"
Maine,2017,"Pedal cyclist, other",--,"1,335,743",--,--,--
Maine,2017,"Pedestrian, other",--,"1,335,743",--,--,--
Maine,2017,"Transport, other land",14**,"1,335,743",1.05**,1.04**,260
Maine,2017,"Transport, other (excl. drown by water transp)",--,"1,335,743",--,--,--
Maine,2017,Other specified and classifiable,--,"1,335,743",--,--,--
Maine,2017,Other specified / NEC,16**,"1,335,743",1.20**,0.87**,73
Maine,2017,Unspecified,65,"1,335,743",4.87,3.34,137
Maine,2016,Cut/Pierce,10**,"1,332,348",0.75**,0.58**,90
Maine,2016,Drowning (includes water transport),31,"1,332,348",2.33,2.47,805
Maine,2016,Fall,234,"1,332,348",17.56,12.21,441
Maine,2016,Fire/Flame,14**,"1,332,348",1.05**,0.75**,129
Maine,2016,Firearm,123,"1,332,348",9.23,8.23,"2,205"
Maine,2016,Machinery,--,"1,332,348",--,--,--
Maine,2016,Natural/Environmental,--,"1,332,348",--,--,--
Maine,2016,Drug Poisoning,353,"1,332,348",26.5,28.82,"8,488"
Maine,2016,Non-Drug Poisoning,30,"1,332,348",2.25,2.27,477
Maine,2016,Struck by / against,--,"1,332,348",--,--,--
Maine,2016,Suffocation,92,"1,332,348",6.91,6.75,"2,040"
Maine,2016,"Motor vehicle, traffic",168,"1,332,348",12.61,12.31,"3,660"
Maine,2016,"Pedestrian, other",--,"1,332,348",--,--,--
Maine,2016,"Transport, other land",--,"1,332,348",--,--,--
Maine,2016,"Transport, other (excl. drown by water transp)",--,"1,332,348",--,--,--
Maine,2016,Other specified and classifiable,--,"1,332,348",--,--,--
Maine,2016,Other specified / NEC,--,"1,332,348",--,--,--
Maine,2016,Unspecified,73,"1,332,348",5.48,3.74,122
Maine,2015,Cut/Pierce,--,"1,329,098",--,--,--
Maine,2015,Drowning (includes water transport),41,"1,329,098",3.09,2.79,744
Maine,2015,Fall,198,"1,329,098",14.9,10.65,396
Maine,2015,Fire/Flame,15**,"1,329,098",1.13**,0.91**,176
Maine,2015,Firearm,144,"1,329,098",10.83,9.91,"2,322"
Maine,2015,Machinery,--,"1,329,098",--,--,--
Maine,2015,Natural/Environmental,--,"1,329,098",--,--,--
Maine,2015,Drug Poisoning,269,"1,329,098",20.24,21.2,"6,172"
