State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Michigan,2021,Cut/Pierce,106,"10,050,811",1.06,1.02,"2,281"
Michigan,2021,Drowning (includes water transport),160,"10,050,811",1.59,1.54,"3,877"
Michigan,2021,Fall,"1,581","10,050,811",15.73,12.84,"2,910"
Michigan,2021,Fire/Flame,134,"10,050,811",1.33,1.1,"1,287"
Michigan,2021,Hot object/Substance,--,"10,050,811",--,--,--
Michigan,2021,Firearm,"1,544","10,050,811",15.36,15.36,"37,975"
Michigan,2021,Machinery,17**,"10,050,811",0.17**,0.16**,290
Michigan,2021,Natural/Environmental,78,"10,050,811",0.78,0.7,"1,041"
Michigan,2021,Overexertion,--,"10,050,811",--,--,--
Michigan,2021,Drug Poisoning,"3,089","10,050,811",30.73,31.5,"65,043"
Michigan,2021,Non-Drug Poisoning,165,"10,050,811",1.64,1.59,"3,098"
Michigan,2021,Struck by / against,29,"10,050,811",0.29,0.24,339
Michigan,2021,Suffocation,652,"10,050,811",6.49,6.54,"16,118"
Michigan,2021,"Motor vehicle, traffic","1,302","10,050,811",12.95,12.69,"28,492"
Michigan,2021,"Pedal cyclist, other",15**,"10,050,811",0.15**,0.14**,242
Michigan,2021,"Pedestrian, other",12**,"10,050,811",0.12**,0.12**,307
Michigan,2021,"Transport, other land",48,"10,050,811",0.48,0.45,984
Michigan,2021,"Transport, other (excl. drown by water transp)",19**,"10,050,811",0.19**,0.18**,447
Michigan,2021,Other specified and classifiable,80,"10,050,811",0.8,0.74,"1,423"
Michigan,2021,Other specified / NEC,69,"10,050,811",0.69,0.58,701
Michigan,2021,Unspecified,207,"10,050,811",2.06,1.72,"1,532"
Michigan,2020,Cut/Pierce,94,"10,067,664",0.93,0.91,"2,009"
Michigan,2020,Drowning (includes water transport),173,"10,067,664",1.72,1.58,"3,258"
Michigan,2020,Fall,"1,534","10,067,664",15.24,12.39,"2,318"
Michigan,2020,Fire/Flame,150,"10,067,664",1.49,1.34,"2,413"
Michigan,2020,Hot object/Substance,--,"10,067,664",--,--,--
Michigan,2020,Firearm,"1,454","10,067,664",14.44,14.43,"35,675"
Michigan,2020,Machinery,19**,"10,067,664",0.19**,0.16**,114
Michigan,2020,Natural/Environmental,57,"10,067,664",0.57,0.45,402
Michigan,2020,Overexertion,--,"10,067,664",--,--,--
Michigan,2020,Drug Poisoning,"2,759","10,067,664",27.41,28.23,"59,870"
Michigan,2020,Non-Drug Poisoning,172,"10,067,664",1.71,1.62,"2,964"
Michigan,2020,Struck by / against,33,"10,067,664",0.33,0.3,410
Michigan,2020,Suffocation,673,"10,067,664",6.69,6.7,"16,528"
Michigan,2020,"Motor vehicle, traffic","1,175","10,067,664",11.67,11.32,"25,167"
Michigan,2020,"Pedal cyclist, other",16**,"10,067,664",0.16**,0.12**,179
Michigan,2020,"Pedestrian, other",13**,"10,067,664",0.13**,0.14**,386
Michigan,2020,"Transport, other land",47,"10,067,664",0.47,0.44,801
Michigan,2020,"Transport, other (excl. drown by water transp)",14**,"10,067,664",0.14**,0.15**,358
Michigan,2020,Other specified and classifiable,88,"10,067,664",0.87,0.86,"1,604"
Michigan,2020,Other specified / NEC,64,"10,067,664",0.64,0.58,854
Michigan,2020,Unspecified,211,"10,067,664",2.1,1.79,"1,925"
Michigan,2019,Cut/Pierce,84,"9,984,795",0.84,0.79,"1,672"
Michigan,2019,Drowning (includes water transport),137,"9,984,795",1.37,1.33,"3,171"
Michigan,2019,Fall,"1,320","9,984,795",13.22,10.13,"1,730"
Michigan,2019,Fire/Flame,111,"9,984,795",1.11,0.95,"1,627"
