State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Minnesota,2021,Cut/Pierce,46,"5,707,390",0.81,0.76,846
Minnesota,2021,Drowning (includes water transport),99,"5,707,390",1.74,1.73,"2,582"
Minnesota,2021,Fall,"1,370","5,707,390",24,20.1,"2,124"
Minnesota,2021,Fire/Flame,46,"5,707,390",0.81,0.76,700
Minnesota,2021,Hot object/Substance,--,"5,707,390",--,--,--
Minnesota,2021,Firearm,573,"5,707,390",10.04,9.97,"13,191"
Minnesota,2021,Machinery,10**,"5,707,390",0.18**,0.17**,122
Minnesota,2021,Natural/Environmental,46,"5,707,390",0.81,0.7,462
Minnesota,2021,Drug Poisoning,"1,356","5,707,390",23.76,24.53,"32,972"
Minnesota,2021,Non-Drug Poisoning,109,"5,707,390",1.91,1.93,"2,413"
Minnesota,2021,Struck by / against,20**,"5,707,390",0.35**,0.32**,261
Minnesota,2021,Suffocation,354,"5,707,390",6.2,6.2,"8,476"
Minnesota,2021,"Motor vehicle, traffic",556,"5,707,390",9.74,9.45,"11,035"
Minnesota,2021,"Pedal cyclist, other",--,"5,707,390",--,--,--
Minnesota,2021,"Pedestrian, other",10**,"5,707,390",0.18**,0.17**,169
Minnesota,2021,"Transport, other land",51,"5,707,390",0.89,0.87,"1,301"
Minnesota,2021,"Transport, other (excl. drown by water transp)",--,"5,707,390",--,--,--
Minnesota,2021,Other specified and classifiable,55,"5,707,390",0.96,0.89,941
Minnesota,2021,Other specified / NEC,43,"5,707,390",0.75,0.68,656
Minnesota,2021,Unspecified,127,"5,707,390",2.23,2,"1,271"
Minnesota,2020,Cut/Pierce,34,"5,707,165",0.6,0.58,650
Minnesota,2020,Drowning (includes water transport),96,"5,707,165",1.68,1.62,"2,336"
Minnesota,2020,Fall,"1,311","5,707,165",22.97,19.2,"2,397"
Minnesota,2020,Fire/Flame,47,"5,707,165",0.82,0.72,391
Minnesota,2020,Hot object/Substance,--,"5,707,165",--,--,--
Minnesota,2020,Firearm,513,"5,707,165",8.99,8.83,"11,744"
Minnesota,2020,Machinery,15**,"5,707,165",0.26**,0.24**,221
Minnesota,2020,Natural/Environmental,43,"5,707,165",0.75,0.69,435
Minnesota,2020,Overexertion,--,"5,707,165",--,--,--
Minnesota,2020,Drug Poisoning,"1,050","5,707,165",18.4,18.81,"25,485"
Minnesota,2020,Non-Drug Poisoning,113,"5,707,165",1.98,1.81,"1,839"
Minnesota,2020,Struck by / against,16**,"5,707,165",0.28**,0.27**,230
Minnesota,2020,Suffocation,371,"5,707,165",6.5,6.27,"8,219"
Minnesota,2020,"Motor vehicle, traffic",443,"5,707,165",7.76,7.56,"9,194"
Minnesota,2020,"Pedal cyclist, other",11**,"5,707,165",0.19**,0.16**,40
Minnesota,2020,"Pedestrian, other",11**,"5,707,165",0.19**,0.17**,94
Minnesota,2020,"Transport, other land",58,"5,707,165",1.02,0.96,"1,090"
Minnesota,2020,"Transport, other (excl. drown by water transp)",10**,"5,707,165",0.18**,0.16**,235
Minnesota,2020,Other specified and classifiable,45,"5,707,165",0.79,0.72,617
Minnesota,2020,Other specified / NEC,53,"5,707,165",0.93,0.84,721
Minnesota,2020,Unspecified,115,"5,707,165",2.02,1.81,"1,386"
Minnesota,2019,Cut/Pierce,32,"5,640,053",0.57,0.55,601
Minnesota,2019,Drowning (includes water transport),82,"5,640,053",1.45,1.36,"1,814"
Minnesota,2019,Fall,"1,247","5,640,053",22.11,17.45,"1,812"
Minnesota,2019,Fire/Flame,40,"5,640,053",0.71,0.63,530
Minnesota,2019,Hot object/Substance,--,"5,640,053",--,--,--
Minnesota,2019,Firearm,465,"5,640,053",8.25,8.12,"10,582"
Minnesota,2019,Machinery,14**,"5,640,053",0.25**,0.21**,160
Minnesota,2019,Natural/Environmental,48,"5,640,053",0.85,0.71,342
Minnesota,2019,Drug Poisoning,792,"5,640,053",14.04,14.19,"18,361"
Minnesota,2019,Non-Drug Poisoning,134,"5,640,053",2.38,2.3,"2,392"
Minnesota,2019,Struck by / against,18**,"5,640,053",0.32**,0.31**,259
Minnesota,2019,Suffocation,387,"5,640,053",6.86,6.76,"9,510"
Minnesota,2019,"Motor vehicle, traffic",421,"5,640,053",7.46,7.22,"8,280"
Minnesota,2019,"Pedal cyclist, other",--,"5,640,053",--,--,--
Minnesota,2019,"Pedestrian, other",10**,"5,640,053",0.18**,0.18**,307
Minnesota,2019,"Transport, other land",27,"5,640,053",0.48,0.48,605
Minnesota,2019,"Transport, other (excl. drown by water transp)",--,"5,640,053",--,--,--
Minnesota,2019,Other specified and classifiable,43,"5,640,053",0.76,0.66,481
Minnesota,2019,Other specified / NEC,54,"5,640,053",0.96,0.84,577
Minnesota,2019,Unspecified,108,"5,640,053",1.92,1.61,876
Minnesota,2018,Cut/Pierce,38,"5,608,762",0.68,0.66,796
Minnesota,2018,Drowning (includes water transport),66,"5,608,762",1.18,1.17,"1,489"
Minnesota,2018,Fall,"1,253","5,608,762",22.34,17.59,"1,750"
Minnesota,2018,Fire/Flame,33,"5,608,762",0.59,0.54,484
Minnesota,2018,Firearm,437,"5,608,762",7.79,7.8,"10,380"
Minnesota,2018,Machinery,15**,"5,608,762",0.27**,0.25**,97
Minnesota,2018,Natural/Environmental,50,"5,608,762",0.89,0.78,584
Minnesota,2018,Drug Poisoning,636,"5,608,762",11.34,11.45,"14,777"
Minnesota,2018,Non-Drug Poisoning,131,"5,608,762",2.34,2.21,"2,173"
Minnesota,2018,Struck by / against,12**,"5,608,762",0.21**,0.22**,242
Minnesota,2018,Suffocation,349,"5,608,762",6.22,6.07,"7,940"
Minnesota,2018,"Motor vehicle, traffic",447,"5,608,762",7.97,7.64,"9,216"
Minnesota,2018,"Pedal cyclist, other",--,"5,608,762",--,--,--
Minnesota,2018,"Pedestrian, other",18**,"5,608,762",0.32**,0.30**,410
Minnesota,2018,"Transport, other land",43,"5,608,762",0.77,0.73,837
Minnesota,2018,"Transport, other (excl. drown by water transp)",--,"5,608,762",--,--,--
Minnesota,2018,Other specified and classifiable,45,"5,608,762",0.8,0.76,945
Minnesota,2018,Other specified / NEC,43,"5,608,762",0.77,0.64,405
Minnesota,2018,Unspecified,105,"5,608,762",1.87,1.63,"1,294"
Minnesota,2017,Cut/Pierce,30,"5,569,283",0.54,0.52,569
Minnesota,2017,Drowning (includes water transport),67,"5,569,283",1.2,1.19,"1,675"
Minnesota,2017,Fall,"1,199","5,569,283",21.53,17.12,"1,472"
Minnesota,2017,Fire/Flame,67,"5,569,283",1.2,1.02,783
Minnesota,2017,Hot object/Substance,--,"5,569,283",--,--,--
Minnesota,2017,Firearm,465,"5,569,283",8.35,8.24,"10,263"
Minnesota,2017,Machinery,12**,"5,569,283",0.22**,0.19**,89
Minnesota,2017,Natural/Environmental,37,"5,569,283",0.66,0.61,465
Minnesota,2017,Drug Poisoning,733,"5,569,283",13.16,13.29,"16,742"
Minnesota,2017,Non-Drug Poisoning,130,"5,569,283",2.33,2.25,"2,439"
Minnesota,2017,Struck by / against,13**,"5,569,283",0.23**,0.22**,352
Minnesota,2017,Suffocation,347,"5,569,283",6.23,6.08,"7,669"
Minnesota,2017,"Motor vehicle, traffic",411,"5,569,283",7.38,7.15,"8,301"
Minnesota,2017,"Pedal cyclist, other",--,"5,569,283",--,--,--
Minnesota,2017,"Pedestrian, other",11**,"5,569,283",0.20**,0.17**,120
Minnesota,2017,"Transport, other land",41,"5,569,283",0.74,0.76,980
Minnesota,2017,"Transport, other (excl. drown by water transp)",--,"5,569,283",--,--,--
Minnesota,2017,Other specified and classifiable,39,"5,569,283",0.7,0.63,437
Minnesota,2017,Other specified / NEC,41,"5,569,283",0.74,0.65,395
Minnesota,2017,Unspecified,119,"5,569,283",2.14,1.84,"1,188"
Minnesota,2016,Cut/Pierce,30,"5,525,360",0.54,0.52,712
Minnesota,2016,Drowning (includes water transport),86,"5,525,360",1.56,1.49,"2,033"
Minnesota,2016,Fall,"1,148","5,525,360",20.78,16.76,"1,284"
Minnesota,2016,Fire/Flame,44,"5,525,360",0.8,0.74,752
Minnesota,2016,Hot object/Substance,--,"5,525,360",--,--,--
