State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Missouri,2021,Cut/Pierce,59,"6,168,187",0.96,0.93,"1,129"
Missouri,2021,Drowning (includes water transport),121,"6,168,187",1.96,1.95,"3,332"
Missouri,2021,Fall,880,"6,168,187",14.27,11.58,"1,953"
Missouri,2021,Fire/Flame,106,"6,168,187",1.72,1.57,"1,893"
Missouri,2021,Hot object/Substance,--,"6,168,187",--,--,--
Missouri,2021,Firearm,"1,414","6,168,187",22.92,23.11,"36,322"
Missouri,2021,Machinery,21,"6,168,187",0.34,0.27,217
Missouri,2021,Natural/Environmental,59,"6,168,187",0.96,0.78,405
Missouri,2021,Drug Poisoning,"2,155","6,168,187",34.94,36.62,"50,790"
Missouri,2021,Non-Drug Poisoning,103,"6,168,187",1.67,1.63,"1,861"
Missouri,2021,Struck by / against,20**,"6,168,187",0.32**,0.29**,294
Missouri,2021,Suffocation,460,"6,168,187",7.46,7.58,"12,130"
Missouri,2021,"Motor vehicle, traffic","1,009","6,168,187",16.36,16.03,"22,373"
Missouri,2021,"Pedal cyclist, other",--,"6,168,187",--,--,--
Missouri,2021,"Pedestrian, other",22,"6,168,187",0.36,0.34,403
Missouri,2021,"Transport, other land",51,"6,168,187",0.83,0.76,958
Missouri,2021,"Transport, other (excl. drown by water transp)",17**,"6,168,187",0.28**,0.23**,276
Missouri,2021,Other specified and classifiable,41,"6,168,187",0.67,0.66,962
Missouri,2021,Other specified / NEC,28,"6,168,187",0.45,0.43,522
Missouri,2021,Unspecified,255,"6,168,187",4.13,3.5,"1,437"
Missouri,2020,Cut/Pierce,58,"6,154,481",0.94,0.93,"1,190"
Missouri,2020,Drowning (includes water transport),87,"6,154,481",1.41,1.41,"2,136"
Missouri,2020,Fall,887,"6,154,481",14.41,11.63,"1,190"
Missouri,2020,Fire/Flame,113,"6,154,481",1.84,1.58,"1,238"
Missouri,2020,Hot object/Substance,--,"6,154,481",--,--,--
Missouri,2020,Firearm,"1,426","6,154,481",23.17,23.78,"38,017"
Missouri,2020,Machinery,20**,"6,154,481",0.33**,0.29**,167
Missouri,2020,Natural/Environmental,40,"6,154,481",0.65,0.59,412
Missouri,2020,Overexertion,--,"6,154,481",--,--,--
Missouri,2020,Drug Poisoning,"1,875","6,154,481",30.47,31.83,"45,423"
Missouri,2020,Non-Drug Poisoning,93,"6,154,481",1.51,1.49,"1,654"
Missouri,2020,Struck by / against,27,"6,154,481",0.44,0.4,397
Missouri,2020,Suffocation,468,"6,154,481",7.6,7.54,"11,507"
Missouri,2020,"Motor vehicle, traffic",994,"6,154,481",16.15,16.07,"23,010"
Missouri,2020,"Pedal cyclist, other",--,"6,154,481",--,--,--
Missouri,2020,"Pedestrian, other",20**,"6,154,481",0.33**,0.33**,424
Missouri,2020,"Transport, other land",37,"6,154,481",0.6,0.57,702
Missouri,2020,"Transport, other (excl. drown by water transp)",--,"6,154,481",--,--,--
Missouri,2020,Other specified and classifiable,49,"6,154,481",0.8,0.76,"1,048"
Missouri,2020,Other specified / NEC,23,"6,154,481",0.37,0.35,502
Missouri,2020,Unspecified,225,"6,154,481",3.66,3.11,"1,488"
Missouri,2019,Cut/Pierce,55,"6,140,475",0.9,0.82,944
Missouri,2019,Drowning (includes water transport),98,"6,140,475",1.6,1.61,"2,422"
Missouri,2019,Fall,804,"6,140,475",13.09,10.22,"1,851"
Missouri,2019,Fire/Flame,92,"6,140,475",1.5,1.31,"1,303"
Missouri,2019,Hot object/Substance,--,"6,140,475",--,--,--
Missouri,2019,Firearm,"1,252","6,140,475",20.39,20.52,"31,526"
Missouri,2019,Machinery,27,"6,140,475",0.44,0.38,191
Missouri,2019,Natural/Environmental,52,"6,140,475",0.85,0.73,574
Missouri,2019,Drug Poisoning,"1,583","6,140,475",25.78,26.79,"36,351"
Missouri,2019,Non-Drug Poisoning,83,"6,140,475",1.35,1.36,"1,653"
Missouri,2019,Struck by / against,18**,"6,140,475",0.29**,0.28**,265
Missouri,2019,Suffocation,484,"6,140,475",7.88,7.81,"11,996"
Missouri,2019,"Motor vehicle, traffic",926,"6,140,475",15.08,14.83,"20,960"
Missouri,2019,"Pedal cyclist, other",--,"6,140,475",--,--,--
Missouri,2019,"Pedestrian, other",18**,"6,140,475",0.29**,0.28**,426
