State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Mississippi,2021,Cut/Pierce,40,"2,949,965",1.36,1.3,755
Mississippi,2021,Drowning (includes water transport),51,"2,949,965",1.73,1.72,"1,433"
Mississippi,2021,Fall,339,"2,949,965",11.49,10.25,761
Mississippi,2021,Fire/Flame,105,"2,949,965",3.56,3.14,"1,263"
Mississippi,2021,Hot object/Substance,--,"2,949,965",--,--,--
Mississippi,2021,Firearm,962,"2,949,965",32.61,33.82,"26,747"
Mississippi,2021,Machinery,--,"2,949,965",--,--,--
Mississippi,2021,Natural/Environmental,20**,"2,949,965",0.68**,0.58**,187
Mississippi,2021,Drug Poisoning,787,"2,949,965",26.68,28.42,"18,409"
Mississippi,2021,Non-Drug Poisoning,28,"2,949,965",0.95,0.93,420
Mississippi,2021,Struck by / against,21,"2,949,965",0.71,0.67,342
Mississippi,2021,Suffocation,234,"2,949,965",7.93,7.91,"5,384"
Mississippi,2021,"Motor vehicle, traffic",836,"2,949,965",28.34,27.92,"19,098"
Mississippi,2021,"Pedal cyclist, other",--,"2,949,965",--,--,--
Mississippi,2021,"Pedestrian, other",--,"2,949,965",--,--,--
Mississippi,2021,"Transport, other land",29,"2,949,965",0.98,0.98,824
Mississippi,2021,"Transport, other (excl. drown by water transp)",--,"2,949,965",--,--,--
Mississippi,2021,Other specified and classifiable,33,"2,949,965",1.12,1.05,732
Mississippi,2021,Other specified / NEC,12**,"2,949,965",0.41**,0.38**,210
Mississippi,2021,Unspecified,109,"2,949,965",3.7,3.43,"1,272"
Mississippi,2020,Cut/Pierce,45,"2,956,870",1.52,1.55,992
Mississippi,2020,Drowning (includes water transport),61,"2,956,870",2.06,2,"1,688"
Mississippi,2020,Fall,360,"2,956,870",12.18,10.91,629
Mississippi,2020,Fire/Flame,85,"2,956,870",2.88,2.75,"1,571"
Mississippi,2020,Hot object/Substance,--,"2,956,870",--,--,--
Mississippi,2020,Firearm,818,"2,956,870",27.66,28.7,"22,727"
Mississippi,2020,Machinery,--,"2,956,870",--,--,--
Mississippi,2020,Natural/Environmental,33,"2,956,870",1.12,1.03,302
Mississippi,2020,Drug Poisoning,586,"2,956,870",19.82,21.2,"13,699"
Mississippi,2020,Non-Drug Poisoning,30,"2,956,870",1.02,1.02,590
Mississippi,2020,Struck by / against,21,"2,956,870",0.71,0.74,319
Mississippi,2020,Suffocation,186,"2,956,870",6.29,6.23,"3,804"
Mississippi,2020,"Motor vehicle, traffic",816,"2,956,870",27.6,27.77,"19,882"
Mississippi,2020,"Pedal cyclist, other",--,"2,956,870",--,--,--
Mississippi,2020,"Pedestrian, other",17**,"2,956,870",0.58**,0.54**,374
Mississippi,2020,"Transport, other land",27,"2,956,870",0.91,0.85,504
Mississippi,2020,"Transport, other (excl. drown by water transp)",--,"2,956,870",--,--,--
Mississippi,2020,Other specified and classifiable,28,"2,956,870",0.95,0.9,522
Mississippi,2020,Other specified / NEC,24,"2,956,870",0.81,0.76,369
Mississippi,2020,Unspecified,90,"2,956,870",3.04,2.91,"1,104"
Mississippi,2019,Cut/Pierce,38,"2,978,227",1.28,1.3,783
Mississippi,2019,Drowning (includes water transport),70,"2,978,227",2.35,2.46,"2,319"
Mississippi,2019,Fall,331,"2,978,227",11.11,9.5,545
Mississippi,2019,Fire/Flame,71,"2,978,227",2.38,2.03,727
Mississippi,2019,Hot object/Substance,--,"2,978,227",--,--,--
Mississippi,2019,Firearm,710,"2,978,227",23.84,24.21,"18,515"
Mississippi,2019,Machinery,--,"2,978,227",--,--,--
Mississippi,2019,Natural/Environmental,31,"2,978,227",1.04,0.98,397
Mississippi,2019,Drug Poisoning,394,"2,978,227",13.23,13.63,"8,241"
Mississippi,2019,Non-Drug Poisoning,38,"2,978,227",1.28,1.25,648
Mississippi,2019,Struck by / against,23,"2,978,227",0.77,0.72,435
Mississippi,2019,Suffocation,206,"2,978,227",6.92,6.97,"4,457"
Mississippi,2019,"Motor vehicle, traffic",724,"2,978,227",24.31,24.15,"16,070"
Mississippi,2019,"Pedal cyclist, other",--,"2,978,227",--,--,--
Mississippi,2019,"Pedestrian, other",18**,"2,978,227",0.60**,0.59**,283
Mississippi,2019,"Transport, other land",19**,"2,978,227",0.64**,0.60**,593
Mississippi,2019,"Transport, other (excl. drown by water transp)",--,"2,978,227",--,--,--
Mississippi,2019,Other specified and classifiable,30,"2,978,227",1.01,0.95,635
Mississippi,2019,Other specified / NEC,21,"2,978,227",0.71,0.67,365
Mississippi,2019,Unspecified,78,"2,978,227",2.62,2.37,934
Mississippi,2018,Cut/Pierce,24,"2,982,879",0.81,0.76,470
Mississippi,2018,Drowning (includes water transport),50,"2,982,879",1.68,1.69,"1,383"
Mississippi,2018,Fall,283,"2,982,879",9.49,8.29,502
Mississippi,2018,Fire/Flame,89,"2,982,879",2.98,2.71,"1,251"
Mississippi,2018,Hot object/Substance,--,"2,982,879",--,--,--
Mississippi,2018,Firearm,681,"2,982,879",22.83,22.86,"17,283"
