State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Montana,2021,Cut/Pierce,11**,"1,104,271",1.00**,0.99**,220
Montana,2021,Drowning (includes water transport),30,"1,104,271",2.72,2.46,405
Montana,2021,Fall,236,"1,104,271",21.37,17.68,480
Montana,2021,Fire/Flame,23,"1,104,271",2.08,1.93,270
Montana,2021,Firearm,280,"1,104,271",25.36,25.11,"6,354"
Montana,2021,Machinery,--,"1,104,271",--,--,--
Montana,2021,Natural/Environmental,28,"1,104,271",2.54,2.24,428
Montana,2021,Drug Poisoning,199,"1,104,271",18.02,19.59,"4,442"
Montana,2021,Non-Drug Poisoning,26,"1,104,271",2.35,2.26,414
Montana,2021,Struck by / against,--,"1,104,271",--,--,--
Montana,2021,Suffocation,99,"1,104,271",8.97,9.21,"2,332"
Montana,2021,"Motor vehicle, traffic",243,"1,104,271",22.01,21.83,"5,778"
Montana,2021,"Pedal cyclist, other",--,"1,104,271",--,--,--
Montana,2021,"Pedestrian, other",--,"1,104,271",--,--,--
Montana,2021,"Transport, other land",29,"1,104,271",2.63,2.39,578
Montana,2021,"Transport, other (excl. drown by water transp)",--,"1,104,271",--,--,--
Montana,2021,Other specified and classifiable,18**,"1,104,271",1.63**,1.61**,448
Montana,2021,Other specified / NEC,12**,"1,104,271",1.09**,1.08**,160
Montana,2021,Unspecified,46,"1,104,271",4.17,3.28,298
Montana,2020,Cut/Pierce,16**,"1,086,193",1.47**,1.59**,363
Montana,2020,Drowning (includes water transport),39,"1,086,193",3.59,3.4,736
Montana,2020,Fall,212,"1,086,193",19.52,15.67,426
Montana,2020,Fire/Flame,17**,"1,086,193",1.57**,1.31**,305
Montana,2020,Firearm,238,"1,086,193",21.91,20.72,"4,865"
Montana,2020,Machinery,--,"1,086,193",--,--,--
Montana,2020,Natural/Environmental,21,"1,086,193",1.93,1.79,331
Montana,2020,Drug Poisoning,162,"1,086,193",14.91,15.35,"3,365"
Montana,2020,Non-Drug Poisoning,32,"1,086,193",2.95,3.01,602
Montana,2020,Struck by / against,10**,"1,086,193",0.92**,0.77**,185
Montana,2020,Suffocation,95,"1,086,193",8.75,8.6,"2,037"
Montana,2020,"Motor vehicle, traffic",193,"1,086,193",17.77,18.21,"4,873"
Montana,2020,"Pedal cyclist, other",--,"1,086,193",--,--,--
Montana,2020,"Pedestrian, other",12**,"1,086,193",1.11**,1.17**,213
Montana,2020,"Transport, other land",11**,"1,086,193",1.01**,0.98**,211
Montana,2020,"Transport, other (excl. drown by water transp)",--,"1,086,193",--,--,--
Montana,2020,Other specified and classifiable,--,"1,086,193",--,--,--
Montana,2020,Other specified / NEC,--,"1,086,193",--,--,--
Montana,2020,Unspecified,33,"1,086,193",3.04,2.54,307
Montana,2019,Cut/Pierce,--,"1,070,123",--,--,--
Montana,2019,Drowning (includes water transport),30,"1,070,123",2.8,2.62,537
Montana,2019,Fall,196,"1,070,123",18.32,14.01,423
Montana,2019,Fire/Flame,10**,"1,070,123",0.93**,0.77**,140
Montana,2019,Firearm,209,"1,070,123",19.53,18.89,"4,200"
Montana,2019,Machinery,--,"1,070,123",--,--,--
Montana,2019,Natural/Environmental,18**,"1,070,123",1.68**,1.45**,231
Montana,2019,Drug Poisoning,143,"1,070,123",13.36,14.22,"2,898"
Montana,2019,Non-Drug Poisoning,21,"1,070,123",1.96,1.83,347
Montana,2019,Struck by / against,--,"1,070,123",--,--,--
Montana,2019,Suffocation,112,"1,070,123",10.47,10.25,"2,581"
Montana,2019,"Motor vehicle, traffic",174,"1,070,123",16.26,15.96,"3,769"
Montana,2019,"Pedal cyclist, other",--,"1,070,123",--,--,--
Montana,2019,"Pedestrian, other",10**,"1,070,123",0.93**,0.86**,221
Montana,2019,"Transport, other land",19**,"1,070,123",1.78**,1.49**,205
Montana,2019,"Transport, other (excl. drown by water transp)",--,"1,070,123",--,--,--
Montana,2019,Other specified and classifiable,12**,"1,070,123",1.12**,0.91**,181
Montana,2019,Other specified / NEC,16**,"1,070,123",1.50**,1.28**,178
Montana,2019,Unspecified,33,"1,070,123",3.08,2.27,122
Montana,2018,Cut/Pierce,--,"1,061,818",--,--,--
Montana,2018,Drowning (includes water transport),24,"1,061,818",2.26,2.49,683
Montana,2018,Fall,179,"1,061,818",16.86,12.81,270
Montana,2018,Fire/Flame,13**,"1,061,818",1.22**,1.03**,192
Montana,2018,Hot object/Substance,--,"1,061,818",--,--,--
Montana,2018,Firearm,186,"1,061,818",17.52,17.27,"3,750"
Montana,2018,Machinery,--,"1,061,818",--,--,--
Montana,2018,Natural/Environmental,23,"1,061,818",2.17,2.03,400
Montana,2018,Drug Poisoning,125,"1,061,818",11.77,12.2,"2,592"
Montana,2018,Non-Drug Poisoning,31,"1,061,818",2.92,2.56,563
Montana,2018,Struck by / against,--,"1,061,818",--,--,--
Montana,2018,Suffocation,92,"1,061,818",8.66,8.89,"2,366"
Montana,2018,"Motor vehicle, traffic",171,"1,061,818",16.1,16.06,"4,263"
Montana,2018,"Pedestrian, other",--,"1,061,818",--,--,--
Montana,2018,"Transport, other land",10**,"1,061,818",0.94**,0.99**,229
Montana,2018,"Transport, other (excl. drown by water transp)",--,"1,061,818",--,--,--
Montana,2018,Other specified and classifiable,--,"1,061,818",--,--,--
Montana,2018,Other specified / NEC,16**,"1,061,818",1.51**,1.31**,270
Montana,2018,Unspecified,30,"1,061,818",2.83,2.36,299
Montana,2017,Cut/Pierce,19**,"1,053,862",1.80**,1.71**,381
Montana,2017,Drowning (includes water transport),17**,"1,053,862",1.61**,1.60**,374
Montana,2017,Fall,178,"1,053,862",16.89,13.38,524
Montana,2017,Fire/Flame,--,"1,053,862",--,--,--
Montana,2017,Firearm,244,"1,053,862",23.15,22.51,"4,532"
Montana,2017,Machinery,--,"1,053,862",--,--,--
Montana,2017,Natural/Environmental,18**,"1,053,862",1.71**,1.54**,251
Montana,2017,Drug Poisoning,119,"1,053,862",11.29,11.6,"2,541"
Montana,2017,Non-Drug Poisoning,30,"1,053,862",2.85,2.83,612
Montana,2017,Struck by / against,--,"1,053,862",--,--,--
Montana,2017,Suffocation,79,"1,053,862",7.5,7.53,"2,058"
Montana,2017,"Motor vehicle, traffic",167,"1,053,862",15.85,15.93,"4,131"
Montana,2017,"Pedal cyclist, other",--,"1,053,862",--,--,--
Montana,2017,"Pedestrian, other",--,"1,053,862",--,--,--
Montana,2017,"Transport, other land",16**,"1,053,862",1.52**,1.30**,244
Montana,2017,Other specified and classifiable,--,"1,053,862",--,--,--
Montana,2017,Other specified / NEC,11**,"1,053,862",1.04**,0.93**,75
Montana,2017,Unspecified,26,"1,053,862",2.47,2.14,224
Montana,2016,Cut/Pierce,13**,"1,042,137",1.25**,1.32**,406
Montana,2016,Drowning (includes water transport),16**,"1,042,137",1.54**,1.45**,330
Montana,2016,Fall,172,"1,042,137",16.51,12.81,480
Montana,2016,Fire/Flame,15**,"1,042,137",1.44**,1.16**,229
Montana,2016,Firearm,194,"1,042,137",18.62,18.99,"4,202"
Montana,2016,Machinery,--,"1,042,137",--,--,--
Montana,2016,Natural/Environmental,21,"1,042,137",2.02,1.98,354
Montana,2016,Drug Poisoning,119,"1,042,137",11.42,11.65,"2,460"
Montana,2016,Non-Drug Poisoning,28,"1,042,137",2.69,2.9,717
Montana,2016,Struck by / against,--,"1,042,137",--,--,--
Montana,2016,Suffocation,105,"1,042,137",10.08,10.12,"2,678"
Montana,2016,"Motor vehicle, traffic",187,"1,042,137",17.94,17.48,"4,270"
Montana,2016,"Pedestrian, other",--,"1,042,137",--,--,--
Montana,2016,"Transport, other land",16**,"1,042,137",1.54**,1.49**,342
Montana,2016,"Transport, other (excl. drown by water transp)",--,"1,042,137",--,--,--
Montana,2016,Other specified and classifiable,--,"1,042,137",--,--,--
Montana,2016,Other specified / NEC,12**,"1,042,137",1.15**,0.97**,130
Montana,2016,Unspecified,53,"1,042,137",5.09,4.02,303
Montana,2015,Cut/Pierce,16**,"1,031,495",1.55**,1.31**,224
Montana,2015,Drowning (includes water transport),20**,"1,031,495",1.94**,2.12**,627
Montana,2015,Fall,177,"1,031,495",17.16,13.47,542
Montana,2015,Fire/Flame,10**,"1,031,495",0.97**,0.88**,189
Montana,2015,Firearm,205,"1,031,495",19.87,19.37,"4,287"
Montana,2015,Machinery,--,"1,031,495",--,--,--
Montana,2015,Natural/Environmental,--,"1,031,495",--,--,--
Montana,2015,Drug Poisoning,138,"1,031,495",13.38,13.66,"2,775"
Montana,2015,Non-Drug Poisoning,26,"1,031,495",2.52,2.34,369
Montana,2015,Struck by / against,--,"1,031,495",--,--,--
Montana,2015,Suffocation,88,"1,031,495",8.53,8.16,"1,810"
Montana,2015,"Motor vehicle, traffic",206,"1,031,495",19.97,19.63,"4,976"
Montana,2015,"Pedal cyclist, other",--,"1,031,495",--,--,--
Montana,2015,"Pedestrian, other",--,"1,031,495",--,--,--
Montana,2015,"Transport, other land",16**,"1,031,495",1.55**,1.52**,275
Montana,2015,"Transport, other (excl. drown by water transp)",--,"1,031,495",--,--,--
Montana,2015,Other specified and classifiable,--,"1,031,495",--,--,--
Montana,2015,Other specified / NEC,12**,"1,031,495",1.16**,1.22**,271
Montana,2015,Unspecified,52,"1,031,495",5.04,4.38,485
Montana,2014,Cut/Pierce,16**,"1,022,657",1.57**,1.55**,289
Montana,2014,Drowning (includes water transport),18**,"1,022,657",1.76**,1.66**,494
Montana,2014,Fall,152,"1,022,657",14.86,12,362
Montana,2014,Fire/Flame,13**,"1,022,657",1.27**,1.13**,159
Montana,2014,Firearm,172,"1,022,657",16.82,16.09,"3,037"
Montana,2014,Machinery,--,"1,022,657",--,--,--
Montana,2014,Natural/Environmental,24,"1,022,657",2.35,2.28,308
Montana,2014,Drug Poisoning,125,"1,022,657",12.22,12.46,"2,461"
Montana,2014,Non-Drug Poisoning,30,"1,022,657",2.93,2.73,465
Montana,2014,Struck by / against,--,"1,022,657",--,--,--
Montana,2014,Suffocation,75,"1,022,657",7.33,7.01,"1,415"
Montana,2014,"Motor vehicle, traffic",186,"1,022,657",18.19,18.43,"4,826"
Montana,2014,"Pedestrian, other",--,"1,022,657",--,--,--
Montana,2014,"Transport, other land",19**,"1,022,657",1.86**,1.88**,390
Montana,2014,"Transport, other (excl. drown by water transp)",--,"1,022,657",--,--,--
Montana,2014,Other specified and classifiable,--,"1,022,657",--,--,--
Montana,2014,Other specified / NEC,12**,"1,022,657",1.17**,1.05**,117
Montana,2014,Unspecified,40,"1,022,657",3.91,3.33,294
Montana,2013,Cut/Pierce,--,"1,014,158",--,--,--
Montana,2013,Drowning (includes water transport),25,"1,014,158",2.47,2.37,607
Montana,2013,Fall,160,"1,014,158",15.78,12.9,500
Montana,2013,Fire/Flame,16**,"1,014,158",1.58**,1.56**,263
Montana,2013,Firearm,172,"1,014,158",16.96,16.77,"3,627"
Montana,2013,Machinery,--,"1,014,158",--,--,--
Montana,2013,Natural/Environmental,12**,"1,014,158",1.18**,0.98**,92
Montana,2013,Drug Poisoning,137,"1,014,158",13.51,14.4,"3,009"
Montana,2013,Non-Drug Poisoning,23,"1,014,158",2.27,2.16,365
Montana,2013,Struck by / against,--,"1,014,158",--,--,--
Montana,2013,Suffocation,81,"1,014,158",7.99,7.97,"1,982"
Montana,2013,"Motor vehicle, traffic",224,"1,014,158",22.09,21.82,"5,519"
Montana,2013,"Pedal cyclist, other",--,"1,014,158",--,--,--
Montana,2013,"Transport, other land",17**,"1,014,158",1.68**,1.77**,417
Montana,2013,"Transport, other (excl. drown by water transp)",--,"1,014,158",--,--,--
Montana,2013,Other specified and classifiable,--,"1,014,158",--,--,--
Montana,2013,Other specified / NEC,--,"1,014,158",--,--,--
Montana,2013,Unspecified,36,"1,014,158",3.55,3.04,297
Montana,2012,Cut/Pierce,--,"1,004,168",--,--,--
Montana,2012,Drowning (includes water transport),29,"1,004,168",2.89,2.95,758
Montana,2012,Fall,115,"1,004,168",11.45,9.27,169
