State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
North Carolina,2021,Cut/Pierce,78,"10,551,162",0.74,0.7,"1,545"
North Carolina,2021,Drowning (includes water transport),148,"10,551,162",1.4,1.43,"3,836"
North Carolina,2021,Fall,"1,673","10,551,162",15.86,14.08,"3,099"
North Carolina,2021,Fire/Flame,143,"10,551,162",1.36,1.18,"1,729"
North Carolina,2021,Hot object/Substance,--,"10,551,162",--,--,--
North Carolina,2021,Firearm,"1,839","10,551,162",17.43,17.2,"47,216"
North Carolina,2021,Machinery,15**,"10,551,162",0.14**,0.13**,182
North Carolina,2021,Natural/Environmental,61,"10,551,162",0.58,0.51,756
North Carolina,2021,Drug Poisoning,"3,981","10,551,162",37.73,39.25,"95,814"
North Carolina,2021,Non-Drug Poisoning,129,"10,551,162",1.22,1.19,"2,397"
North Carolina,2021,Struck by / against,50,"10,551,162",0.47,0.43,832
North Carolina,2021,Suffocation,589,"10,551,162",5.58,5.46,"12,099"
North Carolina,2021,"Motor vehicle, traffic","1,867","10,551,162",17.7,17.19,"41,764"
North Carolina,2021,"Pedal cyclist, other",13**,"10,551,162",0.12**,0.10**,157
North Carolina,2021,"Pedestrian, other",37,"10,551,162",0.35,0.34,708
North Carolina,2021,"Transport, other land",56,"10,551,162",0.53,0.5,"1,146"
North Carolina,2021,"Transport, other (excl. drown by water transp)",10**,"10,551,162",0.10**,0.07**,123
North Carolina,2021,Other specified and classifiable,64,"10,551,162",0.61,0.55,"1,110"
North Carolina,2021,Other specified / NEC,71,"10,551,162",0.67,0.66,"1,396"
North Carolina,2021,Unspecified,304,"10,551,162",2.88,2.53,"2,287"
North Carolina,2020,Cut/Pierce,80,"10,457,177",0.77,0.72,"1,411"
North Carolina,2020,Drowning (includes water transport),150,"10,457,177",1.43,1.39,"3,730"
North Carolina,2020,Fall,"1,560","10,457,177",14.92,13.29,"2,722"
North Carolina,2020,Fire/Flame,113,"10,457,177",1.08,0.98,"1,343"
North Carolina,2020,Hot object/Substance,--,"10,457,177",--,--,--
North Carolina,2020,Firearm,"1,699","10,457,177",16.25,16.17,"43,790"
North Carolina,2020,Machinery,20**,"10,457,177",0.19**,0.17**,243
North Carolina,2020,Natural/Environmental,45,"10,457,177",0.43,0.39,727
North Carolina,2020,Overexertion,--,"10,457,177",--,--,--
North Carolina,2020,Drug Poisoning,"3,146","10,457,177",30.09,31.22,"76,856"
North Carolina,2020,Non-Drug Poisoning,149,"10,457,177",1.43,1.37,"2,546"
North Carolina,2020,Struck by / against,36,"10,457,177",0.34,0.32,503
