State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
North Dakota,2021,Cut/Pierce,--,"774,948",--,--,--
North Dakota,2021,Drowning (includes water transport),13**,"774,948",1.68**,1.77**,330
North Dakota,2021,Fall,134,"774,948",17.29,13.98,322
North Dakota,2021,Fire/Flame,--,"774,948",--,--,--
North Dakota,2021,Firearm,128,"774,948",16.52,16.78,"2,915"
North Dakota,2021,Machinery,--,"774,948",--,--,--
North Dakota,2021,Natural/Environmental,--,"774,948",--,--,--
North Dakota,2021,Drug Poisoning,124,"774,948",16,17.24,"3,528"
North Dakota,2021,Non-Drug Poisoning,20**,"774,948",2.58**,2.48**,440
North Dakota,2021,Struck by / against,--,"774,948",--,--,--
North Dakota,2021,Suffocation,59,"774,948",7.61,7.79,"1,444"
North Dakota,2021,"Motor vehicle, traffic",113,"774,948",14.58,14.22,"2,991"
North Dakota,2021,"Pedestrian, other",--,"774,948",--,--,--
North Dakota,2021,"Transport, other land",--,"774,948",--,--,--
North Dakota,2021,"Transport, other (excl. drown by water transp)",--,"774,948",--,--,--
North Dakota,2021,Other specified and classifiable,--,"774,948",--,--,--
North Dakota,2021,Other specified / NEC,--,"774,948",--,--,--
North Dakota,2021,Unspecified,26,"774,948",3.36,2.75,68
North Dakota,2020,Cut/Pierce,--,"778,962",--,--,--
North Dakota,2020,Drowning (includes water transport),10**,"778,962",1.28**,1.20**,307
North Dakota,2020,Fall,113,"778,962",14.51,11.96,268
North Dakota,2020,Fire/Flame,--,"778,962",--,--,--
North Dakota,2020,Firearm,100,"778,962",12.84,13.37,"2,497"
North Dakota,2020,Machinery,--,"778,962",--,--,--
North Dakota,2020,Natural/Environmental,--,"778,962",--,--,--
North Dakota,2020,Drug Poisoning,114,"778,962",14.64,14.93,"3,501"
North Dakota,2020,Non-Drug Poisoning,22,"778,962",2.82,3.01,445
North Dakota,2020,Struck by / against,--,"778,962",--,--,--
North Dakota,2020,Suffocation,73,"778,962",9.37,8.89,"1,433"
North Dakota,2020,"Motor vehicle, traffic",99,"778,962",12.71,12.81,"2,520"
North Dakota,2020,"Pedal cyclist, other",--,"778,962",--,--,--
North Dakota,2020,"Transport, other land",--,"778,962",--,--,--
North Dakota,2020,"Transport, other (excl. drown by water transp)",--,"778,962",--,--,--
North Dakota,2020,Other specified and classifiable,--,"778,962",--,--,--
