State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Nebraska,2021,Cut/Pierce,14**,"1,963,692",0.71**,0.69**,244
Nebraska,2021,Drowning (includes water transport),29,"1,963,692",1.48,1.46,753
Nebraska,2021,Fall,235,"1,963,692",11.97,10.37,688
Nebraska,2021,Fire/Flame,26,"1,963,692",1.32,1.19,379
Nebraska,2021,Firearm,200,"1,963,692",10.19,10.33,"4,874"
Nebraska,2021,Machinery,--,"1,963,692",--,--,--
Nebraska,2021,Natural/Environmental,14**,"1,963,692",0.71**,0.65**,164
Nebraska,2021,Overexertion,--,"1,963,692",--,--,--
Nebraska,2021,Drug Poisoning,214,"1,963,692",10.9,11.35,"5,014"
Nebraska,2021,Non-Drug Poisoning,25,"1,963,692",1.27,1.33,501
Nebraska,2021,Struck by / against,11**,"1,963,692",0.56**,0.61**,271
Nebraska,2021,Suffocation,159,"1,963,692",8.1,8.11,"3,865"
Nebraska,2021,"Motor vehicle, traffic",242,"1,963,692",12.32,11.99,"5,224"
Nebraska,2021,"Pedal cyclist, other",--,"1,963,692",--,--,--
Nebraska,2021,"Pedestrian, other",--,"1,963,692",--,--,--
Nebraska,2021,"Transport, other land",17**,"1,963,692",0.87**,0.77**,229
Nebraska,2021,"Transport, other (excl. drown by water transp)",--,"1,963,692",--,--,--
Nebraska,2021,Other specified and classifiable,14**,"1,963,692",0.71**,0.62**,345
Nebraska,2021,Other specified / NEC,13**,"1,963,692",0.66**,0.54**,98
Nebraska,2021,Unspecified,44,"1,963,692",2.24,1.96,272
Nebraska,2020,Cut/Pierce,17**,"1,961,455",0.87**,0.87**,417
Nebraska,2020,Drowning (includes water transport),14**,"1,961,455",0.71**,0.66**,359
Nebraska,2020,Fall,266,"1,961,455",13.56,11.34,581
Nebraska,2020,Fire/Flame,22,"1,961,455",1.12,1,383
Nebraska,2020,Hot object/Substance,--,"1,961,455",--,--,--
Nebraska,2020,Firearm,197,"1,961,455",10.04,10.04,"4,545"
Nebraska,2020,Machinery,--,"1,961,455",--,--,--
Nebraska,2020,Natural/Environmental,14**,"1,961,455",0.71**,0.64**,174
Nebraska,2020,Overexertion,--,"1,961,455",--,--,--
Nebraska,2020,Drug Poisoning,214,"1,961,455",10.91,11.1,"4,943"
Nebraska,2020,Non-Drug Poisoning,33,"1,961,455",1.68,1.79,774
Nebraska,2020,Struck by / against,10**,"1,961,455",0.51**,0.51**,119
Nebraska,2020,Suffocation,154,"1,961,455",7.85,7.88,"3,935"
Nebraska,2020,"Motor vehicle, traffic",229,"1,961,455",11.68,11.35,"5,158"
Nebraska,2020,"Pedal cyclist, other",--,"1,961,455",--,--,--
Nebraska,2020,"Pedestrian, other",--,"1,961,455",--,--,--
Nebraska,2020,"Transport, other land",14**,"1,961,455",0.71**,0.69**,314
Nebraska,2020,Other specified and classifiable,15**,"1,961,455",0.77**,0.77**,272
Nebraska,2020,Other specified / NEC,16**,"1,961,455",0.82**,0.76**,206
Nebraska,2020,Unspecified,55,"1,961,455",2.8,2.38,171
Nebraska,2019,Cut/Pierce,--,"1,932,571",--,--,--
Nebraska,2019,Drowning (includes water transport),22,"1,932,571",1.14,1.19,642
Nebraska,2019,Fall,247,"1,932,571",12.78,10.24,659
Nebraska,2019,Fire/Flame,16**,"1,932,571",0.83**,0.79**,238
Nebraska,2019,Hot object/Substance,--,"1,932,571",--,--,--
Nebraska,2019,Firearm,205,"1,932,571",10.61,10.23,"4,211"
Nebraska,2019,Machinery,--,"1,932,571",--,--,--
Nebraska,2019,Natural/Environmental,22,"1,932,571",1.14,0.97,193
Nebraska,2019,Drug Poisoning,161,"1,932,571",8.33,8.77,"3,372"
