State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
New Hampshire,2021,Cut/Pierce,--,"1,388,992",--,--,--
New Hampshire,2021,Drowning (includes water transport),28,"1,388,992",2.02,1.86,468
New Hampshire,2021,Fall,269,"1,388,992",19.37,14.82,350
New Hampshire,2021,Fire/Flame,14**,"1,388,992",1.01**,0.66**,54
New Hampshire,2021,Firearm,123,"1,388,992",8.86,8.27,"2,316"
New Hampshire,2021,Machinery,--,"1,388,992",--,--,--
New Hampshire,2021,Natural/Environmental,--,"1,388,992",--,--,--
New Hampshire,2021,Drug Poisoning,441,"1,388,992",31.75,32.53,"9,987"
New Hampshire,2021,Non-Drug Poisoning,23,"1,388,992",1.66,1.6,462
New Hampshire,2021,Struck by / against,--,"1,388,992",--,--,--
New Hampshire,2021,Suffocation,83,"1,388,992",5.98,6.05,"1,645"
New Hampshire,2021,"Motor vehicle, traffic",131,"1,388,992",9.43,9.31,"2,756"
New Hampshire,2021,"Pedal cyclist, other",--,"1,388,992",--,--,--
New Hampshire,2021,"Pedestrian, other",--,"1,388,992",--,--,--
New Hampshire,2021,"Transport, other land",13**,"1,388,992",0.94**,0.81**,228
New Hampshire,2021,"Transport, other (excl. drown by water transp)",--,"1,388,992",--,--,--
New Hampshire,2021,Other specified and classifiable,11**,"1,388,992",0.79**,0.83**,274
New Hampshire,2021,Other specified / NEC,--,"1,388,992",--,--,--
New Hampshire,2021,Unspecified,22,"1,388,992",1.58,1.36,195
New Hampshire,2020,Cut/Pierce,--,"1,377,848",--,--,--
New Hampshire,2020,Drowning (includes water transport),20**,"1,377,848",1.45**,1.32**,430
New Hampshire,2020,Fall,276,"1,377,848",20.03,16.03,464
New Hampshire,2020,Fire/Flame,11**,"1,377,848",0.80**,0.72**,156
New Hampshire,2020,Firearm,128,"1,377,848",9.29,8.84,"2,450"
New Hampshire,2020,Machinery,--,"1,377,848",--,--,--
New Hampshire,2020,Natural/Environmental,11**,"1,377,848",0.80**,0.68**,117
New Hampshire,2020,Drug Poisoning,393,"1,377,848",28.52,30,"9,093"
New Hampshire,2020,Non-Drug Poisoning,25,"1,377,848",1.81,1.72,396
New Hampshire,2020,Struck by / against,--,"1,377,848",--,--,--
New Hampshire,2020,Suffocation,96,"1,377,848",6.97,6.52,"1,762"
New Hampshire,2020,"Motor vehicle, traffic",112,"1,377,848",8.13,7.57,"2,156"
New Hampshire,2020,"Pedal cyclist, other",--,"1,377,848",--,--,--
New Hampshire,2020,"Pedestrian, other",--,"1,377,848",--,--,--
New Hampshire,2020,"Transport, other land",--,"1,377,848",--,--,--
New Hampshire,2020,Other specified and classifiable,--,"1,377,848",--,--,--
New Hampshire,2020,Other specified / NEC,--,"1,377,848",--,--,--
New Hampshire,2020,Unspecified,23,"1,377,848",1.67,1.33,115
New Hampshire,2019,Cut/Pierce,10**,"1,360,783",0.74**,0.64**,121
New Hampshire,2019,Drowning (includes water transport),24,"1,360,783",1.76,1.64,472
New Hampshire,2019,Fall,259,"1,360,783",19.03,14.08,450
New Hampshire,2019,Fire/Flame,--,"1,360,783",--,--,--
New Hampshire,2019,Hot object/Substance,--,"1,360,783",--,--,--
New Hampshire,2019,Firearm,156,"1,360,783",11.46,10.53,"2,928"
New Hampshire,2019,Machinery,--,"1,360,783",--,--,--
New Hampshire,2019,Natural/Environmental,13**,"1,360,783",0.96**,0.85**,190
New Hampshire,2019,Drug Poisoning,407,"1,360,783",29.91,31.94,"10,113"
New Hampshire,2019,Non-Drug Poisoning,22,"1,360,783",1.62,1.62,371
New Hampshire,2019,Struck by / against,--,"1,360,783",--,--,--
New Hampshire,2019,Suffocation,100,"1,360,783",7.35,6.97,"2,187"
New Hampshire,2019,"Motor vehicle, traffic",103,"1,360,783",7.57,6.98,"1,879"
New Hampshire,2019,"Pedal cyclist, other",--,"1,360,783",--,--,--
New Hampshire,2019,"Pedestrian, other",--,"1,360,783",--,--,--
New Hampshire,2019,"Transport, other land",--,"1,360,783",--,--,--
New Hampshire,2019,"Transport, other (excl. drown by water transp)",--,"1,360,783",--,--,--
New Hampshire,2019,Other specified and classifiable,--,"1,360,783",--,--,--
New Hampshire,2019,Other specified / NEC,12**,"1,360,783",0.88**,0.77**,187
New Hampshire,2019,Unspecified,33,"1,360,783",2.43,1.93,258
New Hampshire,2018,Cut/Pierce,10**,"1,355,064",0.74**,0.64**,173
New Hampshire,2018,Drowning (includes water transport),19**,"1,355,064",1.40**,1.37**,380
New Hampshire,2018,Fall,293,"1,355,064",21.62,16.45,669
New Hampshire,2018,Fire/Flame,--,"1,355,064",--,--,--
New Hampshire,2018,Firearm,155,"1,355,064",11.44,10.67,"2,669"
New Hampshire,2018,Machinery,--,"1,355,064",--,--,--
New Hampshire,2018,Natural/Environmental,--,"1,355,064",--,--,--
New Hampshire,2018,Drug Poisoning,452,"1,355,064",33.36,35.95,"11,136"
New Hampshire,2018,Non-Drug Poisoning,24,"1,355,064",1.77,1.75,518
New Hampshire,2018,Struck by / against,--,"1,355,064",--,--,--
New Hampshire,2018,Suffocation,114,"1,355,064",8.41,8.12,"2,216"
New Hampshire,2018,"Motor vehicle, traffic",142,"1,355,064",10.48,9.69,"2,733"
New Hampshire,2018,"Pedal cyclist, other",--,"1,355,064",--,--,--
New Hampshire,2018,"Pedestrian, other",--,"1,355,064",--,--,--
New Hampshire,2018,"Transport, other land",--,"1,355,064",--,--,--
New Hampshire,2018,Other specified and classifiable,--,"1,355,064",--,--,--
New Hampshire,2018,Other specified / NEC,--,"1,355,064",--,--,--
New Hampshire,2018,Unspecified,19**,"1,355,064",1.40**,1.13**,92
New Hampshire,2017,Cut/Pierce,--,"1,350,395",--,--,--
New Hampshire,2017,Drowning (includes water transport),15**,"1,350,395",1.11**,0.96**,233
New Hampshire,2017,Fall,270,"1,350,395",19.99,15.26,387
New Hampshire,2017,Fire/Flame,12**,"1,350,395",0.89**,0.63**,107
New Hampshire,2017,Hot object/Substance,--,"1,350,395",--,--,--
New Hampshire,2017,Firearm,146,"1,350,395",10.81,10.27,"2,907"
New Hampshire,2017,Machinery,--,"1,350,395",--,--,--
New Hampshire,2017,Natural/Environmental,13**,"1,350,395",0.96**,0.80**,68
New Hampshire,2017,Drug Poisoning,467,"1,350,395",34.58,36.54,"11,782"
New Hampshire,2017,Non-Drug Poisoning,29,"1,350,395",2.15,1.88,479
New Hampshire,2017,Struck by / against,--,"1,350,395",--,--,--
New Hampshire,2017,Suffocation,94,"1,350,395",6.96,6.54,"1,968"
New Hampshire,2017,"Motor vehicle, traffic",100,"1,350,395",7.41,6.76,"1,977"
New Hampshire,2017,"Pedal cyclist, other",--,"1,350,395",--,--,--
New Hampshire,2017,"Pedestrian, other",--,"1,350,395",--,--,--
New Hampshire,2017,"Transport, other land",--,"1,350,395",--,--,--
New Hampshire,2017,"Transport, other (excl. drown by water transp)",--,"1,350,395",--,--,--
New Hampshire,2017,Other specified and classifiable,--,"1,350,395",--,--,--
New Hampshire,2017,Other specified / NEC,--,"1,350,395",--,--,--
New Hampshire,2017,Unspecified,13**,"1,350,395",0.96**,0.77**,42
New Hampshire,2016,Cut/Pierce,--,"1,343,694",--,--,--
New Hampshire,2016,Drowning (includes water transport),19**,"1,343,694",1.41**,1.30**,319
New Hampshire,2016,Fall,237,"1,343,694",17.64,13.53,411
New Hampshire,2016,Fire/Flame,12**,"1,343,694",0.89**,0.87**,207
New Hampshire,2016,Firearm,132,"1,343,694",9.82,9.21,"2,449"
New Hampshire,2016,Machinery,--,"1,343,694",--,--,--
New Hampshire,2016,Natural/Environmental,--,"1,343,694",--,--,--
New Hampshire,2016,Drug Poisoning,481,"1,343,694",35.8,38.52,"12,790"
New Hampshire,2016,Non-Drug Poisoning,24,"1,343,694",1.79,1.84,414
New Hampshire,2016,Struck by / against,--,"1,343,694",--,--,--
New Hampshire,2016,Suffocation,102,"1,343,694",7.59,7.1,"1,906"
New Hampshire,2016,"Motor vehicle, traffic",127,"1,343,694",9.45,8.72,"2,656"
New Hampshire,2016,"Pedal cyclist, other",--,"1,343,694",--,--,--
New Hampshire,2016,"Pedestrian, other",--,"1,343,694",--,--,--
New Hampshire,2016,"Transport, other land",--,"1,343,694",--,--,--
New Hampshire,2016,"Transport, other (excl. drown by water transp)",--,"1,343,694",--,--,--
New Hampshire,2016,Other specified and classifiable,18**,"1,343,694",1.34**,1.29**,329
New Hampshire,2016,Other specified / NEC,--,"1,343,694",--,--,--
New Hampshire,2016,Unspecified,25,"1,343,694",1.86,1.62,172
New Hampshire,2015,Cut/Pierce,--,"1,337,480",--,--,--
New Hampshire,2015,Drowning (includes water transport),21,"1,337,480",1.57,1.62,507
New Hampshire,2015,Fall,243,"1,337,480",18.17,14.52,493
New Hampshire,2015,Fire/Flame,15**,"1,337,480",1.12**,0.84**,131
New Hampshire,2015,Firearm,121,"1,337,480",9.05,8.86,"2,248"
New Hampshire,2015,Machinery,--,"1,337,480",--,--,--
New Hampshire,2015,Natural/Environmental,--,"1,337,480",--,--,--
New Hampshire,2015,Drug Poisoning,422,"1,337,480",31.55,33.87,"11,035"
New Hampshire,2015,Non-Drug Poisoning,28,"1,337,480",2.09,2.11,540
New Hampshire,2015,Struck by / against,--,"1,337,480",--,--,--
New Hampshire,2015,Suffocation,82,"1,337,480",6.13,5.62,"1,342"
New Hampshire,2015,"Motor vehicle, traffic",104,"1,337,480",7.78,7.32,"2,063"
New Hampshire,2015,"Pedal cyclist, other",--,"1,337,480",--,--,--
New Hampshire,2015,"Transport, other land",--,"1,337,480",--,--,--
New Hampshire,2015,"Transport, other (excl. drown by water transp)",--,"1,337,480",--,--,--
New Hampshire,2015,Other specified and classifiable,--,"1,337,480",--,--,--
New Hampshire,2015,Other specified / NEC,--,"1,337,480",--,--,--
New Hampshire,2015,Unspecified,16**,"1,337,480",1.20**,1.15**,277
New Hampshire,2014,Cut/Pierce,--,"1,334,257",--,--,--
New Hampshire,2014,Drowning (includes water transport),16**,"1,334,257",1.20**,1.09**,228
New Hampshire,2014,Fall,225,"1,334,257",16.86,13.4,366
New Hampshire,2014,Fire/Flame,10**,"1,334,257",0.75**,0.62**,107
New Hampshire,2014,Hot object/Substance,--,"1,334,257",--,--,--
New Hampshire,2014,Firearm,122,"1,334,257",9.14,8.58,"2,550"
New Hampshire,2014,Machinery,--,"1,334,257",--,--,--
New Hampshire,2014,Natural/Environmental,--,"1,334,257",--,--,--
New Hampshire,2014,Drug Poisoning,334,"1,334,257",25.03,25.89,"8,261"
New Hampshire,2014,Non-Drug Poisoning,28,"1,334,257",2.1,2.14,584
New Hampshire,2014,Struck by / against,--,"1,334,257",--,--,--
New Hampshire,2014,Suffocation,101,"1,334,257",7.57,7.33,"1,864"
New Hampshire,2014,"Motor vehicle, traffic",95,"1,334,257",7.12,6.68,"2,064"
New Hampshire,2014,"Pedestrian, other",--,"1,334,257",--,--,--
