State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
New Jersey,2021,Cut/Pierce,65,"9,267,130",0.7,0.72,"1,421"
New Jersey,2021,Drowning (includes water transport),100,"9,267,130",1.08,1.04,"2,454"
New Jersey,2021,Fall,641,"9,267,130",6.92,5.68,"2,906"
New Jersey,2021,Fire/Flame,72,"9,267,130",0.78,0.7,"1,127"
New Jersey,2021,Hot object/Substance,--,"9,267,130",--,--,--
New Jersey,2021,Firearm,475,"9,267,130",5.13,5.24,"12,434"
New Jersey,2021,Machinery,--,"9,267,130",--,--,--
New Jersey,2021,Natural/Environmental,54,"9,267,130",0.58,0.55,"1,034"
New Jersey,2021,Drug Poisoning,"3,056","9,267,130",32.98,32.42,"62,052"
New Jersey,2021,Non-Drug Poisoning,139,"9,267,130",1.5,1.44,"2,394"
New Jersey,2021,Struck by / against,22,"9,267,130",0.24,0.22,298
New Jersey,2021,Suffocation,452,"9,267,130",4.88,4.48,"7,046"
New Jersey,2021,"Motor vehicle, traffic",702,"9,267,130",7.58,7.35,"15,245"
New Jersey,2021,"Pedal cyclist, other",12**,"9,267,130",0.13**,0.10**,121
New Jersey,2021,"Pedestrian, other",18**,"9,267,130",0.19**,0.20**,393
New Jersey,2021,"Transport, other land",11**,"9,267,130",0.12**,0.13**,324
New Jersey,2021,"Transport, other (excl. drown by water transp)",--,"9,267,130",--,--,--
New Jersey,2021,Other specified and classifiable,45,"9,267,130",0.49,0.49,"1,254"
New Jersey,2021,Other specified / NEC,33,"9,267,130",0.36,0.32,326
New Jersey,2021,Unspecified,361,"9,267,130",3.9,3.25,"2,227"
New Jersey,2020,Cut/Pierce,86,"9,279,743",0.93,0.88,"1,717"
New Jersey,2020,Drowning (includes water transport),125,"9,279,743",1.35,1.33,"3,240"
New Jersey,2020,Fall,646,"9,279,743",6.96,5.72,"2,507"
New Jersey,2020,Fire/Flame,58,"9,279,743",0.63,0.56,853
New Jersey,2020,Hot object/Substance,--,"9,279,743",--,--,--
New Jersey,2020,Firearm,443,"9,279,743",4.77,4.81,"11,476"
New Jersey,2020,Machinery,--,"9,279,743",--,--,--
New Jersey,2020,Natural/Environmental,26,"9,279,743",0.28,0.21,99
New Jersey,2020,Drug Poisoning,"2,840","9,279,743",30.6,30.55,"61,731"
New Jersey,2020,Non-Drug Poisoning,117,"9,279,743",1.26,1.22,"2,096"
New Jersey,2020,Struck by / against,18**,"9,279,743",0.19**,0.19**,378
New Jersey,2020,Suffocation,451,"9,279,743",4.86,4.38,"7,035"
New Jersey,2020,"Motor vehicle, traffic",604,"9,279,743",6.51,6.17,"12,099"
New Jersey,2020,"Pedal cyclist, other",--,"9,279,743",--,--,--
New Jersey,2020,"Pedestrian, other",20**,"9,279,743",0.22**,0.20**,345
New Jersey,2020,"Transport, other land",23,"9,279,743",0.25,0.23,526
New Jersey,2020,"Transport, other (excl. drown by water transp)",--,"9,279,743",--,--,--
New Jersey,2020,Other specified and classifiable,39,"9,279,743",0.42,0.43,"1,036"
New Jersey,2020,Other specified / NEC,26,"9,279,743",0.28,0.25,344
