State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
New Mexico,2021,Cut/Pierce,49,"2,115,877",2.32,2.43,950
New Mexico,2021,Drowning (includes water transport),44,"2,115,877",2.08,2.23,"1,118"
New Mexico,2021,Fall,354,"2,115,877",16.73,13.74,752
New Mexico,2021,Fire/Flame,43,"2,115,877",2.03,1.8,581
New Mexico,2021,Hot object/Substance,--,"2,115,877",--,--,--
New Mexico,2021,Firearm,578,"2,115,877",27.32,27.72,"14,424"
New Mexico,2021,Machinery,--,"2,115,877",--,--,--
New Mexico,2021,Natural/Environmental,56,"2,115,877",2.65,2.25,569
New Mexico,2021,Drug Poisoning,"1,052","2,115,877",49.72,51.67,"23,238"
New Mexico,2021,Non-Drug Poisoning,117,"2,115,877",5.53,5.4,"2,153"
New Mexico,2021,Struck by / against,13**,"2,115,877",0.61**,0.58**,204
New Mexico,2021,Suffocation,190,"2,115,877",8.98,9.26,"5,416"
New Mexico,2021,"Motor vehicle, traffic",463,"2,115,877",21.88,22.16,"11,623"
New Mexico,2021,"Pedestrian, other",--,"2,115,877",--,--,--
New Mexico,2021,"Transport, other land",--,"2,115,877",--,--,--
New Mexico,2021,"Transport, other (excl. drown by water transp)",10**,"2,115,877",0.47**,0.31**,56
New Mexico,2021,Other specified and classifiable,25,"2,115,877",1.18,1.24,667
New Mexico,2021,Other specified / NEC,30,"2,115,877",1.42,1.31,605
New Mexico,2021,Unspecified,55,"2,115,877",2.6,2.24,650
New Mexico,2020,Cut/Pierce,36,"2,117,566",1.7,1.71,735
New Mexico,2020,Drowning (includes water transport),41,"2,117,566",1.94,1.91,923
New Mexico,2020,Fall,375,"2,117,566",17.71,14.85,987
New Mexico,2020,Fire/Flame,34,"2,117,566",1.61,1.46,388
New Mexico,2020,Hot object/Substance,--,"2,117,566",--,--,--
New Mexico,2020,Firearm,479,"2,117,566",22.62,22.57,"11,280"
New Mexico,2020,Machinery,--,"2,117,566",--,--,--
New Mexico,2020,Natural/Environmental,43,"2,117,566",2.03,1.92,479
New Mexico,2020,Drug Poisoning,784,"2,117,566",37.02,38.93,"18,017"
New Mexico,2020,Non-Drug Poisoning,133,"2,117,566",6.28,6.28,"2,373"
New Mexico,2020,Struck by / against,11**,"2,117,566",0.52**,0.44**,132
New Mexico,2020,Suffocation,174,"2,117,566",8.22,8.64,"4,962"
New Mexico,2020,"Motor vehicle, traffic",410,"2,117,566",19.36,19.44,"9,249"
New Mexico,2020,"Pedestrian, other",--,"2,117,566",--,--,--
New Mexico,2020,"Transport, other land",18**,"2,117,566",0.85**,0.75**,297
New Mexico,2020,"Transport, other (excl. drown by water transp)",--,"2,117,566",--,--,--
New Mexico,2020,Other specified and classifiable,18**,"2,117,566",0.85**,0.82**,445
New Mexico,2020,Other specified / NEC,23,"2,117,566",1.09,1.09,428
New Mexico,2020,Unspecified,59,"2,117,566",2.79,2.79,887
New Mexico,2019,Cut/Pierce,33,"2,099,634",1.57,1.71,750
New Mexico,2019,Drowning (includes water transport),30,"2,099,634",1.43,1.47,794
New Mexico,2019,Fall,411,"2,099,634",19.58,15.85,"1,003"
New Mexico,2019,Fire/Flame,25,"2,099,634",1.19,1.13,323
New Mexico,2019,Hot object/Substance,--,"2,099,634",--,--,--
New Mexico,2019,Firearm,471,"2,099,634",22.43,22.24,"11,184"
New Mexico,2019,Machinery,--,"2,099,634",--,--,--
New Mexico,2019,Natural/Environmental,45,"2,099,634",2.14,1.86,515
New Mexico,2019,Drug Poisoning,599,"2,099,634",28.53,30.32,"12,898"
New Mexico,2019,Non-Drug Poisoning,118,"2,099,634",5.62,5.92,"2,414"
New Mexico,2019,Struck by / against,--,"2,099,634",--,--,--
New Mexico,2019,Suffocation,208,"2,099,634",9.91,10.1,"5,414"
New Mexico,2019,"Motor vehicle, traffic",394,"2,099,634",18.77,18.91,"9,530"
New Mexico,2019,"Pedal cyclist, other",--,"2,099,634",--,--,--
New Mexico,2019,"Pedestrian, other",--,"2,099,634",--,--,--
New Mexico,2019,"Transport, other land",--,"2,099,634",--,--,--
New Mexico,2019,"Transport, other (excl. drown by water transp)",--,"2,099,634",--,--,--
New Mexico,2019,Other specified and classifiable,22,"2,099,634",1.05,1.07,380
New Mexico,2019,Other specified / NEC,40,"2,099,634",1.91,1.83,923
New Mexico,2019,Unspecified,42,"2,099,634",2,1.82,414
New Mexico,2018,Cut/Pierce,34,"2,093,754",1.62,1.68,792
New Mexico,2018,Drowning (includes water transport),30,"2,093,754",1.43,1.42,685
New Mexico,2018,Fall,400,"2,093,754",19.1,15.62,769
New Mexico,2018,Fire/Flame,14**,"2,093,754",0.67**,0.62**,146
New Mexico,2018,Hot object/Substance,--,"2,093,754",--,--,--
New Mexico,2018,Firearm,438,"2,093,754",20.92,20.76,"10,169"
New Mexico,2018,Machinery,--,"2,093,754",--,--,--
New Mexico,2018,Natural/Environmental,31,"2,093,754",1.48,1.21,239
New Mexico,2018,Drug Poisoning,537,"2,093,754",25.65,26.83,"11,170"
New Mexico,2018,Non-Drug Poisoning,87,"2,093,754",4.16,4.32,"1,489"
New Mexico,2018,Struck by / against,--,"2,093,754",--,--,--
New Mexico,2018,Suffocation,197,"2,093,754",9.41,9.48,"5,402"
New Mexico,2018,"Motor vehicle, traffic",379,"2,093,754",18.1,18.13,"8,850"
New Mexico,2018,"Pedal cyclist, other",--,"2,093,754",--,--,--
New Mexico,2018,"Pedestrian, other",11**,"2,093,754",0.53**,0.49**,171
New Mexico,2018,"Transport, other land",14**,"2,093,754",0.67**,0.66**,313
New Mexico,2018,"Transport, other (excl. drown by water transp)",--,"2,093,754",--,--,--
New Mexico,2018,Other specified and classifiable,23,"2,093,754",1.1,1.07,531
New Mexico,2018,Other specified / NEC,39,"2,093,754",1.86,1.83,727
New Mexico,2018,Unspecified,62,"2,093,754",2.96,2.63,787
New Mexico,2017,Cut/Pierce,39,"2,092,844",1.86,1.83,858
New Mexico,2017,Drowning (includes water transport),41,"2,092,844",1.96,2.01,892
New Mexico,2017,Fall,371,"2,092,844",17.73,14.92,962
New Mexico,2017,Fire/Flame,35,"2,092,844",1.67,1.48,464
New Mexico,2017,Hot object/Substance,--,"2,092,844",--,--,--
New Mexico,2017,Firearm,394,"2,092,844",18.83,18.45,"8,904"
New Mexico,2017,Machinery,--,"2,092,844",--,--,--
New Mexico,2017,Natural/Environmental,22,"2,092,844",1.05,1.02,355
New Mexico,2017,Drug Poisoning,493,"2,092,844",23.56,24.73,"11,217"
New Mexico,2017,Non-Drug Poisoning,68,"2,092,844",3.25,3.53,"1,317"
New Mexico,2017,Struck by / against,--,"2,092,844",--,--,--
