State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Nevada,2021,Cut/Pierce,33,"3,143,991",1.05,1.04,662
Nevada,2021,Drowning (includes water transport),64,"3,143,991",2.04,2.04,"1,620"
Nevada,2021,Fall,405,"3,143,991",12.88,12.21,"1,269"
Nevada,2021,Fire/Flame,38,"3,143,991",1.21,1.11,703
Nevada,2021,Hot object/Substance,--,"3,143,991",--,--,--
Nevada,2021,Firearm,633,"3,143,991",20.13,19.76,"13,895"
Nevada,2021,Machinery,--,"3,143,991",--,--,--
Nevada,2021,Natural/Environmental,106,"3,143,991",3.37,2.76,729
Nevada,2021,Overexertion,--,"3,143,991",--,--,--
Nevada,2021,Drug Poisoning,949,"3,143,991",30.19,29.07,"19,804"
Nevada,2021,Non-Drug Poisoning,42,"3,143,991",1.34,1.27,799
Nevada,2021,Struck by / against,--,"3,143,991",--,--,--
Nevada,2021,Suffocation,203,"3,143,991",6.46,6.53,"5,158"
Nevada,2021,"Motor vehicle, traffic",399,"3,143,991",12.69,12.04,"8,352"
Nevada,2021,"Pedal cyclist, other",--,"3,143,991",--,--,--
Nevada,2021,"Pedestrian, other",--,"3,143,991",--,--,--
Nevada,2021,"Transport, other land",19**,"3,143,991",0.60**,0.59**,357
Nevada,2021,"Transport, other (excl. drown by water transp)",--,"3,143,991",--,--,--
Nevada,2021,Other specified and classifiable,26,"3,143,991",0.83,0.84,707
Nevada,2021,Other specified / NEC,17**,"3,143,991",0.54**,0.50**,196
Nevada,2021,Unspecified,66,"3,143,991",2.1,2,932
Nevada,2020,Cut/Pierce,36,"3,114,071",1.16,1.2,862
Nevada,2020,Drowning (includes water transport),63,"3,114,071",2.02,1.91,"1,124"
Nevada,2020,Fall,353,"3,114,071",11.34,10.96,"1,265"
Nevada,2020,Fire/Flame,32,"3,114,071",1.03,0.92,354
Nevada,2020,Firearm,547,"3,114,071",17.57,17.18,"11,231"
Nevada,2020,Machinery,--,"3,114,071",--,--,--
Nevada,2020,Natural/Environmental,65,"3,114,071",2.09,1.86,711
Nevada,2020,Drug Poisoning,832,"3,114,071",26.72,25.97,"18,449"
Nevada,2020,Non-Drug Poisoning,50,"3,114,071",1.61,1.54,914
Nevada,2020,Struck by / against,13**,"3,114,071",0.42**,0.36**,116
Nevada,2020,Suffocation,167,"3,114,071",5.36,5.41,"4,220"
Nevada,2020,"Motor vehicle, traffic",342,"3,114,071",10.98,10.61,"7,699"
Nevada,2020,"Pedal cyclist, other",--,"3,114,071",--,--,--
Nevada,2020,"Pedestrian, other",12**,"3,114,071",0.39**,0.37**,149
Nevada,2020,"Transport, other land",17**,"3,114,071",0.55**,0.56**,425
Nevada,2020,"Transport, other (excl. drown by water transp)",--,"3,114,071",--,--,--
Nevada,2020,Other specified and classifiable,21,"3,114,071",0.67,0.65,345
Nevada,2020,Other specified / NEC,26,"3,114,071",0.84,0.8,252
Nevada,2020,Unspecified,60,"3,114,071",1.93,1.8,862
Nevada,2019,Cut/Pierce,21,"3,090,771",0.68,0.66,360
Nevada,2019,Drowning (includes water transport),49,"3,090,771",1.59,1.58,"1,390"
Nevada,2019,Fall,354,"3,090,771",11.45,10.72,"1,108"
Nevada,2019,Fire/Flame,16**,"3,090,771",0.52**,0.42**,150
Nevada,2019,Hot object/Substance,--,"3,090,771",--,--,--
Nevada,2019,Firearm,490,"3,090,771",15.85,15.24,"9,790"
Nevada,2019,Machinery,--,"3,090,771",--,--,--
Nevada,2019,Natural/Environmental,47,"3,090,771",1.52,1.3,489
Nevada,2019,Drug Poisoning,647,"3,090,771",20.93,20.02,"12,325"
Nevada,2019,Non-Drug Poisoning,41,"3,090,771",1.33,1.23,555
Nevada,2019,Struck by / against,--,"3,090,771",--,--,--
Nevada,2019,Suffocation,210,"3,090,771",6.79,6.77,"5,509"
Nevada,2019,"Motor vehicle, traffic",294,"3,090,771",9.51,9.09,"5,621"
Nevada,2019,"Pedal cyclist, other",--,"3,090,771",--,--,--
Nevada,2019,"Pedestrian, other",--,"3,090,771",--,--,--
Nevada,2019,"Transport, other land",15**,"3,090,771",0.49**,0.45**,291
Nevada,2019,"Transport, other (excl. drown by water transp)",--,"3,090,771",--,--,--
Nevada,2019,Other specified and classifiable,24,"3,090,771",0.78,0.74,564
Nevada,2019,Other specified / NEC,15**,"3,090,771",0.49**,0.42**,185
Nevada,2019,Unspecified,60,"3,090,771",1.94,1.79,740
