State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
New York,2021,Cut/Pierce,212,"19,835,913",1.07,1.05,"4,672"
New York,2021,Drowning (includes water transport),230,"19,835,913",1.16,1.11,"5,209"
New York,2021,Fall,"2,136","19,835,913",10.77,8.42,"7,894"
New York,2021,Fire/Flame,188,"19,835,913",0.95,0.82,"2,555"
New York,2021,Hot object/Substance,--,"19,835,913",--,--,--
New York,2021,Firearm,"1,078","19,835,913",5.44,5.41,"28,086"
New York,2021,Machinery,22,"19,835,913",0.11,0.11,421
New York,2021,Natural/Environmental,90,"19,835,913",0.45,0.4,"1,164"
New York,2021,Drug Poisoning,"5,842","19,835,913",29.45,28.7,"116,728"
New York,2021,Non-Drug Poisoning,220,"19,835,913",1.11,1.06,"3,793"
New York,2021,Struck by / against,67,"19,835,913",0.34,0.32,"1,114"
New York,2021,Suffocation,932,"19,835,913",4.7,4.41,"18,586"
New York,2021,"Motor vehicle, traffic","1,333","19,835,913",6.72,6.36,"28,061"
New York,2021,"Pedal cyclist, other",15**,"19,835,913",0.08**,0.06**,127
New York,2021,"Pedestrian, other",49,"19,835,913",0.25,0.24,"1,130"
New York,2021,"Transport, other land",56,"19,835,913",0.28,0.28,"1,164"
New York,2021,"Transport, other (excl. drown by water transp)",15**,"19,835,913",0.08**,0.07**,294
New York,2021,Other specified and classifiable,125,"19,835,913",0.63,0.6,"2,332"
New York,2021,Other specified / NEC,114,"19,835,913",0.58,0.54,"1,905"
New York,2021,Unspecified,355,"19,835,913",1.79,1.49,"3,085"
New York,2020,Cut/Pierce,215,"20,154,933",1.07,1.06,"4,977"
New York,2020,Drowning (includes water transport),242,"20,154,933",1.2,1.16,"5,731"
New York,2020,Fall,"1,958","20,154,933",9.72,7.81,"7,743"
New York,2020,Fire/Flame,168,"20,154,933",0.83,0.72,"1,886"
New York,2020,Hot object/Substance,--,"20,154,933",--,--,--
New York,2020,Firearm,"1,052","20,154,933",5.22,5.09,"26,821"
New York,2020,Machinery,13**,"20,154,933",0.07**,0.06**,201
New York,2020,Natural/Environmental,64,"20,154,933",0.32,0.26,506
New York,2020,Overexertion,--,"20,154,933",--,--,--
New York,2020,Drug Poisoning,"4,965","20,154,933",24.63,24.16,"105,892"
New York,2020,Non-Drug Poisoning,210,"20,154,933",1.04,1.01,"3,699"
