State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Ohio,2021,Cut/Pierce,73,"11,780,017",0.62,0.62,"1,481"
Ohio,2021,Drowning (includes water transport),160,"11,780,017",1.36,1.38,"4,438"
Ohio,2021,Fall,"1,929","11,780,017",16.38,13.27,"3,810"
Ohio,2021,Fire/Flame,166,"11,780,017",1.41,1.22,"2,406"
Ohio,2021,Hot object/Substance,--,"11,780,017",--,--,--
Ohio,2021,Firearm,"1,911","11,780,017",16.22,16.47,"49,823"
Ohio,2021,Machinery,26,"11,780,017",0.22,0.2,406
Ohio,2021,Natural/Environmental,71,"11,780,017",0.6,0.5,620
Ohio,2021,Overexertion,--,"11,780,017",--,--,--
Ohio,2021,Drug Poisoning,"5,397","11,780,017",45.82,48.27,"119,852"
Ohio,2021,Non-Drug Poisoning,154,"11,780,017",1.31,1.27,"2,670"
Ohio,2021,Struck by / against,32,"11,780,017",0.27,0.26,448
Ohio,2021,Suffocation,788,"11,780,017",6.69,6.69,"19,165"
Ohio,2021,"Motor vehicle, traffic","1,452","11,780,017",12.33,11.99,"30,818"
Ohio,2021,"Pedal cyclist, other",--,"11,780,017",--,--,--
Ohio,2021,"Pedestrian, other",32,"11,780,017",0.27,0.27,721
Ohio,2021,"Transport, other land",53,"11,780,017",0.45,0.43,"1,177"
Ohio,2021,"Transport, other (excl. drown by water transp)",--,"11,780,017",--,--,--
Ohio,2021,Other specified and classifiable,93,"11,780,017",0.79,0.78,"1,862"
Ohio,2021,Other specified / NEC,115,"11,780,017",0.98,0.88,"1,312"
Ohio,2021,Unspecified,372,"11,780,017",3.16,2.64,"2,686"
Ohio,2020,Cut/Pierce,109,"11,790,587",0.92,0.92,"2,355"
Ohio,2020,Drowning (includes water transport),178,"11,790,587",1.51,1.49,"5,018"
Ohio,2020,Fall,"1,816","11,790,587",15.4,12.47,"3,167"
Ohio,2020,Fire/Flame,117,"11,790,587",0.99,0.84,"1,341"
Ohio,2020,Hot object/Substance,--,"11,790,587",--,--,--
Ohio,2020,Firearm,"1,764","11,790,587",14.96,15.05,"45,774"
Ohio,2020,Machinery,19**,"11,790,587",0.16**,0.14**,315
Ohio,2020,Natural/Environmental,53,"11,790,587",0.45,0.39,698
