State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Oklahoma,2021,Cut/Pierce,41,"3,986,639",1.03,1.03,"1,043"
Oklahoma,2021,Drowning (includes water transport),74,"3,986,639",1.86,1.84,"1,613"
Oklahoma,2021,Fall,877,"3,986,639",22,19.67,"1,801"
Oklahoma,2021,Fire/Flame,91,"3,986,639",2.28,2.09,"1,024"
Oklahoma,2021,Hot object/Substance,--,"3,986,639",--,--,--
Oklahoma,2021,Firearm,836,"3,986,639",20.97,21.18,"19,686"
Oklahoma,2021,Machinery,--,"3,986,639",--,--,--
Oklahoma,2021,Natural/Environmental,43,"3,986,639",1.08,0.99,403
Oklahoma,2021,Drug Poisoning,960,"3,986,639",24.08,24.42,"19,317"
Oklahoma,2021,Non-Drug Poisoning,61,"3,986,639",1.53,1.6,"1,162"
Oklahoma,2021,Struck by / against,12**,"3,986,639",0.30**,0.30**,170
Oklahoma,2021,Suffocation,299,"3,986,639",7.5,7.84,"8,467"
Oklahoma,2021,"Motor vehicle, traffic",807,"3,986,639",20.24,20.04,"18,034"
Oklahoma,2021,"Pedal cyclist, other",--,"3,986,639",--,--,--
Oklahoma,2021,"Pedestrian, other",14**,"3,986,639",0.35**,0.36**,301
Oklahoma,2021,"Transport, other land",18**,"3,986,639",0.45**,0.42**,245
Oklahoma,2021,"Transport, other (excl. drown by water transp)",12**,"3,986,639",0.30**,0.27**,208
Oklahoma,2021,Other specified and classifiable,51,"3,986,639",1.28,1.31,"1,090"
Oklahoma,2021,Other specified / NEC,34,"3,986,639",0.85,0.8,458
Oklahoma,2021,Unspecified,108,"3,986,639",2.71,2.61,"1,597"
Oklahoma,2020,Cut/Pierce,41,"3,962,031",1.04,1.06,883
Oklahoma,2020,Drowning (includes water transport),83,"3,962,031",2.1,2.11,"2,561"
Oklahoma,2020,Fall,752,"3,962,031",18.98,16.79,"1,235"
Oklahoma,2020,Fire/Flame,73,"3,962,031",1.84,1.58,705
Oklahoma,2020,Firearm,826,"3,962,031",20.85,20.86,"19,169"
Oklahoma,2020,Machinery,--,"3,962,031",--,--,--
Oklahoma,2020,Natural/Environmental,30,"3,962,031",0.76,0.74,497
Oklahoma,2020,Drug Poisoning,762,"3,962,031",19.23,19.45,"15,282"
