State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Oregon,2021,Cut/Pierce,43,"4,246,155",1.01,0.98,833
Oregon,2021,Drowning (includes water transport),111,"4,246,155",2.61,2.54,"2,493"
Oregon,2021,Fall,894,"4,246,155",21.05,17.55,"1,277"
Oregon,2021,Fire/Flame,73,"4,246,155",1.72,1.41,777
Oregon,2021,Hot object/Substance,--,"4,246,155",--,--,--
Oregon,2021,Firearm,670,"4,246,155",15.78,14.87,"13,321"
Oregon,2021,Machinery,14**,"4,246,155",0.33**,0.30**,148
Oregon,2021,Natural/Environmental,161,"4,246,155",3.79,2.95,837
Oregon,2021,Drug Poisoning,"1,171","4,246,155",27.58,26.76,"24,567"
Oregon,2021,Non-Drug Poisoning,97,"4,246,155",2.28,2.18,"1,573"
Oregon,2021,Struck by / against,16**,"4,246,155",0.38**,0.32**,279
Oregon,2021,Suffocation,281,"4,246,155",6.62,6.44,"6,084"
Oregon,2021,"Motor vehicle, traffic",584,"4,246,155",13.75,12.96,"11,537"
Oregon,2021,"Pedal cyclist, other",--,"4,246,155",--,--,--
Oregon,2021,"Pedestrian, other",13**,"4,246,155",0.31**,0.28**,208
Oregon,2021,"Transport, other land",33,"4,246,155",0.78,0.74,609
Oregon,2021,"Transport, other (excl. drown by water transp)",--,"4,246,155",--,--,--
Oregon,2021,Other specified and classifiable,47,"4,246,155",1.11,1.04,858
Oregon,2021,Other specified / NEC,36,"4,246,155",0.85,0.69,285
Oregon,2021,Unspecified,71,"4,246,155",1.67,1.45,796
Oregon,2020,Cut/Pierce,31,"4,241,544",0.73,0.73,715
Oregon,2020,Drowning (includes water transport),101,"4,241,544",2.38,2.2,"2,163"
Oregon,2020,Fall,827,"4,241,544",19.5,16.66,"1,615"
Oregon,2020,Fire/Flame,47,"4,241,544",1.11,0.89,388
Oregon,2020,Hot object/Substance,--,"4,241,544",--,--,--
Oregon,2020,Firearm,592,"4,241,544",13.96,13.05,"11,472"
Oregon,2020,Machinery,--,"4,241,544",--,--,--
Oregon,2020,Natural/Environmental,25,"4,241,544",0.59,0.54,392
Oregon,2020,Drug Poisoning,803,"4,241,544",18.93,18.59,"17,345"
Oregon,2020,Non-Drug Poisoning,88,"4,241,544",2.08,1.85,"1,517"
Oregon,2020,Struck by / against,21,"4,241,544",0.5,0.43,297
