State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Pennsylvania,2021,Cut/Pierce,108,"12,964,056",0.83,0.8,"2,011"
Pennsylvania,2021,Drowning (includes water transport),165,"12,964,056",1.27,1.25,"4,006"
Pennsylvania,2021,Fall,"2,444","12,964,056",18.85,13.8,"4,348"
Pennsylvania,2021,Fire/Flame,200,"12,964,056",1.54,1.35,"2,826"
Pennsylvania,2021,Hot object/Substance,--,"12,964,056",--,--,--
Pennsylvania,2021,Firearm,"1,905","12,964,056",14.69,14.74,"47,890"
Pennsylvania,2021,Machinery,21,"12,964,056",0.16,0.14,255
Pennsylvania,2021,Natural/Environmental,98,"12,964,056",0.76,0.59,738
Pennsylvania,2021,Drug Poisoning,"5,449","12,964,056",42.03,43.29,"117,312"
Pennsylvania,2021,Non-Drug Poisoning,189,"12,964,056",1.46,1.41,"3,173"
Pennsylvania,2021,Struck by / against,55,"12,964,056",0.42,0.38,849
Pennsylvania,2021,Suffocation,916,"12,964,056",7.07,6.53,"16,255"
Pennsylvania,2021,"Motor vehicle, traffic","1,312","12,964,056",10.12,9.64,"26,269"
Pennsylvania,2021,"Pedal cyclist, other",12**,"12,964,056",0.09**,0.09**,265
Pennsylvania,2021,"Pedestrian, other",46,"12,964,056",0.36,0.35,950
Pennsylvania,2021,"Transport, other land",62,"12,964,056",0.48,0.44,"1,165"
Pennsylvania,2021,"Transport, other (excl. drown by water transp)",--,"12,964,056",--,--,--
Pennsylvania,2021,Other specified and classifiable,94,"12,964,056",0.73,0.67,"1,791"
Pennsylvania,2021,Other specified / NEC,75,"12,964,056",0.58,0.49,"1,012"
Pennsylvania,2021,Unspecified,343,"12,964,056",2.65,2.06,"2,263"
Pennsylvania,2020,Cut/Pierce,102,"12,989,625",0.79,0.82,"2,430"
Pennsylvania,2020,Drowning (includes water transport),127,"12,989,625",0.98,1.01,"3,758"
Pennsylvania,2020,Fall,"2,170","12,989,625",16.71,12.12,"3,249"
Pennsylvania,2020,Fire/Flame,163,"12,989,625",1.26,1.08,"2,619"
Pennsylvania,2020,Hot object/Substance,--,"12,989,625",--,--,--
Pennsylvania,2020,Firearm,"1,752","12,989,625",13.49,13.41,"43,758"
Pennsylvania,2020,Machinery,26,"12,989,625",0.2,0.18,380
Pennsylvania,2020,Natural/Environmental,69,"12,989,625",0.53,0.4,340
Pennsylvania,2020,Overexertion,--,"12,989,625",--,--,--
Pennsylvania,2020,Drug Poisoning,"5,168","12,989,625",39.79,41.59,"116,413"
Pennsylvania,2020,Non-Drug Poisoning,148,"12,989,625",1.14,1.09,"2,470"
Pennsylvania,2020,Struck by / against,54,"12,989,625",0.42,0.38,912
Pennsylvania,2020,Suffocation,850,"12,989,625",6.54,6.03,"15,075"
Pennsylvania,2020,"Motor vehicle, traffic","1,175","12,989,625",9.05,8.67,"24,501"
Pennsylvania,2020,"Pedal cyclist, other",14**,"12,989,625",0.11**,0.09**,248
Pennsylvania,2020,"Pedestrian, other",25,"12,989,625",0.19,0.19,523
