State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Rhode Island,2021,Cut/Pierce,--,"1,095,610",--,--,--
Rhode Island,2021,Drowning (includes water transport),23,"1,095,610",2.1,1.96,469
Rhode Island,2021,Fall,252,"1,095,610",23,17.08,188
Rhode Island,2021,Fire/Flame,14**,"1,095,610",1.28**,1.13**,138
Rhode Island,2021,Hot object/Substance,--,"1,095,610",--,--,--
Rhode Island,2021,Firearm,64,"1,095,610",5.84,5.64,"1,488"
Rhode Island,2021,Machinery,--,"1,095,610",--,--,--
Rhode Island,2021,Natural/Environmental,--,"1,095,610",--,--,--
Rhode Island,2021,Drug Poisoning,455,"1,095,610",41.53,41.72,"9,734"
Rhode Island,2021,Non-Drug Poisoning,26,"1,095,610",2.37,2.25,440
Rhode Island,2021,Struck by / against,--,"1,095,610",--,--,--
Rhode Island,2021,Suffocation,63,"1,095,610",5.75,5.27,"1,049"
Rhode Island,2021,"Motor vehicle, traffic",78,"1,095,610",7.12,6.51,"1,511"
Rhode Island,2021,"Pedal cyclist, other",--,"1,095,610",--,--,--
Rhode Island,2021,"Pedestrian, other",--,"1,095,610",--,--,--
Rhode Island,2021,"Transport, other land",--,"1,095,610",--,--,--
Rhode Island,2021,Other specified and classifiable,--,"1,095,610",--,--,--
Rhode Island,2021,Other specified / NEC,--,"1,095,610",--,--,--
Rhode Island,2021,Unspecified,35,"1,095,610",3.2,2.35,134
Rhode Island,2020,Cut/Pierce,--,"1,096,229",--,--,--
Rhode Island,2020,Drowning (includes water transport),14**,"1,096,229",1.28**,1.37**,395
Rhode Island,2020,Fall,234,"1,096,229",21.35,15.89,197
Rhode Island,2020,Fire/Flame,--,"1,096,229",--,--,--
Rhode Island,2020,Firearm,54,"1,096,229",4.93,4.78,"1,296"
Rhode Island,2020,Natural/Environmental,--,"1,096,229",--,--,--
Rhode Island,2020,Drug Poisoning,397,"1,096,229",36.22,36.73,"8,752"
Rhode Island,2020,Non-Drug Poisoning,23,"1,096,229",2.1,1.81,320
Rhode Island,2020,Suffocation,54,"1,096,229",4.93,4.38,819
Rhode Island,2020,"Motor vehicle, traffic",69,"1,096,229",6.29,5.66,"1,183"
Rhode Island,2020,"Pedal cyclist, other",--,"1,096,229",--,--,--
Rhode Island,2020,"Pedestrian, other",--,"1,096,229",--,--,--
Rhode Island,2020,"Transport, other land",--,"1,096,229",--,--,--
Rhode Island,2020,"Transport, other (excl. drown by water transp)",--,"1,096,229",--,--,--
Rhode Island,2020,Other specified and classifiable,--,"1,096,229",--,--,--
Rhode Island,2020,Other specified / NEC,--,"1,096,229",--,--,--
Rhode Island,2020,Unspecified,33,"1,096,229",3.01,2.4,100
Rhode Island,2019,Cut/Pierce,10**,"1,058,158",0.95**,0.86**,188
Rhode Island,2019,Drowning (includes water transport),15**,"1,058,158",1.42**,1.50**,421
Rhode Island,2019,Fall,198,"1,058,158",18.71,13.52,246
Rhode Island,2019,Fire/Flame,--,"1,058,158",--,--,--
Rhode Island,2019,Firearm,48,"1,058,158",4.54,4.59,891
Rhode Island,2019,Machinery,--,"1,058,158",--,--,--
Rhode Island,2019,Natural/Environmental,--,"1,058,158",--,--,--
Rhode Island,2019,Drug Poisoning,307,"1,058,158",29.01,29.6,"6,709"
Rhode Island,2019,Non-Drug Poisoning,33,"1,058,158",3.12,2.76,509
Rhode Island,2019,Struck by / against,--,"1,058,158",--,--,--
Rhode Island,2019,Suffocation,76,"1,058,158",7.18,6.52,"1,062"
Rhode Island,2019,"Motor vehicle, traffic",71,"1,058,158",6.71,6.17,"1,281"
Rhode Island,2019,"Pedal cyclist, other",--,"1,058,158",--,--,--
Rhode Island,2019,"Pedestrian, other",--,"1,058,158",--,--,--
Rhode Island,2019,"Transport, other land",--,"1,058,158",--,--,--
Rhode Island,2019,"Transport, other (excl. drown by water transp)",--,"1,058,158",--,--,--
Rhode Island,2019,Other specified and classifiable,--,"1,058,158",--,--,--
Rhode Island,2019,Other specified / NEC,--,"1,058,158",--,--,--
Rhode Island,2019,Unspecified,32,"1,058,158",3.02,2.33,198
Rhode Island,2018,Cut/Pierce,--,"1,059,338",--,--,--
Rhode Island,2018,Drowning (includes water transport),16**,"1,059,338",1.51**,1.49**,309
Rhode Island,2018,Fall,245,"1,059,338",23.13,15.92,369
Rhode Island,2018,Fire/Flame,--,"1,059,338",--,--,--
Rhode Island,2018,Firearm,37,"1,059,338",3.49,3.28,847
Rhode Island,2018,Machinery,--,"1,059,338",--,--,--
Rhode Island,2018,Natural/Environmental,--,"1,059,338",--,--,--
Rhode Island,2018,Drug Poisoning,317,"1,059,338",29.92,30.05,"6,597"
Rhode Island,2018,Non-Drug Poisoning,30,"1,059,338",2.83,2.5,394
Rhode Island,2018,Struck by / against,--,"1,059,338",--,--,--
Rhode Island,2018,Suffocation,84,"1,059,338",7.93,7.36,"1,359"
