State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
South Carolina,2021,Cut/Pierce,36,"5,190,705",0.69,0.7,711
South Carolina,2021,Drowning (includes water transport),91,"5,190,705",1.75,1.68,"1,896"
South Carolina,2021,Fall,717,"5,190,705",13.81,11.72,"1,473"
South Carolina,2021,Fire/Flame,95,"5,190,705",1.83,1.62,"1,228"
South Carolina,2021,Firearm,"1,136","5,190,705",21.89,22.42,"29,840"
South Carolina,2021,Machinery,--,"5,190,705",--,--,--
South Carolina,2021,Natural/Environmental,39,"5,190,705",0.75,0.66,507
South Carolina,2021,Drug Poisoning,"2,138","5,190,705",41.19,42.86,"47,721"
South Carolina,2021,Non-Drug Poisoning,77,"5,190,705",1.48,1.45,"1,445"
South Carolina,2021,Struck by / against,18**,"5,190,705",0.35**,0.30**,236
South Carolina,2021,Suffocation,309,"5,190,705",5.95,5.92,"7,040"
South Carolina,2021,"Motor vehicle, traffic","1,207","5,190,705",23.25,23.13,"28,246"
South Carolina,2021,"Pedal cyclist, other",--,"5,190,705",--,--,--
South Carolina,2021,"Pedestrian, other",12**,"5,190,705",0.23**,0.21**,168
South Carolina,2021,"Transport, other land",28,"5,190,705",0.54,0.51,631
South Carolina,2021,"Transport, other (excl. drown by water transp)",--,"5,190,705",--,--,--
South Carolina,2021,Other specified and classifiable,27,"5,190,705",0.52,0.5,497
South Carolina,2021,Other specified / NEC,34,"5,190,705",0.66,0.55,372
South Carolina,2021,Unspecified,226,"5,190,705",4.35,3.8,"1,630"
South Carolina,2020,Cut/Pierce,54,"5,130,729",1.05,1.05,"1,163"
South Carolina,2020,Drowning (includes water transport),109,"5,130,729",2.12,2.13,"2,821"
South Carolina,2020,Fall,686,"5,130,729",13.37,11.6,"1,308"
South Carolina,2020,Fire/Flame,84,"5,130,729",1.64,1.45,"1,182"
South Carolina,2020,Hot object/Substance,--,"5,130,729",--,--,--
South Carolina,2020,Firearm,"1,131","5,130,729",22.04,22.38,"30,092"
South Carolina,2020,Machinery,10**,"5,130,729",0.20**,0.16**,82
South Carolina,2020,Natural/Environmental,47,"5,130,729",0.92,0.77,403
South Carolina,2020,Drug Poisoning,"1,739","5,130,729",33.89,35.38,"39,386"
South Carolina,2020,Non-Drug Poisoning,77,"5,130,729",1.5,1.51,"1,514"
South Carolina,2020,Struck by / against,12**,"5,130,729",0.23**,0.19**,112
South Carolina,2020,Suffocation,338,"5,130,729",6.59,6.63,"7,632"
South Carolina,2020,"Motor vehicle, traffic","1,087","5,130,729",21.19,21.21,"25,273"
South Carolina,2020,"Pedal cyclist, other",12**,"5,130,729",0.23**,0.21**,163
South Carolina,2020,"Pedestrian, other",25,"5,130,729",0.49,0.47,393
South Carolina,2020,"Transport, other land",21,"5,130,729",0.41,0.38,395
South Carolina,2020,"Transport, other (excl. drown by water transp)",15**,"5,130,729",0.29**,0.30**,454
South Carolina,2020,Other specified and classifiable,28,"5,130,729",0.55,0.49,580
South Carolina,2020,Other specified / NEC,26,"5,130,729",0.51,0.44,267
South Carolina,2020,Unspecified,221,"5,130,729",4.31,3.78,"1,464"
South Carolina,2019,Cut/Pierce,41,"5,157,702",0.8,0.75,824
South Carolina,2019,Drowning (includes water transport),97,"5,157,702",1.88,1.9,"2,522"
South Carolina,2019,Fall,621,"5,157,702",12.04,9.94,"1,460"
South Carolina,2019,Fire/Flame,70,"5,157,702",1.36,1.18,871
South Carolina,2019,Hot object/Substance,--,"5,157,702",--,--,--
South Carolina,2019,Firearm,"1,012","5,157,702",19.62,19.77,"25,415"
South Carolina,2019,Machinery,--,"5,157,702",--,--,--
South Carolina,2019,Natural/Environmental,25,"5,157,702",0.49,0.44,334
South Carolina,2019,Drug Poisoning,"1,127","5,157,702",21.85,22.69,"24,816"
South Carolina,2019,Non-Drug Poisoning,60,"5,157,702",1.16,1.19,"1,144"
South Carolina,2019,Struck by / against,19**,"5,157,702",0.37**,0.36**,392
South Carolina,2019,Suffocation,381,"5,157,702",7.39,7.28,"8,541"
South Carolina,2019,"Motor vehicle, traffic",983,"5,157,702",19.06,18.83,"21,313"
South Carolina,2019,"Pedal cyclist, other",10**,"5,157,702",0.19**,0.16**,171
South Carolina,2019,"Pedestrian, other",25,"5,157,702",0.49,0.48,426
South Carolina,2019,"Transport, other land",28,"5,157,702",0.54,0.57,682
South Carolina,2019,"Transport, other (excl. drown by water transp)",--,"5,157,702",--,--,--
South Carolina,2019,Other specified and classifiable,33,"5,157,702",0.64,0.61,892
South Carolina,2019,Other specified / NEC,20**,"5,157,702",0.39**,0.33**,173
South Carolina,2019,Unspecified,194,"5,157,702",3.76,3.23,"1,321"
South Carolina,2018,Cut/Pierce,57,"5,091,702",1.12,1.07,"1,240"
South Carolina,2018,Drowning (includes water transport),78,"5,091,702",1.53,1.43,"1,920"
South Carolina,2018,Fall,606,"5,091,702",11.9,10.08,"1,419"
South Carolina,2018,Fire/Flame,95,"5,091,702",1.87,1.58,"1,095"
South Carolina,2018,Hot object/Substance,--,"5,091,702",--,--,--
South Carolina,2018,Firearm,895,"5,091,702",17.58,17.49,"22,273"
South Carolina,2018,Machinery,--,"5,091,702",--,--,--
South Carolina,2018,Natural/Environmental,53,"5,091,702",1.04,0.9,597
South Carolina,2018,Overexertion,--,"5,091,702",--,--,--
South Carolina,2018,Drug Poisoning,"1,125","5,091,702",22.1,22.66,"24,762"
South Carolina,2018,Non-Drug Poisoning,45,"5,091,702",0.88,0.85,801
South Carolina,2018,Struck by / against,16**,"5,091,702",0.31**,0.32**,366
South Carolina,2018,Suffocation,362,"5,091,702",7.11,7.19,"8,781"
South Carolina,2018,"Motor vehicle, traffic","1,017","5,091,702",19.97,19.67,"22,947"
South Carolina,2018,"Pedal cyclist, other",--,"5,091,702",--,--,--
South Carolina,2018,"Pedestrian, other",26,"5,091,702",0.51,0.51,665
South Carolina,2018,"Transport, other land",19**,"5,091,702",0.37**,0.36**,418
South Carolina,2018,"Transport, other (excl. drown by water transp)",10**,"5,091,702",0.20**,0.18**,119
South Carolina,2018,Other specified and classifiable,34,"5,091,702",0.67,0.62,749
South Carolina,2018,Other specified / NEC,51,"5,091,702",1,0.94,844
South Carolina,2018,Unspecified,199,"5,091,702",3.91,3.42,"1,501"
South Carolina,2017,Cut/Pierce,54,"5,027,102",1.07,1.04,"1,170"
South Carolina,2017,Drowning (includes water transport),85,"5,027,102",1.69,1.71,"2,475"
South Carolina,2017,Fall,480,"5,027,102",9.55,8.21,"1,237"
South Carolina,2017,Fire/Flame,107,"5,027,102",2.13,1.85,"1,612"
South Carolina,2017,Hot object/Substance,--,"5,027,102",--,--,--
South Carolina,2017,Firearm,893,"5,027,102",17.76,17.57,"21,125"
South Carolina,2017,Machinery,10**,"5,027,102",0.20**,0.17**,123
South Carolina,2017,Natural/Environmental,35,"5,027,102",0.7,0.61,284
South Carolina,2017,Overexertion,--,"5,027,102",--,--,--
South Carolina,2017,Drug Poisoning,"1,008","5,027,102",20.05,20.55,"22,387"
South Carolina,2017,Non-Drug Poisoning,70,"5,027,102",1.39,1.42,"1,265"
South Carolina,2017,Struck by / against,22,"5,027,102",0.44,0.37,261
South Carolina,2017,Suffocation,379,"5,027,102",7.54,7.61,"8,833"
South Carolina,2017,"Motor vehicle, traffic","1,029","5,027,102",20.47,20.11,"23,169"
South Carolina,2017,"Pedal cyclist, other",--,"5,027,102",--,--,--
South Carolina,2017,"Pedestrian, other",21,"5,027,102",0.42,0.44,417
South Carolina,2017,"Transport, other land",30,"5,027,102",0.6,0.58,652
South Carolina,2017,"Transport, other (excl. drown by water transp)",--,"5,027,102",--,--,--
South Carolina,2017,Other specified and classifiable,24,"5,027,102",0.48,0.49,747
South Carolina,2017,Other specified / NEC,35,"5,027,102",0.7,0.61,355
South Carolina,2017,Unspecified,180,"5,027,102",3.58,3.08,"1,026"
South Carolina,2016,Cut/Pierce,53,"4,963,031",1.07,1.05,882
South Carolina,2016,Drowning (includes water transport),98,"4,963,031",1.98,1.91,"2,303"
South Carolina,2016,Fall,485,"4,963,031",9.77,8.64,"1,050"
South Carolina,2016,Fire/Flame,86,"4,963,031",1.73,1.57,832
South Carolina,2016,Hot object/Substance,--,"4,963,031",--,--,--
South Carolina,2016,Firearm,891,"4,963,031",17.95,17.66,"20,556"
South Carolina,2016,Machinery,15**,"4,963,031",0.30**,0.25**,126
South Carolina,2016,Natural/Environmental,36,"4,963,031",0.73,0.62,270
South Carolina,2016,Drug Poisoning,879,"4,963,031",17.71,18.02,"19,111"
South Carolina,2016,Non-Drug Poisoning,77,"4,963,031",1.55,1.52,"1,402"
South Carolina,2016,Struck by / against,24,"4,963,031",0.48,0.45,516
South Carolina,2016,Suffocation,335,"4,963,031",6.75,6.65,"8,128"
South Carolina,2016,"Motor vehicle, traffic","1,045","4,963,031",21.06,20.87,"24,228"
South Carolina,2016,"Pedal cyclist, other",--,"4,963,031",--,--,--
South Carolina,2016,"Pedestrian, other",17**,"4,963,031",0.34**,0.34**,356
South Carolina,2016,"Transport, other land",29,"4,963,031",0.58,0.59,592
South Carolina,2016,"Transport, other (excl. drown by water transp)",--,"4,963,031",--,--,--
South Carolina,2016,Other specified and classifiable,24,"4,963,031",0.48,0.48,585
South Carolina,2016,Other specified / NEC,38,"4,963,031",0.77,0.72,584
South Carolina,2016,Unspecified,160,"4,963,031",3.22,2.87,"1,009"
South Carolina,2015,Cut/Pierce,39,"4,896,006",0.8,0.79,868
South Carolina,2015,Drowning (includes water transport),107,"4,896,006",2.19,2.09,"2,661"
South Carolina,2015,Fall,444,"4,896,006",9.07,8.1,"1,400"
South Carolina,2015,Fire/Flame,76,"4,896,006",1.55,1.36,926
South Carolina,2015,Hot object/Substance,--,"4,896,006",--,--,--
