State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
South Dakota,2021,Cut/Pierce,19**,"895,376",2.12**,1.97**,343
South Dakota,2021,Drowning (includes water transport),14**,"895,376",1.56**,1.49**,447
South Dakota,2021,Fall,229,"895,376",25.58,21.08,521
South Dakota,2021,Fire/Flame,18**,"895,376",2.01**,1.94**,218
South Dakota,2021,Hot object/Substance,--,"895,376",--,--,--
South Dakota,2021,Firearm,128,"895,376",14.3,14.35,"2,887"
South Dakota,2021,Machinery,--,"895,376",--,--,--
South Dakota,2021,Natural/Environmental,10**,"895,376",1.12**,1.11**,171
South Dakota,2021,Overexertion,--,"895,376",--,--,--
South Dakota,2021,Drug Poisoning,105,"895,376",11.73,12.52,"2,253"
South Dakota,2021,Non-Drug Poisoning,23,"895,376",2.57,2.65,446
South Dakota,2021,Struck by / against,--,"895,376",--,--,--
South Dakota,2021,Suffocation,93,"895,376",10.39,10.92,"3,093"
South Dakota,2021,"Motor vehicle, traffic",165,"895,376",18.43,18.7,"3,848"
South Dakota,2021,"Pedal cyclist, other",--,"895,376",--,--,--
South Dakota,2021,"Pedestrian, other",--,"895,376",--,--,--
South Dakota,2021,"Transport, other land",13**,"895,376",1.45**,1.32**,219
South Dakota,2021,"Transport, other (excl. drown by water transp)",--,"895,376",--,--,--
South Dakota,2021,Other specified and classifiable,--,"895,376",--,--,--
South Dakota,2021,Other specified / NEC,--,"895,376",--,--,--
South Dakota,2021,Unspecified,--,"895,376",--,--,--
South Dakota,2020,Cut/Pierce,13**,"887,099",1.47**,1.59**,280
South Dakota,2020,Drowning (includes water transport),16**,"887,099",1.80**,1.98**,528
South Dakota,2020,Fall,220,"887,099",24.8,20.22,471
South Dakota,2020,Fire/Flame,11**,"887,099",1.24**,1.12**,169
South Dakota,2020,Firearm,120,"887,099",13.53,13.65,"2,907"
South Dakota,2020,Machinery,--,"887,099",--,--,--
South Dakota,2020,Natural/Environmental,16**,"887,099",1.80**,1.73**,298
South Dakota,2020,Overexertion,--,"887,099",--,--,--
South Dakota,2020,Drug Poisoning,83,"887,099",9.36,10.39,"2,015"
South Dakota,2020,Non-Drug Poisoning,37,"887,099",4.17,4.84,938
South Dakota,2020,Struck by / against,--,"887,099",--,--,--
South Dakota,2020,Suffocation,105,"887,099",11.84,12.21,"3,310"
South Dakota,2020,"Motor vehicle, traffic",143,"887,099",16.12,15.92,"3,038"
South Dakota,2020,"Transport, other land",10**,"887,099",1.13**,1.00**,161
South Dakota,2020,"Transport, other (excl. drown by water transp)",--,"887,099",--,--,--
South Dakota,2020,Other specified and classifiable,--,"887,099",--,--,--
South Dakota,2020,Other specified / NEC,--,"887,099",--,--,--
South Dakota,2020,Unspecified,12**,"887,099",1.35**,1.36**,273
South Dakota,2019,Cut/Pierce,--,"887,127",--,--,--
South Dakota,2019,Drowning (includes water transport),14**,"887,127",1.58**,1.67**,476
South Dakota,2019,Fall,209,"887,127",23.56,18.14,735
South Dakota,2019,Fire/Flame,13**,"887,127",1.47**,1.39**,143
