State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Tennessee,2021,Cut/Pierce,61,"6,975,218",0.88,0.84,"1,335"
Tennessee,2021,Drowning (includes water transport),99,"6,975,218",1.42,1.46,"2,879"
Tennessee,2021,Fall,"1,036","6,975,218",14.85,12.99,"2,194"
Tennessee,2021,Fire/Flame,133,"6,975,218",1.91,1.68,"1,749"
Tennessee,2021,Hot object/Substance,--,"6,975,218",--,--,--
Tennessee,2021,Firearm,"1,569","6,975,218",22.49,22.75,"39,925"
Tennessee,2021,Machinery,12**,"6,975,218",0.17**,0.14**,25
Tennessee,2021,Natural/Environmental,79,"6,975,218",1.13,1.04,"1,194"
Tennessee,2021,Drug Poisoning,"3,813","6,975,218",54.67,56.74,"87,203"
Tennessee,2021,Non-Drug Poisoning,95,"6,975,218",1.36,1.3,"1,726"
Tennessee,2021,Struck by / against,29,"6,975,218",0.42,0.36,369
Tennessee,2021,Suffocation,491,"6,975,218",7.04,7.02,"11,943"
Tennessee,2021,"Motor vehicle, traffic","1,391","6,975,218",19.94,19.64,"32,263"
Tennessee,2021,"Pedal cyclist, other",--,"6,975,218",--,--,--
Tennessee,2021,"Pedestrian, other",19**,"6,975,218",0.27**,0.30**,440
Tennessee,2021,"Transport, other land",38,"6,975,218",0.55,0.52,757
Tennessee,2021,"Transport, other (excl. drown by water transp)",13**,"6,975,218",0.19**,0.18**,164
Tennessee,2021,Other specified and classifiable,59,"6,975,218",0.85,0.84,"1,401"
Tennessee,2021,Other specified / NEC,44,"6,975,218",0.63,0.55,400
Tennessee,2021,Unspecified,246,"6,975,218",3.53,3.13,"1,494"
Tennessee,2020,Cut/Pierce,67,"6,920,119",0.97,0.93,"1,112"
Tennessee,2020,Drowning (includes water transport),126,"6,920,119",1.82,1.83,"3,291"
Tennessee,2020,Fall,982,"6,920,119",14.19,12.49,"2,195"
Tennessee,2020,Fire/Flame,117,"6,920,119",1.69,1.5,"1,365"
Tennessee,2020,Hot object/Substance,--,"6,920,119",--,--,--
Tennessee,2020,Firearm,"1,473","6,920,119",21.29,21.17,"35,824"
Tennessee,2020,Machinery,19**,"6,920,119",0.28**,0.24**,117
Tennessee,2020,Natural/Environmental,73,"6,920,119",1.06,0.97,"1,205"
Tennessee,2020,Drug Poisoning,"3,034","6,920,119",43.84,45.44,"70,031"
Tennessee,2020,Non-Drug Poisoning,130,"6,920,119",1.88,1.9,"2,362"
Tennessee,2020,Struck by / against,38,"6,920,119",0.55,0.51,643
Tennessee,2020,Suffocation,494,"6,920,119",7.14,7.09,"11,458"
Tennessee,2020,"Motor vehicle, traffic","1,228","6,920,119",17.75,17.56,"28,165"
Tennessee,2020,"Pedal cyclist, other",--,"6,920,119",--,--,--
Tennessee,2020,"Pedestrian, other",23,"6,920,119",0.33,0.36,753
Tennessee,2020,"Transport, other land",37,"6,920,119",0.54,0.51,756
Tennessee,2020,"Transport, other (excl. drown by water transp)",15**,"6,920,119",0.22**,0.22**,256
Tennessee,2020,Other specified and classifiable,60,"6,920,119",0.87,0.86,"1,469"
Tennessee,2020,Other specified / NEC,42,"6,920,119",0.61,0.56,743
Tennessee,2020,Unspecified,262,"6,920,119",3.79,3.47,"2,222"
Tennessee,2019,Cut/Pierce,81,"6,830,325",1.19,1.15,"1,683"
Tennessee,2019,Drowning (includes water transport),121,"6,830,325",1.77,1.72,"2,933"
Tennessee,2019,Fall,845,"6,830,325",12.37,10.52,"2,156"
Tennessee,2019,Fire/Flame,114,"6,830,325",1.67,1.41,"1,170"
Tennessee,2019,Hot object/Substance,--,"6,830,325",--,--,--
Tennessee,2019,Firearm,"1,270","6,830,325",18.59,18.34,"28,755"
Tennessee,2019,Machinery,22,"6,830,325",0.32,0.27,146
Tennessee,2019,Natural/Environmental,45,"6,830,325",0.66,0.55,407
Tennessee,2019,Overexertion,--,"6,830,325",--,--,--
Tennessee,2019,Drug Poisoning,"2,089","6,830,325",30.58,31.16,"47,273"
Tennessee,2019,Non-Drug Poisoning,107,"6,830,325",1.57,1.49,"1,819"
Tennessee,2019,Struck by / against,35,"6,830,325",0.51,0.45,313
Tennessee,2019,Suffocation,486,"6,830,325",7.12,7.11,"11,294"
Tennessee,2019,"Motor vehicle, traffic","1,138","6,830,325",16.66,15.99,"24,166"
Tennessee,2019,"Pedal cyclist, other",--,"6,830,325",--,--,--
Tennessee,2019,"Pedestrian, other",23,"6,830,325",0.34,0.35,805
Tennessee,2019,"Transport, other land",36,"6,830,325",0.53,0.5,659
Tennessee,2019,"Transport, other (excl. drown by water transp)",--,"6,830,325",--,--,--
Tennessee,2019,Other specified and classifiable,44,"6,830,325",0.64,0.61,798
Tennessee,2019,Other specified / NEC,43,"6,830,325",0.63,0.58,593
Tennessee,2019,Unspecified,283,"6,830,325",4.14,3.65,"1,883"
Tennessee,2018,Cut/Pierce,58,"6,778,180",0.86,0.84,"1,133"
Tennessee,2018,Drowning (includes water transport),116,"6,778,180",1.71,1.72,"3,379"
Tennessee,2018,Fall,807,"6,778,180",11.91,10.16,"1,842"
Tennessee,2018,Fire/Flame,112,"6,778,180",1.65,1.5,"1,540"
Tennessee,2018,Hot object/Substance,--,"6,778,180",--,--,--
Tennessee,2018,Firearm,"1,228","6,778,180",18.12,17.8,"29,537"
Tennessee,2018,Machinery,22,"6,778,180",0.33,0.29,251
Tennessee,2018,Natural/Environmental,60,"6,778,180",0.89,0.8,753
Tennessee,2018,Drug Poisoning,"1,823","6,778,180",26.9,27.5,"40,798"
Tennessee,2018,Non-Drug Poisoning,88,"6,778,180",1.3,1.29,"1,595"
Tennessee,2018,Struck by / against,27,"6,778,180",0.4,0.39,550
Tennessee,2018,Suffocation,527,"6,778,180",7.78,7.68,"11,967"
Tennessee,2018,"Motor vehicle, traffic","1,071","6,778,180",15.8,15.28,"22,866"
Tennessee,2018,"Pedal cyclist, other",--,"6,778,180",--,--,--
Tennessee,2018,"Pedestrian, other",17**,"6,778,180",0.25**,0.22**,300
Tennessee,2018,"Transport, other land",39,"6,778,180",0.58,0.52,562
Tennessee,2018,"Transport, other (excl. drown by water transp)",16**,"6,778,180",0.24**,0.23**,343
Tennessee,2018,Other specified and classifiable,45,"6,778,180",0.66,0.66,874
Tennessee,2018,Other specified / NEC,45,"6,778,180",0.66,0.6,547
Tennessee,2018,Unspecified,253,"6,778,180",3.73,3.32,"1,794"
Tennessee,2017,Cut/Pierce,54,"6,714,748",0.8,0.77,"1,034"
Tennessee,2017,Drowning (includes water transport),100,"6,714,748",1.49,1.51,"2,777"
Tennessee,2017,Fall,764,"6,714,748",11.38,9.94,"1,963"
Tennessee,2017,Fire/Flame,103,"6,714,748",1.53,1.41,"1,719"
Tennessee,2017,Hot object/Substance,--,"6,714,748",--,--,--
Tennessee,2017,Firearm,"1,246","6,714,748",18.56,18.45,"29,621"
Tennessee,2017,Machinery,23,"6,714,748",0.34,0.29,164
Tennessee,2017,Natural/Environmental,48,"6,714,748",0.72,0.62,469
Tennessee,2017,Drug Poisoning,"1,776","6,714,748",26.45,26.61,"38,717"
Tennessee,2017,Non-Drug Poisoning,108,"6,714,748",1.61,1.54,"1,833"
Tennessee,2017,Struck by / against,33,"6,714,748",0.49,0.44,551
Tennessee,2017,Suffocation,480,"6,714,748",7.15,7.1,"10,609"
Tennessee,2017,"Motor vehicle, traffic","1,039","6,714,748",15.47,15.02,"21,660"
Tennessee,2017,"Pedal cyclist, other",--,"6,714,748",--,--,--
Tennessee,2017,"Pedestrian, other",19**,"6,714,748",0.28**,0.26**,367
Tennessee,2017,"Transport, other land",44,"6,714,748",0.66,0.63,878
Tennessee,2017,"Transport, other (excl. drown by water transp)",16**,"6,714,748",0.24**,0.23**,339
Tennessee,2017,Other specified and classifiable,46,"6,714,748",0.69,0.69,"1,167"
Tennessee,2017,Other specified / NEC,42,"6,714,748",0.63,0.55,506
Tennessee,2017,Unspecified,359,"6,714,748",5.35,4.75,"2,461"
Tennessee,2016,Cut/Pierce,75,"6,651,277",1.13,1.1,"1,655"
Tennessee,2016,Drowning (includes water transport),120,"6,651,277",1.8,1.81,"3,327"
Tennessee,2016,Fall,737,"6,651,277",11.08,9.83,"2,218"
Tennessee,2016,Fire/Flame,125,"6,651,277",1.88,1.73,"2,700"
Tennessee,2016,Hot object/Substance,--,"6,651,277",--,--,--
Tennessee,2016,Firearm,"1,148","6,651,277",17.26,16.99,"26,696"
Tennessee,2016,Machinery,21,"6,651,277",0.32,0.27,191
Tennessee,2016,Natural/Environmental,33,"6,651,277",0.5,0.43,399
Tennessee,2016,Drug Poisoning,"1,630","6,651,277",24.51,24.56,"34,891"
Tennessee,2016,Non-Drug Poisoning,101,"6,651,277",1.52,1.5,"2,053"
Tennessee,2016,Struck by / against,35,"6,651,277",0.53,0.48,591
Tennessee,2016,Suffocation,443,"6,651,277",6.66,6.61,"10,275"
Tennessee,2016,"Motor vehicle, traffic","1,049","6,651,277",15.77,15.33,"22,830"
Tennessee,2016,"Pedal cyclist, other",--,"6,651,277",--,--,--
Tennessee,2016,"Pedestrian, other",32,"6,651,277",0.48,0.47,633
Tennessee,2016,"Transport, other land",42,"6,651,277",0.63,0.58,892
Tennessee,2016,"Transport, other (excl. drown by water transp)",12**,"6,651,277",0.18**,0.17**,214
Tennessee,2016,Other specified and classifiable,40,"6,651,277",0.6,0.58,826
Tennessee,2016,Other specified / NEC,45,"6,651,277",0.68,0.62,654
Tennessee,2016,Unspecified,341,"6,651,277",5.13,4.63,"2,789"
Tennessee,2015,Cut/Pierce,58,"6,595,354",0.88,0.82,"1,117"
