Year,State,State_code,State_num_code,Population,firearm.deaths.pc,Region,pol_ubc,pol_vmisd,pol_mayissue,ur,law.officers.pc,vcrime.pc,homi.pc,alcc.pc,incarc.pc,prop18.24
2001,Alabama,AL,1,4467634,16.41,South,0,0,1,5.183333333,342.5302968,429.8248245,8.483237436,1.8598,553.7830538,10.0268509
2001,Alaska,AK,2,633687,14.83,West,0,0,0,6.283333333,287.3658447,583.2532465,6.154457958,2.6666,478.6274612,9.747930454
2001,Arizona,AZ,4,5273477,15.92,West,0,0,0,4.725,351.7224025,536.1737616,7.58512837,2.4973,525.4597678,10.16441335
2001,Arkansas,AR,5,2691571,15.27,South,0,0,0,4.758333333,280.0594894,447.3967062,5.498647444,1.7387,426.8510844,9.961877283
2001,California,CA,6,34479458,9.32,West,1,1,1,5.466666667,308.1370943,610.9753813,6.398012405,2.1987,455.755424,10.11887426
2001,Colorado,CO,8,4425687,11.68,West,0,0,1,3.816666667,342.8168327,346.4772814,3.570067201,2.7831,336.3997499,10.2517869
2001,Connecticut,CT,9,3432835,5.63,Northeast,1,1,1,2.875,286.2065902,331.7083402,3.058696384,2.1924,509.9866437,8.112798897
2001,Delaware,DE,10,795699,9.47,South,0,1,1,3.575,372.5026675,608.8985911,2.890540267,2.9422,859.747216,9.869309877
2001,District of Columbia,DC,11,574504,25.46,South,NA,NA,NA,6.466666667,820.882013,843.3361648,40.20859733,3.6114,NA,12.63141771
2001,Florida,FL,12,16356966,10.68,South,0,0,0,4.425,385.4076606,793.7841284,5.343289214,2.5435,442.6493275,8.569957289
2001,Georgia,GA,13,8377038,13.44,South,0,0,0,4.091666667,358.7903027,490.3045683,7.138561386,2.1058,548.3680509,10.34005098
2001,Hawaii,HI,15,1225948,3.74,West,0,1,1,4.275,287.9404347,251.6419946,2.610224904,2.2791,315.2662266,9.867465831
2001,Idaho,ID,16,1319962,13.5,West,0,0,0,5.083333333,263.6439534,240.9917861,2.272792702,2.0292,297.1297659,10.92546604
2001,Illinois,IL,17,12488445,10.21,Midwest,0,1,1,5.433333333,403.3408483,626.8834911,7.863268806,2.2799,355.1122658,9.853212309
2001,Indiana,IN,18,6127760,11.82,Midwest,0,0,0,4.241666667,272.3833832,364.2603496,6.739820097,1.9617,305.6745042,10.25451388
2001,Iowa,IA,19,2931997,6.37,Midwest,0,0,1,3.325,256.1735227,266.5418825,1.705322345,1.9924,271.5555302,10.34349626
2001,Kansas,KS,20,2702162,9.93,Midwest,0,0,1,4.266666667,366.5583337,400.3090858,3.404681141,1.7958,317.3014793,10.46758114
2001,Kentucky,KY,21,4068132,12.69,South,0,0,0,5.208333333,245.0264642,253.9003159,4.449216495,1.6276,238.2420236,10.10955397
2001,Louisiana,LA,22,4477875,17.46,South,0,0,0,5.6,466.7392457,673.9134076,11.18834268,2.4053,439.0475393,10.85280406
2001,Maine,ME,23,1285692,7.29,Northeast,0,1,0,3.75,223.6149871,110.1352423,1.477803393,2.284,129.4244656,8.336133382
2001,Maryland,MD,24,5374691,11.47,South,1,1,1,4.208333333,356.1693128,774.7794245,8.298151466,2.1135,439.2996732,8.750605384
2001,Massachusetts,MA,25,6397634,3,Northeast,0,1,1,3.783333333,313.2876935,475.8321592,2.235201326,2.4413,159.4808331,9.296358623
2001,Michigan,MI,26,9991120,10.83,Midwest,0,0,0,5.158333333,286.2141582,548.0066299,6.725972664,2.0901,484.430174,9.563082017
2001,Minnesota,MN,27,4982796,6.49,Midwest,0,1,1,3.775,246.387771,261.4194922,2.388217378,2.395,128.5623574,9.762470709
2001,Mississippi,MS,28,2852994,17.64,South,0,0,0,5.491666667,289.3451581,340.8349264,9.884353069,2.1141,402.9801675,11.08460095
2001,Missouri,MO,29,5641142,13.14,Midwest,0,0,1,4.491666667,303.4491952,533.5799028,6.59440943,2.2508,506.5463695,9.796278839
2001,Montana,MT,30,906961,17.77,West,0,0,0,4.608333333,288.8768095,347.6444963,3.748783024,2.5636,188.3212178,9.850809461
2001,Nebraska,NE,31,1719836,8.12,Midwest,0,0,1,3.15,NA,300.6682032,2.500238395,2.1965,227.6379841,10.40488744
2001,Nevada,NV,32,2098399,16.55,West,0,0,0,5.191666667,358.0348637,580.3948629,8.577968251,3.5911,447.1980782,9.065578091
2001,New Hampshire,NH,33,1255517,7.23,Northeast,0,0,0,3.391666667,215.3694454,169.412282,1.35402388,4.0286,192.6696333,8.579493547
