"","Year","State_code","State","Population","Mechanism","pol_ubc","pol_vmisd","pol_mayissue","Age.Adjusted.Rate","logy","ur","law.officers","law.officers.pc","vcrime","vcrime.pc","alcc.pc","incarc","incarc.pc"
"1",2001,"AK","Alaska",633687,"Firearm",0,0,0,14.83,2.69665215614984,6.28333333333333,1821,287.365844652013,3696,583.253246476573,2.6666,3033,478.627461191408
"2",2001,"AL","Alabama",4467634,"Firearm",0,0,1,16.41,2.797890905102,5.18333333333333,15303,342.530296796918,19203,429.824824504424,1.8598,24741,553.783053849084
"3",2001,"AR","Arkansas",2691571,"Firearm",0,0,0,15.27,2.72589011923054,4.75833333333333,7538,280.059489420862,12042,447.396706235875,1.7387,11489,426.851084366714
"4",2001,"AZ","Arizona",5273477,"Firearm",0,0,0,15.92,2.76757618041624,4.725,18548,351.722402505975,28275,536.17376163772,2.4973,27710,525.459767815428
"5",2001,"CA","California",34479458,"Firearm",1,1,1,9.32,2.2321626286975,5.46666666666667,106244,308.137094266389,210661,610.975381341551,2.1987,157142,455.755423997674
"6",2001,"CO","Colorado",4425687,"Firearm",0,0,1,11.68,2.45787797740008,3.81666666666667,15172,342.81683273128,15334,346.477281380269,2.7831,14888,336.399749914533
"7",2001,"CT","Connecticut",3432835,"Firearm",1,1,1,5.63,1.7281094421516,2.875,9825,286.206590179837,11387,331.708340191125,2.1924,17507,509.986643692458
"8",2001,"DC","District of Columbia",574504,"Firearm",NA,NA,NA,25.46,3.23710859312926,6.46666666666667,4716,820.882013006002,4845,843.336164761255,3.6114,NA,NA
"9",2001,"DE","Delaware",795699,"Firearm",0,1,1,9.47,2.24812890719799,3.575,2964,372.502667465964,4845,608.898591050133,2.9422,6841,859.747215969858
"10",2001,"FL","Florida",16356966,"Firearm",0,0,0,10.68,2.36837283353205,4.425,63041,385.407660564924,129839,793.784128425773,2.5435,72404,442.649327509759
"11",2001,"GA","Georgia",8377038,"Firearm",0,0,0,13.44,2.598235335095,4.09166666666667,30056,358.790302729915,41073,490.304568273416,2.1058,45937,548.368050855207
"12",2001,"HI","Hawaii",1225948,"Firearm",0,1,1,3.74,1.31908561142644,4.275,3530,287.940434667702,3085,251.64199460336,2.2791,3865,315.266226626252
"13",2001,"IA","Iowa",2931997,"Firearm",0,0,1,6.37,1.85159946958407,3.325,7511,256.173522687779,7815,266.541882546265,1.9924,7962,271.555530240993
"14",2001,"ID","Idaho",1319962,"Firearm",0,0,0,13.5,2.60268968544438,5.08333333333333,3480,263.643953386537,3181,240.991786127176,2.0292,3922,297.129765856896
"15",2001,"IL","Illinois",12488445,"Firearm",0,1,1,10.21,2.32336763217657,5.43333333333333,50371,403.34084828015,78288,626.883491099172,2.2799,44348,355.112265778486
"16",2001,"IN","Indiana",6127760,"Firearm",0,0,0,11.82,2.46979301197795,4.24166666666667,16691,272.38338316122,22321,364.260349622048,1.9617,18731,305.674504223403
"17",2001,"KS","Kansas",2702162,"Firearm",0,0,1,9.93,2.29556047805708,4.26666666666667,9905,366.558333660232,10817,400.309085835712,1.7958,8574,317.301479333956
"18",2001,"KY","Kentucky",4068132,"Firearm",0,0,0,12.69,2.5408142817263,5.20833333333333,9968,245.026464234691,10329,253.900315918952,1.6276,9692,238.24202361182
"19",2001,"LA","Louisiana",4477875,"Firearm",0,0,0,17.46,2.85991255041146,5.6,20900,466.73924573598,30177,673.913407587304,2.4053,19660,439.0475392904
"20",2001,"MA","Massachusetts",6397634,"Firearm",0,1,1,3,1.09861228866811,3.78333333333333,20043,313.287693544207,30442,475.832159201355,2.4413,10203,159.480833070476
"21",2001,"MD","Maryland",5374691,"Firearm",1,1,1,11.47,2.43973493114128,4.20833333333333,19143,356.169312803285,41642,774.779424528778,2.1135,23611,439.299673227726
"22",2001,"ME","Maine",1285692,"Firearm",0,1,0,7.29,1.98650354602057,3.75,2875,223.614987104221,1416,110.135242344201,2.284,1664,129.424465579626
"23",2001,"MI","Michigan",9991120,"Firearm",0,0,0,10.83,2.3823200610129,5.15833333333333,28596,286.214158172457,54752,548.00662988734,2.0901,48400,484.430173994507
"24",2001,"MN","Minnesota",4982796,"Firearm",0,1,1,6.49,1.870262530716,3.775,12277,246.387771042603,13026,261.419492188723,2.395,6406,128.562357359202
"25",2001,"MO","Missouri",5641142,"Firearm",0,0,1,13.14,2.57566101305646,4.49166666666667,17118,303.449195216146,30100,533.579902792732,2.2508,28575,506.546369511705
"26",2001,"MS","Mississippi",2852994,"Firearm",0,0,0,17.64,2.87016905057865,5.49166666666667,8255,289.345158104083,9724,340.834926396621,2.1141,11497,402.980167501229
"27",2001,"MT","Montana",906961,"Firearm",0,0,0,17.77,2.87751164216656,4.60833333333333,2620,288.876809476923,3153,347.644496290359,2.5636,1708,188.321217781139
"28",2001,"NC","North Carolina",8210122,"Firearm",0,0,0,13.06,2.56955412384829,5.625,27636,336.608883522072,39960,486.716275348893,1.9965,32203,392.235340717227
"29",2001,"ND","North Dakota",639062,"Firearm",0,1,0,7.6,2.02814824729229,2.83333333333333,1493,233.623654668874,498,77.9267113363023,2.4168,1044,163.364430994176
"30",2001,"NE","Nebraska",1719836,"Firearm",0,0,1,8.12,2.09433015417359,3.15,NA,NA,5171,300.668203247286,2.1965,3915,227.637984086855
"31",2001,"NH","New Hampshire",1255517,"Firearm",0,0,0,7.23,1.97823903617067,3.39166666666667,2704,215.369445415713,2127,169.412281952375,4.0286,2419,192.669633306439
"32",2001,"NJ","New Jersey",8492671,"Firearm",0,1,1,4.44,1.49065437644413,4.23333333333333,38817,457.06468553886,32758,385.720817396553,2.2017,23432,275.908486270103
"33",2001,"NM","New Mexico",1831690,"Firearm",0,0,0,15.26,2.72523502585631,4.95833333333333,4323,236.01155217313,14189,774.63981350556,2.3909,3184,173.828540855712
"34",2001,"NV","Nevada",2098399,"Firearm",0,0,0,16.55,2.80638610182307,5.19166666666667,7513,358.034863722295,12179,580.394862940747,3.5911,9384,447.198078153869
"35",2001,"NY","New York",19082838,"Firearm",0,1,1,5.54,1.71199450075919,4.875,86473,453.145386446188,97062,508.635036360944,1.8862,67554,354.0039484693
"36",2001,"OH","Ohio",11387404,"Firearm",0,0,1,9,2.19722457733622,4.375,32498,285.38550138381,39571,347.497989884262,1.9328,42944,377.118437178482
"37",2001,"OK","Oklahoma",3467100,"Firearm",0,0,0,14.01,2.63977136034892,3.625,10561,304.606154999856,17541,505.927143722419,1.6544,15061,434.397623374001
"38",2001,"OR","Oregon",3467937,"Firearm",0,1,0,10.16,2.31845844215034,6.375,7780,224.340868937354,10566,304.676815063249,2.3007,10950,315.749680573782
"39",2001,"PA","Pennsylvania",12298970,"Firearm",1,1,0,9.53,2.25444471766611,4.80833333333333,25244,205.252960207237,49781,404.757471560627,2.0172,37141,301.984637737957
"40",2001,"RI","Rhode Island",1057142,"Firearm",1,0,1,4.3,1.45861502269952,4.44166666666667,3070,290.405640869439,3239,306.392140317952,2.3591,3364,318.216474229574
"41",2001,"SC","South Carolina",4064995,"Firearm",0,0,0,13.73,2.61958321977988,5.28333333333333,12318,303.026202984259,32784,806.495456943981,2.2682,21713,534.145798457317
"42",2001,"SD","South Dakota",757972,"Firearm",0,1,0,7.1,1.96009478404727,3,1989,262.410748682009,1164,153.567677961719,2.3501,2764,364.657269661676
"43",2001,"TN","Tennessee",5750789,"Firearm",0,0,0,14.47,2.67207754064339,4.51666666666667,22994,399.840787064175,42353,736.47285615939,1.8104,13788,239.758405324904
"44",2001,"TX","Texas",21319622,"Firearm",0,0,0,11.22,2.41769790009455,4.95833333333333,75359,353.472495900725,120823,566.722055391038,2.2088,132149,619.846824676347
