"","State_code","Year","State","X","Population","Mechanism","pol_ubc","pol_vmisd","pol_mayissue","Age.Adjusted.Rate","logy","ur","law.officers","law.officers.pc","vcrime","vcrime.pc","alcc.pc","incarc","incarc.pc","prop18.24","Region"
"1","AK",2005,"Alaska",205,666835,"Firearm",0,0,0,17.46,2.85991255041146,6.93333333333333,1838,275.630403323161,4162,624.142404042979,2.6376,3433,514.820007947993,11.0340267427948,"West"
"2","AK",2020,"Alaska",970,732441,"Firearm",0,0,0,23.49,3.15657479867082,8.30833333333333,2002,273.332596072585,6077,829.691401764784,2.8289,4352,594.177551502442,NA,"West"
"3","AK",2002,"Alaska",52,642270,"Firearm",0,0,0,19.89,2.99021709286588,7.16666666666667,1857,289.13073940866,3594,559.577747676211,2.9874,2991,465.691998692139,10.163979344176,"West"
"4","AK",2013,"Alaska",613,737626,"Firearm",0,0,0,19.53,2.97195174488859,6.99166666666667,1937,262.599203390336,5332,722.859552130755,2.7527,5054,685.171075856871,10.8060585997493,"West"
"5","AK",2010,"Alaska",460,710246,"Firearm",0,0,0,20.51,3.02091257208429,8.13333333333333,1944,273.707982867908,4506,634.428071400613,3.031,3771,530.942800100247,10.5560925046574,"West"
"6","AK",2006,"Alaska",256,675150,"Firearm",0,0,0,16.92,2.82849635417808,6.63333333333333,1937,286.8992075835,4574,677.479078723247,2.7499,3371,499.296452640154,11.0127024649712,"West"
"7","AK",2009,"Alaska",409,698895,"Firearm",0,0,0,14.68,2.68648602318637,7.98333333333333,1977,282.875109995064,4402,629.851408294522,3.0202,3846,550.297254952461,10.4806873707782,"West"
"8","AK",2014,"Alaska",664,737075,"Firearm",0,0,0,19.08,2.94864066602014,6.74166666666667,1938,262.931180680392,5196,704.948614455788,2.794,5728,777.125801309229,10.6710327414866,"West"
"9","AK",2018,"Alaska",868,736624,"Firearm",0,0,0,20.76,3.03302805829769,6.04166666666667,1985,269.472621038685,6508,883.490084493582,2.8516,4235,574.920176372206,9.50214857326302,"West"
"10","AK",2015,"Alaska",715,738430,"Firearm",0,0,0,23.46,3.15529684322533,6.275,1936,262.177863846268,5980,809.826252996222,2.8376,5247,710.561596901534,10.4247062364915,"West"
