State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Utah,2021,Cut/Pierce,14**,"3,337,975",0.42**,0.43**,442
Utah,2021,Drowning (includes water transport),48,"3,337,975",1.44,1.48,"1,320"
Utah,2021,Fall,418,"3,337,975",12.52,16.23,"1,173"
Utah,2021,Fire/Flame,13**,"3,337,975",0.39**,0.38**,308
Utah,2021,Hot object/Substance,--,"3,337,975",--,--,--
Utah,2021,Firearm,450,"3,337,975",13.48,13.95,"10,871"
Utah,2021,Machinery,--,"3,337,975",--,--,--
Utah,2021,Natural/Environmental,22,"3,337,975",0.66,0.72,296
Utah,2021,Drug Poisoning,662,"3,337,975",19.83,21.12,"14,727"
Utah,2021,Non-Drug Poisoning,48,"3,337,975",1.44,1.53,"1,067"
Utah,2021,Struck by / against,11**,"3,337,975",0.33**,0.33**,232
Utah,2021,Suffocation,228,"3,337,975",6.83,7.26,"5,392"
Utah,2021,"Motor vehicle, traffic",331,"3,337,975",9.92,10.2,"7,959"
Utah,2021,"Pedal cyclist, other",--,"3,337,975",--,--,--
Utah,2021,"Pedestrian, other",--,"3,337,975",--,--,--
Utah,2021,"Transport, other land",22,"3,337,975",0.66,0.69,560
Utah,2021,"Transport, other (excl. drown by water transp)",--,"3,337,975",--,--,--
Utah,2021,Other specified and classifiable,30,"3,337,975",0.9,0.93,764
Utah,2021,Other specified / NEC,12**,"3,337,975",0.36**,0.44**,75
Utah,2021,Unspecified,49,"3,337,975",1.47,1.68,554
Utah,2020,Cut/Pierce,15**,"3,281,684",0.46**,0.45**,376
Utah,2020,Drowning (includes water transport),50,"3,281,684",1.52,1.58,"1,260"
Utah,2020,Fall,378,"3,281,684",11.52,14.99,"1,015"
Utah,2020,Fire/Flame,16**,"3,281,684",0.49**,0.48**,319
Utah,2020,Firearm,429,"3,281,684",13.07,13.49,"11,111"
Utah,2020,Machinery,--,"3,281,684",--,--,--
Utah,2020,Natural/Environmental,20**,"3,281,684",0.61**,0.67**,446
Utah,2020,Drug Poisoning,622,"3,281,684",18.95,20.42,"13,776"
Utah,2020,Non-Drug Poisoning,65,"3,281,684",1.98,2.12,"1,120"
Utah,2020,Struck by / against,--,"3,281,684",--,--,--
Utah,2020,Suffocation,213,"3,281,684",6.49,6.79,"6,175"
Utah,2020,"Motor vehicle, traffic",299,"3,281,684",9.11,9.54,"6,467"
Utah,2020,"Pedal cyclist, other",16**,"3,281,684",0.49**,0.53**,111
Utah,2020,"Pedestrian, other",--,"3,281,684",--,--,--
Utah,2020,"Transport, other land",31,"3,281,684",0.95,0.98,899
Utah,2020,"Transport, other (excl. drown by water transp)",11**,"3,281,684",0.34**,0.35**,152
Utah,2020,Other specified and classifiable,25,"3,281,684",0.76,0.76,595
Utah,2020,Other specified / NEC,19**,"3,281,684",0.58**,0.64**,246
Utah,2020,Unspecified,48,"3,281,684",1.46,1.75,332
Utah,2019,Cut/Pierce,20**,"3,203,383",0.62**,0.62**,409
Utah,2019,Drowning (includes water transport),44,"3,203,383",1.37,1.48,"1,011"
Utah,2019,Fall,351,"3,203,383",10.96,13.46,619
Utah,2019,Fire/Flame,17**,"3,203,383",0.53**,0.60**,156
Utah,2019,Firearm,394,"3,203,383",12.3,12.81,"10,202"
Utah,2019,Machinery,--,"3,203,383",--,--,--
Utah,2019,Natural/Environmental,22,"3,203,383",0.69,0.78,358
Utah,2019,Drug Poisoning,571,"3,203,383",17.83,18.98,"11,942"
Utah,2019,Non-Drug Poisoning,53,"3,203,383",1.66,1.82,"1,089"
Utah,2019,Struck by / against,11**,"3,203,383",0.34**,0.38**,261
Utah,2019,Suffocation,242,"3,203,383",7.56,7.9,"6,510"
Utah,2019,"Motor vehicle, traffic",231,"3,203,383",7.21,7.58,"5,590"
Utah,2019,"Pedal cyclist, other",--,"3,203,383",--,--,--
Utah,2019,"Pedestrian, other",--,"3,203,383",--,--,--
Utah,2019,"Transport, other land",18**,"3,203,383",0.56**,0.63**,277
Utah,2019,"Transport, other (excl. drown by water transp)",10**,"3,203,383",0.31**,0.33**,258
Utah,2019,Other specified and classifiable,31,"3,203,383",0.97,0.98,781
Utah,2019,Other specified / NEC,30,"3,203,383",0.94,1,410
Utah,2019,Unspecified,52,"3,203,383",1.62,1.87,641
Utah,2018,Cut/Pierce,20**,"3,155,153",0.63**,0.67**,523
Utah,2018,Drowning (includes water transport),37,"3,155,153",1.17,1.27,954
Utah,2018,Fall,276,"3,155,153",8.75,10.81,"1,123"
Utah,2018,Fire/Flame,18**,"3,155,153",0.57**,0.60**,350
Utah,2018,Hot object/Substance,--,"3,155,153",--,--,--
Utah,2018,Firearm,397,"3,155,153",12.58,13.16,"10,183"
Utah,2018,Machinery,--,"3,155,153",--,--,--
Utah,2018,Natural/Environmental,15**,"3,155,153",0.48**,0.51**,280
Utah,2018,Drug Poisoning,624,"3,155,153",19.78,21.13,"13,782"
Utah,2018,Non-Drug Poisoning,63,"3,155,153",2,2.11,"1,301"
Utah,2018,Struck by / against,--,"3,155,153",--,--,--
Utah,2018,Suffocation,241,"3,155,153",7.64,8.19,"5,858"
Utah,2018,"Motor vehicle, traffic",239,"3,155,153",7.58,7.86,"5,994"
Utah,2018,"Pedal cyclist, other",--,"3,155,153",--,--,--
Utah,2018,"Pedestrian, other",--,"3,155,153",--,--,--
