State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Virginia,2021,Cut/Pierce,74,"8,642,274",0.86,0.78,"1,090"
Virginia,2021,Drowning (includes water transport),115,"8,642,274",1.33,1.25,"2,365"
Virginia,2021,Fall,"1,130","8,642,274",13.08,11.69,"2,122"
Virginia,2021,Fire/Flame,102,"8,642,274",1.18,1.07,"1,397"
Virginia,2021,Hot object/Substance,--,"8,642,274",--,--,--
Virginia,2021,Firearm,"1,248","8,642,274",14.44,14.24,"31,955"
Virginia,2021,Machinery,15**,"8,642,274",0.17**,0.15**,92
Virginia,2021,Natural/Environmental,54,"8,642,274",0.63,0.53,400
Virginia,2021,Drug Poisoning,"2,626","8,642,274",30.39,30.48,"60,330"
Virginia,2021,Non-Drug Poisoning,95,"8,642,274",1.1,1.05,"1,989"
Virginia,2021,Struck by / against,33,"8,642,274",0.38,0.33,399
Virginia,2021,Suffocation,463,"8,642,274",5.36,5.13,"8,573"
Virginia,2021,"Motor vehicle, traffic",997,"8,642,274",11.54,11.01,"20,786"
Virginia,2021,"Pedal cyclist, other",--,"8,642,274",--,--,--
Virginia,2021,"Pedestrian, other",16**,"8,642,274",0.19**,0.18**,263
Virginia,2021,"Transport, other land",33,"8,642,274",0.38,0.35,693
Virginia,2021,"Transport, other (excl. drown by water transp)",15**,"8,642,274",0.17**,0.18**,349
Virginia,2021,Other specified and classifiable,52,"8,642,274",0.6,0.57,949
Virginia,2021,Other specified / NEC,44,"8,642,274",0.51,0.47,653
Virginia,2021,Unspecified,122,"8,642,274",1.41,1.3,"1,309"
Virginia,2020,Cut/Pierce,70,"8,632,044",0.81,0.78,"1,395"
Virginia,2020,Drowning (includes water transport),115,"8,632,044",1.33,1.29,"2,583"
Virginia,2020,Fall,"1,033","8,632,044",11.97,10.85,"2,334"
Virginia,2020,Fire/Flame,100,"8,632,044",1.16,0.99,837
Virginia,2020,Hot object/Substance,--,"8,632,044",--,--,--
Virginia,2020,Firearm,"1,174","8,632,044",13.6,13.36,"29,332"
Virginia,2020,Machinery,11**,"8,632,044",0.13**,0.11**,111
Virginia,2020,Natural/Environmental,35,"8,632,044",0.41,0.37,437
Virginia,2020,Overexertion,--,"8,632,044",--,--,--
Virginia,2020,Drug Poisoning,"2,240","8,632,044",25.95,26.32,"52,790"
Virginia,2020,Non-Drug Poisoning,97,"8,632,044",1.12,1.09,"1,811"
Virginia,2020,Struck by / against,21,"8,632,044",0.24,0.23,286
Virginia,2020,Suffocation,482,"8,632,044",5.58,5.41,"9,456"
Virginia,2020,"Motor vehicle, traffic",910,"8,632,044",10.54,10.12,"19,885"
Virginia,2020,"Pedal cyclist, other",--,"8,632,044",--,--,--
Virginia,2020,"Pedestrian, other",15**,"8,632,044",0.17**,0.17**,204
Virginia,2020,"Transport, other land",19**,"8,632,044",0.22**,0.22**,392
Virginia,2020,"Transport, other (excl. drown by water transp)",--,"8,632,044",--,--,--
Virginia,2020,Other specified and classifiable,46,"8,632,044",0.53,0.51,"1,015"
Virginia,2020,Other specified / NEC,35,"8,632,044",0.41,0.37,630
Virginia,2020,Unspecified,123,"8,632,044",1.43,1.33,"1,409"
Virginia,2019,Cut/Pierce,67,"8,556,642",0.78,0.75,"1,320"
Virginia,2019,Drowning (includes water transport),104,"8,556,642",1.22,1.12,"2,197"
Virginia,2019,Fall,994,"8,556,642",11.62,9.99,"1,847"
Virginia,2019,Fire/Flame,81,"8,556,642",0.95,0.8,494
Virginia,2019,Hot object/Substance,--,"8,556,642",--,--,--
Virginia,2019,Firearm,"1,025","8,556,642",11.98,11.62,"23,504"
Virginia,2019,Machinery,--,"8,556,642",--,--,--
Virginia,2019,Natural/Environmental,44,"8,556,642",0.51,0.47,391
Virginia,2019,Drug Poisoning,"1,547","8,556,642",18.08,18.14,"36,091"
Virginia,2019,Non-Drug Poisoning,86,"8,556,642",1.01,0.99,"1,486"
Virginia,2019,Struck by / against,43,"8,556,642",0.5,0.44,375
Virginia,2019,Suffocation,465,"8,556,642",5.43,5.18,"9,197"
Virginia,2019,"Motor vehicle, traffic",870,"8,556,642",10.17,9.62,"17,551"
Virginia,2019,"Pedal cyclist, other",--,"8,556,642",--,--,--
Virginia,2019,"Pedestrian, other",17**,"8,556,642",0.20**,0.17**,355
Virginia,2019,"Transport, other land",28,"8,556,642",0.33,0.3,427
Virginia,2019,"Transport, other (excl. drown by water transp)",--,"8,556,642",--,--,--
Virginia,2019,Other specified and classifiable,52,"8,556,642",0.61,0.6,"1,397"
Virginia,2019,Other specified / NEC,36,"8,556,642",0.42,0.4,595
Virginia,2019,Unspecified,151,"8,556,642",1.77,1.59,"1,221"
Virginia,2018,Cut/Pierce,72,"8,510,920",0.85,0.83,"1,541"
Virginia,2018,Drowning (includes water transport),107,"8,510,920",1.26,1.2,"2,499"
Virginia,2018,Fall,998,"8,510,920",11.73,10.37,"2,544"
Virginia,2018,Fire/Flame,81,"8,510,920",0.95,0.82,683
Virginia,2018,Hot object/Substance,--,"8,510,920",--,--,--
Virginia,2018,Firearm,"1,035","8,510,920",12.16,11.77,"24,164"
Virginia,2018,Machinery,--,"8,510,920",--,--,--
Virginia,2018,Natural/Environmental,59,"8,510,920",0.69,0.63,669
Virginia,2018,Drug Poisoning,"1,448","8,510,920",17.01,17.14,"33,772"
Virginia,2018,Non-Drug Poisoning,103,"8,510,920",1.21,1.15,"1,917"
Virginia,2018,Struck by / against,32,"8,510,920",0.38,0.35,697
Virginia,2018,Suffocation,496,"8,510,920",5.83,5.63,"9,778"
Virginia,2018,"Motor vehicle, traffic",890,"8,510,920",10.46,10.02,"19,061"
Virginia,2018,"Pedal cyclist, other",--,"8,510,920",--,--,--
Virginia,2018,"Pedestrian, other",19**,"8,510,920",0.22**,0.23**,550
Virginia,2018,"Transport, other land",28,"8,510,920",0.33,0.32,588
Virginia,2018,"Transport, other (excl. drown by water transp)",12**,"8,510,920",0.14**,0.12**,181
Virginia,2018,Other specified and classifiable,37,"8,510,920",0.44,0.41,795
Virginia,2018,Other specified / NEC,36,"8,510,920",0.42,0.38,386
