State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Vermont,2021,Cut/Pierce,--,"645,570",--,--,--
Vermont,2021,Drowning (includes water transport),11**,"645,570",1.70**,1.08**,93
Vermont,2021,Fall,161,"645,570",24.94,18.41,177
Vermont,2021,Fire/Flame,--,"645,570",--,--,--
Vermont,2021,Hot object/Substance,--,"645,570",--,--,--
Vermont,2021,Firearm,83,"645,570",12.86,12.01,"1,580"
Vermont,2021,Machinery,--,"645,570",--,--,--
Vermont,2021,Natural/Environmental,--,"645,570",--,--,--
Vermont,2021,Drug Poisoning,252,"645,570",39.04,42.69,"5,733"
Vermont,2021,Non-Drug Poisoning,16**,"645,570",2.48**,2.66**,315
Vermont,2021,Struck by / against,--,"645,570",--,--,--
Vermont,2021,Suffocation,46,"645,570",7.13,6.64,868
Vermont,2021,"Motor vehicle, traffic",67,"645,570",10.38,10.63,"1,569"
Vermont,2021,"Pedal cyclist, other",--,"645,570",--,--,--
Vermont,2021,"Transport, other land",--,"645,570",--,--,--
Vermont,2021,"Transport, other (excl. drown by water transp)",--,"645,570",--,--,--
Vermont,2021,Other specified and classifiable,10**,"645,570",1.55**,1.13**,53
Vermont,2021,Other specified / NEC,--,"645,570",--,--,--
Vermont,2021,Unspecified,14**,"645,570",2.17**,1.73**,71
Vermont,2020,Cut/Pierce,--,"642,495",--,--,--
Vermont,2020,Drowning (includes water transport),15**,"642,495",2.34**,2.43**,328
Vermont,2020,Fall,185,"642,495",28.79,21.76,219
Vermont,2020,Fire/Flame,--,"642,495",--,--,--
Vermont,2020,Firearm,76,"642,495",11.83,11.05,"1,481"
Vermont,2020,Machinery,--,"642,495",--,--,--
Vermont,2020,Natural/Environmental,--,"642,495",--,--,--
Vermont,2020,Drug Poisoning,190,"642,495",29.57,31.93,"4,293"
Vermont,2020,Non-Drug Poisoning,--,"642,495",--,--,--
Vermont,2020,Struck by / against,--,"642,495",--,--,--
Vermont,2020,Suffocation,35,"642,495",5.45,5.29,681
Vermont,2020,"Motor vehicle, traffic",57,"642,495",8.87,8.11,"1,087"
Vermont,2020,"Pedestrian, other",--,"642,495",--,--,--
Vermont,2020,"Transport, other land",12**,"642,495",1.87**,1.57**,206
Vermont,2020,Other specified and classifiable,--,"642,495",--,--,--
Vermont,2020,Other specified / NEC,--,"642,495",--,--,--
Vermont,2020,Unspecified,10**,"642,495",1.56**,1.53**,129
Vermont,2019,Cut/Pierce,--,"624,046",--,--,--
Vermont,2019,Drowning (includes water transport),12**,"624,046",1.92**,1.65**,255
Vermont,2019,Fall,166,"624,046",26.6,18.88,240
Vermont,2019,Fire/Flame,--,"624,046",--,--,--
Vermont,2019,Firearm,67,"624,046",10.74,9.37,"1,207"
Vermont,2019,Machinery,--,"624,046",--,--,--
Vermont,2019,Natural/Environmental,--,"624,046",--,--,--
Vermont,2019,Drug Poisoning,133,"624,046",21.31,23.77,"3,218"
Vermont,2019,Non-Drug Poisoning,14**,"624,046",2.24**,2.28**,226
Vermont,2019,Struck by / against,--,"624,046",--,--,--
Vermont,2019,Suffocation,44,"624,046",7.05,6.66,733
Vermont,2019,"Motor vehicle, traffic",51,"624,046",8.17,7.79,"1,036"
Vermont,2019,"Pedestrian, other",--,"624,046",--,--,--
Vermont,2019,"Transport, other land",--,"624,046",--,--,--
Vermont,2019,Other specified and classifiable,--,"624,046",--,--,--
Vermont,2019,Other specified / NEC,--,"624,046",--,--,--
Vermont,2019,Unspecified,13**,"624,046",2.08**,1.82**,118
Vermont,2018,Cut/Pierce,--,"624,802",--,--,--
