State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Washington,2021,Cut/Pierce,77,"7,738,692",1,0.96,"1,562"
Washington,2021,Drowning (includes water transport),146,"7,738,692",1.89,1.87,"3,425"
Washington,2021,Fall,"1,392","7,738,692",17.99,17.05,"3,718"
Washington,2021,Fire/Flame,79,"7,738,692",1.02,0.96,"1,259"
Washington,2021,Hot object/Substance,--,"7,738,692",--,--,--
Washington,2021,Firearm,896,"7,738,692",11.58,11.17,"20,264"
Washington,2021,Machinery,--,"7,738,692",--,--,--
Washington,2021,Natural/Environmental,174,"7,738,692",2.25,1.91,975
Washington,2021,Drug Poisoning,"2,264","7,738,692",29.26,28.06,"46,920"
Washington,2021,Non-Drug Poisoning,141,"7,738,692",1.82,1.69,"2,377"
Washington,2021,Struck by / against,27,"7,738,692",0.35,0.32,546
Washington,2021,Suffocation,503,"7,738,692",6.5,6.38,"10,922"
Washington,2021,"Motor vehicle, traffic",733,"7,738,692",9.47,9.22,"16,523"
Washington,2021,"Pedal cyclist, other",--,"7,738,692",--,--,--
Washington,2021,"Pedestrian, other",31,"7,738,692",0.4,0.38,607
Washington,2021,"Transport, other land",36,"7,738,692",0.47,0.45,719
Washington,2021,"Transport, other (excl. drown by water transp)",16**,"7,738,692",0.21**,0.18**,249
Washington,2021,Other specified and classifiable,85,"7,738,692",1.1,1.03,"1,744"
Washington,2021,Other specified / NEC,66,"7,738,692",0.85,0.75,678
Washington,2021,Unspecified,128,"7,738,692",1.65,1.54,"1,262"
Washington,2020,Cut/Pierce,68,"7,718,785",0.88,0.83,"1,571"
Washington,2020,Drowning (includes water transport),174,"7,718,785",2.25,2.2,"3,899"
Washington,2020,Fall,"1,262","7,718,785",16.35,15.47,"2,979"
Washington,2020,Fire/Flame,87,"7,718,785",1.13,1.03,"1,206"
Washington,2020,Hot object/Substance,--,"7,718,785",--,--,--
Washington,2020,Firearm,864,"7,718,785",11.19,10.87,"19,583"
Washington,2020,Machinery,10**,"7,718,785",0.13**,0.11**,125
Washington,2020,Natural/Environmental,64,"7,718,785",0.83,0.71,627
Washington,2020,Drug Poisoning,"1,733","7,718,785",22.45,21.78,"37,460"
Washington,2020,Non-Drug Poisoning,109,"7,718,785",1.41,1.36,"1,875"
Washington,2020,Struck by / against,29,"7,718,785",0.38,0.37,637
Washington,2020,Suffocation,471,"7,718,785",6.1,5.96,"9,630"
Washington,2020,"Motor vehicle, traffic",641,"7,718,785",8.3,8.02,"13,984"
Washington,2020,"Pedal cyclist, other",10**,"7,718,785",0.13**,0.13**,246
Washington,2020,"Pedestrian, other",24,"7,718,785",0.31,0.32,693
Washington,2020,"Transport, other land",43,"7,718,785",0.56,0.56,867
Washington,2020,"Transport, other (excl. drown by water transp)",12**,"7,718,785",0.16**,0.14**,171
Washington,2020,Other specified and classifiable,76,"7,718,785",0.99,0.92,"1,462"
Washington,2020,Other specified / NEC,64,"7,718,785",0.83,0.77,706
Washington,2020,Unspecified,136,"7,718,785",1.76,1.64,"1,337"
Washington,2019,Cut/Pierce,58,"7,614,024",0.76,0.71,"1,055"
Washington,2019,Drowning (includes water transport),138,"7,614,024",1.81,1.76,"3,093"
Washington,2019,Fall,"1,152","7,614,024",15.13,13.58,"3,267"
Washington,2019,Fire/Flame,72,"7,614,024",0.95,0.85,992
Washington,2019,Hot object/Substance,--,"7,614,024",--,--,--
Washington,2019,Firearm,842,"7,614,024",11.06,10.7,"16,794"
Washington,2019,Machinery,--,"7,614,024",--,--,--
Washington,2019,Natural/Environmental,60,"7,614,024",0.79,0.7,590
Washington,2019,Overexertion,--,"7,614,024",--,--,--
Washington,2019,Drug Poisoning,"1,259","7,614,024",16.54,15.81,"26,130"
Washington,2019,Non-Drug Poisoning,136,"7,614,024",1.79,1.7,"2,242"
Washington,2019,Struck by / against,22,"7,614,024",0.29,0.27,277
Washington,2019,Suffocation,493,"7,614,024",6.48,6.18,"9,899"
Washington,2019,"Motor vehicle, traffic",604,"7,614,024",7.93,7.52,"12,219"
Washington,2019,"Pedal cyclist, other",11**,"7,614,024",0.14**,0.13**,96
Washington,2019,"Pedestrian, other",26,"7,614,024",0.34,0.32,644
Washington,2019,"Transport, other land",19**,"7,614,024",0.25**,0.23**,459
Washington,2019,"Transport, other (excl. drown by water transp)",17**,"7,614,024",0.22**,0.17**,159
Washington,2019,Other specified and classifiable,59,"7,614,024",0.78,0.76,"1,088"
Washington,2019,Other specified / NEC,61,"7,614,024",0.8,0.69,743
Washington,2019,Unspecified,157,"7,614,024",2.06,1.88,"1,333"
Washington,2018,Cut/Pierce,79,"7,526,793",1.05,0.99,"1,775"
Washington,2018,Drowning (includes water transport),143,"7,526,793",1.9,1.85,"3,249"
Washington,2018,Fall,"1,098","7,526,793",14.59,13.17,"2,913"
Washington,2018,Fire/Flame,68,"7,526,793",0.9,0.83,939
Washington,2018,Hot object/Substance,--,"7,526,793",--,--,--
Washington,2018,Firearm,809,"7,526,793",10.75,10.33,"17,214"
Washington,2018,Machinery,11**,"7,526,793",0.15**,0.12**,92
Washington,2018,Natural/Environmental,44,"7,526,793",0.59,0.54,538
Washington,2018,Drug Poisoning,"1,164","7,526,793",15.47,14.75,"23,505"
Washington,2018,Non-Drug Poisoning,135,"7,526,793",1.79,1.67,"2,235"
Washington,2018,Struck by / against,28,"7,526,793",0.37,0.33,402
Washington,2018,Suffocation,487,"7,526,793",6.47,6.33,"10,794"
Washington,2018,"Motor vehicle, traffic",653,"7,526,793",8.68,8.37,"14,662"
Washington,2018,"Pedal cyclist, other",11**,"7,526,793",0.15**,0.14**,203
Washington,2018,"Pedestrian, other",22,"7,526,793",0.29,0.29,538
Washington,2018,"Transport, other land",29,"7,526,793",0.39,0.37,675
Washington,2018,"Transport, other (excl. drown by water transp)",10**,"7,526,793",0.13**,0.12**,208
Washington,2018,Other specified and classifiable,62,"7,526,793",0.82,0.77,"1,377"
Washington,2018,Other specified / NEC,45,"7,526,793",0.6,0.56,489
Washington,2018,Unspecified,136,"7,526,793",1.81,1.64,"1,145"
Washington,2017,Cut/Pierce,60,"7,427,951",0.81,0.75,"1,031"
Washington,2017,Drowning (includes water transport),135,"7,427,951",1.82,1.68,"2,556"
Washington,2017,Fall,"1,141","7,427,951",15.36,14.13,"3,539"
Washington,2017,Fire/Flame,75,"7,427,951",1.01,0.93,"1,034"
Washington,2017,Hot object/Substance,--,"7,427,951",--,--,--
Washington,2017,Firearm,849,"7,427,951",11.43,11.03,"17,819"
Washington,2017,Machinery,12**,"7,427,951",0.16**,0.14**,149
Washington,2017,Natural/Environmental,51,"7,427,951",0.69,0.61,346
Washington,2017,Overexertion,--,"7,427,951",--,--,--
Washington,2017,Drug Poisoning,"1,169","7,427,951",15.74,15.1,"24,277"
Washington,2017,Non-Drug Poisoning,146,"7,427,951",1.97,1.86,"2,497"
Washington,2017,Struck by / against,33,"7,427,951",0.44,0.4,594
Washington,2017,Suffocation,520,"7,427,951",7,6.91,"11,407"
Washington,2017,"Motor vehicle, traffic",622,"7,427,951",8.37,8.17,"13,691"
Washington,2017,"Pedal cyclist, other",10**,"7,427,951",0.14**,0.13**,114
Washington,2017,"Pedestrian, other",43,"7,427,951",0.58,0.58,"1,102"
Washington,2017,"Transport, other land",25,"7,427,951",0.34,0.33,447
Washington,2017,"Transport, other (excl. drown by water transp)",10**,"7,427,951",0.14**,0.11**,92
Washington,2017,Other specified and classifiable,63,"7,427,951",0.85,0.79,"1,045"
Washington,2017,Other specified / NEC,54,"7,427,951",0.73,0.66,411
Washington,2017,Unspecified,125,"7,427,951",1.68,1.59,"1,467"
Washington,2016,Cut/Pierce,57,"7,299,961",0.78,0.75,"1,281"
Washington,2016,Drowning (includes water transport),141,"7,299,961",1.93,1.79,"2,890"
Washington,2016,Fall,"1,059","7,299,961",14.51,13.31,"2,636"
Washington,2016,Fire/Flame,59,"7,299,961",0.81,0.77,946
Washington,2016,Hot object/Substance,--,"7,299,961",--,--,--
Washington,2016,Firearm,686,"7,299,961",9.4,8.96,"14,296"
Washington,2016,Machinery,14**,"7,299,961",0.19**,0.18**,190
Washington,2016,Natural/Environmental,40,"7,299,961",0.55,0.52,487
Washington,2016,Overexertion,--,"7,299,961",--,--,--
Washington,2016,Drug Poisoning,"1,102","7,299,961",15.1,14.46,"22,122"
Washington,2016,Non-Drug Poisoning,150,"7,299,961",2.06,1.87,"2,530"
Washington,2016,Struck by / against,--,"7,299,961",--,--,--
Washington,2016,Suffocation,466,"7,299,961",6.38,6.18,"9,424"
Washington,2016,"Motor vehicle, traffic",588,"7,299,961",8.06,7.77,"12,638"
Washington,2016,"Pedal cyclist, other",11**,"7,299,961",0.15**,0.15**,235
Washington,2016,"Pedestrian, other",20**,"7,299,961",0.27**,0.27**,350
Washington,2016,"Transport, other land",27,"7,299,961",0.37,0.36,666
Washington,2016,"Transport, other (excl. drown by water transp)",13**,"7,299,961",0.18**,0.15**,201
Washington,2016,Other specified and classifiable,47,"7,299,961",0.64,0.61,992
Washington,2016,Other specified / NEC,69,"7,299,961",0.95,0.85,616
Washington,2016,Unspecified,132,"7,299,961",1.81,1.63,"1,293"
Washington,2015,Cut/Pierce,54,"7,167,287",0.75,0.72,854
Washington,2015,Drowning (includes water transport),158,"7,167,287",2.2,2.13,"3,729"
Washington,2015,Fall,989,"7,167,287",13.8,12.64,"2,453"
Washington,2015,Fire/Flame,64,"7,167,287",0.89,0.8,"1,038"
Washington,2015,Firearm,718,"7,167,287",10.02,9.82,"15,298"
Washington,2015,Machinery,--,"7,167,287",--,--,--
Washington,2015,Natural/Environmental,48,"7,167,287",0.67,0.55,299
Washington,2015,Overexertion,--,"7,167,287",--,--,--
Washington,2015,Drug Poisoning,"1,094","7,167,287",15.26,14.69,"22,215"
Washington,2015,Non-Drug Poisoning,121,"7,167,287",1.69,1.55,"2,000"
Washington,2015,Struck by / against,23,"7,167,287",0.32,0.32,455
Washington,2015,Suffocation,478,"7,167,287",6.67,6.52,"9,970"
Washington,2015,"Motor vehicle, traffic",595,"7,167,287",8.3,8.06,"12,930"
Washington,2015,"Pedal cyclist, other",--,"7,167,287",--,--,--
Washington,2015,"Pedestrian, other",34,"7,167,287",0.47,0.49,918
Washington,2015,"Transport, other land",43,"7,167,287",0.6,0.61,"1,099"
Washington,2015,"Transport, other (excl. drown by water transp)",13**,"7,167,287",0.18**,0.17**,164
Washington,2015,Other specified and classifiable,40,"7,167,287",0.56,0.57,860
Washington,2015,Other specified / NEC,64,"7,167,287",0.89,0.82,749
Washington,2015,Unspecified,137,"7,167,287",1.91,1.75,"1,287"
Washington,2014,Cut/Pierce,56,"7,057,531",0.79,0.76,"1,217"
Washington,2014,Drowning (includes water transport),127,"7,057,531",1.8,1.7,"2,922"
Washington,2014,Fall,"1,013","7,057,531",14.35,13.26,"3,117"
Washington,2014,Fire/Flame,49,"7,057,531",0.69,0.66,823
Washington,2014,Hot object/Substance,--,"7,057,531",--,--,--
Washington,2014,Firearm,702,"7,057,531",9.95,9.66,"15,277"
Washington,2014,Machinery,16**,"7,057,531",0.23**,0.21**,357
Washington,2014,Natural/Environmental,74,"7,057,531",1.05,0.98,"1,468"
Washington,2014,Drug Poisoning,979,"7,057,531",13.87,13.22,"19,253"
Washington,2014,Non-Drug Poisoning,121,"7,057,531",1.71,1.66,"2,172"
Washington,2014,Struck by / against,25,"7,057,531",0.35,0.3,399
Washington,2014,Suffocation,414,"7,057,531",5.87,5.73,"8,583"
Washington,2014,"Motor vehicle, traffic",547,"7,057,531",7.75,7.49,"12,063"
Washington,2014,"Pedal cyclist, other",--,"7,057,531",--,--,--
Washington,2014,"Pedestrian, other",20**,"7,057,531",0.28**,0.28**,458
Washington,2014,"Transport, other land",24,"7,057,531",0.34,0.34,496
Washington,2014,"Transport, other (excl. drown by water transp)",18**,"7,057,531",0.26**,0.23**,234
Washington,2014,Other specified and classifiable,44,"7,057,531",0.62,0.58,712
Washington,2014,Other specified / NEC,70,"7,057,531",0.99,0.92,896
Washington,2014,Unspecified,124,"7,057,531",1.76,1.71,"1,701"
Washington,2013,Cut/Pierce,52,"6,966,252",0.75,0.71,"1,179"
Washington,2013,Drowning (includes water transport),131,"6,966,252",1.88,1.81,"3,130"
Washington,2013,Fall,874,"6,966,252",12.55,11.64,"2,245"
Washington,2013,Fire/Flame,57,"6,966,252",0.82,0.77,787
Washington,2013,Hot object/Substance,--,"6,966,252",--,--,--
Washington,2013,Firearm,632,"6,966,252",9.07,8.65,"12,721"
Washington,2013,Machinery,19**,"6,966,252",0.27**,0.26**,250
Washington,2013,Natural/Environmental,41,"6,966,252",0.59,0.54,548
Washington,2013,Overexertion,--,"6,966,252",--,--,--
Washington,2013,Drug Poisoning,969,"6,966,252",13.91,13.38,"19,378"
Washington,2013,Non-Drug Poisoning,142,"6,966,252",2.04,1.97,"2,701"
Washington,2013,Struck by / against,27,"6,966,252",0.39,0.36,467
Washington,2013,Suffocation,422,"6,966,252",6.06,5.98,"9,261"
Washington,2013,"Motor vehicle, traffic",498,"6,966,252",7.15,6.93,"11,520"
Washington,2013,"Pedal cyclist, other",--,"6,966,252",--,--,--
Washington,2013,"Pedestrian, other",23,"6,966,252",0.33,0.32,584
Washington,2013,"Transport, other land",37,"6,966,252",0.53,0.5,699
Washington,2013,"Transport, other (excl. drown by water transp)",12**,"6,966,252",0.17**,0.15**,263
Washington,2013,Other specified and classifiable,41,"6,966,252",0.59,0.55,787
Washington,2013,Other specified / NEC,53,"6,966,252",0.76,0.71,338
Washington,2013,Unspecified,128,"6,966,252",1.84,1.72,"1,812"
Washington,2012,Cut/Pierce,58,"6,898,599",0.84,0.8,"1,347"
Washington,2012,Drowning (includes water transport),131,"6,898,599",1.9,1.89,"3,622"
Washington,2012,Fall,874,"6,898,599",12.67,11.98,"3,043"
Washington,2012,Fire/Flame,58,"6,898,599",0.84,0.8,906
Washington,2012,Hot object/Substance,--,"6,898,599",--,--,--
