State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Wisconsin,2021,Cut/Pierce,42,"5,895,908",0.71,0.65,700
Wisconsin,2021,Drowning (includes water transport),94,"5,895,908",1.59,1.57,"2,171"
Wisconsin,2021,Fall,"1,807","5,895,908",30.65,24.82,"2,261"
Wisconsin,2021,Fire/Flame,65,"5,895,908",1.1,0.94,866
Wisconsin,2021,Hot object/Substance,--,"5,895,908",--,--,--
Wisconsin,2021,Firearm,793,"5,895,908",13.45,13.49,"19,925"
Wisconsin,2021,Machinery,15**,"5,895,908",0.25**,0.24**,257
Wisconsin,2021,Natural/Environmental,55,"5,895,908",0.93,0.79,527
Wisconsin,2021,Overexertion,--,"5,895,908",--,--,--
Wisconsin,2021,Drug Poisoning,"1,775","5,895,908",30.11,31.53,"39,741"
Wisconsin,2021,Non-Drug Poisoning,85,"5,895,908",1.44,1.4,"1,542"
Wisconsin,2021,Struck by / against,33,"5,895,908",0.56,0.47,262
Wisconsin,2021,Suffocation,379,"5,895,908",6.43,6.27,"8,117"
Wisconsin,2021,"Motor vehicle, traffic",638,"5,895,908",10.82,10.47,"13,616"
Wisconsin,2021,"Pedal cyclist, other",--,"5,895,908",--,--,--
Wisconsin,2021,"Pedestrian, other",10**,"5,895,908",0.17**,0.14**,184
Wisconsin,2021,"Transport, other land",57,"5,895,908",0.97,0.87,874
Wisconsin,2021,"Transport, other (excl. drown by water transp)",--,"5,895,908",--,--,--
Wisconsin,2021,Other specified and classifiable,68,"5,895,908",1.15,1.06,"1,315"
Wisconsin,2021,Other specified / NEC,43,"5,895,908",0.73,0.62,642
Wisconsin,2021,Unspecified,64,"5,895,908",1.09,0.95,615
Wisconsin,2020,Cut/Pierce,47,"5,892,323",0.8,0.78,"1,052"
Wisconsin,2020,Drowning (includes water transport),93,"5,892,323",1.58,1.58,"2,291"
Wisconsin,2020,Fall,"1,963","5,892,323",33.32,26.8,"1,846"
Wisconsin,2020,Fire/Flame,75,"5,892,323",1.27,1.13,880
Wisconsin,2020,Hot object/Substance,--,"5,892,323",--,--,--
Wisconsin,2020,Firearm,717,"5,892,323",12.17,12.09,"16,660"
Wisconsin,2020,Machinery,19**,"5,892,323",0.32**,0.27**,155
Wisconsin,2020,Natural/Environmental,47,"5,892,323",0.8,0.66,354
Wisconsin,2020,Drug Poisoning,"1,531","5,892,323",25.98,27.37,"35,269"
Wisconsin,2020,Non-Drug Poisoning,84,"5,892,323",1.43,1.33,"1,416"
Wisconsin,2020,Struck by / against,42,"5,892,323",0.71,0.62,364
Wisconsin,2020,Suffocation,412,"5,892,323",6.99,6.9,"9,206"
Wisconsin,2020,"Motor vehicle, traffic",648,"5,892,323",11,10.62,"13,752"
Wisconsin,2020,"Pedal cyclist, other",12**,"5,892,323",0.20**,0.17**,174
Wisconsin,2020,"Pedestrian, other",17**,"5,892,323",0.29**,0.27**,337
Wisconsin,2020,"Transport, other land",53,"5,892,323",0.9,0.85,"1,243"
Wisconsin,2020,"Transport, other (excl. drown by water transp)",--,"5,892,323",--,--,--
Wisconsin,2020,Other specified and classifiable,50,"5,892,323",0.85,0.77,"1,006"
Wisconsin,2020,Other specified / NEC,50,"5,892,323",0.85,0.77,742
Wisconsin,2020,Unspecified,95,"5,892,323",1.61,1.43,"1,113"
Wisconsin,2019,Cut/Pierce,59,"5,824,581",1.01,0.98,"1,145"
Wisconsin,2019,Drowning (includes water transport),68,"5,824,581",1.17,1.15,"1,645"
Wisconsin,2019,Fall,"1,839","5,824,581",31.57,23.95,"1,878"
Wisconsin,2019,Fire/Flame,63,"5,824,581",1.08,0.94,"1,061"
Wisconsin,2019,Firearm,604,"5,824,581",10.37,10.04,"12,477"
Wisconsin,2019,Machinery,11**,"5,824,581",0.19**,0.18**,245
Wisconsin,2019,Natural/Environmental,59,"5,824,581",1.01,0.84,405
Wisconsin,2019,Overexertion,--,"5,824,581",--,--,--
Wisconsin,2019,Drug Poisoning,"1,201","5,824,581",20.62,21.12,"26,305"
Wisconsin,2019,Non-Drug Poisoning,93,"5,824,581",1.6,1.46,"1,590"
Wisconsin,2019,Struck by / against,30,"5,824,581",0.52,0.45,423
Wisconsin,2019,Suffocation,358,"5,824,581",6.15,5.89,"7,586"
Wisconsin,2019,"Motor vehicle, traffic",567,"5,824,581",9.74,9.21,"11,446"
Wisconsin,2019,"Pedal cyclist, other",--,"5,824,581",--,--,--
Wisconsin,2019,"Pedestrian, other",13**,"5,824,581",0.22**,0.22**,360
Wisconsin,2019,"Transport, other land",54,"5,824,581",0.93,0.9,"1,242"
Wisconsin,2019,"Transport, other (excl. drown by water transp)",--,"5,824,581",--,--,--
Wisconsin,2019,Other specified and classifiable,64,"5,824,581",1.1,1.01,"1,016"
Wisconsin,2019,Other specified / NEC,57,"5,824,581",0.98,0.85,750
Wisconsin,2019,Unspecified,82,"5,824,581",1.41,1.16,704
Wisconsin,2018,Cut/Pierce,33,"5,809,319",0.57,0.54,584
Wisconsin,2018,Drowning (includes water transport),88,"5,809,319",1.52,1.45,"2,014"
Wisconsin,2018,Fall,"1,666","5,809,319",28.68,21.93,"1,865"
Wisconsin,2018,Fire/Flame,50,"5,809,319",0.86,0.74,513
Wisconsin,2018,Hot object/Substance,--,"5,809,319",--,--,--
Wisconsin,2018,Firearm,598,"5,809,319",10.29,10.14,"13,284"
Wisconsin,2018,Machinery,21,"5,809,319",0.36,0.33,290
Wisconsin,2018,Natural/Environmental,43,"5,809,319",0.74,0.62,325
Wisconsin,2018,Overexertion,--,"5,809,319",--,--,--
Wisconsin,2018,Drug Poisoning,"1,079","5,809,319",18.57,19.21,"24,710"
Wisconsin,2018,Non-Drug Poisoning,87,"5,809,319",1.5,1.51,"1,639"
Wisconsin,2018,Struck by / against,27,"5,809,319",0.47,0.43,405
Wisconsin,2018,Suffocation,410,"5,809,319",7.06,6.85,"9,458"
Wisconsin,2018,"Motor vehicle, traffic",583,"5,809,319",10.04,9.34,"11,885"
Wisconsin,2018,"Pedal cyclist, other",--,"5,809,319",--,--,--
Wisconsin,2018,"Pedestrian, other",13**,"5,809,319",0.22**,0.21**,342
Wisconsin,2018,"Transport, other land",58,"5,809,319",1,0.92,"1,012"
Wisconsin,2018,"Transport, other (excl. drown by water transp)",12**,"5,809,319",0.21**,0.20**,237
Wisconsin,2018,Other specified and classifiable,42,"5,809,319",0.72,0.61,776
Wisconsin,2018,Other specified / NEC,47,"5,809,319",0.81,0.73,539
Wisconsin,2018,Unspecified,88,"5,809,319",1.52,1.3,951
Wisconsin,2017,Cut/Pierce,46,"5,793,147",0.79,0.74,768
Wisconsin,2017,Drowning (includes water transport),92,"5,793,147",1.59,1.57,"2,198"
Wisconsin,2017,Fall,"1,576","5,793,147",27.21,21.08,"2,193"
Wisconsin,2017,Fire/Flame,57,"5,793,147",0.98,0.86,659
Wisconsin,2017,Hot object/Substance,--,"5,793,147",--,--,--
Wisconsin,2017,Firearm,624,"5,793,147",10.77,10.54,"14,256"
Wisconsin,2017,Machinery,21,"5,793,147",0.36,0.33,346
Wisconsin,2017,Natural/Environmental,25,"5,793,147",0.43,0.39,200
