State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
West Virginia,2021,Cut/Pierce,16**,"1,782,959",0.90**,0.78**,230
West Virginia,2021,Drowning (includes water transport),27,"1,782,959",1.51,1.55,683
West Virginia,2021,Fall,486,"1,782,959",27.26,19.85,691
West Virginia,2021,Fire/Flame,42,"1,782,959",2.36,1.79,303
West Virginia,2021,Hot object/Substance,--,"1,782,959",--,--,--
West Virginia,2021,Firearm,319,"1,782,959",17.89,17.31,"6,020"
West Virginia,2021,Machinery,--,"1,782,959",--,--,--
West Virginia,2021,Natural/Environmental,10**,"1,782,959",0.56**,0.44**,88
West Virginia,2021,Drug Poisoning,"1,501","1,782,959",84.19,91.36,"32,972"
West Virginia,2021,Non-Drug Poisoning,25,"1,782,959",1.4,1.52,440
West Virginia,2021,Struck by / against,16**,"1,782,959",0.90**,0.91**,296
West Virginia,2021,Suffocation,144,"1,782,959",8.08,8.22,"3,016"
West Virginia,2021,"Motor vehicle, traffic",276,"1,782,959",15.48,14.73,"5,185"
West Virginia,2021,"Pedal cyclist, other",--,"1,782,959",--,--,--
West Virginia,2021,"Pedestrian, other",--,"1,782,959",--,--,--
West Virginia,2021,"Transport, other land",26,"1,782,959",1.46,1.16,364
West Virginia,2021,"Transport, other (excl. drown by water transp)",--,"1,782,959",--,--,--
West Virginia,2021,Other specified and classifiable,27,"1,782,959",1.51,1.39,389
West Virginia,2021,Other specified / NEC,16**,"1,782,959",0.90**,0.63**,47
West Virginia,2021,Unspecified,49,"1,782,959",2.75,2.3,491
West Virginia,2020,Cut/Pierce,20**,"1,789,798",1.12**,0.97**,201
West Virginia,2020,Drowning (includes water transport),36,"1,789,798",2.01,2.01,798
West Virginia,2020,Fall,425,"1,789,798",23.75,17.22,634
West Virginia,2020,Fire/Flame,42,"1,789,798",2.35,1.86,502
West Virginia,2020,Hot object/Substance,--,"1,789,798",--,--,--
West Virginia,2020,Firearm,325,"1,789,798",18.16,17.98,"6,792"
West Virginia,2020,Machinery,10**,"1,789,798",0.56**,0.44**,80
West Virginia,2020,Natural/Environmental,--,"1,789,798",--,--,--
West Virginia,2020,Drug Poisoning,"1,330","1,789,798",74.31,81.33,"29,689"
West Virginia,2020,Non-Drug Poisoning,27,"1,789,798",1.51,1.2,232
West Virginia,2020,Struck by / against,17**,"1,789,798",0.95**,0.91**,279
West Virginia,2020,Suffocation,124,"1,789,798",6.93,7.16,"2,788"
West Virginia,2020,"Motor vehicle, traffic",273,"1,789,798",15.25,14.76,"5,535"
West Virginia,2020,"Pedal cyclist, other",--,"1,789,798",--,--,--
West Virginia,2020,"Pedestrian, other",--,"1,789,798",--,--,--
West Virginia,2020,"Transport, other land",29,"1,789,798",1.62,1.4,445
West Virginia,2020,"Transport, other (excl. drown by water transp)",--,"1,789,798",--,--,--
West Virginia,2020,Other specified and classifiable,26,"1,789,798",1.45,1.52,527
West Virginia,2020,Other specified / NEC,16**,"1,789,798",0.89**,0.76**,139
West Virginia,2020,Unspecified,39,"1,789,798",2.18,1.72,312
West Virginia,2019,Cut/Pierce,15**,"1,795,263",0.84**,0.72**,218
West Virginia,2019,Drowning (includes water transport),29,"1,795,263",1.62,1.57,633
West Virginia,2019,Fall,458,"1,795,263",25.51,17.69,615
West Virginia,2019,Fire/Flame,33,"1,795,263",1.84,1.66,558
West Virginia,2019,Hot object/Substance,--,"1,795,263",--,--,--
West Virginia,2019,Firearm,300,"1,795,263",16.71,16.58,"6,317"
West Virginia,2019,Machinery,--,"1,795,263",--,--,--
West Virginia,2019,Natural/Environmental,--,"1,795,263",--,--,--
West Virginia,2019,Drug Poisoning,870,"1,795,263",48.46,53.27,"20,091"
West Virginia,2019,Non-Drug Poisoning,33,"1,795,263",1.84,1.8,586
West Virginia,2019,Struck by / against,16**,"1,795,263",0.89**,0.74**,150
West Virginia,2019,Suffocation,140,"1,795,263",7.8,7.95,"2,967"
West Virginia,2019,"Motor vehicle, traffic",296,"1,795,263",16.49,15.58,"5,654"
West Virginia,2019,"Pedal cyclist, other",--,"1,795,263",--,--,--
West Virginia,2019,"Pedestrian, other",--,"1,795,263",--,--,--
West Virginia,2019,"Transport, other land",32,"1,795,263",1.78,1.62,507
West Virginia,2019,"Transport, other (excl. drown by water transp)",--,"1,795,263",--,--,--
West Virginia,2019,Other specified and classifiable,24,"1,795,263",1.34,1.47,446
West Virginia,2019,Other specified / NEC,15**,"1,795,263",0.84**,0.64**,191
West Virginia,2019,Unspecified,42,"1,795,263",2.34,1.79,320
West Virginia,2018,Cut/Pierce,23,"1,805,953",1.27,1.08,359
West Virginia,2018,Drowning (includes water transport),30,"1,805,953",1.66,1.72,637
West Virginia,2018,Fall,359,"1,805,953",19.88,14.13,688
West Virginia,2018,Fire/Flame,33,"1,805,953",1.83,1.57,453
West Virginia,2018,Hot object/Substance,--,"1,805,953",--,--,--
West Virginia,2018,Firearm,343,"1,805,953",18.99,18.12,"6,334"
West Virginia,2018,Machinery,--,"1,805,953",--,--,--
West Virginia,2018,Natural/Environmental,--,"1,805,953",--,--,--
West Virginia,2018,Drug Poisoning,856,"1,805,953",47.4,51.68,"19,881"
West Virginia,2018,Non-Drug Poisoning,22,"1,805,953",1.22,1.3,466
West Virginia,2018,Struck by / against,19**,"1,805,953",1.05**,0.93**,213
West Virginia,2018,Suffocation,132,"1,805,953",7.31,7.29,"2,961"
West Virginia,2018,"Motor vehicle, traffic",303,"1,805,953",16.78,16.1,"6,279"
West Virginia,2018,"Pedal cyclist, other",--,"1,805,953",--,--,--
West Virginia,2018,"Pedestrian, other",--,"1,805,953",--,--,--
West Virginia,2018,"Transport, other land",27,"1,805,953",1.5,1.22,352
West Virginia,2018,"Transport, other (excl. drown by water transp)",--,"1,805,953",--,--,--
West Virginia,2018,Other specified and classifiable,22,"1,805,953",1.22,1.23,562
West Virginia,2018,Other specified / NEC,19**,"1,805,953",1.05**,0.84**,214
West Virginia,2018,Unspecified,33,"1,805,953",1.83,1.62,486
West Virginia,2017,Cut/Pierce,18**,"1,818,683",0.99**,0.95**,323
West Virginia,2017,Drowning (includes water transport),26,"1,818,683",1.43,1.4,624
West Virginia,2017,Fall,359,"1,818,683",19.74,14.1,461
West Virginia,2017,Fire/Flame,51,"1,818,683",2.8,2.29,608
West Virginia,2017,Hot object/Substance,--,"1,818,683",--,--,--
West Virginia,2017,Firearm,348,"1,818,683",19.14,18.54,"6,293"
West Virginia,2017,Machinery,11**,"1,818,683",0.61**,0.48**,80
West Virginia,2017,Natural/Environmental,12**,"1,818,683",0.66**,0.62**,220
West Virginia,2017,Drug Poisoning,974,"1,818,683",53.56,57.86,"22,464"
West Virginia,2017,Non-Drug Poisoning,49,"1,818,683",2.69,2.52,814
West Virginia,2017,Struck by / against,19**,"1,818,683",1.05**,0.98**,241
West Virginia,2017,Suffocation,125,"1,818,683",6.87,6.89,"2,541"
West Virginia,2017,"Motor vehicle, traffic",312,"1,818,683",17.16,16.9,"6,769"
West Virginia,2017,"Pedal cyclist, other",--,"1,818,683",--,--,--
West Virginia,2017,"Pedestrian, other",12**,"1,818,683",0.66**,0.62**,265
West Virginia,2017,"Transport, other land",26,"1,818,683",1.43,1.43,577
West Virginia,2017,"Transport, other (excl. drown by water transp)",--,"1,818,683",--,--,--
West Virginia,2017,Other specified and classifiable,21,"1,818,683",1.16,1.08,348
West Virginia,2017,Other specified / NEC,20**,"1,818,683",1.10**,1.08**,350
West Virginia,2017,Unspecified,64,"1,818,683",3.52,2.76,560
West Virginia,2016,Cut/Pierce,17**,"1,832,435",0.93**,0.94**,349
West Virginia,2016,Drowning (includes water transport),39,"1,832,435",2.13,2.17,"1,107"
West Virginia,2016,Fall,327,"1,832,435",17.85,13.22,681
West Virginia,2016,Fire/Flame,48,"1,832,435",2.62,2.23,730
West Virginia,2016,Hot object/Substance,--,"1,832,435",--,--,--
West Virginia,2016,Firearm,332,"1,832,435",18.12,17.5,"6,527"
West Virginia,2016,Machinery,14**,"1,832,435",0.76**,0.60**,91
West Virginia,2016,Natural/Environmental,22,"1,832,435",1.2,0.99,286
West Virginia,2016,Drug Poisoning,884,"1,832,435",48.24,52.23,"20,774"
West Virginia,2016,Non-Drug Poisoning,37,"1,832,435",2.02,1.97,593
West Virginia,2016,Struck by / against,15**,"1,832,435",0.82**,0.73**,189
West Virginia,2016,Suffocation,122,"1,832,435",6.66,6.74,"2,640"
West Virginia,2016,"Motor vehicle, traffic",275,"1,832,435",15.01,14.53,"5,777"
West Virginia,2016,"Pedal cyclist, other",--,"1,832,435",--,--,--
West Virginia,2016,"Pedestrian, other",--,"1,832,435",--,--,--
West Virginia,2016,"Transport, other land",25,"1,832,435",1.36,1.21,403
West Virginia,2016,"Transport, other (excl. drown by water transp)",--,"1,832,435",--,--,--
West Virginia,2016,Other specified and classifiable,18**,"1,832,435",0.98**,1.02**,434
West Virginia,2016,Other specified / NEC,17**,"1,832,435",0.93**,0.76**,211
West Virginia,2016,Unspecified,47,"1,832,435",2.57,2.08,477
West Virginia,2015,Cut/Pierce,15**,"1,843,332",0.81**,0.82**,301
West Virginia,2015,Drowning (includes water transport),27,"1,843,332",1.47,1.46,622
West Virginia,2015,Fall,326,"1,843,332",17.69,13.23,667
West Virginia,2015,Fire/Flame,36,"1,843,332",1.95,1.84,568
West Virginia,2015,Firearm,278,"1,843,332",15.08,14.03,"4,756"
West Virginia,2015,Machinery,10**,"1,843,332",0.54**,0.44**,74
West Virginia,2015,Natural/Environmental,15**,"1,843,332",0.81**,0.73**,279
West Virginia,2015,Drug Poisoning,725,"1,843,332",39.33,41.43,"16,156"
West Virginia,2015,Non-Drug Poisoning,40,"1,843,332",2.17,2.02,635
West Virginia,2015,Struck by / against,14**,"1,843,332",0.76**,0.78**,291
West Virginia,2015,Suffocation,132,"1,843,332",7.16,6.81,"2,513"
West Virginia,2015,"Motor vehicle, traffic",275,"1,843,332",14.92,14.75,"6,292"
West Virginia,2015,"Pedal cyclist, other",--,"1,843,332",--,--,--
West Virginia,2015,"Pedestrian, other",--,"1,843,332",--,--,--
West Virginia,2015,"Transport, other land",27,"1,843,332",1.47,1.36,570
West Virginia,2015,Other specified and classifiable,30,"1,843,332",1.63,1.58,724
West Virginia,2015,Other specified / NEC,16**,"1,843,332",0.87**,0.69**,109
