State,Year,Mechanism,Deaths,Population,Crude Rate,Age-Adjusted Rate,Years of Potential Life Lost
Wyoming,2021,Cut/Pierce,--,"578,803",--,--,--
Wyoming,2021,Drowning (includes water transport),--,"578,803",--,--,--
Wyoming,2021,Fall,71,"578,803",12.27,10.88,223
Wyoming,2021,Fire/Flame,11**,"578,803",1.90**,1.71**,189
Wyoming,2021,Hot object/Substance,--,"578,803",--,--,--
Wyoming,2021,Firearm,155,"578,803",26.78,26.47,"3,249"
Wyoming,2021,Machinery,--,"578,803",--,--,--
Wyoming,2021,Natural/Environmental,11**,"578,803",1.90**,1.69**,119
Wyoming,2021,Drug Poisoning,109,"578,803",18.83,18.91,"2,326"
Wyoming,2021,Non-Drug Poisoning,17**,"578,803",2.94**,2.92**,344
Wyoming,2021,Struck by / against,--,"578,803",--,--,--
Wyoming,2021,Suffocation,63,"578,803",10.89,11.54,"1,635"
Wyoming,2021,"Motor vehicle, traffic",93,"578,803",16.07,15.84,"2,290"
Wyoming,2021,"Pedal cyclist, other",--,"578,803",--,--,--
Wyoming,2021,"Pedestrian, other",--,"578,803",--,--,--
Wyoming,2021,"Transport, other land",--,"578,803",--,--,--
Wyoming,2021,"Transport, other (excl. drown by water transp)",--,"578,803",--,--,--
Wyoming,2021,Other specified and classifiable,--,"578,803",--,--,--
Wyoming,2021,Other specified / NEC,--,"578,803",--,--,--
Wyoming,2021,Unspecified,22,"578,803",3.8,3.45,174
Wyoming,2020,Cut/Pierce,--,"577,267",--,--,--
Wyoming,2020,Drowning (includes water transport),--,"577,267",--,--,--
Wyoming,2020,Fall,94,"577,267",16.28,14.74,235
Wyoming,2020,Fire/Flame,--,"577,267",--,--,--
Wyoming,2020,Firearm,154,"577,267",26.68,26.28,"3,209"
Wyoming,2020,Machinery,--,"577,267",--,--,--
Wyoming,2020,Natural/Environmental,14**,"577,267",2.43**,2.18**,139
Wyoming,2020,Drug Poisoning,99,"577,267",17.15,17.41,"2,037"
Wyoming,2020,Non-Drug Poisoning,18**,"577,267",3.12**,3.18**,303
Wyoming,2020,Struck by / against,--,"577,267",--,--,--
Wyoming,2020,Suffocation,48,"577,267",8.32,8.8,"1,267"
Wyoming,2020,"Motor vehicle, traffic",103,"577,267",17.84,17.02,"2,118"
Wyoming,2020,"Pedestrian, other",--,"577,267",--,--,--
Wyoming,2020,"Transport, other land",13**,"577,267",2.25**,2.21**,294
Wyoming,2020,"Transport, other (excl. drown by water transp)",--,"577,267",--,--,--
Wyoming,2020,Other specified and classifiable,--,"577,267",--,--,--
Wyoming,2020,Other specified / NEC,--,"577,267",--,--,--
Wyoming,2020,Unspecified,13**,"577,267",2.25**,2.05**,151
Wyoming,2019,Cut/Pierce,--,"580,116",--,--,--
Wyoming,2019,Drowning (includes water transport),11**,"580,116",1.90**,1.92**,244
Wyoming,2019,Fall,102,"580,116",17.58,14.88,373
Wyoming,2019,Fire/Flame,--,"580,116",--,--,--
Wyoming,2019,Firearm,133,"580,116",22.93,22.4,"2,659"
Wyoming,2019,Machinery,--,"580,116",--,--,--
